model,rf,strategy,style,lut,ff,dsp,bram,lat_cycles,ii,est_clk_ns,cmodel_max_abs_diff,csynth_wall_s
estimator,8,Resource,dataflow,313107,196336,1952,738,92,8,6.302,0,362
estimator,64,Resource,dataflow,199144,196393,456,93,556,80,7.074,0,221
estimator,128,Resource,dataflow,247017,196666,0,50,1084,160,6.302,0,313
estimator,256,Resource,dataflow,222867,196690,0,29,2140,320,6.302,0,336
estimator,64,Resource,pipeline,756458,101036,535,0,518,80,7.235,0,882
estimator,64,Resource,sequential,54993,24787,456,93,544,545,5.929,0,123
estimator,32,Resource,sequential,82636,25603,456,179,281,282,6.663,0,144
estimator,128,Resource,sequential,102871,25893,0,50,1073,1074,7.291,0,186
detector,1,Latency,dataflow,257108,17423,2683,0,6,1,7.284,0,376
detector,16,Resource,dataflow,44937,36466,340,85,82,43,5.781,0,62
detector,43,Resource,dataflow,42811,36474,133,34,178,64,5.781,0,58
detector,86,Resource,dataflow,55514,36577,65,17,541,320,6.568,0,73
detector,16,Resource,dataflow+io_stream,21989,9985,340,85,44,43,7.136,0,63
detector,16,Resource,sequential,23294,12473,340,85,83,84,7.195,0,58
