run,cycles,flag_cycles_sim,flag_cycles_new,cycles_differ,first_flag_sim,first_flag_new,emu_matches_sim,max_dlogit
E-AC-01a_CRPR,36,14,14,0,0.74,0.74,1.0,0.60162353515625
E-AC-01a_MPCC_D,36,15,15,0,0.74,0.74,1.0,0.7662353515625497
E-AC-01a_MPCC_D_F10,36,15,15,0,0.74,0.74,1.0,0.8831787109375497
E-AC-01a_MPCC_D_F1,36,15,15,0,0.74,0.74,1.0,0.771240234375
E-AC-01a_MPCC_D_H1,36,15,15,0,0.74,0.74,1.0,0.8453369140625
E-AC-01a_MPCC_D_M1,36,15,15,0,0.74,0.74,1.0,0.8294677734375
E-AC-01a_MPCC_D_R,36,15,15,0,0.74,0.74,1.0,0.780517578125
E-AC-01a_MPCC_P,36,14,14,1,0.74,0.74,1.0,0.695068359375
E-AC-01b_CRPR,36,14,14,0,0.74,0.74,1.0,1.110107421875
E-AC-01b_MPCC_D,36,15,15,0,0.74,0.74,1.0,1.3110961914062003
E-AC-01b_MPCC_D_F10,36,15,15,0,0.74,0.74,1.0,1.2593994140625497
E-AC-01b_MPCC_D_F1,36,15,15,0,0.74,0.74,1.0,1.248779296875
E-AC-01b_MPCC_D_H1,36,15,15,0,0.74,0.74,1.0,1.2387084960937003
E-AC-01b_MPCC_D_M1,36,15,15,0,0.74,0.74,1.0,1.2445068359375497
E-AC-01b_MPCC_D_R,36,15,15,0,0.74,0.74,1.0,1.272216796875
E-AC-01b_MPCC_P,36,15,15,0,0.74,0.74,1.0,1.180419921875
E-AC-02b_CRPR,36,14,14,0,0.74,0.74,1.0,0.5076904296875
E-AC-02b_MPCC_D,36,15,15,0,0.74,0.74,1.0,0.5667724609374503
E-AC-02b_MPCC_D_F10,36,15,15,0,0.74,0.74,1.0,0.72705078125
E-AC-02b_MPCC_D_F1,36,15,15,0,0.74,0.74,1.0,0.74896240234375
E-AC-02b_MPCC_D_H1,36,15,15,0,0.74,0.74,1.0,0.6346435546875
E-AC-02b_MPCC_D_M1,36,15,15,0,0.74,0.74,1.0,0.6947021484375
E-AC-02b_MPCC_D_R,36,15,15,0,0.74,0.74,1.0,0.74676513671875
E-AC-02b_MPCC_P,36,16,16,0,0.74,0.74,1.0,0.7423706054687997
E-AC-02h_CRPR,36,14,14,0,0.74,0.74,1.0,0.669189453125
E-AC-02h_MPCC_D,36,14,14,0,0.74,0.74,1.0,0.57037353515625
E-AC-02h_MPCC_D_F10,36,14,14,0,0.74,0.74,1.0,0.711669921875
E-AC-02h_MPCC_D_F1,36,14,14,0,0.74,0.74,1.0,0.7507934570312997
E-AC-02h_MPCC_D_H1,36,14,14,0,0.74,0.74,1.0,0.6192626953125
E-AC-02h_MPCC_D_M1,36,14,14,0,0.74,0.74,1.0,0.6947021484375
E-AC-02h_MPCC_D_R,36,14,14,0,0.74,0.74,1.0,0.7062988281249503
E-AC-02h_MPCC_P,36,15,15,0,0.74,0.74,1.0,0.6925048828125
E-AC-02s_CRPR,36,13,13,0,0.78,0.78,1.0,0.54107666015625
E-AC-02s_MPCC_D,36,14,14,0,0.74,0.74,1.0,0.637939453125
E-AC-02s_MPCC_D_F10,36,14,14,0,0.74,0.74,1.0,0.7501831054687003
E-AC-02s_MPCC_D_F1,36,14,14,0,0.74,0.74,1.0,0.689208984375
E-AC-02s_MPCC_D_H1,36,14,14,1,0.74,0.74,1.0,0.623779296875
E-AC-02s_MPCC_D_M1,36,15,15,0,0.74,0.74,1.0,0.6947021484375
E-AC-02s_MPCC_D_R,36,14,14,0,0.74,0.74,1.0,0.6300659179687003
E-AC-02s_MPCC_P,36,17,17,0,0.74,0.74,1.0,0.777587890625
E-BAT-01b_CRPR,36,14,14,0,0.74,0.74,1.0,0.5552978515625
E-BAT-01b_MPCC_D,36,14,14,0,0.74,0.74,1.0,0.8729248046874503
E-BAT-01b_MPCC_D_F10,36,14,14,0,0.74,0.74,1.0,0.8248901367187997
E-BAT-01b_MPCC_D_F1,36,14,14,0,0.74,0.74,1.0,0.7814331054687003
E-BAT-01b_MPCC_D_H1,36,14,14,0,0.74,0.74,1.0,0.80133056640625
E-BAT-01b_MPCC_D_M1,36,14,14,0,0.74,0.74,1.0,0.8338623046875497
E-BAT-01b_MPCC_D_R,36,14,14,0,0.74,0.74,1.0,0.6698608398437997
E-BAT-01b_MPCC_P,36,16,16,0,0.74,0.74,1.0,0.72265625
E-BAT-01n_CRPR,36,14,14,2,0.76,0.76,1.0,0.639892578125
E-BAT-01n_MPCC_D,36,15,15,3,0.74,0.74,1.0,0.72802734375
E-BAT-01n_MPCC_D_F10,36,15,15,4,0.74,0.74,1.0,0.78631591796875
E-BAT-01n_MPCC_D_F1,36,15,15,2,0.74,0.74,1.0,0.7828369140625
E-BAT-01n_MPCC_D_H1,36,15,15,0,0.74,0.74,1.0,0.83074951171875
E-BAT-01n_MPCC_D_M1,36,14,15,1,0.76,0.74,1.0,0.869873046875
E-BAT-01n_MPCC_D_R,36,15,15,2,0.74,0.74,1.0,0.78436279296875
E-BAT-01n_MPCC_P,36,14,15,1,0.76,0.74,1.0,0.7174072265625
E-BAT-02b_CRPR,36,15,15,0,0.74,0.74,1.0,0.9862060546875
E-BAT-02b_MPCC_D,36,15,15,0,0.74,0.74,1.0,1.0416259765625
E-BAT-02b_MPCC_D_F10,36,16,15,1,0.74,0.74,1.0,0.9931640624999503
E-BAT-02b_MPCC_D_F1,36,16,16,1,0.74,0.74,1.0,1.034423828125
E-BAT-02b_MPCC_D_H1,36,16,16,0,0.74,0.74,1.0,1.0518798828125497
E-BAT-02b_MPCC_D_M1,36,16,16,0,0.74,0.74,1.0,0.9635620117187997
E-BAT-02b_MPCC_D_R,36,16,15,1,0.74,0.74,1.0,0.95635986328125
E-BAT-02b_MPCC_P,36,13,13,0,0.78,0.78,1.0,1.0196533203125497
E-BAT-02c_CRPR,36,15,15,0,0.74,0.74,1.0,2.68524169921875
E-BAT-02c_MPCC_D,36,14,14,0,0.74,0.74,1.0,3.3497314453124503
E-BAT-02c_MPCC_D_F10,36,14,14,0,0.74,0.74,1.0,3.31451416015625
E-BAT-02c_MPCC_D_F1,36,14,14,0,0.74,0.74,1.0,3.2922363281249503
E-BAT-02c_MPCC_D_H1,36,14,14,0,0.74,0.74,1.0,3.27215576171875
E-BAT-02c_MPCC_D_M1,36,14,14,0,0.74,0.74,1.0,3.2806396484375497
E-BAT-02c_MPCC_D_R,36,14,14,0,0.74,0.74,1.0,3.3185424804687003
E-BAT-02c_MPCC_P,36,16,16,0,0.74,0.74,1.0,4.340576171875
E-DC-01b_CRPR,36,15,15,0,0.74,0.74,1.0,1.13592529296875
E-DC-01b_MPCC_D,36,15,15,0,0.74,0.74,1.0,1.23919677734375
E-DC-01b_MPCC_D_F10,36,15,15,0,0.74,0.74,1.0,1.31298828125
E-DC-01b_MPCC_D_F1,36,15,15,0,0.74,0.74,1.0,1.30792236328125
E-DC-01b_MPCC_D_H1,36,15,15,0,0.74,0.74,1.0,1.3781738281249503
E-DC-01b_MPCC_D_M1,36,15,15,0,0.74,0.74,1.0,1.59295654296875
E-DC-01b_MPCC_D_R,36,15,15,0,0.74,0.74,1.0,1.27117919921875
E-DC-01b_MPCC_P,36,15,15,0,0.74,0.74,1.0,1.2908325195312003
E-DC-01c_CRPR,36,16,16,0,0.74,0.74,1.0,1.23638916015625
E-DC-01c_MPCC_D,36,15,15,0,0.74,0.74,1.0,3.303955078125057
E-DC-01c_MPCC_D_F10,36,15,15,0,0.74,0.74,1.0,3.07415771484375
E-DC-01c_MPCC_D_F1,36,15,15,0,0.74,0.74,1.0,2.45440673828125
E-DC-01c_MPCC_D_H1,36,15,15,0,0.74,0.74,1.0,2.36236572265625
E-DC-01c_MPCC_D_M1,36,15,15,0,0.74,0.74,1.0,2.38720703125
E-DC-01c_MPCC_D_R,36,15,15,0,0.74,0.74,1.0,3.236755371093807
E-DC-01c_MPCC_P,36,15,15,0,0.74,0.74,1.0,3.16693115234375
E-DC-02b_CRPR,36,15,15,0,0.74,0.74,1.0,1.4854736328125
E-DC-02b_MPCC_D,36,15,15,0,0.74,0.74,1.0,1.8671264648438068
E-DC-02b_MPCC_D_F10,36,15,15,1,0.74,0.74,1.0,1.7115478515625
E-DC-02b_MPCC_D_F1,36,15,15,1,0.74,0.74,1.0,1.6417236328125
E-DC-02b_MPCC_D_H1,36,15,15,0,0.74,0.74,1.0,1.7228393554687003
E-DC-02b_MPCC_D_M1,36,15,15,0,0.74,0.74,1.0,1.6521606445312997
E-DC-02b_MPCC_D_R,36,15,15,1,0.74,0.74,1.0,2.37689208984375
E-DC-02b_MPCC_P,36,16,16,0,0.74,0.74,1.0,3.4999389648437997
E-MUL-01_CRPR,36,15,15,0,0.74,0.74,1.0,1.2495117187500497
E-MUL-01_MPCC_D,36,15,15,0,0.74,0.74,1.0,1.3088989257812003
E-MUL-01_MPCC_D_F10,36,15,15,0,0.74,0.74,1.0,1.28778076171875
E-MUL-01_MPCC_D_F1,36,15,15,0,0.74,0.74,1.0,1.273681640625
E-MUL-01_MPCC_D_H1,36,15,15,0,0.74,0.74,1.0,1.296875
E-MUL-01_MPCC_D_M1,36,15,15,0,0.74,0.74,1.0,1.268310546875
E-MUL-01_MPCC_D_R,36,15,15,0,0.74,0.74,1.0,1.334716796875
E-MUL-01_MPCC_P,36,16,16,0,0.74,0.74,1.0,1.2458496093750497
