t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.130530490118308,331.972713864797,-0.00039319644255904,0.018923695250487,29.7130916762148,44.554507560096,-44.5202894066616,0.0342181534344661,0.000582607892520585,0.0969963194704364,41.7152960591902,0.994643948261275,0.214292270839675,0.000453639241194309,0.0305297044448798,400.024364145084,23.1378497923098,0.0243641450843484,48.9714730606004,45.776823692056,52.290235289409,0,0.418031574653499,-0.0522507391759321,345,20,0.862801460547584,0,20,0,0,6918.26128978218,6900,0.99736042207467,0.000410451127528688,-0.141605638997362,0.163132150313288,0.0970497656465525,0.0486928245351734,0.0508103722519112,0,0,-0.00236789546031857,0.0977599114092517,0.0085394316895411,-2.28694565251388,0.000706489789665921,0,-7.7742919921875,-7.80694580078125,-6.4246826171875,-9.8021240234375,-9.11053466796875,0,0,0,0,0,0,0,0,0,0,0.16845703125,-0.48565673828125,0.030181884765625,-0.28607177734375,-0.55169677734375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0.0251467152046617,331.669582399013,7.58185752904197e-05,-0.00712379914864879,29.6337471537316,44.341297712649,-44.4821194055807,-0.140821692931716,0.000227759522160039,0.0973488355574601,41.6025184506665,0.994619464890712,0.215022826401737,-0.000171234805342287,0.0300841358931199,400.027939775164,22.9718823781412,0.0279397751640431,48.8629300729713,45.7272013223199,52.1358426477936,0,0.418735282130773,-0.0523657926085897,345,20,0.862790323285748,0,20,0,0,6892.8918656532,6900,1.00103122673115,0.000406479657812708,-0.14023548194541,0.00357563007969475,-0.108542987629079,-0.0793445224832183,-0.0260474943991358,0,0,0.00367080465648206,0.0721910890268486,0.00633679940638175,0.596831539917865,-0.000443041773006247,0,-8.23016357421875,-7.5767822265625,-6.0333251953125,-9.74810791015625,-9.0235595703125,0,0,0,0,0,0,0,0,0,0,-0.22454833984375,-0.344970703125,-0.011627197265625,-0.2498779296875,-0.5625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,333.979352267873,0,0
0.64,-0.023004047650154,331.731223709169,-6.93454399406243e-05,-0.00915342055481352,29.7047147099125,44.5173201603442,-44.4747985538778,0.042521606466444,0.000552433469966747,0.0971572641115753,41.7023846455171,0.994628120894764,0.214525121780055,-0.00021949393620102,0.0314146525423769,399.934521234245,22.9887272588549,-0.0654787657550173,48.9504593530679,45.7625338904079,52.2558370253857,0,0.418374089027802,-0.0524342539353631,345,20,0.862994575187451,0,20,0,0,6911.16537456231,6900,0.998384444018167,0.000409629725634852,-0.141322255344051,-0.0934185409190604,0.0875292800965397,0.0709675561808787,-0.00202962140616473,0,0,-0.00264678271298446,0.0146720294769736,0.00128313616296377,-2.40336703210411,0.000864927917326341,0,-7.960693359375,-8.13238525390625,-6.435302734375,-9.8948974609375,-9.38189697265625,0,0,0,0,0,0,0,0,0,0,0.20037841796875,-0.4951171875,0.053497314453125,-0.25006103515625,-0.54327392578125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.923371145416,0,0
0.66,0.00619432111508402,331.624652791805,1.86787111963381e-05,0.0158714086641515,29.7083734343502,44.5200353189248,-44.5084439015341,0.0115914173907257,0.00053696776191823,0.0970514716129982,41.7080845251673,0.994633411318045,0.214590367718954,0.000380535544723337,0.030789292502186,400.014064769786,22.9926556434311,0.0140647697855343,48.9691463509949,45.8237414018827,52.267929341351,0,0.418856606460279,-0.052228614180215,345,20,0.862822691279558,0,20,0,0,6909.46511621652,6900,0.998630123163325,0.000409309896643339,-0.141211914341966,0.0795435355405516,0.0186869979269844,0.00365872443765625,0.025024829218965,0,0,0.00024567914515794,0.0336373307025986,0.00294234610791527,-2.06629878815469,-0.00757743218131168,0,-7.96173095703125,-8.2188720703125,-6.5634765625,-9.73931884765625,-8.86895751953125,0,0,0,0,0,0,0,0,0,0,0.07574462890625,-0.42449951171875,-0.017669677734375,-0.26483154296875,-0.52020263671875,0,0,0,0,0,0,0.1,0,-0,-0,-0,-0,0,0,1,332.636763432218,0,0
0.68,0.0771579666597928,331.435448965565,0.000232799378885417,0.005394626700879,29.6772235483828,44.4656945750607,-44.4486793713894,0.0170152036712636,0.000530226296266306,0.097204625600296,41.6639389644539,0.994623891808624,0.214700822587296,0.000129479517178668,0.0302636182559262,400.011263266445,22.9724719757542,0.0112632664449279,48.9172025209696,45.7796810309813,52.1958818194479,0,0.418468428534329,-0.0530859583587194,345,20,0.862827282360526,0,20,0,0,6898.66480646661,6900,1.00019354376113,0.000407626660254179,-0.140631197787684,-0.00280150334060636,-0.0519438300252943,-0.031149885967352,-0.0104767819632725,0,0,0.00156342059780112,0.0411846771616257,0.00361003996995973,0.296249545200267,0.000175730269933894,0,-8.49176025390625,-7.90338134765625,-6.47174072265625,-9.98736572265625,-9.5828857421875,0,0,0,0,0,0,0,0,0,0,-0.2667236328125,-0.37408447265625,-0.055694580078125,-0.2669677734375,-0.62310791015625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.62028213753,0,0
0.7,-0.0494475826138584,331.57916032104,-0.00014912753432991,0.00318403401937273,29.7081575013324,44.5340296473414,-44.4882178324854,0.0458118148560089,0.000465947802448477,0.0969341446729877,41.7081462941232,0.994638772947059,0.214273608336863,7.63408183360422e-05,0.0303828755217301,399.976472371375,22.9608263284873,-0.0235276286254589,48.9499089525676,45.8033462248364,52.2401354241217,0,0.418220750568249,-0.0527343985655314,345,20,0.862903273557914,0,20,0,0,6908.98024671032,6900,0.998700206631131,0.00040871697219047,-0.141007355405691,-0.0347908950703868,0.0327064315980508,0.0309339529495674,-0.00221059268150627,0,0,-0.00149333712999566,0.0166012960384262,0.00145333721663798,-1.81640624297138,0.00121254098436341,0,-8.18731689453125,-8.3607177734375,-7.09539794921875,-10.1317749023438,-9.51251220703125,0,0,0,0,0,0,0,0,0,0,-0.00469970703125,-0.46124267578125,-0.049713134765625,-0.30828857421875,-0.613525390625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.501225242713,0,0
0.72,16.9628209416427,331.431027326115,0.0511805460052838,-0.127487521915172,29.7195458987848,44.4442640044088,-44.6600420916242,-0.215778087215412,0.00528801470692892,0.0970954660220203,41.7236419877584,0.994652640813303,0.214346624260338,-0.00305552238111372,0.0408542243069481,399.975306651774,23.0387159990235,-0.0246933482256964,48.9527083674637,45.8018886983207,52.2777685659446,0,0.418223720516433,-0.052569047073236,345,20,0.862905463386197,0,20,0,0,6903.01333511421,6900,0.999563475402998,0.000408340085175318,-0.140877329385489,-0.00116571960023748,0.00279941489605307,0.011388397452393,-0.130671555934545,0,0,0.00086326877186782,0.155039596703395,0.0135803714391983,0.761498795136847,0.00330921887171753,0,-4.03192138671875,1.06732177734375,-4.763671875,-6.2662353515625,-4.073974609375,0,0,0,0,0,0,0,0,0,0,-0.01678466796875,0.37213134765625,0.947052001953125,0.09503173828125,-0.3348388671875,0,0,0,0,0,0,0.1,-0,0,0,0,-0,0,0,1,333.476846365889,0,0
0.74,16.9700571317305,331.349009373996,0.0512150531664219,0.0108592123824397,29.7294926124474,44.541677372285,-44.5359581143747,0.00571925791037842,0.000463709809967951,0.0969813997685515,41.7396954172908,0.994694221661055,0.21387841600746,0.000260165108390831,0.029844543112862,399.996453114145,22.9642450051825,-0.00354688585531449,48.9986735503995,45.8574599857692,52.2909527954971,0,0.418753494977528,-0.0521808610587927,345,20,0.862860433079388,0,20,0,0,6909.70021713118,6900,0.998596145009716,0.000409022505187817,-0.141112764289801,0.0211464623703819,0.0459651829358378,0.00994671366263944,0.138346734297612,0,0,-0.000967330393282118,0.0299780796412477,0.00262327394152896,-2.09582856028679,0.00138287517328234,0,-6.12139892578125,1.80023193359375,-3.8734130859375,-10.0181274414062,-6.60723876953125,0,0,0,0,0,0,0,0,0,0,0.11016845703125,0.46575927734375,1.20150756835938,0.15191650390625,-0.65093994140625,0,1,0,0,0,0,0.1,0,0.46575927734375,0,0,-0,0,0,1,332.44154179302,0,0
0.76,17.0062414953666,331.31655856653,0.051329283296149,0.00965706467411437,29.7077578453252,44.5054655035786,-44.4863384720072,0.0191270315714362,0.000721134128117051,0.0966400977825448,41.7103463062637,0.994686061336531,0.214231226323796,0.000231526839964504,0.0300016825069846,400.01931351762,22.9060845444526,0.0193135176203327,48.9616898273929,45.8241795437187,52.2465263588233,0,0.418942933375964,-0.0520833027964327,345,20,0.862810089936059,0,20,0,0,6904.14458503835,6900,0.99939969608294,0.000407825716807197,-0.140699872298455,0.0228604034756472,-0.0369837230065997,-0.0217347671221653,-0.00120214770832538,0,0,0.000803551073223607,0.0195164578466699,0.00171024635984052,-0.433157552419758,0.000891323227970475,0,-4.995361328125,1.42303466796875,-4.29901123046875,-7.97271728515625,-5.26043701171875,0,0,0,0,0,0,0,0,0,0,-0.00506591796875,0.39422607421875,1.02951049804688,0.10626220703125,-0.4744873046875,0,1,0,0,0,0,0.1,-0,0.39422607421875,0,0,-0,0,0,1,331.921226844842,0,0
0.78,17.0713118298866,331.124284112437,0.051555602077466,-7.15453150583123e-05,29.7218491504887,44.477641813007,-44.5376451017073,-0.0600032887002939,0.000513396153872535,0.0968780188241593,41.7301233944351,0.994700215915657,0.214175924909462,-1.71447647978566e-06,0.0295204253121204,399.964692724251,22.9568863698883,-0.0353072757487212,48.9825880356284,45.8157385628932,52.2790152691377,0,0.419334609761811,-0.0518362672487522,345,20,0.862928448597616,0,20,0,0,6903.13503430373,6900,0.999545853545071,0.00040843996046469,-0.140911786360334,-0.0546207933690539,0.0208982082355149,0.0140913051634399,-0.00972860998917268,0,0,0.000146157462130647,0.0130075296746081,0.00113915876559149,0.841430086349251,-0.000165815526307844,0,-4.0604248046875,1.04437255859375,-4.56280517578125,-6.3699951171875,-4.05426025390625,0,0,0,0,0,0,0,0,0,0,-0.0780029296875,0.35809326171875,0.906524658203125,0.08575439453125,-0.3189697265625,0,1,0,0,0,0,0.1,-0,0.35809326171875,0,0,-0,0,0,1,332.049641964107,0,0
