t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.148988487445938,332.034865968175,-0.000448713381383926,0.162904739210808,29.5334607777987,43.0566932143232,-42.3370009334849,0.719692280838295,0.00357534968333262,0.0313444248369912,41.7400771040122,0.999427753454979,0.139460845425436,0.00390283752482932,0.00653400409719396,400.340803599547,22.0196056769928,0.340803599546575,46.7013111025683,43.39584919151,50.0133089474336,0,0.512230931969959,0.0419163226535719,345,20,0.862080470342587,0,20,0,0,6928.59212557697,6900,0.995873313790342,0.000365183375149014,-0.125988264426439,0.952111496603322,-0.0249156509324351,-0.0730083407465543,0.185158602302271,0,0,0.00182751433145034,-6.77288818359375,-6.84381103515625,-8.64837646484375,-13.2655029296875,-7.86981201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0770197859142817,331.680820620053,0.000232210550402941,0.00778631974964576,29.2669589130027,42.4395237675859,-42.1358824907464,0.303641276839535,0.00266495119740035,0.0296179144712529,41.3655967662885,0.999437676148499,0.141554267319304,0.000188231776121536,0.00561752894128409,399.992729853969,21.6364733106907,-0.00727014603052112,46.3127403537155,43.2982071741141,49.3869308476838,0,0.517128989001487,0.0463986198997787,345,20,0.862821624521601,0,20,0,0,6859.37575740589,6900,1.00592244017982,0.000354715853426057,-0.122376969432025,-0.348073745577096,-0.388570748852857,-0.266501864795991,-0.155118419461162,0,0,0.0100491263894734,-6.652099609375,-6.90283203125,-7.85870361328125,-13.2574462890625,-8.5079345703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0502332234015647,331.816454538155,-0.000151388584606157,0.0329002895325232,29.5761970868378,43.2486527608755,-42.7780712239605,0.470581536915013,0.00190025763123794,0.0322527552500999,41.7995595650392,0.999436100346106,0.140358771150958,0.00078709655974559,0.00809112234273179,399.772182278145,22.0354634366907,-0.22781772185516,46.7413395495111,43.5659670163888,49.8751892236824,0,0.517600267707507,0.0473663492177489,345,20,0.863309840062486,0,20,0,0,6933.77746707994,6900,0.995128561993761,0.000368865924568418,-0.127258743976085,-0.220547575824639,0.428599195795663,0.309238173835119,0.0251139697828774,0,0,-0.0107938781860543,-6.89031982421875,-6.988525390625,-8.12603759765625,-12.7841186523438,-8.59539794921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00823001295327103,331.656172927732,-2.48148945355657e-05,0.075931895984988,29.4964206021051,43.0785144487723,-42.3322650762148,0.746249372557436,0.00227181902478888,0.0319099772511354,41.6868128022374,0.999371519756132,0.139574305870262,0.00182148480252519,0.00546453009596659,400.203091614364,21.7178336032113,0.203091614363871,46.6033148963547,43.4818751370753,49.7915971719017,0,0.512580931960643,0.0416405780859834,345,20,0.862375490742988,0,20,0,0,6911.87581159039,6900,0.998281825091464,0.000363297182023326,-0.125337527798024,0.430909336219031,-0.138024653156421,-0.0797764847327187,0.0430316064524649,0,0,0.00315326309770314,-7.61688232421875,-7.73382568359375,-8.78045654296875,-12.8189086914062,-8.68194580078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0779571852416679,331.492990794318,0.000235169935433229,0.0547033740914611,29.3706772073383,42.7798024316361,-42.4402558108744,0.339546620761723,0.00305916211953049,0.0304707033210463,41.5114486800422,0.999443309063895,0.137759796870329,0.00131779005144095,0.00636537756511313,400.067949237568,21.5971108700666,0.0679492375680866,46.3295580734799,43.3180206196231,49.3857148787017,0,0.516966772944172,0.0455564134051505,345,20,0.862662407382518,0,20,0,0,6879.69426529089,6900,1.00295154609,0.000358203495267606,-0.123580205867313,-0.135142376795784,-0.273756822874823,-0.12574339476685,-0.021228521893527,0,0,0.00466972099853546,-7.1085205078125,-7.41827392578125,-7.882568359375,-12.9485473632812,-9.01824951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0735885364515563,331.661138152051,-0.000221878682747025,0.0659197764968134,29.5135113339591,43.1002551074985,-42.4553962177359,0.644858889762645,0.00213671045272271,0.0314113364944422,41.711755300428,0.999384992333776,0.137348760774631,0.00158036448051701,0.0053869446652195,399.880775621912,21.7646018299626,-0.119224378088404,46.499593015978,43.4266064358722,49.5720510817703,0,0.516195451892918,0.0457802914265698,345,20,0.863072036274591,0,20,0,0,6916.11691633542,6900,0.997669658201215,0.000364971834974526,-0.125915283066206,-0.187173615656491,0.170034942498134,0.142834126620826,0.0112164024053523,0,0,-0.00528188788878425,-7.31317138671875,-7.721435546875,-8.74127197265625,-12.3955688476562,-8.64227294921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,17.0501923224273,331.403085711647,0.0514485020132328,-3.90971090229822,31.0202942706871,40.0265928406092,-49.1600367166663,-9.13344387605704,0.0274301145460407,0.031205227832108,43.4654445181527,0.998819970671322,0.174641732024989,-0.0899498658219265,0.00881823710645868,398.359709612062,30.6028473982603,-1.64029038793808,48.3614263971514,43.5676477648402,53.500406448134,0,0.516314827862017,0.047714052194806,345,20,0.866455227876415,0,20,0,0,7134.34055599866,6900,0.967153158142749,0.000466240488990133,-0.16085296870159,-1.52106600984968,1.86183338117333,1.50678293672805,-3.97563067879504,0,0,-0.0305165000584664,-22.2071533203125,60.4248046875,-25.546630859375,-30.5355834960938,-7.83837890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,16.9756330770527,331.454282868183,0.0512156093750153,-3.19236285577361,29.3185414162067,38.8867205532365,-45.5353092881893,-6.6485887349528,0.010843013559755,0.0289297478689251,41.1821812152139,0.999053956264762,0.172126317257679,-0.0775180614909796,-0.0028013678623946,402.320311997061,26.4315002050598,2.3203119970608,45.993717743618,41.578373345878,49.290511514882,0,0.519795914279991,0.046285285707248,345,20,0.857849902345072,0,20,0,0,6770.5507797462,6900,1.01911945194194,0.000378087994543863,-0.130440358117653,3.96060238499888,-2.36770865353336,-1.70175285448044,0.717348046524613,0,0,0.0519662937991886,-24.2398681640625,60.9636840820312,-28.0695190429688,-31.4395751953125,-16.4686279296875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.76,17.0015941315086,331.374288722848,0.0513063164828949,-3.98929493921397,29.2744771182076,36.6725042886245,-47.085315083213,-10.4128107945886,0.0379095324360993,0.0286146181783916,40.9545946205554,0.998943052050995,0.174807720390909,-0.0974077506119841,-0.00379670817384659,398.924910283724,29.6992327909244,-1.07508971627595,45.5514176054006,41.3101736873395,50.8104461170411,0,0.515508270933295,0.0463243417711679,345,20,0.865196933847843,0,20,0,0,6717.11016752052,6900,1.02722745762959,0.00043075134204007,-0.148609213003795,-3.39540171333675,-0.442300138217412,-0.0440642979991281,-0.796932083440355,0,0,0.00810800568765613,-26.1304931640625,59.86572265625,-29.037841796875,-34.356689453125,-17.8510131835938,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.78,17.0678678735476,331.181533967553,0.0515362908948293,-3.50855676901091,30.4028167644424,39.9108498368543,-47.9274728273743,-8.01662299052,0.0214163768285606,0.0312279485664417,42.6679209316529,0.998955538196214,0.168378153483619,-0.0822293819900682,-0.00594338328705968,399.709599294632,28.4012011851667,-0.290400705368313,47.2848880881383,43.6083641209898,51.7386951873061,0,0.517458579425072,0.0468120916576655,345,20,0.86349358858462,0,20,0,0,7004.77280042218,6900,0.98504265542833,0.000425148656933327,-0.146676286641991,0.784689010907641,1.73347048273772,1.12833964623485,0.480738170203058,0,0,-0.0421848022012635,-25.198486328125,62.8466186523438,-29.4445190429688,-33.1950073242188,-15.0956420898438,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
