t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.147039465260177,332.029228662437,-0.000442850967827496,0.161835235586413,29.4687132818341,43.369222755148,-42.2451993518039,1.12402340334412,0.00194679632718333,0.0317568401933844,41.6457268415116,0.999308416340367,0.139753600718786,0.00388599858521617,0.00411604740077953,400.179581887498,21.8275137614875,0.179581887498159,46.540995724725,43.4309611709163,49.7363524819432,0,0.51204430387235,0.0419591669691014,345,20,0.862426248284117,0,20,0,0,6912.78764882327,6900,0.998150145864028,0.000363407093163737,-0.125375447141494,0.525988743447556,-0.0643580628095606,-0.128462642560919,0.0795330143559789,0,0,0.00374270140156086,-7.2725830078125,-6.9857177734375,-9.30120849609375,-13.361083984375,-7.722900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0813905662119529,331.677194988606,0.000245390902485017,0.0860668157647209,29.3618643983105,43.3243044446188,-42.420684128221,0.903620316397777,0.00230912689739141,0.0325479274054818,41.4948286406662,0.999379665089464,0.140244822400772,0.00207415763805259,0.005359915273488,399.970716791981,21.6144026129298,-0.0292832080193079,46.3869161194608,43.3853975175862,49.4448851885575,0,0.517454474338251,0.0467592195376119,345,20,0.862873659765031,0,20,0,0,6880.6125427984,6900,1.00281769349473,0.000359988977214343,-0.124196197138986,-0.208865095517467,-0.154079605264151,-0.106848883523686,-0.0757684198216923,0,0,0.00466754763070132,-7.00152587890625,-7.11785888671875,-8.6693115234375,-13.1367797851562,-8.31573486328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0526477814978769,331.816587371849,-0.00015866530939539,0.120691765514849,29.5200204481886,43.5527687022228,-42.3837238530573,1.16904484916549,0.00326401580568597,0.0348530068937189,41.7135417202656,0.999322231263472,0.138779431592014,0.00289334735286249,0.00687737857388449,399.938097993736,21.9247045429628,-0.0619020062637219,46.5573585577402,43.5367036548501,49.677412817672,0,0.517349649606684,0.046873723907123,345,20,0.862950380079063,0,20,0,0,6919.60708954159,6900,0.997166444671226,0.000367343976208856,-0.126733671792067,-0.0326187982444139,0.170442438279345,0.158156049878187,0.0346249497501285,0,0,-0.00565124882350365,-7.15667724609375,-7.06378173828125,-8.82904052734375,-12.6839599609375,-8.27178955078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,0.00064543520264067,331.64501903883,1.94616281140378e-06,0.111188813280528,29.4856292058543,43.3290643919294,-42.6409996217862,0.688064770143193,0.00307475370890861,0.0330481996729182,41.6686565197148,0.99933145102916,0.139360847295522,0.00266840408516462,0.00636159947083481,400.018163400506,21.6843615040482,0.0181634005057276,46.5367825355546,43.5361009964858,49.6462163637282,0,0.512342245184879,0.0415995115326623,345,20,0.862775355480159,0,20,0,0,6908.55880174462,6900,0.99876113065109,0.000364675728671271,-0.12581312639162,0.0800654067694495,-0.0205760221855726,-0.034391242334376,-0.00950295223432106,0,0,0.00159468597986456,-7.77032470703125,-7.9501953125,-8.99383544921875,-13.2166748046875,-8.47821044921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0721903223954496,331.500113967364,0.000217768620141581,0.127218680491548,29.4548209683258,43.3172302474151,-42.1438430265863,1.17338722082879,0.00439012184365355,0.0311337976689302,41.6276434468308,0.999377454315849,0.135701785735136,0.00305611055437329,0.0052505032418928,400.135475206834,21.744594601373,0.135475206834371,46.3617319660939,43.3556905219064,49.5246087993362,0,0.512451134383106,0.0409780180792431,345,20,0.862519543046738,0,20,0,0,6899.1048144161,6900,1.00012975387503,0.000361354296197547,-0.124667232188187,0.117311806328644,-0.175050569460723,-0.0308082375285075,0.0160298672110193,0,0,0.00136862322393827,-7.94036865234375,-7.4730224609375,-8.23040771484375,-12.8192138671875,-8.54913330078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0711062235622322,331.657726185602,-0.00021439640312326,0.0876800398811844,29.4358586693053,43.4521778921101,-42.3797709909645,1.07240690114563,0.00250502641347913,0.0314418591871887,41.6003132094908,0.999375030182558,0.136668962155767,0.0021076773975149,0.00628018769331629,399.925204280589,21.5584178535354,-0.0747957194110995,46.3452385036419,43.315097856477,49.4059094866683,0,0.516395917128682,0.0458993453297166,345,20,0.862973300453953,0,20,0,0,6897.57920464223,6900,1.00035096303876,0.000361662239829919,-0.12477347274131,-0.210270926245471,-0.0164934624519901,-0.0189622990204512,-0.0395386406103633,0,0,0.000221209163734359,-7.45166015625,-8.19482421875,-9.7872314453125,-12.1897583007812,-8.8099365234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,17.0423280169942,331.408080911591,0.0514239965727948,-3.82416031690741,31.01354754054,40.1815490590809,-48.6893696785051,-8.50782061942423,0.0286279911914517,0.0322538702373054,43.4655945792605,0.998626399072793,0.174703624485807,-0.0879813184180413,0.00512749311446914,398.187005489798,30.5892493390735,-1.81299451020163,48.4034055797554,43.4810075348253,53.6044156109347,0,0.515649501214317,0.0473239827748032,345,20,0.866830956446373,0,20,0,0,7136.14370710988,6900,0.966908779194762,0.000466153081851939,-0.160822813238894,-1.73819879079053,2.05816707611346,1.57768887123467,-3.9118403567886,0,0,-0.0334421838440008,-22.2689208984375,60.7959594726562,-25.069580078125,-30.871337890625,-7.95355224609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,16.9771765365841,331.453286079983,0.0512204200397861,-2.85103389727331,29.2906479072125,39.1308474832533,-45.1360890361658,-6.00524155291249,0.0108307943260765,0.0292518193391578,41.1893429911495,0.998745602196749,0.168855997529647,-0.0692177561046779,-0.00969965192861189,402.460796588151,25.891637131527,2.46079658815114,46.0249588265267,41.5367945005141,49.1523398307739,0,0.52029101561139,0.0466053727653057,345,20,0.857544113919527,0,20,0,0,6777.17319883815,6900,1.01812360368522,0.000370687529081426,-0.127887197533084,4.27379109835277,-2.37844675322869,-1.72289963332749,0.973126419634099,0,0,0.0512148244904599,-23.5484008789062,61.2877197265625,-26.8930053710938,-32.0228881835938,-16.676025390625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.76,16.9952523537805,331.379306322788,0.0512864021063096,-3.75982138702845,29.2273249529794,37.4560647419881,-46.6912716841011,-9.23520694211304,0.037271708688188,0.0294016625335339,40.9282284509297,0.99872422943401,0.171608434409003,-0.0918637705400864,-0.00844434788995763,398.922616226185,29.3844785432917,-1.07738377381526,45.4824347130867,41.2736019501718,50.6623217406406,0,0.51521077853215,0.046084170374849,345,20,0.865196164234387,0,20,0,0,6716.62681195972,6900,1.02730138106136,0.00042410836301876,-0.146317385241446,-3.5381803619664,-0.542524113439924,-0.0633229542330476,-0.908787489755134,0,0,0.00917777737614034,-25.7017211914062,60.309814453125,-27.9071044921875,-34.7196044921875,-17.4906616210938,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.78,17.0750672649544,331.171392314426,0.0515596082911132,-3.2290754124036,30.3912391000189,40.8760697865464,-47.1091765667484,-6.23310678020202,0.0183438407622022,0.0310730915140228,42.6967970344195,0.998791142698146,0.162544537493326,-0.0756280479259492,-0.00909639540959395,399.769487907006,27.9732676256242,-0.230512092994161,47.1788241110691,43.4733996002636,51.4988907888867,0,0.517862510535145,0.0470688310462394,345,20,0.863358819371777,0,20,0,0,7013.84897173229,6900,0.983767975017549,0.000418878551456281,-0.144513100252425,0.846871680821096,1.69638939798239,1.16391414703948,0.530745974624848,0,0,-0.0435334060438132,-24.5499877929688,63.5501708984375,-27.7398071289062,-32.9990234375,-14.7503662109375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
