t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.152040309270354,332.038317788138,-0.000457899890239072,0.0133970340531529,29.4196189213566,42.4891494466572,-42.4863057176529,0.00284372900436836,0.000300216284606605,0.0288922927193861,41.5833469614538,0.999476052087764,0.141392658511096,0.000322173058016986,0.00708174681423746,400.074235354074,21.4757941681272,0.074235354074176,46.5837179348039,43.5976177595702,49.6543041671144,0,0.511854616241242,0.0419547672404411,345,20,0.862650440117955,0,20,0,0,6902.6154210933,6900,0.999621097086576,0.000360044081294086,-0.124215208046451,0.166360031677812,-0.0706567759713082,-0.0835153105314674,0.0190690827311315,0,0,0.00221358583252229,-6.8966064453125,-7.64141845703125,-10.3590698242188,-13.6778564453125,-8.15264892578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0777638642090722,331.683608833824,0.000234451935935225,-0.0227810276678398,29.4289009057337,42.392477954663,-42.5243624019054,-0.131884447242442,0.000860122195550943,0.0292147844222662,41.5963340355889,0.999468191037454,0.141654113195912,-0.000547669120272687,0.00638096693128842,399.94652595198,21.5334463534656,-0.0534740480198366,46.5892783283682,43.5671829549096,49.6720266812604,0,0.512576582057788,0.0418801973657492,345,20,0.862926549447212,0,20,0,0,6897.62286549986,6900,1.00034463097599,0.000360798849687205,-0.124475603142059,-0.127709402094013,0.00556039356435178,0.00928198437711458,-0.0361780617209927,0,0,0.000723533889412931,-7.24163818359375,-7.16473388671875,-8.5465087890625,-13.736328125,-8.852783203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0446664098275014,331.812939396487,-0.000134613224875263,0.00557972783139238,29.4645193651423,42.4541467179767,-42.7053983557354,-0.251251637758656,0.000610261466561001,0.0293852137962573,41.6462871465169,0.999487843529022,0.141793547122841,0.000133978998218069,0.00855974745372023,399.973451757961,21.5402028093595,-0.0265482420387002,46.6641080814627,43.6630531360419,49.7261856529308,0,0.512748922107511,0.0422463600888147,345,20,0.862869392416724,0,20,0,0,6908.3782534282,6900,0.99878723296252,0.000361882032498428,-0.124849301211952,0.0269258059811364,0.0748297530944413,0.0356184594086031,0.0283607554992322,0,0,-0.00155739801346955,-7.07391357421875,-7.70721435546875,-9.28570556640625,-13.6048583984375,-8.70806884765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00387182860146353,331.650763245499,-1.16744148681409e-05,-0.0152983575474472,29.4959763576025,42.4686556229883,-42.6030190726314,-0.134363449643125,0.00151121480894043,0.028819400917521,41.6911214010448,0.99944772188746,0.140921201841601,-0.000366945215991812,0.00677077744190457,400.009850418952,21.6073649882664,0.00985041895216909,46.6664026154263,43.6858102750106,49.7202393175744,0,0.512213109151847,0.0415627070931286,345,20,0.862791197781006,0,20,0,0,6912.5089963327,6900,0.99819038263251,0.00036225497730058,-0.124977967168718,0.0363986609908693,0.00229453396359247,0.0314569924601891,-0.0208780853788396,0,0,-0.00059685033000989,-7.18414306640625,-7.93310546875,-8.73980712890625,-13.3928833007812,-8.79339599609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0734277948136787,331.501129376698,0.000221500888855916,0.026742959661615,29.4376893759171,42.6265425358704,-42.4161155697448,0.210426966125546,0.001507255315522,0.0285390712931214,41.6095627682121,0.999486948880678,0.137984560838224,0.00064271186435166,0.00644820449064154,400.148206181071,21.5313797281285,0.148206181070634,46.4770292839962,43.4753985228612,49.5847782073269,0,0.512316746818515,0.040846242050181,345,20,0.862489914791781,0,20,0,0,6896.2451004857,6900,1.00054448463759,0.000358818125204996,-0.123792253195688,0.138355762118465,-0.189373331430076,-0.0582869816853915,0.0420413172090622,0,0,0.00235410200508424,-7.445556640625,-7.59869384765625,-8.2125244140625,-13.3078002929688,-9.01971435546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0761311426547231,331.665419069529,-0.000229541997077371,-0.011386734090974,29.4450882124809,42.3317129124601,-42.5400293899342,-0.208316477474085,0.0015121789340742,0.0288136054428635,41.619470201747,0.999468449941735,0.138523992130848,-0.000273591519444572,0.00673277553911689,399.911368164732,21.5348263704064,-0.0886318352681883,46.4753788130359,43.4252188156046,49.5768221015716,0,0.516276713427476,0.0458308162203387,345,20,0.863002085148503,0,20,0,0,6900.94878917304,6900,0.99986251322796,0.000360419132620304,-0.124344600754,-0.236838016338822,-0.00165047096031401,0.00739883656377316,-0.038129693752589,0,0,-0.00068197140963433,-6.604736328125,-7.98419189453125,-8.5452880859375,-12.9234008789062,-8.74322509765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,17.0487776637315,331.40896962324,0.0514433199653989,-4.25909952745504,31.3203259006559,39.5344236260811,-50.2307950618376,-10.6963714357566,0.0339015799190898,0.0315063593375726,43.82011550587,0.998945084069933,0.174655876815903,-0.0971950776096084,0.0144263562969327,398.432851626583,31.6365880904621,-1.56714837341661,48.4262640161279,43.5957510995365,53.6716149620808,0,0.510592995509034,0.0417839440488171,345,20,0.866314821236052,0,20,0,0,7186.86153223313,6900,0.960085284661941,0.000487781540446264,-0.168284631453957,-1.47851653814843,1.95088520309202,1.87523768817498,-4.24771279336407,0,0,-0.0397772285660182,-22.4851684570312,60.07275390625,-26.2311401367188,-30.1466064453125,-7.7900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,16.9832571654797,331.442396377915,0.0512404488715896,-3.80725223203805,29.1314866158695,36.8122510872968,-46.3818153786157,-9.56956429131884,0.028299315683219,0.0263575526351738,40.8010486923581,0.999062607219319,0.187885763601481,-0.0933126072504881,0.00550621047481847,401.942553933845,28.7427867824027,1.94255393384492,45.9793972327109,42.126182595041,49.8238123968043,0,0.519386381991976,0.0463610221553153,345,20,0.858677654206206,0,20,0,0,6696.54982853562,6900,1.03038134213493,0.00040315750018971,-0.139089337565451,3.50970230726153,-2.44686678341701,-2.18883928478633,0.451847295416988,0,0,0.0702960574729934,-25.509033203125,59.9969482421875,-29.6760864257812,-31.4625854492188,-17.9287109375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.76,16.9942173161648,331.384775175861,0.0512824323541908,-4.37591314544925,29.7041088094509,36.5514747061048,-48.3124219783699,-11.7609472722652,0.0470625948044154,0.0290684855731675,41.4738560466421,0.998942382346995,0.181655519390929,-0.105510158990956,0.00422931517853531,398.972401977405,29.6944247464284,-1.02759802259493,46.1460673625729,41.8579681433012,51.5515793556005,0,0.515130568338143,0.0458242250721463,345,20,0.865111602804057,0,20,0,0,6796.72305760748,6900,1.01519510821865,0.000451171447122922,-0.155654149257373,-2.97015195643985,0.166670129862048,0.572622193581388,-0.568660913411195,0,0,-0.0151862339162883,-27.0430908203125,59.6752319335938,-31.6839599609375,-33.5836791992188,-17.65087890625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.78,17.0759231912943,331.17127126755,0.051562211679584,-3.92728149911412,30.163425263681,38.2504191230033,-48.1555673927545,-9.90514826975122,0.0319656082703575,0.0274213012916658,42.2465074330892,0.999122039227523,0.177991300167598,-0.0929610928272406,0.0055490165438945,400.067794032951,28.8433473655956,0.0677940329509852,47.0608787918937,43.4343135077273,51.6440879640945,0,0.517996590945655,0.046849922660922,345,20,0.862723893555786,0,20,0,0,6927.73305274942,6900,0.995996806958604,0.000429115809801983,-0.148044954381646,1.09539205554591,0.914811429320828,0.459316454230066,0.448631646335132,0,0,-0.0191983012600425,-26.2149658203125,61.7052001953125,-31.2835693359375,-32.7144165039062,-15.9586181640625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
