t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.148052376514906,332.013020248284,-0.000445923405064628,0.0320546901567476,29.5379897031661,43.6942614378087,-43.5705332757069,0.12372816210182,0.000966412718338734,0.0565362735516841,41.6965579083422,0.998899496035808,0.144145139982438,0.000768761062416964,0.00903103534037708,400.037776260101,22.29650849133,0.0377762601012819,46.6888350259728,43.5903543926258,49.8986397355266,0,0.51699852586422,0.0469689643692121,345,20,0.862747752045964,0,20,0,0,6919.95719925114,6900,0.997115993831103,0.000381716527155129,-0.131692201868532,0.288766532769614,0.145511197426266,0.0431623665781373,0.0748137708293566,0,0,-0.00207180149488251,0.12522057962147,0.0113404138377754,-2.17903473942442,0.0002386776453569,0,-7.15008544921875,-7.03802490234375,-4.71826171875,-10.6626586914062,-10.3555297851562,0,0,0,0,0,0,0,0,0,0,0.52703857421875,-0.43817138671875,0.506683349609375,-0.1142578125,-0.341796875,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.748159486924,0,0
0.62,0.0796131474683085,331.661081070833,0.000240043683181824,-0.00241229304996079,29.4418326360754,43.4169494784594,-43.4721464293816,-0.0551969509221664,0.000424715087722432,0.0572590567397926,41.5597823011828,0.998881179106252,0.144597100059132,-5.80439289233749e-05,0.0077277815205985,400.047313255129,22.1244989200081,0.0473132551286994,46.5429928913881,43.510682348057,49.6939256443467,0,0.517757786223452,0.0468047495920603,345,20,0.862723578145008,0,20,0,0,6890.23104971975,6900,1.00141779719864,0.000377534836990323,-0.130249518761673,0.00953699502741756,-0.145842134584711,-0.0961570670906617,-0.0344669832067084,0,0,0.0043018033675335,0.0736822759540225,0.00670952047025933,0.546727409774709,0.000452669278077966,0,-8.205810546875,-7.0015869140625,-6.04754638671875,-12.6467895507812,-10.8495483398438,0,0,0,0,0,0,0,0,0,0,-0.06085205078125,-0.4774169921875,0.505706787109375,-0.2333984375,-0.47509765625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.726330086352,0,0
0.64,-0.0479166419623013,331.792220680845,-0.000144417617338873,-0.0183687771229607,29.5206778811868,43.5257083045978,-43.7729644772105,-0.247256172612659,0.00146858266520879,0.0570855555058447,41.6708469184616,0.998874772533823,0.144559895294596,-0.000440806426586513,0.0100917544439567,399.905560975621,22.1923559863133,-0.0944390243790281,46.6487605530692,43.5364314131567,49.8621272371909,0,0.517577594577058,0.0470713768210994,345,20,0.863032592580934,0,20,0,0,6911.04089970806,6900,0.998402425934343,0.000381255293689486,-0.13153307632291,-0.141752279507728,0.105767661681078,0.0788452451113919,-0.0159564840729999,0,0,-0.00301537126429341,0.0254675241488807,0.00230841102885946,2.28168117902084,3.02178876206982e-05,0,-8.1259765625,-8.1717529296875,-5.92095947265625,-12.8964233398438,-10.0150146484375,0,0,0,0,0,0,0,0,0,0,0.03173828125,-0.48089599609375,0.377410888671875,-0.3262939453125,-0.2054443359375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.794251177053,0,0
0.66,-0.0042855237002415,331.632991484748,-1.29224890474704e-05,-0.0130325357208696,29.5507810229627,43.6878383594034,-43.6489022174693,0.0389361419341228,0.00102288159676242,0.0570226216794357,41.7132644883658,0.998851020875356,0.144007839947342,-0.000312431450300528,0.00909355403748302,400.027843659902,22.2401866645418,0.0278436599019756,46.6789537006993,43.6088319603431,49.8548199911469,0,0.517971377873812,0.0471753576071946,345,20,0.862769071900387,0,20,0,0,6914.78353750712,6900,0.997862039002822,0.000381598286280482,-0.131651408766743,0.122282684281004,0.0301931476300652,0.0301031417758324,0.00533624140209103,0,0,-0.000540386931521142,0.0364220223092967,0.00329884644663124,-2.80831023832518,0.010308103848813,0,-7.536865234375,-7.92730712890625,-4.781494140625,-10.37109375,-10.5787353515625,0,0,0,0,0,0,0,0,0,0,0.6185302734375,-0.41558837890625,0.391021728515625,-0.02056884765625,-0.3089599609375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.309059255602,0,0
0.68,0.0732768685838532,331.479237871312,0.00022106020592548,0.0219332847024553,29.4646067512078,43.4834244347834,-43.5740530133073,-0.0906285785239263,0.000566337639565141,0.0563021727218927,41.5943901892038,0.998920710706564,0.141694416324142,0.00052731352960545,0.00825764239961924,400.133115018179,22.0932349964342,0.133115018178842,46.4744348182865,43.4352769527003,49.6638921631744,0,0.517377415533288,0.0457818328524134,345,20,0.862537940848065,0,20,0,0,6892.37432671854,6900,1.00110639279296,0.000376791573628354,-0.129993092901771,0.105271358276866,-0.204518882412742,-0.0861742717548886,0.034965820423325,0,0,0.00324435379013743,0.0674222175285529,0.00614410192332741,0.00711741544595812,0.000329236700496893,0,-8.36468505859375,-7.0211181640625,-5.9632568359375,-12.5744018554688,-11.14111328125,0,0,0,0,0,0,0,0,0,0,-0.03509521484375,-0.49884033203125,0.500518798828125,-0.23211669921875,-0.56524658203125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.108009398906,0,0
0.7,-0.0745491943774663,331.641011506345,-0.000224788828253951,-0.0146127350382619,29.494217284104,43.4317098315275,-43.5618442746398,-0.130134443112283,0.00118135498932856,0.0565089339919275,41.6354875472375,0.998914436466101,0.141712475763307,-0.000350968270076891,0.00831098226083604,399.914997388033,22.1036714649182,-0.0850026119668428,46.4947426762823,43.3974858338581,49.6960098001202,0,0.516711866993863,0.0461215728160003,345,20,0.863010244504205,0,20,0,0,6902.1977232255,6900,0.999681590804316,0.000378955584768415,-0.130739676745065,-0.218117630145684,0.0203078579957747,0.0296105328962497,-0.0365460197407172,0,0,-0.00142480198864348,0.0497836872309593,0.00452609461729835,1.11542200297792,-9.52453186781055e-05,0,-8.17578125,-7.51080322265625,-6.10638427734375,-12.678466796875,-10.6158447265625,0,0,0,0,0,0,0,0,0,0,-0.0718994140625,-0.48223876953125,0.429107666015625,-0.23406982421875,-0.3975830078125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.690201335942,0,0
0.72,17.0453755999124,331.392307938451,0.0514356404526993,-4.06231159390018,31.1658873180542,40.4943065020208,-50.6591354798732,-10.1648289778524,0.0297724190996999,0.0573164501810656,43.5943864278949,0.998745191415483,0.174047767801706,-0.0931842818941664,0.0189975999207594,398.464123284902,31.367059407148,-1.53587671509848,48.339418690566,43.5542147069131,53.6020167167982,0,0.51651820332631,0.0475592702352932,345,20,0.866251458803157,0,20,0,0,7151.16611910989,6900,0.96487759969123,0.000493124858744309,-0.170128076266792,-1.45087410313164,1.84467601428373,1.67167003395019,-4.04769885886192,0,0,-0.0348039911130862,3.81939008274721,0.3217044366739,2.01006833619719,-0.0168512485645884,0,-3.14923095703125,2.60552978515625,-2.4625244140625,-5.46942138671875,-1.75885009765625,0,0,0,0,0,0,0,0,0,0,0.56463623046875,0.42181396484375,1.23837280273438,0.097900390625,-0.1895751953125,0,0,0,0,0,0,0.1,0,0,0,0,-0,0,0,1,332.096360057501,0,0
0.74,16.9812132353166,331.41957773959,0.051237809640381,-3.61766220189158,29.3791739342639,38.633414371863,-47.395241759554,-8.76182738769106,0.0223916095669759,0.0528020607257991,41.1505258348151,0.998749484013736,0.183193650914602,-0.0879129033833847,0.0076806583308282,401.912582074389,28.0628030336701,1.91258207438887,46.1836958514155,41.9935781659639,49.9920847097224,0,0.518520289533313,0.0453479408873176,345,20,0.858749020507185,0,20,0,0,6756.20903852242,6900,1.02128278753036,0.000411699089550632,-0.142036185894995,3.44845878948735,-2.15572283915052,-1.78671338379032,0.444649392008598,0,0,0.0564051878391315,4.28912926038969,0.401604729868521,1.46168203409364,-0.0028323479856267,0,-3.2767333984375,2.12872314453125,-2.86602783203125,-5.774658203125,-1.9146728515625,0,0,0,0,0,0,0,0,0,0,0.896728515625,0.41790771484375,1.37362670898438,-0.1741943359375,-0.27001953125,0,1,0,0,1,0,0.1,0,0.41790771484375,0,-0,-0.27001953125,0,0,1,332.589739362364,0,0
0.76,16.9936536500708,331.367450212099,0.051283412535521,-4.25358086994091,29.516224204199,37.4915564616996,-48.5707833248198,-11.0792268631203,0.0408322739907591,0.0549646499581071,41.1977757657999,0.998751984063344,0.180759320130851,-0.103247828089593,0.00609165223049146,399.205901203968,30.0726059788304,-0.794098796031903,45.8471186829273,41.7392243936645,51.1682567186473,0,0.515816613833827,0.046077306358551,345,20,0.864609592982747,0,20,0,0,6751.90084643458,6900,1.02193443845427,0.000455802192097732,-0.157251756273752,-2.70668087042077,-0.336577168488255,0.137050269935141,-0.635918668049329,0,0,0.000651650923903624,5.2735012849456,0.487702675911334,1.50384412179913,-0.00288452013836027,0,-3.0037841796875,2.0087890625,-2.53070068359375,-5.34820556640625,-1.40106201171875,0,0,0,0,0,0,0,0,0,0,0.81976318359375,0.42095947265625,1.12930297851562,-0.14892578125,-0.1865234375,0,1,0,0,1,0,0.1,0,0.42095947265625,0,-0,-0.1865234375,0,0,1,333.671090922046,0,0
0.78,17.0754378732294,331.151010253078,0.0515639008927671,-3.92513550772565,30.2742375203456,39.360301639011,-49.2151177603265,-9.85481612131544,0.0306226885075838,0.0547269770654749,42.3585512558376,0.998809592162476,0.178461543262065,-0.0926645362354009,0.00637157563060775,399.682642506829,29.4019594518886,-0.317357493170562,47.1756291470745,43.4392219594366,51.9873665672147,0,0.517474278224651,0.0466779321395019,345,20,0.86357315636511,0,20,0,0,6945.05136993072,6900,0.993513169661239,0.000449858359335309,-0.155201133970706,0.476741302861342,1.32851046414728,0.758013316146588,0.328445362215261,0,0,-0.0284212687930262,4.09531886193712,0.363958421252743,1.71669704035586,-0.0044049438752104,0,-3.31048583984375,1.9422607421875,-2.4813232421875,-5.57659912109375,-1.7066650390625,0,0,0,0,0,0,0,0,0,0,0.79486083984375,0.404541015625,1.22286987304688,-0.12481689453125,-0.24578857421875,0,1,0,0,1,0,0.1,0,0.404541015625,0,-0,-0.24578857421875,0,0,1,334.759603396655,0,0
