t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.165413957865005,332.061228958834,-0.00049814294304594,-0.0873461544259942,29.3253272448194,41.947162908106,-42.3713813100101,-0.424218401904056,0.00267864204923532,0.0191018804237471,41.4560113683872,0.999441007961661,0.152300464514143,-0.00210695992071734,0.00616212819143813,399.817711932703,21.2669999287225,-0.182288067296952,46.856086861835,43.7625609502079,50.0038941751302,0,0.516781302340695,0.0471452617171109,345.000157369354,20.0003147387077,0.863195910670887,0,20,0.00427516822730922,0.00855033645454029,6883.10256804531,6900.11173618308,1.00247114843483,0.000350308781501996,-0.120856584746093,0.170730718632115,0.278777909915732,-0.187662977094792,0.0423387390358058,0.000157369354042203,0.000314738707693607,0.00536178151349753,0.256514593169117,0.0242602467251128,1.045940076824,4.1620538635101e-05,0,-8.0667724609375,-7.78466796875,-6.02142333984375,-12.7214965820312,-10.2654418945312,0,0,0,0,0,0,0,0,0,0,-0.04779052734375,-0.51422119140625,0.426666259765625,-0.3385009765625,-0.36334228515625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000553122553637247,1,333.855915423458,1,1
0.62,0.0862805688909238,331.676232159619,0.000260134916298137,0.0796908029336242,29.577192327138,42.6465074943948,-42.5524909006506,0.094016593744108,0.00165908312128507,0.0198981644818988,41.8120779441308,0.99946855779202,0.147566563976821,0.00190592782879882,0.00759123118784855,400.037161718141,21.8293410129489,0.0371617181411352,47.1070724637052,43.9966200621584,50.244873452098,0,0.517831808359925,0.0469164019129319,345.000000306688,20.000000613375,0.862730019550268,0,20,0.00425516902640766,0.00851033805288992,6934.11749135091,6900.00022221843,0.995079796502578,0.000359617516312305,-0.124068043238026,0.219449785438087,0.250985601870148,0.251865082318638,0.167036957359618,-0.000157062666517049,-0.000314125332668169,-0.00739135193224782,0.292529691832452,0.0272951673179301,-2.20818412818341,-0.000554321224105037,0,-7.4583740234375,-7.83050537109375,-4.9859619140625,-10.6734619140625,-10.2001953125,0,0,0,0,0,0,0,0,0,0,0.4857177734375,-0.43017578125,0.451995849609375,-0.0714111328125,-0.337890625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,1,-0.000550841326206946,1,332.84484057125,1,1
0.64,-0.0310472473033921,331.803058493648,-9.35713113807433e-05,0.00315670541228647,29.3500480545137,42.3387285955155,-42.1887378840885,0.149990711427023,0.00173948357740077,0.0190677966672698,41.4911614588129,0.99938546888235,0.148703796767288,7.60813942366987e-05,0.00526426637859601,400.141482826366,21.3175165891079,0.1414828263662,46.7590250757605,43.7616801450739,49.7782636935443,0,0.51805476547092,0.0473355433911557,344.999997762465,19.9999955249295,0.862496244153404,0,20,0.00420055849093615,0.00840111698179058,6883.62858488807,6899.99841575088,1.00237808165576,0.000349357408787609,-0.120528305250048,0.104321108225065,-0.34804738794471,-0.227144272624365,-0.0765340975213378,-2.54422280931976e-06,-5.08844552626897e-06,0.00729828515318609,0.165673587411775,0.0156779237785026,0.429030040801281,0.000111385516087026,0,-8.51702880859375,-7.54296875,-6.46435546875,-13.0856323242188,-11.265380859375,0,0,0,0,0,0,0,0,0,0,-0.05548095703125,-0.5550537109375,0.500518798828125,-0.2882080078125,-0.47607421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000538067640018441,1,332.782522314125,1,1
0.66,-0.0112174284402226,331.664904996149,-3.38215719277048e-05,-0.0552092590194618,29.4884182071628,42.5413475403836,-42.6371514584658,-0.0958039180821899,0.00294256322350446,0.0200120356187942,41.6862710205641,0.999416987891316,0.149689210787111,-0.00132439908074835,0.00644080793358537,399.766799633813,21.5329598580909,-0.233200366187361,46.9935103797233,43.8365984464373,50.145867553346,0,0.517171645520564,0.046911447833503,345.000004690505,20.0000093810101,0.863310956735466,0,20,0.00423688107491671,0.00847376214978013,6912.97783109777,6900.00333470934,0.998123168234381,0.000356677016708717,-0.12305357243747,-0.374683192553562,0.234485303962821,0.138370152649141,-0.0583659644317483,6.92804013624482e-06,1.38560805673649e-05,-0.00425491342138251,0.097383144354836,0.00912712132374908,1.99081662490298,0.00889432503563481,0,-8.27392578125,-8.8251953125,-6.292236328125,-13.3662109375,-10.990478515625,0,0,0,0,0,0,0,0,0,0,-0.0267333984375,-0.5699462890625,0.255462646484375,-0.37933349609375,-0.283935546875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000524189297542963,1,333.071650308352,1,1
0.68,0.0740781266592531,331.505722773166,0.000223459571194013,0.0325396836023853,29.4796907450743,42.5471361698223,-42.2917323650234,0.255403804798888,0.00148636723069348,0.0192493783309267,41.6736018889819,0.99942235252941,0.149169141573843,0.000780822442203836,0.00619290156454744,400.116503992252,21.3814410409227,0.11650399225158,47.0055751630747,43.9908670714398,50.0793721686482,0,0.507114838735677,0.0357709512325756,344.999996762016,19.9999935240312,0.862553744194749,0,20,0.00421230243551918,0.00842460487107388,6907.98208498931,6899.99770546576,0.9988441806268,0.000353599628287071,-0.121991870614067,0.349704358438942,0.0120647833514624,-0.00872746208851538,0.0877489426218471,-7.92848925357248e-06,-1.58569788624163e-05,0.000721012392419174,0.0767999498973421,0.00722287506061162,-1.54835290221635,-0.000136573577656729,0,-7.92333984375,-8.4029541015625,-6.16998291015625,-11.37158203125,-10.8980102539062,0,0,0,0,0,0,0,0,0,0,0.28118896484375,-0.52069091796875,0.377777099609375,-0.12908935546875,-0.49395751953125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,1,-0.00053794199090698,1,333.491735536346,1,1
0.7,-0.0848728873649487,331.680219282653,-0.000255887696735455,-0.0149674520146153,29.4061310152188,42.0740162327057,-42.0535870029034,0.0204292298023034,0.00131180390123991,0.0187016623730697,41.5704796632323,0.999435552258666,0.149891653073704,-0.000360050019529928,0.00638639105656358,399.976368687602,21.2360381252914,-0.0236313123979812,46.9028986890047,43.9245366768325,49.9344317366273,0,0.511398251459025,0.0407803247667251,345.00000011779,20.0000002355805,0.862853609392336,0,20,0.00419804990252715,0.00839609980502587,6894.27339136412,6900.00008803883,1.00083064542841,0.000350879060595277,-0.121053275946736,-0.140135304649561,-0.102676474070044,-0.0735597298554787,-0.0475071356170006,3.35577470877979e-06,6.71154931453088e-06,0.00198646480160536,0.111205018024944,0.0105037619727953,0.73449678833058,-0.00989388036301764,0,-8.5201416015625,-7.83148193359375,-6.292236328125,-12.4282836914062,-10.3252563476562,0,0,0,0,0,0,0,0,0,0,-0.12506103515625,-0.46417236328125,0.522491455078125,-0.23883056640625,-0.39013671875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000531273265007608,1,333.663723281065,1,1
0.72,17.0035572792017,331.447836145144,0.0513008546894109,0.149144218583783,29.5575547688763,42.4552274044248,-42.4608327715998,-0.00560536717502913,0.00403392928338646,0.0181998459990521,41.7847556568926,0.998937873834498,0.150273152495137,0.00356934523701543,0.00222998276060737,400.072779997411,21.7159469979416,0.0727799974109757,46.9651529947833,43.8740762824904,50.0964555954621,0,0.512141032633748,0.0417362853902782,345.00000043672,20.0000008734404,0.862650602405929,0,20,0.00424376882659772,0.00848753765323096,6927.53521676633,6900.00031451499,0.996025295954513,0.000356591982913379,-0.123024234260868,0.096411309808957,0.0622543057785805,0.151423753657529,0.164111670598399,3.18930119647121e-07,6.37859901786442e-07,-0.00480534947389255,0.295703309514364,0.0277061702783239,-2.27579364665308,-0.0006348836875123,0,-6.5584716796875,3.47662353515625,-2.94708251953125,-12.619384765625,-7.6878662109375,0,0,0,0,0,0,0,0,0,0,0.0615234375,0.443603515625,1.44619750976562,0.46942138671875,-0.70623779296875,0,0,0,0,0,0,0.1,0,0,0,0,-0,1,-0.000531329845481856,1,332.642082886733,1,1
0.74,16.9911262111574,331.441184041673,0.0512643782041915,0.0114133549022125,29.3908887813162,42.2834044138962,-42.2171866585969,0.0662177552993413,0.00237679843875641,0.0193850549475922,41.548129742898,0.999472000806528,0.141865863924116,0.00027470201361262,0.00716143913756317,400.182913422672,21.3261111693257,0.182913422672073,46.5887720414853,43.5965333878065,49.6453721044775,0,0.50748085109067,0.0367997957924997,344.999998195664,19.9999963913284,0.862406935923705,0,20,0.00419930173575267,0.00839860347157284,6885.92619867296,6899.99872331555,1.00204366474989,0.000349339069083854,-0.120521978203612,0.110133425261097,-0.376380953298003,-0.166665987560169,-0.137730863681571,-2.24105622237403e-06,-4.48211198289528e-06,0.00601836879537998,0.137881724207903,0.0130464051975102,0.157770458316908,0.000311981959272178,0,-4.864990234375,2.89764404296875,-3.5347900390625,-8.67413330078125,-5.8060302734375,0,0,0,0,0,0,0,0,0,0,0.00048828125,0.34527587890625,1.35934448242188,0.35015869140625,-0.486083984375,0,1,0,0,0,0,0.1,0,0.34527587890625,0,0,-0,1,-0.000525536530847752,1,332.022680110818,1,1
0.76,16.9813439053782,331.397892260328,0.0512415567569108,-0.0730364876354911,29.4576406866785,42.3042744979216,-42.3507814939111,-0.0465069959895246,0.00278474172650839,0.0189449203582557,41.6438317919007,0.999484609578334,0.145152287060089,-0.00175383687073906,0.00656839081827165,399.748821969936,21.4049601521567,-0.251178030064409,46.7711743405539,43.6185459015858,49.9351895905667,0,0.516583269787216,0.0463099869823496,345.000003732255,20.0000074645102,0.863346594937286,0,20,0.00421518812481736,0.00843037624968801,6899.23900268888,6900.00265432012,1.00011068635699,0.000352987085109557,-0.121780545680224,-0.434091452736482,0.182402299068627,0.0667519053623025,-0.0844498425377035,5.53659083379898e-06,1.10731818097065e-05,-0.0019329783928983,0.141233200406517,0.0133079469483849,1.50086000400468,0.000137847039546335,0,-3.83831787109375,2.64263916015625,-3.69451904296875,-7.2066650390625,-4.63525390625,0,0,0,0,0,0,0,0,0,0,-0.05023193359375,0.33154296875,1.30941772460938,0.36065673828125,-0.32659912109375,0,1,0,0,0,0,0.1,-0,0.33154296875,0,0,-0,1,-0.000529616337736099,1,332.585625961069,1,1
0.78,17.0645822184811,331.185155488595,0.0515258064429425,0.016658984390068,29.5308296869879,42.5179093725895,-42.4784181596804,0.0394912129091409,0.000450877606045621,0.0185303432904173,41.7478687407744,0.999484419400583,0.148322018890086,0.000399037960321014,0.006744582654723,399.912567283165,21.4332052270734,-0.0874327168345985,47.0516056393703,44.0163787603738,50.0817899551854,0,0.517060698112692,0.0463443830077337,344.999999301442,19.9999986028843,0.862994594955625,0,20,0.00421350550402622,0.00842701100799914,6913.67441750198,6899.99950846471,0.998022049027555,0.000354738315956116,-0.122384718757075,0.163745313229811,0.280431298816417,0.0731890003094549,0.0896954720255591,-4.43081279399848e-06,-8.8616259326102e-06,-0.0020886373294402,0.0711211335898901,0.00668142777805788,-2.33401219871855,-0.000885004742617879,0,-6.7115478515625,3.43017578125,-3.2684326171875,-12.6419677734375,-7.79644775390625,0,0,0,0,0,0,0,0,0,0,0.09002685546875,0.4564208984375,1.46267700195312,0.5379638671875,-0.699462890625,0,1,0,0,0,0,0.1,0,0.4564208984375,0,0,-0,1,-0.000525230442967625,1,333.028718002377,1,1
