t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.154384254895345,332.041683749132,-0.000464954439310659,-0.0143017475050799,29.4905395997866,42.6277740551419,-42.3551082441339,0.272665811008054,0.00201154737337979,0.0281751317502386,41.6834985332747,0.999371177292551,0.14015451750476,-0.000343103338450903,0.00343305445896513,400.169243834022,21.7064554589156,0.169243834022154,46.6177178710906,43.4699143837941,49.7532606132596,0,0.516943221334713,0.0469188128054153,345,20,0.862447163581879,0,20,0,0,6919.48984964617,6900,0.997183340091587,0.000361824050312043,-0.124829297357678,0.522262619951221,0.0404089191713055,-0.022450622127554,0.11538314595672,0,0,7.3973170259034e-05,0.118703465432888,0.0110344328020606,-2.61037128926667,-0.000388713759152837,0,-7.34674072265625,-7.4888916015625,-4.66522216796875,-10.6634521484375,-10.5546875,0,0,0,0,0,0,0,0,0,0,0.57684326171875,-0.4326171875,0.520965576171875,-0.0736083984375,-0.2718505859375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.855915423458,0,0
0.62,0.0835895864349799,331.678879451078,0.00025201962384014,-0.108655815841103,29.33056021628,42.289479345425,-42.342003994629,-0.0525246492039884,0.000469967614783091,0.0277999059315879,41.4577737284277,0.999413073834952,0.141323037414509,-0.00262087917582987,0.00371760429474843,400.00188891523,21.5512603833613,0.00188891523032453,46.3982820495354,43.4131885792145,49.4897168723529,0,0.51284841707188,0.0420462240776913,345,20,0.86280295697037,0,20,0,0,6874.67943557157,6900,1.00368316292647,0.000355978405200519,-0.122812549794162,-0.16735491879183,-0.219435821555209,-0.159979383506585,-0.0943540683360232,0,0,0.0064998228348786,0.231164012622381,0.0216789889155786,0.982344272966086,0.010404557002614,0,-8.1976318359375,-7.8558349609375,-6.30291748046875,-13.0216674804688,-11.1773681640625,0,0,0,0,0,0,0,0,0,0,-0.08880615234375,-0.57879638671875,0.325469970703125,-0.30316162109375,-0.42529296875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.82575054787,0,0
0.64,-0.0470372908926544,331.812822069628,-0.000141758508906519,-0.0816218173068082,29.5397996241176,42.603812002394,-42.7685892364436,-0.164777234049652,0.00143979481882304,0.0291011796144221,41.7518817678337,0.999385065072617,0.140035090388928,-0.0019549254752319,0.0051180889540321,399.863500422108,21.8421775397193,-0.136499577892266,46.6574138787655,43.5423819268519,49.7863913912763,0,0.51226611119363,0.0419260526311194,345,20,0.863109320472016,0,20,0,0,6926.041107997,6900,0.99624011645456,0.000364968495324414,-0.12591413088694,-0.138388493122591,0.259131829230157,0.209239407837554,0.0270339985342948,0,0,-0.00744304647190519,0.10812401232792,0.0100149291503048,2.91040491935634,-0.0105243778473129,0,-8.59600830078125,-9.06610107421875,-5.90283203125,-12.5324096679688,-8.90032958984375,0,0,0,0,0,0,0,0,0,0,0.07489013671875,-0.43798828125,0.419281005859375,-0.37152099609375,-0.00787353515625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.72475567756,0,0
0.66,-0.00524834435784825,331.655093423625,-1.58247060332178e-05,-0.0645758437780852,29.4730443341008,42.4604636424512,-42.4893749287324,-0.0289112862812502,0.00107240948735713,0.0279182815321194,41.6588810414101,0.999375559868313,0.139923767273965,-0.00155010989646829,0.00402063171460476,400.108624002754,21.6468546442333,0.108624002754084,46.5686255671458,43.5277899264412,49.6248806551705,0,0.512448768019771,0.0416600161910097,345,20,0.862576480287134,0,20,0,0,6907.40328173999,6900,0.998928210582469,0.000360256883547017,-0.124288624823748,0.24512358064635,-0.0887883116197656,-0.0667552900167649,0.0170459735287231,0,0,0.0026880941279086,0.0763777430658571,0.00711618973446004,1.7929169665007,0.00010887927176062,0,-8.43756103515625,-8.6207275390625,-6.21282958984375,-12.976806640625,-10.3743896484375,0,0,0,0,0,0,0,0,0,0,-0.06365966796875,-0.50970458984375,0.354461669921875,-0.349365234375,-0.26849365234375,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.457195995829,0,0
0.68,0.0756984548402474,331.498451000481,0.000228352363674054,-0.0457780589409432,29.4146837339007,42.5075843274943,-42.3546854355584,0.152898891935862,0.00107247194397398,0.0289699111214681,41.5758378046894,0.999399582636138,0.137771507807317,-0.00110107363695218,0.00309151483214265,400.079329377163,21.5666841020759,0.0793293771627077,46.3864974359253,43.4078751720977,49.426274667155,0,0.51700084021957,0.0456090468134318,345,20,0.862638019293993,0,20,0,0,6890.66817645531,6900,1.00135426976103,0.000358377548941302,-0.123640254384782,-0.0292946255913762,-0.182128131220452,-0.0583606002001318,0.018797784837142,0,0,0.00242605917856442,0.115904955112392,0.0108289266159112,1.00500897739274,-8.27642694669617e-05,0,-8.672607421875,-8.162109375,-6.43963623046875,-13.1312255859375,-11.091796875,0,0,0,0,0,0,0,0,0,0,-0.10821533203125,-0.53271484375,0.432159423828125,-0.275634765625,-0.406982421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.208609341749,0,0
0.7,-0.0747254050830814,331.664692480479,-0.000225304069975672,-0.100686936239559,29.4903083301655,42.3198696094969,-42.5478915666633,-0.22802195716644,0.00275210402125265,0.0283491056857987,41.6826846113638,0.999372964212865,0.13817836107952,-0.00241555785521812,0.00342003041046945,399.889481804247,21.7796291470478,-0.1105181957534,46.4929963887686,43.3989852305791,49.6297969191027,0,0.516377167651383,0.0459572598510981,345,20,0.863050550474613,0,20,0,0,6911.52921998882,6900,0.998331885806765,0.000361847536703763,-0.124837400162789,-0.189847572916108,0.106498952843296,0.0756245962647633,-0.0549088772986162,0,0,-0.00302238395426879,0.12830680368428,0.011934983151984,2.05817125703829,-0.000213159279978559,0,-8.2994384765625,-8.7542724609375,-6.0382080078125,-12.934814453125,-10.1465454101562,0,0,0,0,0,0,0,0,0,0,-0.02447509765625,-0.506591796875,0.346771240234375,-0.36175537109375,-0.231689453125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.611928457898,0,0
0.72,17.0482668251398,331.40924427513,0.0514417359190702,-4.17771850611914,31.111647033754,39.7178878656403,-49.7229928685463,-10.005105002906,0.0279221956096978,0.0293022628579197,43.5488938251374,0.999007479569634,0.176018014603799,-0.0959316790661549,0.0131409127050075,398.441785994703,31.0010608031853,-1.55821400529703,48.3176034238096,43.5493600549362,53.5046284196532,0,0.511506652543558,0.0427342102461551,345,20,0.866282549195792,0,20,0,0,7143.4569597327,6900,0.965918887577114,0.000472945152508952,-0.163166077615585,-1.44769580954363,1.82460703504097,1.62133870358857,-4.07703156987958,0,0,-0.0324129982296503,3.88954397466429,0.335808701569391,1.98692131145183,-0.00660573962482536,0,-3.1136474609375,2.45440673828125,-2.5301513671875,-5.4189453125,-1.67816162109375,0,0,0,0,0,0,0,0,0,0,0.55572509765625,0.41796875,1.20907592773438,0.1204833984375,-0.165283203125,0,0,0,0,0,0,0.1,0,0,0,0,-0,0,0,1,332.25309310372,0,0
0.74,16.9860074272311,331.446758073317,0.051248072317768,-3.61818190081747,29.3090688978895,37.9282190171531,-46.4090292714095,-8.4808102542564,0.0179756700242474,0.0277291038821076,41.0964180334031,0.999227354722351,0.180505973165077,-0.0880412959075075,0.00509819825246582,402.073068971138,27.5204828138483,2.07306897113835,46.0472667723705,41.838206855818,49.6507788739156,0,0.519308236290775,0.0460651844195472,345,20,0.858389046813853,0,20,0,0,6748.74969801222,6900,1.02241160344594,0.000391647604799816,-0.135118423655911,3.63128297643539,-2.27033665143912,-1.80257813586454,0.559536605301665,0,0,0.0564927158688298,4.22455569377437,0.405980113335466,1.45255793821018,-0.00141235105929494,0,-3.357666015625,2.178466796875,-2.756591796875,-5.87591552734375,-1.91082763671875,0,0,0,0,0,0,0,0,0,0,0.89044189453125,0.40667724609375,1.41165161132812,-0.16925048828125,-0.27178955078125,0,1,0,0,1,0,0.1,0,0.40667724609375,0,-0,-0.27178955078125,0,0,1,332.325034628396,0,0
0.76,16.9980327956737,331.380966771399,0.0512945355953399,-4.31744430490715,29.4624220431245,36.4678266648477,-47.6308359784416,-11.1630093135939,0.0399495816080719,0.0275853780963674,41.1560069769961,0.999172130640315,0.179427927228537,-0.104904353508356,0.00428226329608616,399.045588994506,29.8526677765955,-0.954411005494194,45.7680332506548,41.5603752026134,51.0805010506031,0,0.510664992505751,0.0412412091593801,345,20,0.864944154747312,0,20,0,0,6745.00545786155,6900,1.02297915740866,0.000441013560857906,-0.15214967849596,-3.02747997663255,-0.279233521715689,0.153353145235034,-0.699262404089674,0,0,0.000567553962713463,5.34250402040394,0.506132077488513,1.49826849972097,-0.0127028318839408,0,-3.102783203125,2.01617431640625,-2.4287109375,-5.025390625,-1.12158203125,0,0,0,0,0,0,0,0,0,0,0.82513427734375,0.40728759765625,1.20223999023438,-0.16558837890625,-0.153564453125,0,1,0,0,1,0,0.1,0,0.40728759765625,0,-0,-0.153564453125,0,0,1,333.404621602816,0,0
0.78,17.0291606344582,331.216604437788,0.0514139702125252,-0.216717877260024,28.55540102311,41.1131968336186,-41.5817708309998,-0.468573997381185,0.00459817897916771,0.0221102330365193,40.3588237944429,0.999326406854729,0.158744454175002,-0.00536977683898369,0.00175770635148798,400.67920129739,23.2752045819979,0.679201297390307,45.9056317291056,42.7710904756884,48.8657821145976,0,0.516948198014759,0.0455240836242636,345,20,0.861320536891146,0,20,0,0,6680.35342298201,6900,1.03287948452882,0.000328187775605393,-0.11322478258387,1.6336123028845,0.137598478450862,-0.907021020014504,4.10072642764712,0,0,0.00990032712016298,1.53752958839331,0.152145350511296,0.720085667262989,0.00229221235155552,0,-5.3162841796875,2.30133056640625,-3.28448486328125,-8.66534423828125,-4.67626953125,0,0,0,0,0,0,0,0,0,0,0.3870849609375,0.39276123046875,1.21481323242188,0.00555419921875,-0.50604248046875,0,1,0,0,0,0,0.1,0,0.39276123046875,0,0,-0,0,0,1,334.773864945806,0,0
