t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.148988487445938,332.034865968175,-0.000448713381383926,0.162904739210808,29.5334607777987,43.0566932143232,-42.3370009334849,0.719692280838295,0.00357534968333262,0.0313444248369912,41.7400771040122,0.999427753454979,0.139460845425436,0.00390283752482932,0.00653400409719396,400.340803599547,22.0196056769928,0.340803599546575,46.7013111025683,43.39584919151,50.0133089474336,0,0.512230931969959,0.0419163226535719,345,20,0.862080470342587,0,20,0,0,6928.59212557697,6900,0.995873313790342,0.000365183375149014,-0.125988264426439,0.952111496603322,-0.0249156509324351,-0.0730083407465543,0.185158602302271,0,0,0.00182751433145034,-6.77288818359375,-6.84381103515625,-8.64837646484375,-13.2655029296875,-7.86981201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0770197859142817,331.680820620053,0.000232210550402941,0.00778631974964576,29.2669589130027,42.4395237675859,-42.1358824907464,0.303641276839535,0.00266495119740035,0.0296179144712529,41.3655967662885,0.999437676148499,0.141554267319304,0.000188231776121536,0.00561752894128409,399.992729853969,21.6364733106907,-0.00727014603052112,46.3127403537155,43.2982071741141,49.3869308476838,0,0.517128989001487,0.0463986198997787,345,20,0.862821624521601,0,20,0,0,6859.37575740589,6900,1.00592244017982,0.000354715853426057,-0.122376969432025,-0.348073745577096,-0.388570748852857,-0.266501864795991,-0.155118419461162,0,0,0.0100491263894734,-6.652099609375,-6.90283203125,-7.85870361328125,-13.2574462890625,-8.5079345703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0502332234015647,331.816454538155,-0.000151388584606157,0.0329002895325232,29.5761970868378,43.2486527608755,-42.7780712239605,0.470581536915013,0.00190025763123794,0.0322527552500999,41.7995595650392,0.999436100346106,0.140358771150958,0.00078709655974559,0.00809112234273179,399.772182278145,22.0354634366907,-0.22781772185516,46.7413395495111,43.5659670163888,49.8751892236824,0,0.517600267707507,0.0473663492177489,345,20,0.863309840062486,0,20,0,0,6933.77746707994,6900,0.995128561993761,0.000368865924568418,-0.127258743976085,-0.220547575824639,0.428599195795663,0.309238173835119,0.0251139697828774,0,0,-0.0107938781860543,-6.89031982421875,-6.988525390625,-8.12603759765625,-12.7841186523438,-8.59539794921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00823001295327103,331.656172927732,-2.48148945355657e-05,0.075931895984988,29.4964206021051,43.0785144487723,-42.3322650762148,0.746249372557436,0.00227181902478888,0.0319099772511354,41.6868128022374,0.999371519756132,0.139574305870262,0.00182148480252519,0.00546453009596659,400.203091614364,21.7178336032113,0.203091614363871,46.6033148963547,43.4818751370753,49.7915971719017,0,0.512580931960643,0.0416405780859834,345,20,0.862375490742988,0,20,0,0,6911.87581159039,6900,0.998281825091464,0.000363297182023326,-0.125337527798024,0.430909336219031,-0.138024653156421,-0.0797764847327187,0.0430316064524649,0,0,0.00315326309770314,-7.61688232421875,-7.73382568359375,-8.78045654296875,-12.8189086914062,-8.68194580078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0779571852416679,331.492990794318,0.000235169935433229,0.0547033740914611,29.3706772073383,42.7798024316361,-42.4402558108744,0.339546620761723,0.00305916211953049,0.0304707033210463,41.5114486800422,0.999443309063895,0.137759796870329,0.00131779005144095,0.00636537756511313,400.067949237568,21.5971108700666,0.0679492375680866,46.3295580734799,43.3180206196231,49.3857148787017,0,0.516966772944172,0.0455564134051505,345,20,0.862662407382518,0,20,0,0,6879.69426529089,6900,1.00295154609,0.000358203495267606,-0.123580205867313,-0.135142376795784,-0.273756822874823,-0.12574339476685,-0.021228521893527,0,0,0.00466972099853546,-7.1085205078125,-7.41827392578125,-7.882568359375,-12.9485473632812,-9.01824951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0735885364515563,331.661138152051,-0.000221878682747025,0.0659197764968134,29.5135113339591,43.1002551074985,-42.4553962177359,0.644858889762645,0.00213671045272271,0.0314113364944422,41.711755300428,0.999384992333776,0.137348760774631,0.00158036448051701,0.0053869446652195,399.880775621912,21.7646018299626,-0.119224378088404,46.499593015978,43.4266064358722,49.5720510817703,0,0.516195451892918,0.0457802914265698,345,20,0.863072036274591,0,20,0,0,6916.11691633542,6900,0.997669658201215,0.000364971834974526,-0.125915283066206,-0.187173615656491,0.170034942498134,0.142834126620826,0.0112164024053523,0,0,-0.00528188788878425,-7.31317138671875,-7.721435546875,-8.74127197265625,-12.3955688476562,-8.64227294921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,34.0027055177318,331.460285586811,0.102584553855476,-8.07738243765346,33.1247124632608,36.6194609159809,-56.6500595159924,-20.0305986000115,0.0522713946884063,0.0308376074281307,45.2816642082778,0.997206128260988,0.249150005170264,-0.178380865166543,0.0089675489908152,396.488023647964,40.5144543456063,-3.51197635203607,50.3842089667067,43.551874863925,57.8237853796402,0,0.516822427015692,0.0527071326099492,345,20,0.870731974606483,0,20,0,0,7226.41898467395,6900,0.954829773174483,0.000680578953082156,-0.234799738813365,-3.39275197394767,3.88461595072867,3.61120112930172,-8.14330221415028,0,0,-0.0428398850267323,-33.0652465820312,62.5577392578125,-57.8670654296875,-45.020263671875,-19.3489379882812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,33.9559573269348,331.4915405963,0.102433857786698,-6.2519229888905,29.480407189938,35.0272861253862,-48.2336597442553,-13.2063736188691,0.0059283062697289,0.0352444105855593,40.6535888280331,0.997350972999922,0.255618911263808,-0.153785266421041,-0.0220883012721624,404.901848049841,31.3443344382704,4.90184804984068,45.606274323905,39.5800558737823,48.8625218051507,0,0.524282053390215,0.0494898983949398,345,20,0.852443970499376,0,20,0,0,6522.45701814076,6900,1.05788355228853,0.000452576852583153,-0.156139014141161,8.41382440187675,-4.77793464280172,-3.64430527332277,1.82545944876296,0,0,0.103053779114048,-35.5313110351562,64.8829956054688,-65.2122192382812,-47.8018798828125,-29.1690063476562,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.76,34.0232357377252,331.375645619857,0.102672710524887,-8.10016934856342,29.8162376780404,30.9725513557857,-51.8101174531888,-20.8375660974031,0.0720961085958359,0.0259249889327397,40.417809726153,0.997867087887711,0.251986202035309,-0.200410893203896,-0.0120737204375172,397.75317997385,38.4686690370564,-2.24682002614963,44.7167089017856,38.9697775802917,52.2327528114805,0,0.515481642761481,0.0497198073321218,345,20,0.867952411773412,0,20,0,0,6419.190169504,6900,1.07490194522982,0.0006690778227465,-0.230831848847515,-7.14866807599032,-0.889565422119432,0.335830488102385,-1.84824635967292,0,0,0.0170183929412913,-38.7117919921875,61.9251708984375,-64.8331909179688,-51.0055541992188,-33.296875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.78,34.087901476892,331.1609308374,0.102934550252334,-7.00377871805791,31.6717865634309,36.8589325006407,-52.7133348911929,-15.8544023905522,0.0336982639474481,0.0318971546495806,43.5927943291666,0.997665431498179,0.238259028053417,-0.160663679074408,-0.0196905909783269,399.69524894146,35.1522317582767,-0.30475105853975,47.8595740127918,43.3067166881873,53.5426213939438,0,0.519306565152088,0.0506106812573527,345,20,0.863632470218618,0,20,0,0,6975.65920420663,6900,0.98915382733133,0.000550130950605521,-0.189795177958899,1.94206896760988,3.14286511100629,1.85554888539053,1.09639063050551,0,0,-0.0857481178984923,-38.2396850585938,66.6676025390625,-66.0097045898438,-49.7335815429688,-28.4950561523438,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
