t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.165413957865005,332.061228958834,-0.00049814294304594,-0.0873461544259942,29.3253272448194,41.947162908106,-42.3713813100101,-0.424218401904056,0.00267864204923532,0.0191018804237471,41.4560113683872,0.999441007961661,0.152300464514143,-0.00210695992071734,0.00616212819143813,399.817711932703,21.2669999287225,-0.182288067296952,46.856086861835,43.7625609502079,50.0038941751302,0,0.516781302340695,0.0471452617171109,345.000157369354,20.0003147387077,0.863195910670887,0,20,0.00427516822730922,0.00855033645454029,6883.10256804531,6900.11173618308,1.00247114843483,0.000350308781501996,-0.120856584746093,0.170730718632115,0.278777909915732,-0.187662977094792,0.0423387390358058,0.000157369354042203,0.000314738707693607,0.00536178151349753,0.256514593169117,0.0242602467251128,1.045940076824,4.1620538635101e-05,0,-8.0667724609375,-7.78466796875,-6.02142333984375,-12.7214965820312,-10.2654418945312,0,0,0,0,0,0,0,0,0,0,-0.04779052734375,-0.51422119140625,0.426666259765625,-0.3385009765625,-0.36334228515625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000553122553637247,1,333.855915423458,1,1
0.62,0.0862805688909238,331.676232159619,0.000260134916298137,0.0796908029336242,29.577192327138,42.6465074943948,-42.5524909006506,0.094016593744108,0.00165908312128507,0.0198981644818988,41.8120779441308,0.99946855779202,0.147566563976821,0.00190592782879882,0.00759123118784855,400.037161718141,21.8293410129489,0.0371617181411352,47.1070724637052,43.9966200621584,50.244873452098,0,0.517831808359925,0.0469164019129319,345.000000306688,20.000000613375,0.862730019550268,0,20,0.00425516902640766,0.00851033805288992,6934.11749135091,6900.00022221843,0.995079796502578,0.000359617516312305,-0.124068043238026,0.219449785438087,0.250985601870148,0.251865082318638,0.167036957359618,-0.000157062666517049,-0.000314125332668169,-0.00739135193224782,0.292529691832452,0.0272951673179301,-2.20818412818341,-0.000554321224105037,0,-7.4583740234375,-7.83050537109375,-4.9859619140625,-10.6734619140625,-10.2001953125,0,0,0,0,0,0,0,0,0,0,0.4857177734375,-0.43017578125,0.451995849609375,-0.0714111328125,-0.337890625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,1,-0.000550841326206946,1,332.84484057125,1,1
0.64,-0.0310472473033921,331.803058493648,-9.35713113807433e-05,0.00315670541228647,29.3500480545137,42.3387285955155,-42.1887378840885,0.149990711427023,0.00173948357740077,0.0190677966672698,41.4911614588129,0.99938546888235,0.148703796767288,7.60813942366987e-05,0.00526426637859601,400.141482826366,21.3175165891079,0.1414828263662,46.7590250757605,43.7616801450739,49.7782636935443,0,0.51805476547092,0.0473355433911557,344.999997762465,19.9999955249295,0.862496244153404,0,20,0.00420055849093615,0.00840111698179058,6883.62858488807,6899.99841575088,1.00237808165576,0.000349357408787609,-0.120528305250048,0.104321108225065,-0.34804738794471,-0.227144272624365,-0.0765340975213378,-2.54422280931976e-06,-5.08844552626897e-06,0.00729828515318609,0.165673587411775,0.0156779237785026,0.429030040801281,0.000111385516087026,0,-8.51702880859375,-7.54296875,-6.46435546875,-13.0856323242188,-11.265380859375,0,0,0,0,0,0,0,0,0,0,-0.05548095703125,-0.5550537109375,0.500518798828125,-0.2882080078125,-0.47607421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000538067640018441,1,332.782522314125,1,1
0.66,-0.0112174284402226,331.664904996149,-3.38215719277048e-05,-0.0552092590194618,29.4884182071628,42.5413475403836,-42.6371514584658,-0.0958039180821899,0.00294256322350446,0.0200120356187942,41.6862710205641,0.999416987891316,0.149689210787111,-0.00132439908074835,0.00644080793358537,399.766799633813,21.5329598580909,-0.233200366187361,46.9935103797233,43.8365984464373,50.145867553346,0,0.517171645520564,0.046911447833503,345.000004690505,20.0000093810101,0.863310956735466,0,20,0.00423688107491671,0.00847376214978013,6912.97783109777,6900.00333470934,0.998123168234381,0.000356677016708717,-0.12305357243747,-0.374683192553562,0.234485303962821,0.138370152649141,-0.0583659644317483,6.92804013624482e-06,1.38560805673649e-05,-0.00425491342138251,0.097383144354836,0.00912712132374908,1.99081662490298,0.00889432503563481,0,-8.27392578125,-8.8251953125,-6.292236328125,-13.3662109375,-10.990478515625,0,0,0,0,0,0,0,0,0,0,-0.0267333984375,-0.5699462890625,0.255462646484375,-0.37933349609375,-0.283935546875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000524189297542963,1,333.071650308352,1,1
0.68,0.0740781266592531,331.505722773166,0.000223459571194013,0.0325396836023853,29.4796907450743,42.5471361698223,-42.2917323650234,0.255403804798888,0.00148636723069348,0.0192493783309267,41.6736018889819,0.99942235252941,0.149169141573843,0.000780822442203836,0.00619290156454744,400.116503992252,21.3814410409227,0.11650399225158,47.0055751630747,43.9908670714398,50.0793721686482,0,0.507114838735677,0.0357709512325756,344.999996762016,19.9999935240312,0.862553744194749,0,20,0.00421230243551918,0.00842460487107388,6907.98208498931,6899.99770546576,0.9988441806268,0.000353599628287071,-0.121991870614067,0.349704358438942,0.0120647833514624,-0.00872746208851538,0.0877489426218471,-7.92848925357248e-06,-1.58569788624163e-05,0.000721012392419174,0.0767999498973421,0.00722287506061162,-1.54835290221635,-0.000136573577656729,0,-7.92333984375,-8.4029541015625,-6.16998291015625,-11.37158203125,-10.8980102539062,0,0,0,0,0,0,0,0,0,0,0.28118896484375,-0.52069091796875,0.377777099609375,-0.12908935546875,-0.49395751953125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,1,-0.00053794199090698,1,333.491735536346,1,1
0.7,-0.0848728873649487,331.680219282653,-0.000255887696735455,-0.0149674520146153,29.4061310152188,42.0740162327057,-42.0535870029034,0.0204292298023034,0.00131180390123991,0.0187016623730697,41.5704796632323,0.999435552258666,0.149891653073704,-0.000360050019529928,0.00638639105656358,399.976368687602,21.2360381252914,-0.0236313123979812,46.9028986890047,43.9245366768325,49.9344317366273,0,0.511398251459025,0.0407803247667251,345.00000011779,20.0000002355805,0.862853609392336,0,20,0.00419804990252715,0.00839609980502587,6894.27339136412,6900.00008803883,1.00083064542841,0.000350879060595277,-0.121053275946736,-0.140135304649561,-0.102676474070044,-0.0735597298554787,-0.0475071356170006,3.35577470877979e-06,6.71154931453088e-06,0.00198646480160536,0.111205018024944,0.0105037619727953,0.73449678833058,-0.00989388036301764,0,-8.5201416015625,-7.83148193359375,-6.292236328125,-12.4282836914062,-10.3252563476562,0,0,0,0,0,0,0,0,0,0,-0.12506103515625,-0.46417236328125,0.522491455078125,-0.23883056640625,-0.39013671875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000531273265007608,1,333.663723281065,1,1
0.72,33.9180057812292,331.543803860204,0.102303241340413,0.246892293779644,29.551329262437,42.5715413189465,-42.3581281842281,0.213413134718401,0.00729660743735352,0.0175091683568885,41.774494719688,0.998152604321976,0.157573016471534,0.00591012040807007,-0.00239393999833615,400.095626826333,21.7523849570144,0.0956268263333868,46.9583836804141,43.844868000044,50.1298418142096,0,0.517107170235595,0.0488145283275149,344.999999162983,19.9999983259669,0.862601271016654,0,20,0.00425565165772923,0.00851130331543715,6933.62297278424,6899.99941016394,0.995150650280195,0.000356513234536227,-0.122997065616573,0.119258138731368,0.0554849914093936,0.145198247218154,0.261859745794259,-9.54806921527052e-07,-1.90961358725872e-06,-0.00567999514821038,0.407389808480818,0.0381863385964536,-2.24623424050548,-0.00127052920717996,0,-6.607421875,5.14178466796875,-6.054443359375,-13.2232666015625,-7.56353759765625,0,0,0,0,0,0,0,0,0,0,-0.08856201171875,0.88037109375,1.63229370117188,0.45166015625,-0.69854736328125,0,0,0,0,0,0,0.1,-0,0,0,0,-0,1,-0.000527387230063586,1,332.642082886733,1,1
0.74,33.9899318999381,331.444031955884,0.102551045192638,0.0225131487019591,29.3943010377175,42.3083991298492,-42.2260615889515,0.0823375408977185,0.00287730271187867,0.0192837523482749,41.5530041541289,0.999507105618748,0.140321243684028,0.000541793527573916,0.00787482532739991,400.174724657849,21.3338831147183,0.174724657848856,46.5610532060018,43.5654982816358,49.6168134772187,0,0.507461131035828,0.0388924172360324,344.999999272302,19.9999985446031,0.862424495694368,0,20,0.00419610620554067,0.00839221241109911,6887.29979119489,6899.99948772264,1.00184392968402,0.000349234291682876,-0.120485830376424,0.0790978315154689,-0.3973304744123,-0.157028224719429,-0.224379145077684,1.09318136765069e-07,2.18636138527017e-07,0.00669327940382736,0.147446313414114,0.0139539978924002,0.0667556248820032,0.000138733325525053,0,-5.72662353515625,4.72296142578125,-6.702880859375,-9.17816162109375,-6.18328857421875,0,0,0,0,0,0,0,0,0,0,-0.1131591796875,0.8382568359375,1.42300415039062,0.40521240234375,-0.62298583984375,0,1,0,0,0,0,0.1,-0,0.8382568359375,0,0,-0,1,-0.000525070547536335,1,331.947148442311,1,1
0.76,33.9819689071659,331.395467723299,0.102542044828264,-0.0507893449710667,29.4542959030944,42.359463822165,-42.3595659236712,-0.000102101506193719,0.00260110847485558,0.0194167515050389,41.6385399273198,0.99947699051183,0.14525113863757,-0.00121976767340353,0.006487798546706,399.736420399936,21.3728481891326,-0.263579600063849,46.7629399996942,43.6027543555248,49.9253765990457,0,0.516530750134971,0.0481175802355119,345.000003724854,20.0000074497079,0.863373626389887,0,20,0.00421611089217322,0.00843222178433223,6897.82317448367,6900.00264906956,1.00031596556345,0.000353272911986613,-0.121879155951262,-0.438304257912705,0.201886793692367,0.0599948653768969,-0.0733024936730258,4.45255244585496e-06,8.90510481355022e-06,-0.00152796412057499,0.119065211356945,0.0112146698398941,1.44739655254966,-0.000721776275349861,0,-5.27093505859375,4.51873779296875,-6.74041748046875,-7.59027099609375,-5.4136962890625,0,0,0,0,0,0,0,0,0,0,-0.10302734375,0.82073974609375,1.28775024414062,0.38934326171875,-0.56964111328125,0,1,0,0,0,0,0.1,-0,0.82073974609375,0,0,-0,1,-0.000529828632454267,1,332.542664647752,1,1
0.78,34.0639617539406,331.18588664439,0.102854508986117,0.0143319416273649,29.5420006925549,42.6020842044905,-42.4352347598695,0.166849444620958,0.000242287947525196,0.0184979370976428,41.7636762282412,0.999491798946048,0.148169875835527,0.00034316762607391,0.00659563380645167,399.901774733913,21.4755086909781,-0.0982252660868994,47.0664973069216,44.0218862783334,50.0974513732137,0,0.517142498268888,0.0485190445289825,344.999999561925,19.9999991238498,0.863018226581538,0,20,0.00421318899969947,0.00842637799934209,6916.52958145134,6899.99969340994,0.997610089301761,0.000355132973630212,-0.122520875746829,0.16535433397695,0.30355730722745,0.0877047894604956,0.0651212865984316,-4.16292920135675e-06,-8.32585807586383e-06,-0.00270587626168661,0.0902353103521277,0.00847279409178551,-2.34833411069645,-0.00105030522851057,0,-6.802978515625,5.07647705078125,-6.43743896484375,-13.333251953125,-7.85882568359375,0,0,0,0,0,0,0,0,0,0,-0.05926513671875,0.8809814453125,1.69735717773438,0.51263427734375,-0.69744873046875,0,1,0,0,0,0,0.1,-0,0.8809814453125,0,0,-0,1,-0.000524679069293879,1,333.065380609659,1,1
