t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.130530490118308,331.972713864797,-0.00039319644255904,0.018923695250487,29.7130916762148,44.554507560096,-44.5202894066616,0.0342181534344661,0.000582607892520585,0.0969963194704364,41.7152960591902,0.994643948261275,0.214292270839675,0.000453639241194309,0.0305297044448798,400.024364145084,23.1378497923098,0.0243641450843484,48.9714730606004,45.776823692056,52.290235289409,0,0.418031574653499,-0.0522507391759321,345,20,0.862801460547584,0,20,0,0,6918.26128978218,6900,0.99736042207467,0.000410451127528688,-0.141605638997362,0.163132150313288,0.0970497656465525,0.0486928245351734,0.0508103722519112,0,0,-0.00236789546031857,0.0977599114092517,0.0085394316895411,-2.28694565251388,0.000706489789665921,0,-7.7742919921875,-7.80694580078125,-6.4246826171875,-9.8021240234375,-9.11053466796875,0,0,0,0,0,0,0,0,0,0,0.16845703125,-0.48565673828125,0.030181884765625,-0.28607177734375,-0.55169677734375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0.0251467152046617,331.669582399013,7.58185752904197e-05,-0.00712379914864879,29.6337471537316,44.341297712649,-44.4821194055807,-0.140821692931716,0.000227759522160039,0.0973488355574601,41.6025184506665,0.994619464890712,0.215022826401737,-0.000171234805342287,0.0300841358931199,400.027939775164,22.9718823781412,0.0279397751640431,48.8629300729713,45.7272013223199,52.1358426477936,0,0.418735282130773,-0.0523657926085897,345,20,0.862790323285748,0,20,0,0,6892.8918656532,6900,1.00103122673115,0.000406479657812708,-0.14023548194541,0.00357563007969475,-0.108542987629079,-0.0793445224832183,-0.0260474943991358,0,0,0.00367080465648206,0.0721910890268486,0.00633679940638175,0.596831539917865,-0.000443041773006247,0,-8.23016357421875,-7.5767822265625,-6.0333251953125,-9.74810791015625,-9.0235595703125,0,0,0,0,0,0,0,0,0,0,-0.22454833984375,-0.344970703125,-0.011627197265625,-0.2498779296875,-0.5625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,333.979352267873,0,0
0.64,-0.023004047650154,331.731223709169,-6.93454399406243e-05,-0.00915342055481352,29.7047147099125,44.5173201603442,-44.4747985538778,0.042521606466444,0.000552433469966747,0.0971572641115753,41.7023846455171,0.994628120894764,0.214525121780055,-0.00021949393620102,0.0314146525423769,399.934521234245,22.9887272588549,-0.0654787657550173,48.9504593530679,45.7625338904079,52.2558370253857,0,0.418374089027802,-0.0524342539353631,345,20,0.862994575187451,0,20,0,0,6911.16537456231,6900,0.998384444018167,0.000409629725634852,-0.141322255344051,-0.0934185409190604,0.0875292800965397,0.0709675561808787,-0.00202962140616473,0,0,-0.00264678271298446,0.0146720294769736,0.00128313616296377,-2.40336703210411,0.000864927917326341,0,-7.960693359375,-8.13238525390625,-6.435302734375,-9.8948974609375,-9.38189697265625,0,0,0,0,0,0,0,0,0,0,0.20037841796875,-0.4951171875,0.053497314453125,-0.25006103515625,-0.54327392578125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.923371145416,0,0
0.66,0.00619432111508402,331.624652791805,1.86787111963381e-05,0.0158714086641515,29.7083734343502,44.5200353189248,-44.5084439015341,0.0115914173907257,0.00053696776191823,0.0970514716129982,41.7080845251673,0.994633411318045,0.214590367718954,0.000380535544723337,0.030789292502186,400.014064769786,22.9926556434311,0.0140647697855343,48.9691463509949,45.8237414018827,52.267929341351,0,0.418856606460279,-0.052228614180215,345,20,0.862822691279558,0,20,0,0,6909.46511621652,6900,0.998630123163325,0.000409309896643339,-0.141211914341966,0.0795435355405516,0.0186869979269844,0.00365872443765625,0.025024829218965,0,0,0.00024567914515794,0.0336373307025986,0.00294234610791527,-2.06629878815469,-0.00757743218131168,0,-7.96173095703125,-8.2188720703125,-6.5634765625,-9.73931884765625,-8.86895751953125,0,0,0,0,0,0,0,0,0,0,0.07574462890625,-0.42449951171875,-0.017669677734375,-0.26483154296875,-0.52020263671875,0,0,0,0,0,0,0.1,0,-0,-0,-0,-0,0,0,1,332.636763432218,0,0
0.68,0.0771579666597928,331.435448965565,0.000232799378885417,0.005394626700879,29.6772235483828,44.4656945750607,-44.4486793713894,0.0170152036712636,0.000530226296266306,0.097204625600296,41.6639389644539,0.994623891808624,0.214700822587296,0.000129479517178668,0.0302636182559262,400.011263266445,22.9724719757542,0.0112632664449279,48.9172025209696,45.7796810309813,52.1958818194479,0,0.418468428534329,-0.0530859583587194,345,20,0.862827282360526,0,20,0,0,6898.66480646661,6900,1.00019354376113,0.000407626660254179,-0.140631197787684,-0.00280150334060636,-0.0519438300252943,-0.031149885967352,-0.0104767819632725,0,0,0.00156342059780112,0.0411846771616257,0.00361003996995973,0.296249545200267,0.000175730269933894,0,-8.49176025390625,-7.90338134765625,-6.47174072265625,-9.98736572265625,-9.5828857421875,0,0,0,0,0,0,0,0,0,0,-0.2667236328125,-0.37408447265625,-0.055694580078125,-0.2669677734375,-0.62310791015625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.62028213753,0,0
0.7,-0.0494475826138584,331.57916032104,-0.00014912753432991,0.00318403401937273,29.7081575013324,44.5340296473414,-44.4882178324854,0.0458118148560089,0.000465947802448477,0.0969341446729877,41.7081462941232,0.994638772947059,0.214273608336863,7.63408183360422e-05,0.0303828755217301,399.976472371375,22.9608263284873,-0.0235276286254589,48.9499089525676,45.8033462248364,52.2401354241217,0,0.418220750568249,-0.0527343985655314,345,20,0.862903273557914,0,20,0,0,6908.98024671032,6900,0.998700206631131,0.00040871697219047,-0.141007355405691,-0.0347908950703868,0.0327064315980508,0.0309339529495674,-0.00221059268150627,0,0,-0.00149333712999566,0.0166012960384262,0.00145333721663798,-1.81640624297138,0.00121254098436341,0,-8.18731689453125,-8.3607177734375,-7.09539794921875,-10.1317749023438,-9.51251220703125,0,0,0,0,0,0,0,0,0,0,-0.00469970703125,-0.46124267578125,-0.049713134765625,-0.30828857421875,-0.613525390625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.501225242713,0,0
0.72,0.0668262504041607,331.329179862707,0.000201691412847645,0.495051639442551,32.2886544054293,47.1561746882914,-49.4164419368646,-2.26026724857322,0.0498232693705207,0.110973134199735,45.0356082851703,0.989208454526809,0.155848388249525,0.0109924492705379,0.0168490524016733,399.485529292462,35.7295894426862,-0.514470707537782,50.1295406194793,44.3181348472272,55.3867383666191,0,0.368005202563226,-0.103768831109981,345,20,0.864135421571763,0,20,0,0,7455.02863607536,6900,0.925549764706531,0.000607525411480792,-0.209596266960887,-0.490943078912323,1.17963166691169,2.5804969040969,0.491867605423178,0,0,-0.0731504419245991,4.52521147222985,0.346508796011452,2.25225028420484,-0.0294043338338133,0,-6.5689697265625,-6.578857421875,1.35028076171875,-7.92803955078125,-5.108642578125,0,0,0,0,0,0,0,0,0,0,-0.0445556640625,-0.16119384765625,-0.227386474609375,-0.6041259765625,-0.1683349609375,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,333.476846365889,0,0
0.74,-0.0572693700257911,331.380641861659,-0.000172820505458792,0.428435467174658,28.6513308807143,41.5569804026752,-43.4110128713708,-1.85403246869554,0.0482187379313237,0.106545267782831,39.9692464125765,0.988862162082105,0.143467548928789,0.0107191279703449,0.00793032827707218,403.584667524254,33.2417655728149,3.5846675242542,44.415181126452,39.8431537692533,48.3231649904011,0,0.377385391115926,-0.0986870774428525,345,20,0.8552530797676,0,20,0,0,6618.84296479128,6900,1.04247827553914,0.000484144484351745,-0.167029847101333,4.09913823179198,-5.71435949302732,-3.63732352471495,-0.066616172267893,0,0,0.11692851083261,6.62168027430198,0.627025901625229,1.31040340569084,-0.0217386023534043,0,-6.00347900390625,-6.119384765625,0.96392822265625,-6.26123046875,-3.4671630859375,0,0,0,0,0,0,0,0,0,0,-0.0142822265625,-0.11517333984375,-0.121551513671875,-0.56671142578125,-0.0828857421875,0,0,1,0,0,0,0.1,-0,-0,-0.121551513671875,-0,-0,0,0,1,340.972068825445,0,0
0.76,0.0659875843442288,331.256265311032,0.000199204034019613,-0.569143592403883,29.6098324429775,40.9555939556251,-46.7762045413785,-5.82061058575344,0.0731631960998481,0.10075271782733,41.3001162510111,0.990630184017758,0.130063576103805,-0.0137806777333212,0.00742199329468196,398.140799408327,34.2172176779375,-1.8592005916725,44.7602026169934,39.5839552665849,51.400154586891,0,0.376872894861264,-0.0923687113781096,345,20,0.867020396336884,0,20,0,0,6836.07998306429,6900,1.00935039044219,0.00056867739388955,-0.196193700891911,-5.4438681159267,0.345021490541427,0.958501562263166,-0.997579059578541,0,0,-0.0331278850969496,7.23887005783575,0.642932356597539,1.51515006067096,-0.0297353662231631,0,-6.46746826171875,-6.26373291015625,0.2349853515625,-5.2843017578125,-2.74078369140625,0,0,0,0,0,0,0,0,0,0,0.00482177734375,-0.3565673828125,0.235321044921875,-0.471923828125,0.1148681640625,0,0,1,0,0,0,0.1,0,-0,0.235321044921875,-0,0,0,0,1,338.466059236578,0,0
0.78,0.0690206368655518,331.13942373958,0.000208433765107449,0.169724529617446,30.6103936153067,43.8115837040695,-46.8757911799104,-3.06420747584083,0.0511134126965431,0.0989737987858567,42.778760353584,0.99103219373859,0.130843917459962,0.00396749527603427,0.0110589697231656,399.846518072418,32.9114000604908,-0.153481927581765,46.7149793489356,42.6759598832209,52.0933508671857,0,0.384476577528934,-0.0876792464352756,345,20,0.863283309578597,0,20,0,0,7079.57638010565,6900,0.974634586808007,0.000524131724740196,-0.180825445035396,1.70571866409074,1.95477673194218,1.00056117232925,0.73886812202133,0,0,-0.034715803634185,5.2602791428056,0.446016451458651,1.71085662295074,-0.0232968939289407,0,-7.02978515625,-6.4510498046875,0.93316650390625,-7.000732421875,-4.09844970703125,0,0,0,0,0,0,0,0,0,0,-0.0753173828125,-0.28790283203125,-0.073577880859375,-0.62200927734375,-0.133544921875,0,0,1,0,0,0,0.1,-0,-0,-0.073577880859375,-0,-0,0,0,1,337.882314408139,0,0
