t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.148421788230059,332.034084239512,-0.000447007687689664,0.0972312005036179,29.5126184710143,42.7398808675113,-42.350759557619,0.389121309892303,0.00276092670502557,0.0287560700182158,41.7148285302707,0.999484184341019,0.140546814357363,0.00233085461284016,0.00722189774569726,400.2834627121,21.8405546912549,0.283462712100061,46.729731519498,43.4852502512282,49.9706465320463,0,0.512155055807803,0.0419441784984114,345,20,0.862201817954294,0,20,0,0,6924.37599691977,6900,0.996479683233461,0.000362693470761011,-0.125129247412531,0.798787064746989,-0.00632589023361163,-0.053610005736644,0.169657708205912,0,0,0.00117231588115385,-6.7550048828125,-6.99554443359375,-8.708740234375,-13.4943237304688,-7.796142578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0769398699432226,331.684299592996,0.000231967174923969,-0.0472943835318339,29.3041611862391,42.1887813864923,-42.358432103405,-0.169650716912642,0.00140196930284216,0.0287093196666314,41.4206335575297,0.999500195017077,0.141704390848768,-0.00114180734261696,0.00684231059036744,400.000208159933,21.5942755806151,0.000208159933094976,46.4051781254609,43.4071876088165,49.4921219074074,0,0.512424826550967,0.0416876003396383,345,20,0.862806079684455,0,20,0,0,6868.51372227585,6900,1.00458414716739,0.000355395580978746,-0.122611475437679,-0.283254552166966,-0.324553394037039,-0.208457284775122,-0.144525584035452,0,0,0.00810446393392805,-6.97247314453125,-7.2994384765625,-8.2403564453125,-13.70166015625,-8.420166015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0454528400606773,331.811693628352,-0.000136983840333208,-0.0209143224360712,29.5407107249206,42.5734024016314,-42.9071241812587,-0.33372177962729,0.000879088937478287,0.0292930902296481,41.7541268774484,0.999483236005458,0.141362819096872,-0.000500892342868438,0.00835535220466888,399.809530425485,21.864369410786,-0.190469574514736,46.7487692386109,43.6008963015631,49.8799957707377,0,0.512599417763595,0.0423192080489225,345,20,0.863226272528721,0,20,0,0,6926.24260138703,6900,0.996211134536093,0.000365480204781887,-0.126090670649717,-0.190677734447831,0.343591113149969,0.23654953868148,0.0263800610957627,0,0,-0.00837301263129608,-7.0244140625,-7.55694580078125,-8.5408935546875,-13.7128295898438,-8.55023193359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00198869557844702,331.64812659151,-5.99640226792685e-06,0.0172507935996338,29.4905544448378,42.5878870752963,-42.495423962528,0.0924631127683142,0.0012519125167851,0.0287098815719496,41.6838615624423,0.99946490951261,0.141059076114387,0.000413848260526252,0.00717005450678476,400.123105154014,21.5840531402231,0.123105154014354,46.6838822870708,43.6251644112287,49.7960567994192,0,0.507870881891784,0.0370781023655048,345,20,0.862546328385661,0,20,0,0,6911.20448719438,6900,0.998378793853497,0.000361493486565001,-0.124715252864917,0.31357472852909,-0.0648869515400747,-0.050156280082799,0.038165116035705,0,0,0.00216765931740326,-7.6500244140625,-8.14251708984375,-9.2381591796875,-13.689697265625,-8.80328369140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0691634414827266,331.507353208558,0.000208633204703651,0.00555286323377818,29.4163987638418,42.5373678671536,-42.4425470491298,0.0948208180238268,0.000571577058417781,0.0286905993687915,41.5796914302112,0.999491684337369,0.138564044427152,0.000133547485389551,0.00608175523997723,400.097667693275,21.5371878469078,0.0976676932746159,46.4619100861707,43.475602181435,49.5235637807444,0,0.516956206314422,0.0455663610745695,345,20,0.862598408853453,0,20,0,0,6891.43640199131,6900,1.00124264340685,0.000358294313611784,-0.123611538196087,-0.0254374607397381,-0.221972200900105,-0.0741556809960429,-0.0116979303658557,0,0,0.00286384955335817,-6.73779296875,-7.21563720703125,-7.6728515625,-13.043701171875,-8.993408203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0735972854360323,331.661318539476,-0.00022190494134236,-0.0199387526293558,29.4674608232185,42.4536029634619,-42.5474611270493,-0.0938581635873348,0.00122294007209808,0.028348436163434,41.651867520053,0.999490276840452,0.138581099056029,-0.000478700087571257,0.00725051124651488,399.909290020528,21.5640686025689,-0.0907099794717965,46.5230580148453,43.4687869236788,49.6229609604146,0,0.516357398375021,0.0458978977285408,345,20,0.8630070312708,0,20,0,0,6906.24854456661,6900,0.999095233175249,0.000360954081823905,-0.124529158229223,-0.188377672746412,0.061147928674572,0.051062059376779,-0.025491615863134,0,0,-0.00214741023160581,-6.8665771484375,-8.0062255859375,-8.83636474609375,-12.7623901367188,-9.0213623046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.146978736678848,331.293684188248,0.000443650886490583,-0.392008520160857,31.2945208968769,43.6872988698441,-46.8508538301614,-3.16355496031731,0.0347589832636447,0.0330828251504833,44.1896436220987,0.999117654816027,0.135501344848713,-0.00887104959508701,0.00174300898848845,397.900713574446,33.826761775941,-2.09928642555411,48.994978107582,43.6114974649083,54.8285795319919,0,0.514537298056001,0.0453102409343212,345,20,0.867509703359685,0,20,0,0,7319.24204901365,6900,0.942720565024878,0.000529652172680528,-0.182729999574747,-2.00857644608232,2.47192009273669,1.8270600736584,-0.372069767531502,0,0,-0.0563746681503708,-4.1463623046875,-5.600341796875,8.95361328125,-15.5962524414062,-6.80584716796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0263188497511196,331.463810619359,-7.94018801085443e-05,0.0709800681000731,29.0020981083842,41.3431590405305,-42.2202668926029,-0.877107852072477,0.0155296211531369,0.0281065418634885,40.9746895077705,0.999225885933407,0.139302895606842,0.0017322905665121,0.00776966075614283,402.674523559927,29.4491859215162,2.67452355992668,46.0836301566725,41.4614156394128,49.8663092537704,0,0.518490721382556,0.0435599863883182,345,20,0.857134249058861,0,20,0,0,6790.32811185905,6900,1.01615119127298,0.000423551787456233,-0.146125366672436,4.7738099854808,-2.91134795090947,-2.29242278849272,0.46298858826093,0,0,0.0734306262481041,-2.2808837890625,-5.7542724609375,7.3419189453125,-10.935546875,-9.05938720703125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.76,-0.00289611050665727,331.384882363567,-8.73941649359823e-06,-0.833617085201652,29.0529804929273,39.7080135209211,-44.3211316493355,-4.61311812841437,0.0449148007744628,0.0295179657271707,40.9971416191457,0.999155671005246,0.143046346306595,-0.020333541614822,0.00318094563971361,398.734072348071,32.6892386208458,-1.26592765192879,45.7310747935899,41.0879691337681,51.7478288557566,0,0.513538231272661,0.0441494085651117,345,20,0.865675048635434,0,20,0,0,6791.78768582701,6900,1.01593281757008,0.000504746297163239,-0.174137472521352,-3.94045121185547,-0.352555363082615,0.0508823845430264,-0.904597153301725,0,0,-0.000218373702902896,-4.36492919921875,-7.2900390625,8.83074951171875,-14.0636596679688,-11.9522094726562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.78,0.0822785448038368,331.164059480482,0.0002484525190714,-0.279381798187346,30.2569411268243,42.701347970773,-44.9659570586874,-2.26460908791439,0.0305927754596242,0.0297485842401689,42.7355671238428,0.999094508763849,0.137185945624537,-0.00653745385846243,0.00116265060293008,399.700909029829,31.284834396872,-0.299090970170994,47.6011971430473,43.729033882747,52.7059224644501,0,0.516039200415352,0.0442702100394586,345,20,0.863554835765673,0,20,0,0,7075.51267139698,6900,0.97519435275602,0.000474356094620765,-0.163652852644134,0.966836681757798,1.8701223494574,1.20396063389705,0.554235287014305,0,0,-0.0407384648140595,-6.233154296875,-6.673095703125,3.718994140625,-10.4887084960938,-12.5657348632812,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
