t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.147039465260177,332.029228662437,-0.000442850967827496,0.161835235586413,29.4687132818341,43.369222755148,-42.2451993518039,1.12402340334412,0.00194679632718333,0.0317568401933844,41.6457268415116,0.999308416340367,0.139753600718786,0.00388599858521617,0.00411604740077953,400.179581887498,21.8275137614875,0.179581887498159,46.540995724725,43.4309611709163,49.7363524819432,0,0.51204430387235,0.0419591669691014,345,20,0.862426248284117,0,20,0,0,6912.78764882327,6900,0.998150145864028,0.000363407093163737,-0.125375447141494,0.525988743447556,-0.0643580628095606,-0.128462642560919,0.0795330143559789,0,0,0.00374270140156086,-7.2725830078125,-6.9857177734375,-9.30120849609375,-13.361083984375,-7.722900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0813905662119529,331.677194988606,0.000245390902485017,0.0860668157647209,29.3618643983105,43.3243044446188,-42.420684128221,0.903620316397777,0.00230912689739141,0.0325479274054818,41.4948286406662,0.999379665089464,0.140244822400772,0.00207415763805259,0.005359915273488,399.970716791981,21.6144026129298,-0.0292832080193079,46.3869161194608,43.3853975175862,49.4448851885575,0,0.517454474338251,0.0467592195376119,345,20,0.862873659765031,0,20,0,0,6880.6125427984,6900,1.00281769349473,0.000359988977214343,-0.124196197138986,-0.208865095517467,-0.154079605264151,-0.106848883523686,-0.0757684198216923,0,0,0.00466754763070132,-7.00152587890625,-7.11785888671875,-8.6693115234375,-13.1367797851562,-8.31573486328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0526477814978769,331.816587371849,-0.00015866530939539,0.120691765514849,29.5200204481886,43.5527687022228,-42.3837238530573,1.16904484916549,0.00326401580568597,0.0348530068937189,41.7135417202656,0.999322231263472,0.138779431592014,0.00289334735286249,0.00687737857388449,399.938097993736,21.9247045429628,-0.0619020062637219,46.5573585577402,43.5367036548501,49.677412817672,0,0.517349649606684,0.046873723907123,345,20,0.862950380079063,0,20,0,0,6919.60708954159,6900,0.997166444671226,0.000367343976208856,-0.126733671792067,-0.0326187982444139,0.170442438279345,0.158156049878187,0.0346249497501285,0,0,-0.00565124882350365,-7.15667724609375,-7.06378173828125,-8.82904052734375,-12.6839599609375,-8.27178955078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,0.00064543520264067,331.64501903883,1.94616281140378e-06,0.111188813280528,29.4856292058543,43.3290643919294,-42.6409996217862,0.688064770143193,0.00307475370890861,0.0330481996729182,41.6686565197148,0.99933145102916,0.139360847295522,0.00266840408516462,0.00636159947083481,400.018163400506,21.6843615040482,0.0181634005057276,46.5367825355546,43.5361009964858,49.6462163637282,0,0.512342245184879,0.0415995115326623,345,20,0.862775355480159,0,20,0,0,6908.55880174462,6900,0.99876113065109,0.000364675728671271,-0.12581312639162,0.0800654067694495,-0.0205760221855726,-0.034391242334376,-0.00950295223432106,0,0,0.00159468597986456,-7.77032470703125,-7.9501953125,-8.99383544921875,-13.2166748046875,-8.47821044921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0721903223954496,331.500113967364,0.000217768620141581,0.127218680491548,29.4548209683258,43.3172302474151,-42.1438430265863,1.17338722082879,0.00439012184365355,0.0311337976689302,41.6276434468308,0.999377454315849,0.135701785735136,0.00305611055437329,0.0052505032418928,400.135475206834,21.744594601373,0.135475206834371,46.3617319660939,43.3556905219064,49.5246087993362,0,0.512451134383106,0.0409780180792431,345,20,0.862519543046738,0,20,0,0,6899.1048144161,6900,1.00012975387503,0.000361354296197547,-0.124667232188187,0.117311806328644,-0.175050569460723,-0.0308082375285075,0.0160298672110193,0,0,0.00136862322393827,-7.94036865234375,-7.4730224609375,-8.23040771484375,-12.8192138671875,-8.54913330078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0711062235622322,331.657726185602,-0.00021439640312326,0.0876800398811844,29.4358586693053,43.4521778921101,-42.3797709909645,1.07240690114563,0.00250502641347913,0.0314418591871887,41.6003132094908,0.999375030182558,0.136668962155767,0.0021076773975149,0.00628018769331629,399.925204280589,21.5584178535354,-0.0747957194110995,46.3452385036419,43.315097856477,49.4059094866683,0,0.516395917128682,0.0458993453297166,345,20,0.862973300453953,0,20,0,0,6897.57920464223,6900,1.00035096303876,0.000361662239829919,-0.12477347274131,-0.210270926245471,-0.0164934624519901,-0.0189622990204512,-0.0395386406103633,0,0,0.000221209163734359,-7.45166015625,-8.19482421875,-9.7872314453125,-12.1897583007812,-8.8099365234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.140465523914026,331.301526939589,0.00042398091313246,-0.339141812327093,31.2725841679005,44.4921086054816,-46.4540911580968,-1.9619825526152,0.0315539089343044,0.033755450596301,44.1592789871502,0.999094450708758,0.136188392526495,-0.00767996715765625,0.00358859001943923,397.761413886602,33.6862835628975,-2.23858611339807,48.9562093654132,43.4786120431291,54.8085492466019,0,0.514322277800825,0.0452981487946497,345,20,0.867811091829649,0,20,0,0,7314.35510685148,6900,0.943350425184669,0.000526860500397186,-0.181766872637013,-2.16379039398697,2.6109708617713,1.83672549859523,-0.426821852208278,0,0,-0.057000537854094,-4.086181640625,-5.392822265625,9.01849365234375,-14.9775390625,-5.96710205078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0262868186713732,331.45624030005,-7.93070561820683e-05,0.264639535306707,29.1027762144261,42.3428391826327,-42.3958481620424,-0.0530089794096966,0.0114391474196835,0.0312983334986508,41.1150987462472,0.999043047701868,0.138752724426873,0.00643655356247593,0.00278482553273962,402.732461485529,28.9788879483771,2.73246148552937,46.1395122710618,41.3714970858331,49.814353839522,0,0.518707172684779,0.0436544833880066,345,20,0.85700726403387,0,20,0,0,6813.54284143145,6900,1.01268901665119,0.000419260740114336,-0.144644955339459,4.97104759892744,-2.81669709435134,-2.16980795347445,0.6037813476338,0,0,0.0693385914665258,-2.777099609375,-6.04443359375,6.53485107421875,-11.2861328125,-9.677490234375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.76,0.00356865054251244,331.377880887961,1.07691271757484e-05,-0.81212668277533,28.9480943441526,39.8799045233857,-43.9733103497914,-4.09340582640566,0.0424450687278624,0.0308192557120112,40.8486332597976,0.999043272402937,0.145950729488511,-0.0198813673302164,0.00135384026217444,398.713590975187,32.9616614083845,-1.28640902481311,45.6302267888825,40.9921556205867,51.6501034490166,0,0.513837429838148,0.0444438244557571,345,20,0.865719820609647,0,20,0,0,6767.12777247524,6900,1.01963495178342,0.000505096967151175,-0.174258453667164,-4.01887051034248,-0.509285482179308,-0.154681870273475,-1.07676621808204,0,0,0.0069459351322203,-4.21319580078125,-7.13433837890625,9.47564697265625,-13.6266479492188,-11.542236328125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.78,0.0814441775979768,331.164064701801,0.000245933017132502,-0.097920494767019,30.2951651138501,43.6340752818435,-44.7750693849767,-1.14099410313325,0.0230484717067295,0.034562256022984,42.7917912908826,0.999022754544375,0.135397478185425,-0.00228830090568988,-0.000310275228524226,399.783134229593,30.9089525355525,-0.216865770407253,47.5516385636839,43.6338065935224,52.5187745617398,0,0.51640632816413,0.0444818771042476,345,20,0.863372121338163,0,20,0,0,7084.67632581238,6900,0.973932990397948,0.000468442536298408,-0.161612675022923,1.06954325440586,1.92141177480138,1.34707076969744,0.714206188008311,0,0,-0.0457019613854669,-5.79815673828125,-5.85107421875,3.85919189453125,-10.70361328125,-11.9219360351562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
