t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.152040309270354,332.038317788138,-0.000457899890239072,0.0133970340531529,29.4196189213566,42.4891494466572,-42.4863057176529,0.00284372900436836,0.000300216284606605,0.0288922927193861,41.5833469614538,0.999476052087764,0.141392658511096,0.000322173058016986,0.00708174681423746,400.074235354074,21.4757941681272,0.074235354074176,46.5837179348039,43.5976177595702,49.6543041671144,0,0.511854616241242,0.0419547672404411,345,20,0.862650440117955,0,20,0,0,6902.6154210933,6900,0.999621097086576,0.000360044081294086,-0.124215208046451,0.166360031677812,-0.0706567759713082,-0.0835153105314674,0.0190690827311315,0,0,0.00221358583252229,-6.8966064453125,-7.64141845703125,-10.3590698242188,-13.6778564453125,-8.15264892578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0777638642090722,331.683608833824,0.000234451935935225,-0.0227810276678398,29.4289009057337,42.392477954663,-42.5243624019054,-0.131884447242442,0.000860122195550943,0.0292147844222662,41.5963340355889,0.999468191037454,0.141654113195912,-0.000547669120272687,0.00638096693128842,399.94652595198,21.5334463534656,-0.0534740480198366,46.5892783283682,43.5671829549096,49.6720266812604,0,0.512576582057788,0.0418801973657492,345,20,0.862926549447212,0,20,0,0,6897.62286549986,6900,1.00034463097599,0.000360798849687205,-0.124475603142059,-0.127709402094013,0.00556039356435178,0.00928198437711458,-0.0361780617209927,0,0,0.000723533889412931,-7.24163818359375,-7.16473388671875,-8.5465087890625,-13.736328125,-8.852783203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0446664098275014,331.812939396487,-0.000134613224875263,0.00557972783139238,29.4645193651423,42.4541467179767,-42.7053983557354,-0.251251637758656,0.000610261466561001,0.0293852137962573,41.6462871465169,0.999487843529022,0.141793547122841,0.000133978998218069,0.00855974745372023,399.973451757961,21.5402028093595,-0.0265482420387002,46.6641080814627,43.6630531360419,49.7261856529308,0,0.512748922107511,0.0422463600888147,345,20,0.862869392416724,0,20,0,0,6908.3782534282,6900,0.99878723296252,0.000361882032498428,-0.124849301211952,0.0269258059811364,0.0748297530944413,0.0356184594086031,0.0283607554992322,0,0,-0.00155739801346955,-7.07391357421875,-7.70721435546875,-9.28570556640625,-13.6048583984375,-8.70806884765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00387182860146353,331.650763245499,-1.16744148681409e-05,-0.0152983575474472,29.4959763576025,42.4686556229883,-42.6030190726314,-0.134363449643125,0.00151121480894043,0.028819400917521,41.6911214010448,0.99944772188746,0.140921201841601,-0.000366945215991812,0.00677077744190457,400.009850418952,21.6073649882664,0.00985041895216909,46.6664026154263,43.6858102750106,49.7202393175744,0,0.512213109151847,0.0415627070931286,345,20,0.862791197781006,0,20,0,0,6912.5089963327,6900,0.99819038263251,0.00036225497730058,-0.124977967168718,0.0363986609908693,0.00229453396359247,0.0314569924601891,-0.0208780853788396,0,0,-0.00059685033000989,-7.18414306640625,-7.93310546875,-8.73980712890625,-13.3928833007812,-8.79339599609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0734277948136787,331.501129376698,0.000221500888855916,0.026742959661615,29.4376893759171,42.6265425358704,-42.4161155697448,0.210426966125546,0.001507255315522,0.0285390712931214,41.6095627682121,0.999486948880678,0.137984560838224,0.00064271186435166,0.00644820449064154,400.148206181071,21.5313797281285,0.148206181070634,46.4770292839962,43.4753985228612,49.5847782073269,0,0.512316746818515,0.040846242050181,345,20,0.862489914791781,0,20,0,0,6896.2451004857,6900,1.00054448463759,0.000358818125204996,-0.123792253195688,0.138355762118465,-0.189373331430076,-0.0582869816853915,0.0420413172090622,0,0,0.00235410200508424,-7.445556640625,-7.59869384765625,-8.2125244140625,-13.3078002929688,-9.01971435546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0761311426547231,331.665419069529,-0.000229541997077371,-0.011386734090974,29.4450882124809,42.3317129124601,-42.5400293899342,-0.208316477474085,0.0015121789340742,0.0288136054428635,41.619470201747,0.999468449941735,0.138523992130848,-0.000273591519444572,0.00673277553911689,399.911368164732,21.5348263704064,-0.0886318352681883,46.4753788130359,43.4252188156046,49.5768221015716,0,0.516276713427476,0.0458308162203387,345,20,0.863002085148503,0,20,0,0,6900.94878917304,6900,0.99986251322796,0.000360419132620304,-0.124344600754,-0.236838016338822,-0.00165047096031401,0.00739883656377316,-0.038129693752589,0,0,-0.00068197140963433,-6.604736328125,-7.98419189453125,-8.5452880859375,-12.9234008789062,-8.74322509765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.146520698363073,331.299639462209,0.000442260361650005,-0.41064521182342,31.3912355366282,43.7378615348423,-46.9874001716285,-3.24953863678627,0.037704684297603,0.0337724786713289,44.3207898298597,0.999147739508261,0.130045438733745,-0.00926529543809621,0.00379541660692695,397.994468166769,34.0445275225263,-2.00553183323069,48.9331462335017,43.5922793702002,54.7358816010181,0,0.514738692809537,0.0453613784881892,345,20,0.867311040626646,0,20,0,0,7341.01042917271,6900,0.939925105211653,0.000536221302519069,-0.184996349369044,-1.9168999979625,2.45776742046584,1.94614732414727,-0.399258477732446,0,0,-0.0599374080163069,-4.37872314453125,-5.7806396484375,8.9808349609375,-15.4293212890625,-7.0455322265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0202959837814464,331.449710767483,-6.12339764438183e-05,-0.0792676216481339,28.8512811207425,40.6130853736544,-42.4982209541938,-1.88513558053938,0.0239990490756864,0.0278177518159219,40.7573623945102,0.99908252453751,0.146690672309039,-0.00194486632576624,0.00506689629562374,402.366258571938,30.5568920618761,2.36625857193758,46.0543558397475,41.8511718320464,50.1318114914401,0,0.518136363878638,0.0436567099834166,345,20,0.857804774281155,0,20,0,0,6754.18069430037,6900,1.02158948839238,0.00043970322508291,-0.151697612653606,4.37179040516827,-2.87879039375415,-2.53995441588568,0.331377590175286,0,0,0.0816643831807268,-2.39642333984375,-5.72705078125,8.5465087890625,-11.5601196289062,-9.8883056640625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.76,1.61315534043638e-05,331.384319582834,4.86792900299904e-08,-0.89594166493806,29.3242802075274,39.8489801019726,-44.8807525454336,-5.03177244346094,0.0471911842462365,0.0300169363012172,41.3742255583574,0.999070631342791,0.14059586665879,-0.0216545845353493,0.00254601624728235,398.834614213734,32.2252663087912,-1.16538578626563,46.0692626519704,41.4786131528686,52.0604805693099,0,0.513767848237131,0.0442091924807107,345,20,0.865460399007261,0,20,0,0,6854.2871233917,6900,1.00666923865099,0.000508882189349302,-0.175564355325491,-3.53164435820321,0.0149068122228329,0.472999086784895,-0.816674043289926,0,0,-0.0149202497413907,-4.8594970703125,-7.99005126953125,7.3817138671875,-13.442626953125,-12.1652221679688,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.78,0.076895473402125,331.169526300876,0.000232193687206182,-0.283059277625871,29.9956261392633,41.9835502588505,-44.6465662433644,-2.66301598451388,0.0324853197599875,0.029095466984385,42.3646329843726,0.999128753083007,0.136864733710331,-0.00668149958316139,0.00449361977791218,400.029174680199,30.9644916953453,0.0291746801989348,47.2163542391833,43.4476600727613,52.2643773830594,0,0.51648219188013,0.0443794730087697,345,20,0.862842799726963,0,20,0,0,7014.24772430064,6900,0.983712048848113,0.000470414647910866,-0.162293053529254,1.19456046646457,1.1470915872129,0.67134593173591,0.612882387312189,0,0,-0.0229571898028756,-5.58197021484375,-6.56134033203125,3.9874267578125,-10.9521484375,-12.6787719726562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
