t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.148052376514646,332.013020248284,-0.000445923405063846,0.0320546901571949,29.5379897031647,43.6942614378016,-43.5705332757074,0.123728162094274,0.000966412718228841,0.0565362735516802,41.6965579083401,0.998899496035808,0.14414513998236,0.000768761062427729,0.00903103534040772,400.037776260102,22.296508491327,0.0377762601020208,46.6888350259669,43.5903543926201,49.8986397355198,0,0.516998525864198,0.0469689643691892,345,20,0.862747752045962,0,20,0,0,6919.9571992508,6900,0.997115993831152,0.000381716527155129,-0.131692201868532,0.288766532770637,0.145511197424213,0.0431623665772776,0.0748137708292656,0,0,-0.00207180149485586,-6.86328125,-7.96282958984375,-10.5288696289062,-12.992431640625,-9.39111328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0796131474682115,331.661081070834,0.000240043683181532,-0.0024122930494913,29.4418326360756,43.4169494784592,-43.4721464293825,-0.055196950923289,0.000424715087732731,0.0572590567397947,41.5597823011829,0.998881179106252,0.144597100059011,-5.80439289120779e-05,0.00772778152059805,400.047313255128,22.124498920008,0.0473132551284721,46.5429928913827,43.5106823480515,49.6939256443413,0,0.517757786223416,0.0468047495920249,345,20,0.862723578145008,0,20,0,0,6890.23104971978,6900,1.00141779719863,0.000377534836988769,-0.130249518761161,0.00953699502645122,-0.145842134584235,-0.0961570670891021,-0.0344669832066862,0,0,0.00430180336748076,-6.9405517578125,-8.0413818359375,-9.1856689453125,-13.1034545898438,-9.97918701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0479166419623985,331.792220680846,-0.000144417617339166,-0.0183687771238164,29.5206778811871,43.5257083045959,-43.7729644772129,-0.247256172617,0.0014685826652308,0.0570855555058473,41.6708469184619,0.998874772533823,0.144559895294451,-0.000440806426607045,0.0100917544439794,399.905560975621,22.1923559863158,-0.094439024378687,46.6487605530635,43.536431413151,49.8621272371856,0,0.517577594577012,0.0470713768210535,345,20,0.863032592580933,0,20,0,0,6911.04089970812,6900,0.998402425934336,0.000381255293689042,-0.131533076322739,-0.141752279507159,0.105767661680879,0.0788452451114843,-0.0159564840743251,0,0,-0.00301537126429685,-6.84234619140625,-8.51336669921875,-9.75982666015625,-12.7718505859375,-9.77117919921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.0042855237000677,331.632991484748,-1.29224890469463e-05,-0.0130325357198867,29.5507810229619,43.6878383594016,-43.6489022174665,0.0389361419350465,0.00102288159672264,0.0570226216794147,41.7132644883648,0.998851020875355,0.144007839947229,-0.00031243145027697,0.00909355403745282,400.027843659902,22.2401866645391,0.0278436599016914,46.678953700693,43.6088319603376,49.8548199911405,0,0.517971377873773,0.0471753576071559,345,20,0.862769071900386,0,20,0,0,6914.78353750695,6900,0.997862039002847,0.000381598286278928,-0.131651408766231,0.122282684280378,0.0301931476294754,0.0301031417748732,0.00533624140392972,0,0,-0.000540386931488945,-7.21807861328125,-8.5865478515625,-9.35693359375,-12.358154296875,-10.0303344726562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0732768685839066,331.479237871312,0.000221060205925641,0.0219332847042228,29.4646067512081,43.483424434787,-43.574053013304,-0.0906285785169345,0.00056633763955517,0.0563021727218865,41.5943901892043,0.998920710706564,0.141694416323997,0.000527313529647937,0.00825764239960947,400.133115018179,22.0932349964332,0.133115018179012,46.4744348182807,43.4352769526944,49.6638921631696,0,0.517377415533242,0.0457818328523672,345,20,0.862537940848064,0,20,0,0,6892.37432671862,6900,1.00110639279295,0.00037679157362791,-0.129993092901657,0.105271358277321,-0.204518882412316,-0.0861742717538121,0.0349658204241095,0,0,0.00324435379010024,-7.3048095703125,-8.509765625,-9.18450927734375,-12.504150390625,-10.5257568359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0745491943774906,331.641011506345,-0.000224788828254024,-0.0146127350365886,29.4942172841041,43.43170983153,-43.5618442746384,-0.130134443108375,0.00118135498930067,0.0565089339919242,41.6354875472376,0.9989144364661,0.14171247576317,-0.0003509682700367,0.00831098226081384,399.914997388033,22.1036714649154,-0.0850026119668428,46.4947426762763,43.3974858338524,49.6960098001134,0,0.516711866993819,0.0461215728159552,345,20,0.863010244504204,0,20,0,0,6902.19772322553,6900,0.999681590804312,0.000378955584767304,-0.130739676744724,-0.218117630145855,0.0203078579955687,0.0296105328960152,-0.0365460197408114,0,0,-0.00142480198863515,-7.44378662109375,-9.1063232421875,-10.0656127929688,-12.3432006835938,-10.2738647460938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.14117164391036,331.285608480056,0.000426132739535707,-0.364972751943697,31.3343159598359,44.7562225797168,-47.7162363072559,-2.96001372753918,0.0356215527001485,0.0582699106603215,44.191507312265,0.998737822382196,0.136085696720259,-0.00825888896173499,0.00696333568353413,397.956675584532,34.1369570582723,-2.04332441546785,48.9482469364426,43.5533374221685,54.8325104480105,0,0.514162221795844,0.044681837432845,345,20,0.867404662572424,0,20,0,0,7318.37672278401,6900,0.942832032480441,0.000549205518390217,-0.189475903844595,-1.95832180350101,2.45350426016635,1.8400986757318,-0.350360016907108,0,0,-0.0568495583238706,-5.21868896484375,-6.557373046875,7.74542236328125,-15.328125,-6.755615234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0192923271861504,331.425428937581,-5.82101598178329e-05,0.0636958975676068,29.0576289235292,42.2956015817169,-43.3914610465491,-1.09585946483219,0.0177308285595526,0.0547342518655417,41.0070442418954,0.998650149438487,0.143827237266936,0.00155329160501968,0.00739495917065147,402.50937316706,30.0645800871042,2.50937316705989,46.137494714686,41.552154230852,50.1223467851298,0,0.518454680958174,0.0435692774992019,345,20,0.85750389468643,0,20,0,0,6793.99414328639,6900,1.01560287725864,0.00044450764796311,-0.153355138547283,4.55269758252774,-2.81075222175667,-2.27668703630675,0.428668649511303,0,0,0.0727708447781974,-3.3206787109375,-6.69464111328125,5.89886474609375,-10.93017578125,-10.4143676757812,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.76,-0.00489090430367227,331.372642183873,-1.4759529547881e-05,-0.81362025237095,29.114024922977,40.8484592013014,-45.1085288651475,-4.26006966384607,0.0420147482401885,0.0565733955315787,41.0393213798588,0.998714218813473,0.142939814660915,-0.0198253827065049,0.00527033240774344,398.934687443479,32.8234497809513,-1.06531255652129,45.7052771428071,41.196099078681,51.6988116539896,0,0.513762239337116,0.0439550181526206,345,20,0.865249831759233,0,20,0,0,6797.74793361442,6900,1.01504205030609,0.000516438241716433,-0.178171193392131,-3.57468572358118,-0.432217571878866,0.0563959994478225,-0.877316149938556,0,0,-0.000560826952544557,-5.45648193359375,-7.90667724609375,7.3251953125,-13.5247802734375,-12.2291259765625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.78,0.083152987277609,331.139558398405,0.000251111608893205,-0.301094862044235,30.2002399025277,43.2515629589828,-45.8459195038164,-2.59435654483366,0.0312233522801081,0.0562326947578283,42.6029714754393,0.99871202580327,0.139470207089277,-0.00706746153182805,0.00704668532276864,399.609186049722,31.7131970068355,-0.390813950277789,47.4568254324596,43.491027624478,52.7461241250604,0,0.51571631720082,0.0438983144951687,345,20,0.863769785394693,0,20,0,0,7052.05511379217,6900,0.978438184140849,0.0004937416693227,-0.170340875916338,0.674498606243503,1.75154828965253,1.08621497955074,0.512525390326715,0,0,-0.0366038661652448,-6.67242431640625,-7.80902099609375,2.5482177734375,-10.7017211914062,-12.8157348632812,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.8,-0.0413022594706847,331.280096992451,-0.000124674738523836,-0.303101825599147,29.2918552103725,41.9500803556693,-44.3716798323402,-2.42159947667089,0.0277609607861756,0.0556880902710305,41.3266245722842,0.998689755011904,0.143013472449403,-0.00733429910466054,0.00602331070589779,400.80651860765,30.7432949143634,0.806518607650048,46.2735278686328,42.7303719162029,51.1422324340919,0,0.517026832860634,0.0443420465032789,345,20,0.861172083492982,0,20,0,0,6843.49182042694,6900,1.00825721445365,0.000473578860633816,-0.163384706918634,1.19733255792784,-1.18329756382681,-0.908384692155259,-0.00200696355491187,0,0,0.0298190303128003,-4.7540283203125,-7.4197998046875,6.05224609375,-11.7504272460938,-10.5252685546875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.82,0.0853764541222182,331.090065457682,0.000257864741438854,-0.550379419686813,29.5278204876626,41.8489480550631,-45.2728460332555,-3.4238979781924,0.0364735172467549,0.0562390179880362,41.6418649281956,0.998701343122807,0.141679368591878,-0.0132169733664871,0.00598356822793411,399.510079288228,31.1505689667601,-0.489920711772356,46.4206198030284,42.3755140435576,51.9666230247788,0,0.515288701987172,0.0440524337254488,345,20,0.863987737126378,0,20,0,0,6891.95362240716,6900,1.00116750315421,0.000497998154828316,-0.171809363415775,-1.2964393194224,0.147091934395547,0.235965277290138,-0.247277594087667,0,0,-0.00708971129943792,-6.466796875,-7.90924072265625,4.54815673828125,-11.87939453125,-12.6975708007812,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.84,-0.0079549875270915,331.085231775982,-2.40270080438804e-05,-0.319175938436857,29.7542173212557,42.5139556386279,-45.1903220555275,-2.67636641689963,0.0309576871327175,0.0562891531650715,41.9722561808043,0.99864650196319,0.141428554909181,-0.00760445035553819,0.00631247161835091,400.006087276734,30.8486949582395,0.00608727673369458,46.8540786060005,43.2211054203837,52.0380141976076,0,0.516035245800568,0.0438318731687701,345,20,0.862904185610689,0,20,0,0,6946.52190129347,6900,0.993302849691612,0.000483846321298831,-0.166926980848075,0.496007988506051,0.433458802972119,0.226396833593117,0.231203481249956,0,0,-0.00786465346260024,-6.51641845703125,-8.379150390625,3.29437255859375,-10.7720336914062,-12.127197265625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.86,0.000620869178227821,331.086269523131,1.87524894681398e-06,-0.392193610204576,29.4833100011541,42.1538124110431,-44.8821755729795,-2.72836316193636,0.030903488201451,0.0556816357229348,41.5923164382102,0.998725204134829,0.142182704391874,-0.00942947264760359,0.00632476959216266,400.193680643473,30.687779761354,0.193680643473442,46.4673883133735,42.9829711591054,51.6298003591751,0,0.516103877478326,0.0439131935148482,345,20,0.862499194264995,0,20,0,0,6883.42200812268,6900,1.00240839394385,0.000483266970836338,-0.166727104938502,0.187593366739748,-0.386690292626938,-0.270907320101671,-0.073017671767719,0,0,0.00910554425223686,-6.0787353515625,-8.30987548828125,4.46038818359375,-11.1868286132812,-11.4765625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
