t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.130530490118308,331.972713864797,-0.00039319644255904,0.018923695250487,29.7130916762148,44.554507560096,-44.5202894066616,0.0342181534344661,0.000582607892520585,0.0969963194704364,41.7152960591902,0.994643948261275,0.214292270839675,0.000453639241194309,0.0305297044448798,400.024364145084,23.1378497923098,0.0243641450843484,48.9714730606004,45.776823692056,52.290235289409,0,0.418031574653499,-0.0522507391759321,345,20,0.862801460547584,0,20,0,0,6918.26128978218,6900,0.99736042207467,0.000410451127528688,-0.141605638997362,0.163132150313288,0.0970497656465525,0.0486928245351734,0.0508103722519112,0,0,-0.00236789546031857,0.0977599114092517,0.0085394316895411,-2.28694565251388,0.000706489789665921,0,-7.7742919921875,-7.80694580078125,-6.4246826171875,-9.8021240234375,-9.11053466796875,0,0,0,0,0,0,0,0,0,0,0.16845703125,-0.48565673828125,0.030181884765625,-0.28607177734375,-0.55169677734375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0.0251467152046617,331.669582399013,7.58185752904197e-05,-0.00712379914864879,29.6337471537316,44.341297712649,-44.4821194055807,-0.140821692931716,0.000227759522160039,0.0973488355574601,41.6025184506665,0.994619464890712,0.215022826401737,-0.000171234805342287,0.0300841358931199,400.027939775164,22.9718823781412,0.0279397751640431,48.8629300729713,45.7272013223199,52.1358426477936,0,0.418735282130773,-0.0523657926085897,345,20,0.862790323285748,0,20,0,0,6892.8918656532,6900,1.00103122673115,0.000406479657812708,-0.14023548194541,0.00357563007969475,-0.108542987629079,-0.0793445224832183,-0.0260474943991358,0,0,0.00367080465648206,0.0721910890268486,0.00633679940638175,0.596831539917865,-0.000443041773006247,0,-8.23016357421875,-7.5767822265625,-6.0333251953125,-9.74810791015625,-9.0235595703125,0,0,0,0,0,0,0,0,0,0,-0.22454833984375,-0.344970703125,-0.011627197265625,-0.2498779296875,-0.5625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,333.979352267873,0,0
0.64,-0.023004047650154,331.731223709169,-6.93454399406243e-05,-0.00915342055481352,29.7047147099125,44.5173201603442,-44.4747985538778,0.042521606466444,0.000552433469966747,0.0971572641115753,41.7023846455171,0.994628120894764,0.214525121780055,-0.00021949393620102,0.0314146525423769,399.934521234245,22.9887272588549,-0.0654787657550173,48.9504593530679,45.7625338904079,52.2558370253857,0,0.418374089027802,-0.0524342539353631,345,20,0.862994575187451,0,20,0,0,6911.16537456231,6900,0.998384444018167,0.000409629725634852,-0.141322255344051,-0.0934185409190604,0.0875292800965397,0.0709675561808787,-0.00202962140616473,0,0,-0.00264678271298446,0.0146720294769736,0.00128313616296377,-2.40336703210411,0.000864927917326341,0,-7.960693359375,-8.13238525390625,-6.435302734375,-9.8948974609375,-9.38189697265625,0,0,0,0,0,0,0,0,0,0,0.20037841796875,-0.4951171875,0.053497314453125,-0.25006103515625,-0.54327392578125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.923371145416,0,0
0.66,0.00619432111508402,331.624652791805,1.86787111963381e-05,0.0158714086641515,29.7083734343502,44.5200353189248,-44.5084439015341,0.0115914173907257,0.00053696776191823,0.0970514716129982,41.7080845251673,0.994633411318045,0.214590367718954,0.000380535544723337,0.030789292502186,400.014064769786,22.9926556434311,0.0140647697855343,48.9691463509949,45.8237414018827,52.267929341351,0,0.418856606460279,-0.052228614180215,345,20,0.862822691279558,0,20,0,0,6909.46511621652,6900,0.998630123163325,0.000409309896643339,-0.141211914341966,0.0795435355405516,0.0186869979269844,0.00365872443765625,0.025024829218965,0,0,0.00024567914515794,0.0336373307025986,0.00294234610791527,-2.06629878815469,-0.00757743218131168,0,-7.96173095703125,-8.2188720703125,-6.5634765625,-9.73931884765625,-8.86895751953125,0,0,0,0,0,0,0,0,0,0,0.07574462890625,-0.42449951171875,-0.017669677734375,-0.26483154296875,-0.52020263671875,0,0,0,0,0,0,0.1,0,-0,-0,-0,-0,0,0,1,332.636763432218,0,0
0.68,0.0771579666597928,331.435448965565,0.000232799378885417,0.005394626700879,29.6772235483828,44.4656945750607,-44.4486793713894,0.0170152036712636,0.000530226296266306,0.097204625600296,41.6639389644539,0.994623891808624,0.214700822587296,0.000129479517178668,0.0302636182559262,400.011263266445,22.9724719757542,0.0112632664449279,48.9172025209696,45.7796810309813,52.1958818194479,0,0.418468428534329,-0.0530859583587194,345,20,0.862827282360526,0,20,0,0,6898.66480646661,6900,1.00019354376113,0.000407626660254179,-0.140631197787684,-0.00280150334060636,-0.0519438300252943,-0.031149885967352,-0.0104767819632725,0,0,0.00156342059780112,0.0411846771616257,0.00361003996995973,0.296249545200267,0.000175730269933894,0,-8.49176025390625,-7.90338134765625,-6.47174072265625,-9.98736572265625,-9.5828857421875,0,0,0,0,0,0,0,0,0,0,-0.2667236328125,-0.37408447265625,-0.055694580078125,-0.2669677734375,-0.62310791015625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.62028213753,0,0
0.7,-0.0494475826138584,331.57916032104,-0.00014912753432991,0.00318403401937273,29.7081575013324,44.5340296473414,-44.4882178324854,0.0458118148560089,0.000465947802448477,0.0969341446729877,41.7081462941232,0.994638772947059,0.214273608336863,7.63408183360422e-05,0.0303828755217301,399.976472371375,22.9608263284873,-0.0235276286254589,48.9499089525676,45.8033462248364,52.2401354241217,0,0.418220750568249,-0.0527343985655314,345,20,0.862903273557914,0,20,0,0,6908.98024671032,6900,0.998700206631131,0.00040871697219047,-0.141007355405691,-0.0347908950703868,0.0327064315980508,0.0309339529495674,-0.00221059268150627,0,0,-0.00149333712999566,0.0166012960384262,0.00145333721663798,-1.81640624297138,0.00121254098436341,0,-8.18731689453125,-8.3607177734375,-7.09539794921875,-10.1317749023438,-9.51251220703125,0,0,0,0,0,0,0,0,0,0,-0.00469970703125,-0.46124267578125,-0.049713134765625,-0.30828857421875,-0.613525390625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.501225242713,0,0
0.72,0.0203851745007766,331.290594259194,6.15326086946729e-05,4.5386639778372,32.7767821340615,51.3268243992285,-44.3627849987441,6.96403940048442,0.0877750558991793,0.154806631319941,44.2921335250876,0.960654530559762,0.161864501029227,0.102471107544784,-0.0273043873055703,405.631502914713,34.090897609297,5.63150291471283,44.6629814517589,35.0932304197515,52.601558791994,0,0.329855979542326,-0.148920357299005,345,20,0.851051449068313,0,20,0,0,7320.60167389826,6900,0.942545477457416,0.000618198096591138,-0.213278343323907,5.65503054333828,-4.28692750080872,3.06862463272915,4.53547994381783,0,0,-0.0561547291737141,5.63031298965267,0.436483281074769,-2.16453000941854,-0.0419415284277792,0,-3.228759765625,-3.638916015625,1.78814697265625,-7.61468505859375,-5.3260498046875,0,0,0,0,0,0,0,0,0,0,-0.08746337890625,-0.11663818359375,-0.455108642578125,-0.4151611328125,0.29827880859375,0,0,0,0,0,0,0.1,-0,-0,-0,-0,0,0,0,1,333.476846365889,0,0
0.74,0.0505742352168379,331.219055705447,0.000152691200417568,1.83865411892802,28.0465232574872,38.8437357637688,-40.994288432857,-2.15055266908828,0.161739012382135,0.144693895588233,37.8708022753807,0.956483909254154,0.165632134729406,0.0485507041957573,-0.0773487379884208,402.621088736645,30.0195574812477,2.62108873664459,35.3659283587016,31.5207378489507,38.549509396853,0,0.341068608001969,-0.134035057270249,345,20,0.857220201664074,0,20,0,0,6247.2212751526,6900,1.10449105227691,0.000391104003001352,-0.134930881035473,-3.01041417806823,-9.2970530930573,-4.73025887657436,-2.70000985890918,0,0,0.161945574819494,3.92405853188128,0.391451407784464,0.664841425823103,-0.0638687540798074,0,-3.82501220703125,-5.28253173828125,1.0540771484375,-6.151611328125,-4.13909912109375,0,0,0,0,0,0,0,0,0,0,0.0645751953125,0.06500244140625,-0.696868896484375,-0.1993408203125,0.63232421875,0,0,1,0,0,0,0.1,0,0,-0.696868896484375,-0,0,0,0,1,347.20244595811,0,0
0.76,-0.0784856857701561,331.414633691599,-0.000236820217912259,1.66981289635661,31.4598927687791,43.7874618891893,-46.3529459147534,-2.5654840255641,0.129763464281424,0.128205097767708,42.9617769795763,0.967497489298597,0.144451341920554,0.0388674075830343,-0.0587762776482119,396.532436620609,25.8911540022953,-3.46756337939087,39.7977363525679,33.9017639250051,44.3823590569673,0,0.353202046369735,-0.114045259908047,345,20,0.870455949175445,0,20,0,0,7099.71494191859,6900,0.971870005549178,0.000475415934621637,-0.164018497444488,-6.08865211603546,4.43180799386635,3.41336951129191,-0.168841222571412,0,0,-0.132621046727732,1.51960541137032,0.126454699061336,-2.85420007726456,-0.0601689236361432,0,-3.71044921875,-4.5853271484375,2.67303466796875,-6.8310546875,-5.07745361328125,0,0,0,0,0,0,0,0,0,0,0.06903076171875,0.00799560546875,-0.501251220703125,-0.00909423828125,0.5064697265625,0,0,1,0,0,0,0.1,0,0,-0.501251220703125,-0,0,0,0,1,342.551629481602,0,0
0.78,0.102119991515995,331.063880388263,0.000308460081468964,2.56703103327831,31.3990695660799,45.4794153189227,-44.4109010807347,1.06851423818801,0.118394171766276,0.134915622759403,42.7827490032249,0.96540139386544,0.137445338818516,0.0600015448536234,-0.0581797641136728,400.979608417965,27.2356843086308,0.97960841796538,40.7388750691455,36.4379692125475,45.3797761556464,0,0.355844636059266,-0.118640688563212,345,20,0.860785587596537,0,20,0,0,7064.44833306396,6900,0.976721702062101,0.000456428539964637,-0.15746784628783,4.44717179735625,0.941138716577584,-0.0608232026991828,0.897218136921698,0,0,0.00485169651292217,1.95839855685766,0.165519979635265,-2.16742757726716,-0.0541097139054035,0,-3.80950927734375,-4.23553466796875,2.992431640625,-7.64312744140625,-6.14520263671875,0,0,0,0,0,0,0,0,0,0,-0.11138916015625,-0.0606689453125,-0.449249267578125,-0.21795654296875,0.4481201171875,0,0,1,0,0,0,0.1,-0,-0,-0.449249267578125,-0,0,0,0,1,344.737170392382,0,0
