t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.148052376514906,332.013020248284,-0.000445923405064628,0.0320546901567476,29.5379897031661,43.6942614378087,-43.5705332757069,0.12372816210182,0.000966412718338734,0.0565362735516841,41.6965579083422,0.998899496035808,0.144145139982438,0.000768761062416964,0.00903103534037708,400.037776260101,22.29650849133,0.0377762601012819,46.6888350259728,43.5903543926258,49.8986397355266,0,0.51699852586422,0.0469689643692121,345,20,0.862747752045964,0,20,0,0,6919.95719925114,6900,0.997115993831103,0.000381716527155129,-0.131692201868532,0.288766532769614,0.145511197426266,0.0431623665781373,0.0748137708293566,0,0,-0.00207180149488251,0.12522057962147,0.0113404138377754,-2.17903473942442,0.0002386776453569,0,-7.15008544921875,-7.03802490234375,-4.71826171875,-10.6626586914062,-10.3555297851562,0,0,0,0,0,0,0,0,0,0,0.52703857421875,-0.43817138671875,0.506683349609375,-0.1142578125,-0.341796875,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.748159486924,0,0
0.62,0.0796131474683085,331.661081070833,0.000240043683181824,-0.00241229304996079,29.4418326360754,43.4169494784594,-43.4721464293816,-0.0551969509221664,0.000424715087722432,0.0572590567397926,41.5597823011828,0.998881179106252,0.144597100059132,-5.80439289233749e-05,0.0077277815205985,400.047313255129,22.1244989200081,0.0473132551286994,46.5429928913881,43.510682348057,49.6939256443467,0,0.517757786223452,0.0468047495920603,345,20,0.862723578145008,0,20,0,0,6890.23104971975,6900,1.00141779719864,0.000377534836990323,-0.130249518761673,0.00953699502741756,-0.145842134584711,-0.0961570670906617,-0.0344669832067084,0,0,0.0043018033675335,0.0736822759540225,0.00670952047025933,0.546727409774709,0.000452669278077966,0,-8.205810546875,-7.0015869140625,-6.04754638671875,-12.6467895507812,-10.8495483398438,0,0,0,0,0,0,0,0,0,0,-0.06085205078125,-0.4774169921875,0.505706787109375,-0.2333984375,-0.47509765625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.726330086352,0,0
0.64,-0.0479166419623013,331.792220680845,-0.000144417617338873,-0.0183687771229607,29.5206778811868,43.5257083045978,-43.7729644772105,-0.247256172612659,0.00146858266520879,0.0570855555058447,41.6708469184616,0.998874772533823,0.144559895294596,-0.000440806426586513,0.0100917544439567,399.905560975621,22.1923559863133,-0.0944390243790281,46.6487605530692,43.5364314131567,49.8621272371909,0,0.517577594577058,0.0470713768210994,345,20,0.863032592580934,0,20,0,0,6911.04089970806,6900,0.998402425934343,0.000381255293689486,-0.13153307632291,-0.141752279507728,0.105767661681078,0.0788452451113919,-0.0159564840729999,0,0,-0.00301537126429341,0.0254675241488807,0.00230841102885946,2.28168117902084,3.02178876206982e-05,0,-8.1259765625,-8.1717529296875,-5.92095947265625,-12.8964233398438,-10.0150146484375,0,0,0,0,0,0,0,0,0,0,0.03173828125,-0.48089599609375,0.377410888671875,-0.3262939453125,-0.2054443359375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.794251177053,0,0
0.66,-0.0042855237002415,331.632991484748,-1.29224890474704e-05,-0.0130325357208696,29.5507810229627,43.6878383594034,-43.6489022174693,0.0389361419341228,0.00102288159676242,0.0570226216794357,41.7132644883658,0.998851020875356,0.144007839947342,-0.000312431450300528,0.00909355403748302,400.027843659902,22.2401866645418,0.0278436599019756,46.6789537006993,43.6088319603431,49.8548199911469,0,0.517971377873812,0.0471753576071946,345,20,0.862769071900387,0,20,0,0,6914.78353750712,6900,0.997862039002822,0.000381598286280482,-0.131651408766743,0.122282684281004,0.0301931476300652,0.0301031417758324,0.00533624140209103,0,0,-0.000540386931521142,0.0364220223092967,0.00329884644663124,-2.80831023832518,0.010308103848813,0,-7.536865234375,-7.92730712890625,-4.781494140625,-10.37109375,-10.5787353515625,0,0,0,0,0,0,0,0,0,0,0.6185302734375,-0.41558837890625,0.391021728515625,-0.02056884765625,-0.3089599609375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.309059255602,0,0
0.68,0.0732768685838532,331.479237871312,0.00022106020592548,0.0219332847024553,29.4646067512078,43.4834244347834,-43.5740530133073,-0.0906285785239263,0.000566337639565141,0.0563021727218927,41.5943901892038,0.998920710706564,0.141694416324142,0.00052731352960545,0.00825764239961924,400.133115018179,22.0932349964342,0.133115018178842,46.4744348182865,43.4352769527003,49.6638921631744,0,0.517377415533288,0.0457818328524134,345,20,0.862537940848065,0,20,0,0,6892.37432671854,6900,1.00110639279296,0.000376791573628354,-0.129993092901771,0.105271358276866,-0.204518882412742,-0.0861742717548886,0.034965820423325,0,0,0.00324435379013743,0.0674222175285529,0.00614410192332741,0.00711741544595812,0.000329236700496893,0,-8.36468505859375,-7.0211181640625,-5.9632568359375,-12.5744018554688,-11.14111328125,0,0,0,0,0,0,0,0,0,0,-0.03509521484375,-0.49884033203125,0.500518798828125,-0.23211669921875,-0.56524658203125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.108009398906,0,0
0.7,-0.0745491943774663,331.641011506345,-0.000224788828253951,-0.0146127350382619,29.494217284104,43.4317098315275,-43.5618442746398,-0.130134443112283,0.00118135498932856,0.0565089339919275,41.6354875472375,0.998914436466101,0.141712475763307,-0.000350968270076891,0.00831098226083604,399.914997388033,22.1036714649182,-0.0850026119668428,46.4947426762823,43.3974858338581,49.6960098001202,0,0.516711866993863,0.0461215728160003,345,20,0.863010244504205,0,20,0,0,6902.1977232255,6900,0.999681590804316,0.000378955584768415,-0.130739676745065,-0.218117630145684,0.0203078579957747,0.0296105328962497,-0.0365460197407172,0,0,-0.00142480198864348,0.0497836872309593,0.00452609461729835,1.11542200297792,-9.52453186781055e-05,0,-8.17578125,-7.51080322265625,-6.10638427734375,-12.678466796875,-10.6158447265625,0,0,0,0,0,0,0,0,0,0,-0.0718994140625,-0.48223876953125,0.429107666015625,-0.23406982421875,-0.3975830078125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.690201335942,0,0
0.72,0.0865004335212212,331.372688753333,0.000261036701143498,1.53967280424627,29.5557154828719,44.1792735524212,-42.4512403367701,1.72803321565114,0.0396856211511859,0.0502376120456717,41.5287299132234,0.994914695917761,0.161749106610058,0.0370748830379235,0.00349181089252681,400.664674268263,25.8354665462646,0.664674268262729,46.3224007330055,42.6793735753086,50.6381827992741,0,0.510059166728778,0.0370791275509856,345,20,0.861408047762645,0,20,0,0,6879.22192451502,6900,1.00302041069658,0.00039355034458044,-0.135774868880276,0.749676880229572,-0.172341943276791,0.0614981987678753,1.55428553928453,0,0,0.00333881989226825,2.35758326114563,0.217890829914777,-2.60881046494888,-0.025082101474298,0,-5.1064453125,-3.70367431640625,2.1827392578125,-8.05419921875,-5.6363525390625,0,0,0,0,0,0,0,0,0,0,0.51776123046875,0.024169921875,0.213470458984375,-0.175048828125,0.0150146484375,0,0,0,0,0,0,0.1,0,0,0,-0,0,0,0,1,332.096360057501,0,0
0.74,-0.00787241704633445,331.421230255293,-2.37535086097844e-05,1.36914457173926,29.5570745112724,43.763768005585,-42.901996307963,0.861771697621997,0.0493257162359474,0.0509334595645585,41.5127785644129,0.994435191404817,0.162390519046341,0.0329812799597318,0.00173519086687834,399.722501719609,25.3304907679945,-0.277498280391455,46.1718177132347,42.6101938945332,50.0135713652635,0,0.509317131359826,0.0374191096240442,345,20,0.86343888773005,0,20,0,0,6877.30598535022,6900,1.00329984076586,0.000394064595511834,-0.135952285451594,-0.942172548654185,-0.15058301977087,0.00135902840050406,-0.170528232507013,0,0,0.000279430069279218,2.14632959257034,0.197812414707953,-2.7554390686244,-0.0236684476065167,0,-5.10577392578125,-3.50494384765625,2.771484375,-7.75592041015625,-5.73626708984375,0,0,0,0,0,0,0,0,0,0,0.46002197265625,0.0977783203125,0.126068115234375,-0.1185302734375,0.0439453125,0,0,1,0,0,0,0.1,0,0,0.126068115234375,-0,0,0,0,1,337.207168201599,0,0
0.76,-0.0283935872220839,331.412814039721,-8.56743795630088e-05,1.4164022739019,29.8671533232697,44.5217472363563,-43.141059781307,1.38068745504925,0.0425609475659279,0.0495336864500079,41.9764535291242,0.995055475051268,0.159692285782016,0.0337427808883179,0.00374519460297407,399.869254775286,26.1340225964575,-0.130745224714133,46.6742066187726,43.2285223125945,50.7823181777888,0,0.509472490741834,0.0377056741795118,345,20,0.863138118447205,0,20,0,0,6954.22131242707,6900,0.992203108012945,0.000412742584423809,-0.142396191626233,0.146753055677323,0.50238890553797,0.310078811997258,0.0472577021626379,0,0,-0.0110967327529187,2.66558108272208,0.241866356777132,-2.65213878988439,-0.0235059492076298,0,-5.261962890625,-3.325927734375,2.71490478515625,-7.4224853515625,-5.36883544921875,0,0,0,0,0,0,0,0,0,0,0.487060546875,0.0701904296875,0.127349853515625,-0.13653564453125,0.0762939453125,0,0,1,0,0,0,0.1,0,0,0.127349853515625,-0,0,0,0,1,337.765823632908,0,0
0.78,0.0783263106020885,331.137357276867,0.000236537222034417,1.46445927277175,29.6384328953674,44.2220435832286,-42.8054628704119,1.41658071281667,0.0437197461815977,0.0514351706721902,41.6327045721557,0.994624990904244,0.162164127615902,0.0351756939123094,0.00253887117107165,400.211179733527,25.6859363298162,0.211179733527047,46.3635379183594,43.033856964118,50.4881944097966,0,0.510181674175916,0.0370997128006377,345,20,0.862386750733688,0,20,0,0,6891.20319248603,6900,1.00127652708362,0.000396576515050651,-0.136818897692478,0.341924958241179,-0.31066870041326,-0.228720427902282,0.0480569988698578,0,0,0.00907341907067927,2.28614935045756,0.210261874721825,-2.65561500085412,-0.0249606453608747,0,-5.13311767578125,-3.70867919921875,2.75439453125,-7.56719970703125,-5.506103515625,0,0,0,0,0,0,0,0,0,0,0.46728515625,0.1102294921875,0.083282470703125,-0.12567138671875,0.069580078125,0,0,1,0,0,0,0.1,0,0,0.083282470703125,-0,0,0,0,1,339.593749009557,0,0
