t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.202378046034728,331.952012269348,-0.000609660548978741,0.690595544351553,30.0939660324242,48.8237486187564,-44.5448100395792,4.27893857917714,0.014184423921406,0.0433161482641357,42.2627089088403,0.994173615619847,0.110085255168155,0.0163405413940964,0.0432752125126674,400.054800761699,22.1565492960994,0.0548007616986297,41.3087224483338,38.2282628016106,44.5060379480654,0,0.426985419715948,-0.0436115991810103,345,20,0.862704672702261,0,20,0,0,7005.5721117034,6900,0.984930265505791,0.000374336098810213,-0.129145954089552,0.241998154470025,0.108871583480877,0.265171845175317,0.706710714293227,0,0,-0.00757616016331164,-17.317626953125,-7.45709228515625,-3.53912353515625,-18.17822265625,-9.65447998046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,-0.018727932674675,331.573666537297,-5.64819663462882e-05,0.247222884010946,30.2899820212412,46.7511790799275,-49.2719336525079,-2.52075457258045,0.00360504233791508,0.0399149519328945,42.5543702776137,0.994184533279454,0.109310743539065,0.00580957684012543,0.0307280801682199,400.069977717688,22.0605139362748,0.0699777176876069,41.1516991609775,38.1293607728897,44.3310645104925,0,0.429038640195846,-0.0425186876197319,345,20,0.862671182239412,0,20,0,0,7049.55704465073,6900,0.978784901845115,0.000373451177428485,-0.128840656212844,0.0151769559889772,-0.157023287356282,0.196015988816967,-0.443372660340606,0,0,-0.0061453636606762,-16.2996215820312,-13.1942749023438,1.2777099609375,-17.883544921875,-4.35931396484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.035107309829251,331.549998095035,-0.000105888433210571,-0.0274691978318401,30.8937710187179,48.2039628846262,-48.3621548738819,-0.158191989255727,0.00363634436745398,0.0596488228433269,43.3955365039539,0.9944583062777,0.110665950573454,-0.000632995926420619,0.026763200447947,399.884603775365,22.0030827724127,-0.115396224634821,41.2160003711522,38.1163472970899,44.4421536926023,0,0.446045660850451,-0.0250915663522593,345,20,0.863071644419138,0,20,0,0,7188.71511566082,6900,0.959837730245862,0.000374094371883738,-0.129062558299893,-0.185373942322428,0.0643012101746336,0.603788997476709,-0.274692081842786,0,0,-0.0189471715992533,-13.6433715820312,-12.5615234375,-8.85003662109375,-16.886962890625,-4.7393798828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.0125129431910646,331.621108550297,-3.77326499081008e-05,0.0652212880223754,29.9405008084222,46.2814177813684,-49.4935833177251,-3.21216553635669,0.00882427660028859,0.0312643401631205,42.0979813715646,0.994736852540985,0.102529411533339,0.00154927352565246,0.0297663877233663,400.059596208432,22.0693869325731,0.0595962084319126,41.2691938902095,38.1712963707172,44.4726248995112,0,0.426363226308438,-0.0450858166456101,345,20,0.862694784112964,0,20,0,0,6974.13909202623,6900,0.989369427387676,0.00037486082131255,-0.129326983352826,0.174992433066734,0.0531935190573876,-0.95327021029577,0.0926904858542155,0,0,0.0295316971418148,-16.2876586914062,-13.8472900390625,-2.86669921875,-19.4156494140625,-7.41650390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0684976212666211,331.288309045524,0.000206761359807625,0.129569905493337,30.5709698205237,48.0730205613474,-44.9473684507836,3.12565211056382,0.0135462543952699,0.0528480754352872,42.9523935598934,0.994512598148748,0.107984549658153,0.00301659336662259,0.0261188140204807,399.995390997291,21.942716679918,-0.00460900270934417,41.1522265265044,38.1383563350081,44.3007389061508,0,0.427394801865717,-0.0446204297401435,345,20,0.862829146058893,0,20,0,0,7109.39317946351,6900,0.97054696875278,0.000370091715029996,-0.127681641685342,-0.0642052111412568,-0.116967363705143,0.630469012101539,0.0643486174709616,0,0,-0.0188224586348961,-17.6100463867188,-11.0083618164062,-5.514892578125,-16.466064453125,-9.043701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0705370872770227,331.524162719022,-0.000212766052098608,0.334109024606875,30.167198200094,49.5266719425987,-46.6553324376616,2.87133950493704,0.00554692307733463,0.0453103952506826,42.4060328965537,0.994866689031223,0.102308214950928,0.00787880878699284,0.0274325162079609,399.863564885339,21.9435676212865,-0.136435114660571,41.3211147830899,38.2152463026581,44.5459724200374,0,0.446361419248021,-0.0248077747532072,345,20,0.863117836294566,0,20,0,0,7023.76829772495,6900,0.982378647404267,0.000374999817002619,-0.129374936865872,-0.131826111951227,0.168888256585497,-0.403771620429694,0.204539119113538,0,0,0.0118316786514862,-14.848388671875,-10.4649658203125,-8.9698486328125,-17.3214721679688,-7.46856689453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.022174027381232,331.283511103477,6.69336886323506e-05,1.93742685712361,30.3380397438591,50.2326715417826,-47.473566813983,2.75910472779955,0.0245400448539418,0.0435746699306289,42.3808947259348,0.990288006367848,0.141478381371094,0.0457146284818289,0.0135435451694073,400.725737553934,25.7439063885209,0.725737553934437,40.9214894618519,37.6039227310941,45.2292770458579,0,0.417608478309229,-0.0556514549073923,345,20,0.86126153347219,0,20,0,0,7016.82109302394,6900,0.983351279521708,0.00037583544195896,-0.129663227475874,0.862172668595008,-0.39962532123797,0.170841543765107,1.60331783251674,0,0,0.000972632117441807,-19.0703735351562,-8.6766357421875,7.32879638671875,-19.81005859375,-7.16961669921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0713528808194476,331.280095169332,-0.000215385354749358,1.77520855816484,30.5239823112234,49.2374181238937,-43.2331281214469,6.00429000244681,0.0316700666093729,0.03523162341183,42.6886986365857,0.991085183061948,0.134169904439991,0.0415849771687213,0.0253484107836162,399.538046410263,25.7938864293766,-0.461953589736595,41.0996787279287,37.546824703725,44.9558411955319,0,0.416422991998931,-0.0555384913465821,345,20,0.863836369683905,0,20,0,0,7067.06887266572,6900,0.976359523916356,0.000392740758380583,-0.135495561641335,-1.18769114367103,0.178189266076728,0.185942567364297,-0.162218298958773,0,0,-0.00699175560535237,-19.1952514648438,-8.77655029296875,8.596435546875,-17.9954223632812,-4.97735595703125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.76,0.0112020873664756,331.226125140874,3.38200598207982e-05,1.73733978419873,30.7289038524799,50.3585765211727,-45.6887458386561,4.66983068251653,0.0351327283839931,0.0459795300076527,42.9653199921272,0.990888204383634,0.135741865756878,0.0404358627962522,0.0351848431278574,400.121837230032,26.4504361248018,0.121837230032042,41.3828119386064,37.9774717264335,45.6476001363085,0,0.394340061331183,-0.0782070067515052,345,20,0.862586599540688,0,20,0,0,7109.58666072164,6900,0.9705205561556,0.000405028922394246,-0.139734978226045,0.583790819768637,0.283133210677725,0.204921541256549,-0.0378687739661165,0,0,-0.00583896776075554,-22.532470703125,-10.2748413085938,12.2337036132812,-18.2127075195312,-4.9404296875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.78,0.0798136247518353,331.030672911348,0.000241106432977617,1.3279904023515,30.4826903325302,47.0776562223725,-47.572437821748,-0.494781599375486,0.0568029790485553,0.0473829935880444,42.6240780964037,0.990102185690073,0.137964854512725,0.0311558739017876,0.02845618069091,400.0679233129,25.6122769206662,0.0679233128997225,41.0113495136071,37.8948597147831,45.0293340018148,0,0.405217919642098,-0.0677954613878095,345,20,0.862684889577534,0,20,0,0,7050.93121456442,6900,0.978594144521981,0.000384209410730696,-0.132552246702119,-0.05391391713232,-0.371462424999315,-0.246213519949755,-0.409349381847224,0,0,0.00807358836638039,-20.7393798828125,-11.5771484375,13.2586059570312,-18.2371215820312,-2.28826904296875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
