t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.165413957865005,332.061228958834,-0.00049814294304594,-0.0873461544259942,29.3253272448194,41.947162908106,-42.3713813100101,-0.424218401904056,0.00267864204923532,0.0191018804237471,41.4560113683872,0.999441007961661,0.152300464514143,-0.00210695992071734,0.00616212819143813,399.817711932703,21.2669999287225,-0.182288067296952,46.856086861835,43.7625609502079,50.0038941751302,0,0.516781302340695,0.0471452617171109,345.000157369354,20.0003147387077,0.863195910670887,0,20,0.00427516822730922,0.00855033645454029,6883.10256804531,6900.11173618308,1.00247114843483,0.000350308781501996,-0.120856584746093,0.170730718632115,0.278777909915732,-0.187662977094792,0.0423387390358058,0.000157369354042203,0.000314738707693607,0.00536178151349753,0.256514593169117,0.0242602467251128,1.045940076824,4.1620538635101e-05,0,-8.0667724609375,-7.78466796875,-6.02142333984375,-12.7214965820312,-10.2654418945312,0,0,0,0,0,0,0,0,0,0,-0.04779052734375,-0.51422119140625,0.426666259765625,-0.3385009765625,-0.36334228515625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000553122553637247,1,333.855915423458,1,1
0.62,0.0862805688909238,331.676232159619,0.000260134916298137,0.0796908029336242,29.577192327138,42.6465074943948,-42.5524909006506,0.094016593744108,0.00165908312128507,0.0198981644818988,41.8120779441308,0.99946855779202,0.147566563976821,0.00190592782879882,0.00759123118784855,400.037161718141,21.8293410129489,0.0371617181411352,47.1070724637052,43.9966200621584,50.244873452098,0,0.517831808359925,0.0469164019129319,345.000000306688,20.000000613375,0.862730019550268,0,20,0.00425516902640766,0.00851033805288992,6934.11749135091,6900.00022221843,0.995079796502578,0.000359617516312305,-0.124068043238026,0.219449785438087,0.250985601870148,0.251865082318638,0.167036957359618,-0.000157062666517049,-0.000314125332668169,-0.00739135193224782,0.292529691832452,0.0272951673179301,-2.20818412818341,-0.000554321224105037,0,-7.4583740234375,-7.83050537109375,-4.9859619140625,-10.6734619140625,-10.2001953125,0,0,0,0,0,0,0,0,0,0,0.4857177734375,-0.43017578125,0.451995849609375,-0.0714111328125,-0.337890625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,1,-0.000550841326206946,1,332.84484057125,1,1
0.64,-0.0310472473033921,331.803058493648,-9.35713113807433e-05,0.00315670541228647,29.3500480545137,42.3387285955155,-42.1887378840885,0.149990711427023,0.00173948357740077,0.0190677966672698,41.4911614588129,0.99938546888235,0.148703796767288,7.60813942366987e-05,0.00526426637859601,400.141482826366,21.3175165891079,0.1414828263662,46.7590250757605,43.7616801450739,49.7782636935443,0,0.51805476547092,0.0473355433911557,344.999997762465,19.9999955249295,0.862496244153404,0,20,0.00420055849093615,0.00840111698179058,6883.62858488807,6899.99841575088,1.00237808165576,0.000349357408787609,-0.120528305250048,0.104321108225065,-0.34804738794471,-0.227144272624365,-0.0765340975213378,-2.54422280931976e-06,-5.08844552626897e-06,0.00729828515318609,0.165673587411775,0.0156779237785026,0.429030040801281,0.000111385516087026,0,-8.51702880859375,-7.54296875,-6.46435546875,-13.0856323242188,-11.265380859375,0,0,0,0,0,0,0,0,0,0,-0.05548095703125,-0.5550537109375,0.500518798828125,-0.2882080078125,-0.47607421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000538067640018441,1,332.782522314125,1,1
0.66,-0.0112174284402226,331.664904996149,-3.38215719277048e-05,-0.0552092590194618,29.4884182071628,42.5413475403836,-42.6371514584658,-0.0958039180821899,0.00294256322350446,0.0200120356187942,41.6862710205641,0.999416987891316,0.149689210787111,-0.00132439908074835,0.00644080793358537,399.766799633813,21.5329598580909,-0.233200366187361,46.9935103797233,43.8365984464373,50.145867553346,0,0.517171645520564,0.046911447833503,345.000004690505,20.0000093810101,0.863310956735466,0,20,0.00423688107491671,0.00847376214978013,6912.97783109777,6900.00333470934,0.998123168234381,0.000356677016708717,-0.12305357243747,-0.374683192553562,0.234485303962821,0.138370152649141,-0.0583659644317483,6.92804013624482e-06,1.38560805673649e-05,-0.00425491342138251,0.097383144354836,0.00912712132374908,1.99081662490298,0.00889432503563481,0,-8.27392578125,-8.8251953125,-6.292236328125,-13.3662109375,-10.990478515625,0,0,0,0,0,0,0,0,0,0,-0.0267333984375,-0.5699462890625,0.255462646484375,-0.37933349609375,-0.283935546875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000524189297542963,1,333.071650308352,1,1
0.68,0.0740781266592531,331.505722773166,0.000223459571194013,0.0325396836023853,29.4796907450743,42.5471361698223,-42.2917323650234,0.255403804798888,0.00148636723069348,0.0192493783309267,41.6736018889819,0.99942235252941,0.149169141573843,0.000780822442203836,0.00619290156454744,400.116503992252,21.3814410409227,0.11650399225158,47.0055751630747,43.9908670714398,50.0793721686482,0,0.507114838735677,0.0357709512325756,344.999996762016,19.9999935240312,0.862553744194749,0,20,0.00421230243551918,0.00842460487107388,6907.98208498931,6899.99770546576,0.9988441806268,0.000353599628287071,-0.121991870614067,0.349704358438942,0.0120647833514624,-0.00872746208851538,0.0877489426218471,-7.92848925357248e-06,-1.58569788624163e-05,0.000721012392419174,0.0767999498973421,0.00722287506061162,-1.54835290221635,-0.000136573577656729,0,-7.92333984375,-8.4029541015625,-6.16998291015625,-11.37158203125,-10.8980102539062,0,0,0,0,0,0,0,0,0,0,0.28118896484375,-0.52069091796875,0.377777099609375,-0.12908935546875,-0.49395751953125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,1,-0.00053794199090698,1,333.491735536346,1,1
0.7,-0.0848728873649487,331.680219282653,-0.000255887696735455,-0.0149674520146153,29.4061310152188,42.0740162327057,-42.0535870029034,0.0204292298023034,0.00131180390123991,0.0187016623730697,41.5704796632323,0.999435552258666,0.149891653073704,-0.000360050019529928,0.00638639105656358,399.976368687602,21.2360381252914,-0.0236313123979812,46.9028986890047,43.9245366768325,49.9344317366273,0,0.511398251459025,0.0407803247667251,345.00000011779,20.0000002355805,0.862853609392336,0,20,0.00419804990252715,0.00839609980502587,6894.27339136412,6900.00008803883,1.00083064542841,0.000350879060595277,-0.121053275946736,-0.140135304649561,-0.102676474070044,-0.0735597298554787,-0.0475071356170006,3.35577470877979e-06,6.71154931453088e-06,0.00198646480160536,0.111205018024944,0.0105037619727953,0.73449678833058,-0.00989388036301764,0,-8.5201416015625,-7.83148193359375,-6.292236328125,-12.4282836914062,-10.3252563476562,0,0,0,0,0,0,0,0,0,0,-0.12506103515625,-0.46417236328125,0.522491455078125,-0.23883056640625,-0.39013671875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000531273265007608,1,333.663723281065,1,1
0.72,0.116393010934771,331.367457732525,0.000351250577625282,1.54785685460734,29.5806308824504,43.308338242593,-41.2325849540188,2.07575328857416,0.0381624079846576,0.0220930063827228,41.6053873608783,0.995132548205333,0.167954430144447,0.0372032794979527,0.000944359101994863,400.706137884324,25.3357160767995,0.706137884323596,46.7539877397707,43.0409030043484,51.0161182139032,0,0.510818110777316,0.0380219483059909,344.999960089698,19.9999201793969,0.861303922068513,0,20,0.0049582893784077,0.00991657875687579,6894.2411948535,6899.97166843392,1.00083119714243,0.000376255310181373,-0.129808066996077,0.729769196721577,-0.148910949234022,0.174499867231575,1.56282430662196,-4.00280920302976e-05,-8.00561835916369e-05,5.51714028462769e-07,2.56892272107387,0.244319444360421,-2.60552289672715,-0.0241887238184479,0,-5.30078125,-3.843017578125,2.109619140625,-8.22906494140625,-5.35272216796875,0,0,0,0,0,0,0,0,0,0,0.533447265625,0.02032470703125,0.203277587890625,-0.16448974609375,0.05780029296875,0,0,0,0,0,0,0.1,0,0,0,-0,0,1,-0.000454554978284578,1,332.642082886733,1,1
0.74,-0.00768649782001702,331.454894012631,-2.31901774837698e-05,1.26550601506752,29.4312301663238,42.5039823190995,-41.7510127537103,0.752969565389236,0.0482078427933234,0.021300908897167,41.3878599702168,0.994690446655353,0.169995972916035,0.0305767443878035,-0.00200361213865108,399.750660217127,24.3914147779107,-0.249339782872994,46.4354065414612,42.9443846513941,50.0986107938154,0,0.509321706651428,0.0378358124352911,345.000005251157,20.0000105023143,0.863354273358646,0,20,0.0049281418935152,0.00985628378703396,6860.18237408641,6900.00373291001,1.00580470848326,0.000366479777724305,-0.126435525239344,-0.95547766719659,-0.318581198309509,-0.149400716126593,-0.282350839539818,4.51614588996563e-05,9.03229174014086e-05,0.00497351134083068,2.06827711636004,0.197892053236918,-2.80569325094293,-0.0241511673959649,0,-5.14288330078125,-3.650634765625,2.52056884765625,-8.074951171875,-5.72564697265625,0,0,0,0,0,0,0,0,0,0,0.45611572265625,0.12664794921875,0.139984130859375,-0.10284423828125,0.04095458984375,0,0,1,0,0,0,0.1,0,0,0.139984130859375,-0,0,1,-0.00046073965592868,1,332.876536843567,1,1
0.76,-0.0171242306280911,331.418124226431,-5.1669565954068e-05,1.29918481732808,29.8317982151722,43.6412224040182,-41.8921969109084,1.74902549310978,0.0431933377209076,0.0218929458898035,41.971221641487,0.995179186448855,0.170388972066389,0.0309541816158117,-0.00083328078682543,399.653573118937,25.2487531658861,-0.346426881062655,47.1964363064993,43.6240897867746,51.0777540507975,0,0.510078212022655,0.0388775238234811,345.000004279224,20.0000085584474,0.863584737925185,0,20,0.00501669209290867,0.010033384185828,6956.2655906107,6900.00304297808,0.991911960965297,0.000390498324308153,-0.134721923557322,-0.097087098189661,0.761029765038167,0.400568048848452,0.0336788022605536,-9.71933218352206e-07,-1.94386689500448e-06,-0.0138927475179677,2.68641893892546,0.251412377831272,-2.69947537896614,-0.0241908764416453,0,-5.422607421875,-3.61114501953125,2.24639892578125,-7.731201171875,-5.28363037109375,0,0,0,0,0,0,0,0,0,0,0.51678466796875,0.0859375,0.154449462890625,-0.1317138671875,0.11700439453125,0,0,1,0,0,0,0.1,0,0,0.154449462890625,-0,0,1,-0.000463546886902861,1,333.483932168422,1,1
0.78,0.0692616398359992,331.178926461467,0.000209136615593377,1.35802943647157,29.6026416769007,43.0826964453163,-41.7048334370556,1.37786300826069,0.0444725211992632,0.021393192079824,41.6357092233507,0.994893524125722,0.177075636286937,0.0326169401651489,-0.00143072503342978,400.075424921272,24.8622395082139,0.0754249212719174,47.1469361104565,43.9379399231216,51.0535792020344,0,0.510176515068377,0.0378652762942184,344.999995865689,19.999991731378,0.862659409726414,0,20,0.00494588412288977,0.00989176824584703,6895.55251905867,6899.99706927813,1.00064455316774,0.000373432012995556,-0.128834042939616,0.421851802334572,-0.0495001960428496,-0.229156538271575,0.0588446191434899,-8.41353482883278e-06,-1.68270693983175e-05,0.00873259220243983,2.3054190085566,0.219076229114559,-2.70662707814126,-0.0239601458615714,0,-5.3665771484375,-3.92425537109375,2.35528564453125,-7.97467041015625,-5.54888916015625,0,0,0,0,0,0,0,0,0,0,0.50201416015625,0.131591796875,0.124420166015625,-0.1241455078125,0.0810546875,0,0,1,0,0,0,0.1,0,0,0.124420166015625,-0,0,1,-0.00045400487356912,1,334.499399556771,1,1
