t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.154384254895345,332.041683749132,-0.000464954439310659,-0.0143017475050799,29.4905395997866,42.6277740551419,-42.3551082441339,0.272665811008054,0.00201154737337979,0.0281751317502386,41.6834985332747,0.999371177292551,0.14015451750476,-0.000343103338450903,0.00343305445896513,400.169243834022,21.7064554589156,0.169243834022154,46.6177178710906,43.4699143837941,49.7532606132596,0,0.516943221334713,0.0469188128054153,345,20,0.862447163581879,0,20,0,0,6919.48984964617,6900,0.997183340091587,0.000361824050312043,-0.124829297357678,0.522262619951221,0.0404089191713055,-0.022450622127554,0.11538314595672,0,0,7.3973170259034e-05,0.118703465432888,0.0110344328020606,-2.61037128926667,-0.000388713759152837,0,-7.34674072265625,-7.4888916015625,-4.66522216796875,-10.6634521484375,-10.5546875,0,0,0,0,0,0,0,0,0,0,0.57684326171875,-0.4326171875,0.520965576171875,-0.0736083984375,-0.2718505859375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.855915423458,0,0
0.62,0.0835895864349799,331.678879451078,0.00025201962384014,-0.108655815841103,29.33056021628,42.289479345425,-42.342003994629,-0.0525246492039884,0.000469967614783091,0.0277999059315879,41.4577737284277,0.999413073834952,0.141323037414509,-0.00262087917582987,0.00371760429474843,400.00188891523,21.5512603833613,0.00188891523032453,46.3982820495354,43.4131885792145,49.4897168723529,0,0.51284841707188,0.0420462240776913,345,20,0.86280295697037,0,20,0,0,6874.67943557157,6900,1.00368316292647,0.000355978405200519,-0.122812549794162,-0.16735491879183,-0.219435821555209,-0.159979383506585,-0.0943540683360232,0,0,0.0064998228348786,0.231164012622381,0.0216789889155786,0.982344272966086,0.010404557002614,0,-8.1976318359375,-7.8558349609375,-6.30291748046875,-13.0216674804688,-11.1773681640625,0,0,0,0,0,0,0,0,0,0,-0.08880615234375,-0.57879638671875,0.325469970703125,-0.30316162109375,-0.42529296875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.82575054787,0,0
0.64,-0.0470372908926544,331.812822069628,-0.000141758508906519,-0.0816218173068082,29.5397996241176,42.603812002394,-42.7685892364436,-0.164777234049652,0.00143979481882304,0.0291011796144221,41.7518817678337,0.999385065072617,0.140035090388928,-0.0019549254752319,0.0051180889540321,399.863500422108,21.8421775397193,-0.136499577892266,46.6574138787655,43.5423819268519,49.7863913912763,0,0.51226611119363,0.0419260526311194,345,20,0.863109320472016,0,20,0,0,6926.041107997,6900,0.99624011645456,0.000364968495324414,-0.12591413088694,-0.138388493122591,0.259131829230157,0.209239407837554,0.0270339985342948,0,0,-0.00744304647190519,0.10812401232792,0.0100149291503048,2.91040491935634,-0.0105243778473129,0,-8.59600830078125,-9.06610107421875,-5.90283203125,-12.5324096679688,-8.90032958984375,0,0,0,0,0,0,0,0,0,0,0.07489013671875,-0.43798828125,0.419281005859375,-0.37152099609375,-0.00787353515625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.72475567756,0,0
0.66,-0.00524834435784825,331.655093423625,-1.58247060332178e-05,-0.0645758437780852,29.4730443341008,42.4604636424512,-42.4893749287324,-0.0289112862812502,0.00107240948735713,0.0279182815321194,41.6588810414101,0.999375559868313,0.139923767273965,-0.00155010989646829,0.00402063171460476,400.108624002754,21.6468546442333,0.108624002754084,46.5686255671458,43.5277899264412,49.6248806551705,0,0.512448768019771,0.0416600161910097,345,20,0.862576480287134,0,20,0,0,6907.40328173999,6900,0.998928210582469,0.000360256883547017,-0.124288624823748,0.24512358064635,-0.0887883116197656,-0.0667552900167649,0.0170459735287231,0,0,0.0026880941279086,0.0763777430658571,0.00711618973446004,1.7929169665007,0.00010887927176062,0,-8.43756103515625,-8.6207275390625,-6.21282958984375,-12.976806640625,-10.3743896484375,0,0,0,0,0,0,0,0,0,0,-0.06365966796875,-0.50970458984375,0.354461669921875,-0.349365234375,-0.26849365234375,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.457195995829,0,0
0.68,0.0756984548402474,331.498451000481,0.000228352363674054,-0.0457780589409432,29.4146837339007,42.5075843274943,-42.3546854355584,0.152898891935862,0.00107247194397398,0.0289699111214681,41.5758378046894,0.999399582636138,0.137771507807317,-0.00110107363695218,0.00309151483214265,400.079329377163,21.5666841020759,0.0793293771627077,46.3864974359253,43.4078751720977,49.426274667155,0,0.51700084021957,0.0456090468134318,345,20,0.862638019293993,0,20,0,0,6890.66817645531,6900,1.00135426976103,0.000358377548941302,-0.123640254384782,-0.0292946255913762,-0.182128131220452,-0.0583606002001318,0.018797784837142,0,0,0.00242605917856442,0.115904955112392,0.0108289266159112,1.00500897739274,-8.27642694669617e-05,0,-8.672607421875,-8.162109375,-6.43963623046875,-13.1312255859375,-11.091796875,0,0,0,0,0,0,0,0,0,0,-0.10821533203125,-0.53271484375,0.432159423828125,-0.275634765625,-0.406982421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.208609341749,0,0
0.7,-0.0747254050830814,331.664692480479,-0.000225304069975672,-0.100686936239559,29.4903083301655,42.3198696094969,-42.5478915666633,-0.22802195716644,0.00275210402125265,0.0283491056857987,41.6826846113638,0.999372964212865,0.13817836107952,-0.00241555785521812,0.00342003041046945,399.889481804247,21.7796291470478,-0.1105181957534,46.4929963887686,43.3989852305791,49.6297969191027,0,0.516377167651383,0.0459572598510981,345,20,0.863050550474613,0,20,0,0,6911.52921998882,6900,0.998331885806765,0.000361847536703763,-0.124837400162789,-0.189847572916108,0.106498952843296,0.0756245962647633,-0.0549088772986162,0,0,-0.00302238395426879,0.12830680368428,0.011934983151984,2.05817125703829,-0.000213159279978559,0,-8.2994384765625,-8.7542724609375,-6.0382080078125,-12.934814453125,-10.1465454101562,0,0,0,0,0,0,0,0,0,0,-0.02447509765625,-0.506591796875,0.346771240234375,-0.36175537109375,-0.231689453125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.611928457898,0,0
0.72,0.102046193472787,331.369583387177,0.000307952807344886,1.41662507088862,29.4988600635033,43.3487983782809,-41.6132967319529,1.73550164632798,0.0364020952548157,0.0291327953380895,41.4950432925278,0.995097007176942,0.159812982714445,0.034139621470011,-0.00541745557441509,400.702051793939,25.2095336350234,0.702051793938949,46.2348136081971,42.6595431827773,50.4276244099068,0,0.51037900819229,0.0374806868052548,345,20,0.861311728393728,0,20,0,0,6874.20933932135,6900,1.00375180030249,0.000375005221886271,-0.129376801550791,0.812569989692349,-0.258182780571538,0.00855173333780357,1.51731200712818,0,0,0.00541991449572554,2.20680927330535,0.208554149619023,-2.61209540797119,-0.0245177284669474,0,-5.108642578125,-3.89581298828125,2.07879638671875,-8.27447509765625,-5.718017578125,0,0,0,0,0,0,0,0,0,0,0.51715087890625,0.03192138671875,0.210968017578125,-0.1787109375,0.02459716796875,0,0,0,0,0,0,0.1,0,0,0,-0,0,0,0,1,332.25309310372,0,0
0.74,-0.0183879028727208,331.456960134157,-5.5475989598403e-05,1.16388788920344,29.5536606963496,42.8157249725757,-42.3185289073217,0.497196065254016,0.0520690962799198,0.0263362812807076,41.5480600646443,0.994163393829223,0.165176575258645,0.0280130501253863,-0.00896786922058901,399.565371161213,24.6124546494285,-0.434628838787376,46.2447799151467,42.556273202691,49.8650119204533,0,0.509026286931687,0.0376013316155353,345,20,0.863766989069396,0,20,0,0,6884.22334077764,6900,1.00229171228785,0.00038080459222134,-0.13137758431634,-1.13668063272632,0.00996630694964296,0.0548006328463622,-0.252737181685176,0,0,-0.00146008801464048,2.11248097202334,0.198122722625639,-2.86462237449254,-0.0237366425842372,0,-5.05810546875,-3.756103515625,2.495361328125,-8.06585693359375,-5.850830078125,0,0,0,0,0,0,0,0,0,0,0.46685791015625,0.09759521484375,0.155670166015625,-0.13818359375,0.0418701171875,0,0,1,0,0,0,0.1,0,0,0.155670166015625,-0,0,0,0,1,336.780163008592,0,0
0.76,-0.0251041574519074,331.433678736501,-7.57441354409427e-05,1.31405697548225,29.848492465877,43.7651986671015,-42.3369481943385,1.42825047276299,0.0430320791997977,0.0243087616793473,41.9890382521374,0.994774472354795,0.162981953563153,0.031295238714246,-0.00812713463702997,399.963521131914,25.6272017577002,-0.0364788680857373,46.756579490883,43.3228534205188,50.7895682487363,0,0.509022455155036,0.0373168816469777,345,20,0.862921720033769,0,20,0,0,6957.34444247401,6900,0.991757711157159,0.000397709002649682,-0.137209605914109,0.398149970701638,0.511799575736276,0.294831769527352,0.150169086278806,0,0,-0.0105340011306908,2.69731773334163,0.249868404164877,-2.69091413831418,-0.0241733916359361,0,-5.32879638671875,-3.5296630859375,2.64556884765625,-7.7545166015625,-5.37152099609375,0,0,0,0,0,0,0,0,0,0,0.4920654296875,0.06756591796875,0.155242919921875,-0.1553955078125,0.09429931640625,0,0,1,0,0,0,0.1,0,0,0.155242919921875,-0,0,0,0,1,337.901079695484,1,1
0.78,0.081113083681674,331.155679135903,0.000244939431186339,1.52090732333606,29.5470375765189,42.8481108152919,-41.5295082510639,1.31860256422797,0.0467254668027914,0.0184681466154185,41.5379193119426,0.994270837532751,0.166518302225196,0.0366149135182796,-0.0082692642916502,400.26377205649,25.0343580444585,0.263772056489813,46.290621571253,43.047480919877,50.2829999441275,0,0.509435765992193,0.036509031334275,345,20,0.862254635467996,0,20,0,0,6876.58252257107,6900,1.003405394664,0.000374761929315293,-0.129292865613763,0.30025092457555,-0.465957919629993,-0.301454889358101,0.206850347853809,0,0,0.0116476835068428,2.2195182408531,0.21009598401306,-2.66729306971588,-0.024946107569103,0,-5.24237060546875,-3.80169677734375,3.06378173828125,-7.91229248046875,-5.42767333984375,0,0,0,0,0,0,0,0,0,0,0.44775390625,0.11041259765625,0.127288818359375,-0.09130859375,0.0794677734375,0,0,1,0,0,0,0.1,0,0,0.127288818359375,-0,0,0,0,1,339.426365453363,1,1
