t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.148988487445938,332.034865968175,-0.000448713381383926,0.162904739210808,29.5334607777987,43.0566932143232,-42.3370009334849,0.719692280838295,0.00357534968333262,0.0313444248369912,41.7400771040122,0.999427753454979,0.139460845425436,0.00390283752482932,0.00653400409719396,400.340803599547,22.0196056769928,0.340803599546575,46.7013111025683,43.39584919151,50.0133089474336,0,0.512230931969959,0.0419163226535719,345,20,0.862080470342587,0,20,0,0,6928.59212557697,6900,0.995873313790342,0.000365183375149014,-0.125988264426439,0.952111496603322,-0.0249156509324351,-0.0730083407465543,0.185158602302271,0,0,0.00182751433145034,-6.77288818359375,-6.84381103515625,-8.64837646484375,-13.2655029296875,-7.86981201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0770197859142817,331.680820620053,0.000232210550402941,0.00778631974964576,29.2669589130027,42.4395237675859,-42.1358824907464,0.303641276839535,0.00266495119740035,0.0296179144712529,41.3655967662885,0.999437676148499,0.141554267319304,0.000188231776121536,0.00561752894128409,399.992729853969,21.6364733106907,-0.00727014603052112,46.3127403537155,43.2982071741141,49.3869308476838,0,0.517128989001487,0.0463986198997787,345,20,0.862821624521601,0,20,0,0,6859.37575740589,6900,1.00592244017982,0.000354715853426057,-0.122376969432025,-0.348073745577096,-0.388570748852857,-0.266501864795991,-0.155118419461162,0,0,0.0100491263894734,-6.652099609375,-6.90283203125,-7.85870361328125,-13.2574462890625,-8.5079345703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0502332234015647,331.816454538155,-0.000151388584606157,0.0329002895325232,29.5761970868378,43.2486527608755,-42.7780712239605,0.470581536915013,0.00190025763123794,0.0322527552500999,41.7995595650392,0.999436100346106,0.140358771150958,0.00078709655974559,0.00809112234273179,399.772182278145,22.0354634366907,-0.22781772185516,46.7413395495111,43.5659670163888,49.8751892236824,0,0.517600267707507,0.0473663492177489,345,20,0.863309840062486,0,20,0,0,6933.77746707994,6900,0.995128561993761,0.000368865924568418,-0.127258743976085,-0.220547575824639,0.428599195795663,0.309238173835119,0.0251139697828774,0,0,-0.0107938781860543,-6.89031982421875,-6.988525390625,-8.12603759765625,-12.7841186523438,-8.59539794921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00823001295327103,331.656172927732,-2.48148945355657e-05,0.075931895984988,29.4964206021051,43.0785144487723,-42.3322650762148,0.746249372557436,0.00227181902478888,0.0319099772511354,41.6868128022374,0.999371519756132,0.139574305870262,0.00182148480252519,0.00546453009596659,400.203091614364,21.7178336032113,0.203091614363871,46.6033148963547,43.4818751370753,49.7915971719017,0,0.512580931960643,0.0416405780859834,345,20,0.862375490742988,0,20,0,0,6911.87581159039,6900,0.998281825091464,0.000363297182023326,-0.125337527798024,0.430909336219031,-0.138024653156421,-0.0797764847327187,0.0430316064524649,0,0,0.00315326309770314,-7.61688232421875,-7.73382568359375,-8.78045654296875,-12.8189086914062,-8.68194580078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0779571852416679,331.492990794318,0.000235169935433229,0.0547033740914611,29.3706772073383,42.7798024316361,-42.4402558108744,0.339546620761723,0.00305916211953049,0.0304707033210463,41.5114486800422,0.999443309063895,0.137759796870329,0.00131779005144095,0.00636537756511313,400.067949237568,21.5971108700666,0.0679492375680866,46.3295580734799,43.3180206196231,49.3857148787017,0,0.516966772944172,0.0455564134051505,345,20,0.862662407382518,0,20,0,0,6879.69426529089,6900,1.00295154609,0.000358203495267606,-0.123580205867313,-0.135142376795784,-0.273756822874823,-0.12574339476685,-0.021228521893527,0,0,0.00466972099853546,-7.1085205078125,-7.41827392578125,-7.882568359375,-12.9485473632812,-9.01824951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0735885364515563,331.661138152051,-0.000221878682747025,0.0659197764968134,29.5135113339591,43.1002551074985,-42.4553962177359,0.644858889762645,0.00213671045272271,0.0314113364944422,41.711755300428,0.999384992333776,0.137348760774631,0.00158036448051701,0.0053869446652195,399.880775621912,21.7646018299626,-0.119224378088404,46.499593015978,43.4266064358722,49.5720510817703,0,0.516195451892918,0.0457802914265698,345,20,0.863072036274591,0,20,0,0,6916.11691633542,6900,0.997669658201215,0.000364971834974526,-0.125915283066206,-0.187173615656491,0.170034942498134,0.142834126620826,0.0112164024053523,0,0,-0.00528188788878425,-7.31317138671875,-7.721435546875,-8.74127197265625,-12.3955688476562,-8.64227294921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.0511561463773118,331.331196809778,0.000154395803564134,1.33490569434852,27.1114346846795,42.4146103413025,-37.0674436148775,5.34716672642507,0.0365625383059123,0.0318363946960958,38.2197021414362,0.99900933966909,0.155505110612159,0.0349271611120504,0.0302174901332957,403.784383831154,27.1440037693596,3.78438383115417,43.4899172901935,36.0996035778255,49.3601055579024,0,0.521368093704692,0.0452044353381095,345,20,0.854795542175985,0,20,0,0,6327.7920731266,6900,1.09042773850037,0.000443742896079291,-0.153091299147377,3.90360820924258,-3.00967572578455,-2.40207664927957,1.26898591785171,0,0,0.0927580802991533,-3.51434326171875,-3.0699462890625,3.65936279296875,-13.6821899414062,-13.3536376953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0180500456597086,331.463353734132,-5.44556297290911e-05,-0.320337550465515,23.3660150681514,33.8467321099184,-34.8911128716505,-1.04438076173207,0.0209068148805806,0.030084901784578,32.9913672913486,0.998722966679646,0.1800583262537,-0.00970973853967907,0.0378803158902614,400.97730347475,28.1373639624067,0.977303474749647,37.765199086614,34.3631578163466,41.0713094282227,0,0.514816678863032,0.04331067309479,345,20,0.860708765863622,0,20,0,0,5462.23012543423,6900,1.26322030407891,0.000361391342245554,-0.124680013074681,-2.80708035640453,-5.72471820357944,-3.74541961652809,-1.65524324481404,0,0,0.172792565578541,-14.4591674804688,-10.5667114257812,2.08428955078125,-8.90081787109375,-3.2379150390625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.76,0.000346497536702088,331.410206057711,1.04552464096942e-06,-0.349548283457514,26.6829580404591,38.8485827857338,-39.5629093939625,-0.714326608228696,0.0137458105116892,0.0380118463193645,37.6710922084395,0.998833454192559,0.16758838807448,-0.00927895271853055,0.0194596852199589,396.989435706003,26.7114532228375,-3.01056429399711,42.4154953243775,36.835558357157,46.8510292348289,0,0.511234850089427,0.0445256645287787,345,20,0.869415237212021,0,20,0,0,6239.74221373883,6900,1.1058149140853,0.000430911347828244,-0.148664415000724,-3.98786776874675,4.65029623776348,3.31694297230769,-0.0292107329919996,0,0,-0.157405389993613,-19.0750122070312,-7.70220947265625,0.46954345703125,-8.24102783203125,-2.23687744140625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100000001490116,0
0.78,0.0507362252901203,331.228182498607,0.000153176051951236,0.589626471067334,25.8933197523659,39.1934507498334,-36.6220723712981,2.57137837853536,0.01978129843317,0.0293192648816633,36.5567413376359,0.998972303708,0.160749214033267,0.0161290763206047,0.0271799076303632,402.156618413195,23.4640706497008,2.15661841319491,41.518641457244,36.7489272109788,45.8574531237477,0,0.517720797672113,0.0436305627367772,345,20,0.858193801146183,0,20,0,0,6050.40043562864,6900,1.14042038595799,0.000371933368448429,-0.128317012114735,5.16718270719201,-0.896853867133501,-0.789638288093222,0.939174754524848,0,0,0.0346054718726927,-16.5768432617188,-6.0665283203125,1.9066162109375,-7.68536376953125,-0.62542724609375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.100000001490116,0
