t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.148421788230059,332.034084239512,-0.000447007687689664,0.0972312005036179,29.5126184710143,42.7398808675113,-42.350759557619,0.389121309892303,0.00276092670502557,0.0287560700182158,41.7148285302707,0.999484184341019,0.140546814357363,0.00233085461284016,0.00722189774569726,400.2834627121,21.8405546912549,0.283462712100061,46.729731519498,43.4852502512282,49.9706465320463,0,0.512155055807803,0.0419441784984114,345,20,0.862201817954294,0,20,0,0,6924.37599691977,6900,0.996479683233461,0.000362693470761011,-0.125129247412531,0.798787064746989,-0.00632589023361163,-0.053610005736644,0.169657708205912,0,0,0.00117231588115385,-6.7550048828125,-6.99554443359375,-8.708740234375,-13.4943237304688,-7.796142578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0769398699432226,331.684299592996,0.000231967174923969,-0.0472943835318339,29.3041611862391,42.1887813864923,-42.358432103405,-0.169650716912642,0.00140196930284216,0.0287093196666314,41.4206335575297,0.999500195017077,0.141704390848768,-0.00114180734261696,0.00684231059036744,400.000208159933,21.5942755806151,0.000208159933094976,46.4051781254609,43.4071876088165,49.4921219074074,0,0.512424826550967,0.0416876003396383,345,20,0.862806079684455,0,20,0,0,6868.51372227585,6900,1.00458414716739,0.000355395580978746,-0.122611475437679,-0.283254552166966,-0.324553394037039,-0.208457284775122,-0.144525584035452,0,0,0.00810446393392805,-6.97247314453125,-7.2994384765625,-8.2403564453125,-13.70166015625,-8.420166015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0454528400606773,331.811693628352,-0.000136983840333208,-0.0209143224360712,29.5407107249206,42.5734024016314,-42.9071241812587,-0.33372177962729,0.000879088937478287,0.0292930902296481,41.7541268774484,0.999483236005458,0.141362819096872,-0.000500892342868438,0.00835535220466888,399.809530425485,21.864369410786,-0.190469574514736,46.7487692386109,43.6008963015631,49.8799957707377,0,0.512599417763595,0.0423192080489225,345,20,0.863226272528721,0,20,0,0,6926.24260138703,6900,0.996211134536093,0.000365480204781887,-0.126090670649717,-0.190677734447831,0.343591113149969,0.23654953868148,0.0263800610957627,0,0,-0.00837301263129608,-7.0244140625,-7.55694580078125,-8.5408935546875,-13.7128295898438,-8.55023193359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00198869557844702,331.64812659151,-5.99640226792685e-06,0.0172507935996338,29.4905544448378,42.5878870752963,-42.495423962528,0.0924631127683142,0.0012519125167851,0.0287098815719496,41.6838615624423,0.99946490951261,0.141059076114387,0.000413848260526252,0.00717005450678476,400.123105154014,21.5840531402231,0.123105154014354,46.6838822870708,43.6251644112287,49.7960567994192,0,0.507870881891784,0.0370781023655048,345,20,0.862546328385661,0,20,0,0,6911.20448719438,6900,0.998378793853497,0.000361493486565001,-0.124715252864917,0.31357472852909,-0.0648869515400747,-0.050156280082799,0.038165116035705,0,0,0.00216765931740326,-7.6500244140625,-8.14251708984375,-9.2381591796875,-13.689697265625,-8.80328369140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0691634414827266,331.507353208558,0.000208633204703651,0.00555286323377818,29.4163987638418,42.5373678671536,-42.4425470491298,0.0948208180238268,0.000571577058417781,0.0286905993687915,41.5796914302112,0.999491684337369,0.138564044427152,0.000133547485389551,0.00608175523997723,400.097667693275,21.5371878469078,0.0976676932746159,46.4619100861707,43.475602181435,49.5235637807444,0,0.516956206314422,0.0455663610745695,345,20,0.862598408853453,0,20,0,0,6891.43640199131,6900,1.00124264340685,0.000358294313611784,-0.123611538196087,-0.0254374607397381,-0.221972200900105,-0.0741556809960429,-0.0116979303658557,0,0,0.00286384955335817,-6.73779296875,-7.21563720703125,-7.6728515625,-13.043701171875,-8.993408203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0735972854360323,331.661318539476,-0.00022190494134236,-0.0199387526293558,29.4674608232185,42.4536029634619,-42.5474611270493,-0.0938581635873348,0.00122294007209808,0.028348436163434,41.651867520053,0.999490276840452,0.138581099056029,-0.000478700087571257,0.00725051124651488,399.909290020528,21.5640686025689,-0.0907099794717965,46.5230580148453,43.4687869236788,49.6229609604146,0,0.516357398375021,0.0458978977285408,345,20,0.8630070312708,0,20,0,0,6906.24854456661,6900,0.999095233175249,0.000360954081823905,-0.124529158229223,-0.188377672746412,0.061147928674572,0.051062059376779,-0.025491615863134,0,0,-0.00214741023160581,-6.8665771484375,-8.0062255859375,-8.83636474609375,-12.7623901367188,-9.0213623046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.0260415157603842,331.46175311301,7.8565673160805e-05,2.44893205070057,23.1687588329578,38.0421146810414,-27.9097878257052,10.1323268553362,0.0956094427879782,0.0460475330181918,32.3526119816183,0.999540523944043,0.161488833357579,0.0756950335908574,0.0311201654211626,409.003022948139,23.6389079761158,9.00302294813906,38.2322011408181,28.0174956570141,46.1475513425479,0,0.516842762797044,0.0334485826790775,342.506322370417,20.012644740833,0.836844845952009,0,20,2.6690051517478,5.33801030349557,5359.15002593517,6854.54151353916,1.27903519781442,-0.000683930842075964,0.234250637475157,9.09373292761086,-8.29085687402716,-6.2987019902608,2.46887080332993,-2.49367762958332,0.0126447408330499,0.279939964639175,-19.4683837890625,-6.0455322265625,-7.96759033203125,0.1036376953125,19.3365478515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0238364261858281,331.513968858152,-7.19017248893883e-05,-1.05908361961007,18.2588031635788,24.2741061150342,-28.5656273570474,-4.29152124201322,0.0530086032706061,0.0340207543566722,25.7155982409398,0.999424719309054,0.203488262996705,-0.0411844830397136,0.0246494685109115,399.499665149731,27.318454806615,-0.500334850268871,30.1640717844342,27.2344695132201,33.9917518087727,0,0.502880462522204,0.0328730004606586,342.499999978038,19.9999999560748,0.857564766436018,0,20,2.95056224786094e-07,5.90112520626462e-07,4261.0735580385,6849.99998451636,1.60757609349265,0.00028273593391237,-0.0968370573588118,-9.50335779840793,-8.06812935638395,-4.90995566937892,-3.50801567031064,-0.00632239237910426,-0.0126447847582689,0.328540895678226,-29.479736328125,-15.171142578125,-9.20782470703125,-6.2989501953125,5.266845703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
0.76,0.00228120247760998,331.48962831141,6.88167074556842e-06,-0.349021499708062,24.3200051285706,34.3404138609939,-36.2724495213144,-1.93203566032047,0.0291889925852122,0.037551481717319,34.341115613453,0.99902744110899,0.167612706063601,-0.0101633710342053,-0.00195686388486216,395.659717107372,27.0733983149005,-4.34028289262801,38.9217378109865,32.6697673162705,42.9292447445623,0,0.511159409009297,0.0451153957137589,342.5,20,0.865954621771292,0,20,2.27373675443232e-13,5.04485342389671e-13,5691.24556207565,6849.99999999999,1.20360295919154,0.000360177161608188,-0.123360677850769,-3.83994804235914,8.75766602655235,6.06120196499181,0.710062119902009,2.19624212149938e-08,4.39251834905008e-08,-0.403973134301107,-29.4625854492188,-11.3034057617188,-5.510986328125,-12.2352905273438,5.99871826171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
0.78,0.0405053341729294,331.347689981742,0.000122244202683777,0.865615032990897,21.4440358114225,32.9675246961583,-29.0819109592005,3.8856137369578,0.0420422536655762,0.031976751684285,30.2459849201649,0.999575888375512,0.170667165130112,0.0286191716115614,0.0194121791882633,404.230609199314,17.4037663445326,4.23060919931385,35.3399773774388,30.4388811873116,39.6589813412305,0,0.515863574311908,0.0385006678684165,342.5,20,0.847444808571329,0,20,0,0,5009.93164785584,6850,1.36728412311407,0.000184324763749633,-0.0631312315842365,8.57089209194186,-3.5817604335477,-2.87596931714813,1.21463653269896,0,3.5527136788005e-14,0.163681163922528,-29.6970825195312,-9.67822265625,-9.4786376953125,-10.9385375976562,8.20489501953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
