t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.147039465260177,332.029228662437,-0.000442850967827496,0.161835235586413,29.4687132818341,43.369222755148,-42.2451993518039,1.12402340334412,0.00194679632718333,0.0317568401933844,41.6457268415116,0.999308416340367,0.139753600718786,0.00388599858521617,0.00411604740077953,400.179581887498,21.8275137614875,0.179581887498159,46.540995724725,43.4309611709163,49.7363524819432,0,0.51204430387235,0.0419591669691014,345,20,0.862426248284117,0,20,0,0,6912.78764882327,6900,0.998150145864028,0.000363407093163737,-0.125375447141494,0.525988743447556,-0.0643580628095606,-0.128462642560919,0.0795330143559789,0,0,0.00374270140156086,-7.2725830078125,-6.9857177734375,-9.30120849609375,-13.361083984375,-7.722900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0813905662119529,331.677194988606,0.000245390902485017,0.0860668157647209,29.3618643983105,43.3243044446188,-42.420684128221,0.903620316397777,0.00230912689739141,0.0325479274054818,41.4948286406662,0.999379665089464,0.140244822400772,0.00207415763805259,0.005359915273488,399.970716791981,21.6144026129298,-0.0292832080193079,46.3869161194608,43.3853975175862,49.4448851885575,0,0.517454474338251,0.0467592195376119,345,20,0.862873659765031,0,20,0,0,6880.6125427984,6900,1.00281769349473,0.000359988977214343,-0.124196197138986,-0.208865095517467,-0.154079605264151,-0.106848883523686,-0.0757684198216923,0,0,0.00466754763070132,-7.00152587890625,-7.11785888671875,-8.6693115234375,-13.1367797851562,-8.31573486328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0526477814978769,331.816587371849,-0.00015866530939539,0.120691765514849,29.5200204481886,43.5527687022228,-42.3837238530573,1.16904484916549,0.00326401580568597,0.0348530068937189,41.7135417202656,0.999322231263472,0.138779431592014,0.00289334735286249,0.00687737857388449,399.938097993736,21.9247045429628,-0.0619020062637219,46.5573585577402,43.5367036548501,49.677412817672,0,0.517349649606684,0.046873723907123,345,20,0.862950380079063,0,20,0,0,6919.60708954159,6900,0.997166444671226,0.000367343976208856,-0.126733671792067,-0.0326187982444139,0.170442438279345,0.158156049878187,0.0346249497501285,0,0,-0.00565124882350365,-7.15667724609375,-7.06378173828125,-8.82904052734375,-12.6839599609375,-8.27178955078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,0.00064543520264067,331.64501903883,1.94616281140378e-06,0.111188813280528,29.4856292058543,43.3290643919294,-42.6409996217862,0.688064770143193,0.00307475370890861,0.0330481996729182,41.6686565197148,0.99933145102916,0.139360847295522,0.00266840408516462,0.00636159947083481,400.018163400506,21.6843615040482,0.0181634005057276,46.5367825355546,43.5361009964858,49.6462163637282,0,0.512342245184879,0.0415995115326623,345,20,0.862775355480159,0,20,0,0,6908.55880174462,6900,0.99876113065109,0.000364675728671271,-0.12581312639162,0.0800654067694495,-0.0205760221855726,-0.034391242334376,-0.00950295223432106,0,0,0.00159468597986456,-7.77032470703125,-7.9501953125,-8.99383544921875,-13.2166748046875,-8.47821044921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0721903223954496,331.500113967364,0.000217768620141581,0.127218680491548,29.4548209683258,43.3172302474151,-42.1438430265863,1.17338722082879,0.00439012184365355,0.0311337976689302,41.6276434468308,0.999377454315849,0.135701785735136,0.00305611055437329,0.0052505032418928,400.135475206834,21.744594601373,0.135475206834371,46.3617319660939,43.3556905219064,49.5246087993362,0,0.512451134383106,0.0409780180792431,345,20,0.862519543046738,0,20,0,0,6899.1048144161,6900,1.00012975387503,0.000361354296197547,-0.124667232188187,0.117311806328644,-0.175050569460723,-0.0308082375285075,0.0160298672110193,0,0,0.00136862322393827,-7.94036865234375,-7.4730224609375,-8.23040771484375,-12.8192138671875,-8.54913330078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0711062235622322,331.657726185602,-0.00021439640312326,0.0876800398811844,29.4358586693053,43.4521778921101,-42.3797709909645,1.07240690114563,0.00250502641347913,0.0314418591871887,41.6003132094908,0.999375030182558,0.136668962155767,0.0021076773975149,0.00628018769331629,399.925204280589,21.5584178535354,-0.0747957194110995,46.3452385036419,43.315097856477,49.4059094866683,0,0.516395917128682,0.0458993453297166,345,20,0.862973300453953,0,20,0,0,6897.57920464223,6900,1.00035096303876,0.000361662239829919,-0.12477347274131,-0.210270926245471,-0.0164934624519901,-0.0189622990204512,-0.0395386406103633,0,0,0.000221209163734359,-7.45166015625,-8.19482421875,-9.7872314453125,-12.1897583007812,-8.8099365234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.0259356190122956,331.465500444874,7.82453044962035e-05,2.48336489697781,23.3648049127069,38.7002660751309,-28.7316035134473,9.96866256168364,0.0827383842465483,0.0470202446377435,32.6532332275456,0.999372082137836,0.149317871248986,0.0760526493554974,0.0232869509846809,409.071109323919,23.7852758920026,9.07110932391936,38.0927746229253,27.5417607673846,46.0679078262146,0,0.526846834713434,0.043369583408755,342.506322132081,20.0126442641629,0.83671649980253,0,20,2.66904908347755,5.33809816695511,5410.14237208952,6854.54135927802,1.26697984782065,-0.000670864604200294,0.22977536823322,9.14590504333046,-8.25246388071661,-6.07105375659839,2.39568485709662,-2.49367786791879,0.0126442641629474,0.266628884781885,-18.4791870117188,-5.87188720703125,-7.3016357421875,0.48529052734375,18.6734008789062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.022670476522356,331.513061843808,-6.83848666362269e-05,-0.965330248865616,17.898136481112,23.6038660364414,-27.7152902853418,-4.11142424890037,0.0744099764138308,0.0284468632379309,25.171875038381,0.998803336742162,0.21459677089269,-0.0383495566934812,0.0330479528975882,399.41846419555,28.6032810317827,-0.581535804449913,29.7014988337997,26.6827698621729,33.7172664725578,0,0.497053324057076,0.0272540051849018,342.499999978022,19.9999999560447,0.857764461521535,0,20,2.95186339371867e-07,5.90372682296447e-07,4170.05653600528,6849.99998450577,1.64266357670722,0.000312303312230977,-0.106963884432218,-9.65264512836927,-8.39127578912558,-5.46666843159495,-3.44869514584342,-0.00632215405875058,-0.0126443081182188,0.375683728886576,-28.5921020507812,-14.9144287109375,-9.47015380859375,-7.20843505859375,5.49072265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
0.76,-0.00873215411421199,331.497484604505,-2.6341539588543e-05,-0.0983234065810841,24.5341655357628,36.0221136633493,-35.8487517820661,0.173361881283164,0.0132949470479892,0.0429350099274886,34.6463624968963,0.998927294715703,0.15992639098405,-0.00283791427137242,0.00048215823440545,395.638458808631,28.0287904369378,-4.36154119136876,38.9829241234668,32.7517095995286,42.7340827567406,0,0.506360616412981,0.0402539736897938,342.5,20,0.86602438365009,0,20,2.27373675443232e-13,5.04485342389671e-13,5741.87254479836,6849.99999999999,1.1929906048168,0.000387014417565945,-0.132552438016319,-3.78000538691884,9.28142528966707,6.63602905465081,0.867006842284532,2.19775415644108e-08,4.39552358955098e-08,-0.449672971890421,-30.1478881835938,-11.7196655273438,-7.2301025390625,-11.4269409179688,6.51190185546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
0.78,0.0416618293712286,331.348824277896,0.000125734049191276,0.954319336917309,21.4706613743603,33.3294566805943,-29.1306691718846,4.19878750870966,0.0338786788646167,0.0360973370227516,30.2809308019882,0.999432066905154,0.166240169085556,0.0315155218694483,0.0146365280063656,404.247907540341,17.3611480950373,4.24790754034143,35.2095459791081,30.2561581074998,39.5319365170977,0,0.520718690645214,0.0432950377421747,342.5,20,0.847410441175053,0,20,0,0,5016.0616376241,6850,1.36561320311936,0.000186562548475599,-0.0638976728528746,8.60944873171019,-3.77337814435869,-3.06350416140245,1.05264274349839,0,3.5527136788005e-14,0.17262259830256,-29.2986450195312,-9.69158935546875,-9.07489013671875,-10.5653076171875,7.91241455078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
