t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.148052376514906,332.013020248284,-0.000445923405064628,0.0320546901567476,29.5379897031661,43.6942614378087,-43.5705332757069,0.12372816210182,0.000966412718338734,0.0565362735516841,41.6965579083422,0.998899496035808,0.144145139982438,0.000768761062416964,0.00903103534037708,400.037776260101,22.29650849133,0.0377762601012819,46.6888350259728,43.5903543926258,49.8986397355266,0,0.51699852586422,0.0469689643692121,345,20,0.862747752045964,0,20,0,0,6919.95719925114,6900,0.997115993831103,0.000381716527155129,-0.131692201868532,0.288766532769614,0.145511197426266,0.0431623665781373,0.0748137708293566,0,0,-0.00207180149488251,0.12522057962147,0.0113404138377754,-2.17903473942442,0.0002386776453569,0,-7.15008544921875,-7.03802490234375,-4.71826171875,-10.6626586914062,-10.3555297851562,0,0,0,0,0,0,0,0,0,0,0.52703857421875,-0.43817138671875,0.506683349609375,-0.1142578125,-0.341796875,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.748159486924,0,0
0.62,0.0796131474683085,331.661081070833,0.000240043683181824,-0.00241229304996079,29.4418326360754,43.4169494784594,-43.4721464293816,-0.0551969509221664,0.000424715087722432,0.0572590567397926,41.5597823011828,0.998881179106252,0.144597100059132,-5.80439289233749e-05,0.0077277815205985,400.047313255129,22.1244989200081,0.0473132551286994,46.5429928913881,43.510682348057,49.6939256443467,0,0.517757786223452,0.0468047495920603,345,20,0.862723578145008,0,20,0,0,6890.23104971975,6900,1.00141779719864,0.000377534836990323,-0.130249518761673,0.00953699502741756,-0.145842134584711,-0.0961570670906617,-0.0344669832067084,0,0,0.0043018033675335,0.0736822759540225,0.00670952047025933,0.546727409774709,0.000452669278077966,0,-8.205810546875,-7.0015869140625,-6.04754638671875,-12.6467895507812,-10.8495483398438,0,0,0,0,0,0,0,0,0,0,-0.06085205078125,-0.4774169921875,0.505706787109375,-0.2333984375,-0.47509765625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.726330086352,0,0
0.64,-0.0479166419623013,331.792220680845,-0.000144417617338873,-0.0183687771229607,29.5206778811868,43.5257083045978,-43.7729644772105,-0.247256172612659,0.00146858266520879,0.0570855555058447,41.6708469184616,0.998874772533823,0.144559895294596,-0.000440806426586513,0.0100917544439567,399.905560975621,22.1923559863133,-0.0944390243790281,46.6487605530692,43.5364314131567,49.8621272371909,0,0.517577594577058,0.0470713768210994,345,20,0.863032592580934,0,20,0,0,6911.04089970806,6900,0.998402425934343,0.000381255293689486,-0.13153307632291,-0.141752279507728,0.105767661681078,0.0788452451113919,-0.0159564840729999,0,0,-0.00301537126429341,0.0254675241488807,0.00230841102885946,2.28168117902084,3.02178876206982e-05,0,-8.1259765625,-8.1717529296875,-5.92095947265625,-12.8964233398438,-10.0150146484375,0,0,0,0,0,0,0,0,0,0,0.03173828125,-0.48089599609375,0.377410888671875,-0.3262939453125,-0.2054443359375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.794251177053,0,0
0.66,-0.0042855237002415,331.632991484748,-1.29224890474704e-05,-0.0130325357208696,29.5507810229627,43.6878383594034,-43.6489022174693,0.0389361419341228,0.00102288159676242,0.0570226216794357,41.7132644883658,0.998851020875356,0.144007839947342,-0.000312431450300528,0.00909355403748302,400.027843659902,22.2401866645418,0.0278436599019756,46.6789537006993,43.6088319603431,49.8548199911469,0,0.517971377873812,0.0471753576071946,345,20,0.862769071900387,0,20,0,0,6914.78353750712,6900,0.997862039002822,0.000381598286280482,-0.131651408766743,0.122282684281004,0.0301931476300652,0.0301031417758324,0.00533624140209103,0,0,-0.000540386931521142,0.0364220223092967,0.00329884644663124,-2.80831023832518,0.010308103848813,0,-7.536865234375,-7.92730712890625,-4.781494140625,-10.37109375,-10.5787353515625,0,0,0,0,0,0,0,0,0,0,0.6185302734375,-0.41558837890625,0.391021728515625,-0.02056884765625,-0.3089599609375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.309059255602,0,0
0.68,0.0732768685838532,331.479237871312,0.00022106020592548,0.0219332847024553,29.4646067512078,43.4834244347834,-43.5740530133073,-0.0906285785239263,0.000566337639565141,0.0563021727218927,41.5943901892038,0.998920710706564,0.141694416324142,0.00052731352960545,0.00825764239961924,400.133115018179,22.0932349964342,0.133115018178842,46.4744348182865,43.4352769527003,49.6638921631744,0,0.517377415533288,0.0457818328524134,345,20,0.862537940848065,0,20,0,0,6892.37432671854,6900,1.00110639279296,0.000376791573628354,-0.129993092901771,0.105271358276866,-0.204518882412742,-0.0861742717548886,0.034965820423325,0,0,0.00324435379013743,0.0674222175285529,0.00614410192332741,0.00711741544595812,0.000329236700496893,0,-8.36468505859375,-7.0211181640625,-5.9632568359375,-12.5744018554688,-11.14111328125,0,0,0,0,0,0,0,0,0,0,-0.03509521484375,-0.49884033203125,0.500518798828125,-0.23211669921875,-0.56524658203125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.108009398906,0,0
0.7,-0.0745491943774663,331.641011506345,-0.000224788828253951,-0.0146127350382619,29.494217284104,43.4317098315275,-43.5618442746398,-0.130134443112283,0.00118135498932856,0.0565089339919275,41.6354875472375,0.998914436466101,0.141712475763307,-0.000350968270076891,0.00831098226083604,399.914997388033,22.1036714649182,-0.0850026119668428,46.4947426762823,43.3974858338581,49.6960098001202,0,0.516711866993863,0.0461215728160003,345,20,0.863010244504205,0,20,0,0,6902.1977232255,6900,0.999681590804316,0.000378955584768415,-0.130739676745065,-0.218117630145684,0.0203078579957747,0.0296105328962497,-0.0365460197407172,0,0,-0.00142480198864348,0.0497836872309593,0.00452609461729835,1.11542200297792,-9.52453186781055e-05,0,-8.17578125,-7.51080322265625,-6.10638427734375,-12.678466796875,-10.6158447265625,0,0,0,0,0,0,0,0,0,0,-0.0718994140625,-0.48223876953125,0.429107666015625,-0.23406982421875,-0.3975830078125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.690201335942,0,0
0.72,0.0241365807155583,331.438665275072,7.28236722035028e-05,2.43395482952505,23.2172763187473,38.8334180278708,-29.1884808596775,9.64493716819334,0.0904657587596191,0.0631893408522741,32.4153846232126,0.998651791607487,0.169714896502174,0.0750864090559672,0.0221398424492927,408.84162421517,24.021796260935,8.84162421516987,38.3536954451055,28.1624549279702,46.2565561930833,0,0.527005079230625,0.0437383090789637,342.50632248545,20.0126449709006,0.837186166582345,0,20,2.66898556858411,5.3379711371682,5369.6690860884,6854.54158924189,1.27652961092155,-0.000670850008797852,0.229770369452694,8.92662682713672,-8.14104723117681,-6.27694096535672,2.44856756456331,-2.4936775145498,0.0126449709005918,0.276848020117233,4.84487603501196,0.559788562925768,-1.78732641273148,0.000475667108785105,0,-2.69879150390625,-1.21649169921875,-1.8575439453125,1.84417724609375,0.47601318359375,0,0,0,0,0,0,0,0,0,0,0.089111328125,-0.10504150390625,0.336212158203125,-0.2161865234375,0.51324462890625,0,0,0,0,0,0,0.1,0,-0,0,-0,0,0,0,1,332.096360057501,0,0
0.74,-0.0196659455474632,331.501374682399,-5.9323873291037e-05,-1.10118919184179,18.3656350681223,25.2181131936082,-29.343351073898,-4.12523788028975,0.0437750017700691,0.0692857875350081,25.824385832135,0.998307830971655,0.201621207926645,-0.0426414474675136,0.00829400111786516,399.802433466881,27.3647527710685,-0.1975665331193,30.1476615279487,27.2414481270511,33.8397167604,0,0.513954674606493,0.0435047438068876,342.499999978057,19.9999999561143,0.856913743226856,0,20,2.94768369712983e-07,5.89536732320539e-07,4279.57466736791,6849.99998453028,1.60062635120309,0.000280875431415639,-0.0961998352536853,-9.03919074828917,-8.20603391715681,-4.85164125062501,-3.53514402136683,-0.00632250739300844,-0.0126450147863082,0.32409674028154,6.09417586836567,0.917509899041638,0.823382009856118,0.00846660394229926,0,-3.85919189453125,-4.40728759765625,-2.12286376953125,-3.02880859375,1.6298828125,0,0,0,0,0,0,0,0,0,0,0.33905029296875,-0.1107177734375,0.685882568359375,-0.51605224609375,0.96868896484375,0,0,0,0,1,0,0.1,0,-0,0,-0,0.96868896484375,0,0,1,332.252882286368,0,0
0.76,-0.000601948763726767,331.48109457634,-1.81593693750803e-06,-0.286204114611645,24.0356797238789,35.1090874441808,-36.4443078542296,-1.33522041004877,0.0214465983788168,0.0668117419724715,33.8924231813262,0.99870573405551,0.163798956511631,-0.00844448663586072,0.0134446083657269,395.877112588978,26.093375742318,-4.12288741102174,38.2691370058746,32.2323160482381,42.2599192299517,0,0.511756793713023,0.0453280749235747,342.5,20,0.865470161535328,0,20,2.27373675443232e-13,5.04485342389671e-13,5615.72608882727,6849.99999999999,1.21978883792576,0.000349864468677907,-0.11982858052221,-3.92532087790244,8.12147547792587,5.6700446557566,0.814985077230142,2.19428102354868e-08,4.38856808671062e-08,-0.380837513277329,3.11590013515793,0.317532968865447,-2.69595838542697,-0.00692884570941121,0,-5.537353515625,-4.1861572265625,-2.056884765625,-1.2904052734375,0.14971923828125,0,0,0,0,0,0,0,0,0,0,0.46209716796875,-0.32781982421875,0.649078369140625,-0.1143798828125,0.6796875,0,0,0,0,1,0,0.1,0,-0,0,-0,0.6796875,0,0,1,333.613307816053,0,0
0.78,0.0418743699066549,331.322407148112,0.000126385565851378,0.768733079911278,21.6846063941807,33.6522821689314,-30.6023448268749,3.04993734205645,0.0317656452131265,0.0611966668489712,30.5632964391402,0.998612504463056,0.178441900048144,0.0251521651613082,0.0157438051402909,403.408959105035,17.9414419024931,3.4089591050348,35.6901448957406,31.081299894217,39.7614926028249,0,0.519751733304774,0.0433030664417744,342.5,20,0.849186576037128,0,20,0,0,5061.80351478419,6850,1.35327259937944,0.000202840073303401,-0.0694727251064364,7.53184651605653,-2.57899211013398,-2.35107332969817,1.05493719452292,0,3.5527136788005e-14,0.133483761453681,1.1385467686966,0.141679134464613,-1.31014982794209,0.00143598981528448,0,-5.97412109375,-4.34033203125,-1.495361328125,-2.25848388671875,0.8494873046875,0,0,0,0,0,0,0,0,0,0,0.55999755859375,-0.073486328125,0.827056884765625,0.07598876953125,0.622802734375,0,0,0,1,1,0,0.1,0,-0,0,0.07598876953125,0.622802734375,0,0,1,334.240278704278,0,0
