t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.152857071768415,332.038460415927,-0.000460359536593859,0.0451884363821473,29.5159647035174,42.66940839518,-42.4643189413991,0.205089453780921,0.00150018864451468,0.0282943897423068,41.7209874271537,0.999495243314323,0.140658979666064,0.00108311042400537,0.00605513640265976,400.097935949711,21.7882058831157,0.0979359497108021,46.7213305571339,43.6174631095539,49.8620151778994,0,0.512002725551805,0.0420484093493797,345,20,0.862601759048812,0,20,0,0,6925.58922445182,6900,0.996305119517993,0.000362850266723225,-0.125183342019511,0.42569451403142,0.137822769309643,0.0515699184912144,0.125800273953018,0,0,-0.00237517056900027,-7.0325927734375,-7.3162841796875,-9.7977294921875,-13.4923095703125,-8.40252685546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0791502647808095,331.681856078703,0.000238633085682047,-0.0168774823960396,29.3648526871441,42.3302471663478,-42.3848696080317,-0.0546224416838967,0.000272295839540491,0.0287095363762407,41.5068022413856,0.999513822710001,0.141010777619596,-0.000406619673996747,0.0070776754837194,400.065151210959,21.5461645407188,0.0651512109588452,46.4890325631367,43.5009872994247,49.5242920919027,0,0.512591903390378,0.0417471100214082,345,20,0.862667599063141,0,20,0,0,6882.76004697775,6900,1.00250480227475,0.000357227431855955,-0.12324346399032,-0.0327847387519569,-0.232297993997186,-0.151112016373332,-0.0620659187781869,0,0,0.00619968275675953,-7.1119384765625,-7.2655029296875,-8.32086181640625,-13.7069091796875,-8.57110595703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.045498219124771,331.811821848037,-0.000137120548844122,-0.0157147820531987,29.4870531830693,42.4550373795482,-42.7483091147847,-0.293271735236431,0.00141360429209594,0.0296787536447494,41.6780761187913,0.999475063811857,0.141667738347466,-0.000377051522445717,0.00815384489493365,399.848091153307,21.6658948635588,-0.151908846692947,46.6741837710876,43.5607382488804,49.7994508849936,0,0.512531533664495,0.0422046153383103,345,20,0.863141414651223,0,20,0,0,6913.62028500994,6900,0.998029934470155,0.000363614619294017,-0.125447043656436,-0.217060057651793,0.185151207950859,0.122200495925188,0.0011627003428409,0,0,-0.00447486780459794,-7.01214599609375,-7.630126953125,-8.79736328125,-13.7633056640625,-8.49444580078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00399320070069848,331.650369102642,-1.20403927530761e-05,0.00115463480429998,29.5246988738449,42.6674946148226,-42.68295345068,-0.0154588358573591,0.00099524618084111,0.0294162021398571,41.7313036863559,0.999438834376621,0.140949778095319,2.76683137669981e-05,0.00707593775920046,400.051453320494,21.7623809451853,0.0514533204944883,46.7154156959165,43.6612922871881,49.804548673847,0,0.50775225223558,0.0370634255228695,345,20,0.86270284776742,0,20,0,0,6919.0674772732,6900,0.997244212845758,0.000363849371262326,-0.125528033085516,0.203362167187436,0.0412319248289919,0.0376456907756051,0.0168694168574987,0,0,-0.000785721624396385,-7.80560302734375,-8.171142578125,-9.0618896484375,-13.5285034179688,-8.7977294921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0724600088409481,331.503556361595,0.000218579883836633,0.0143707934797034,29.3973926011044,42.5084700981052,-42.3941873013964,0.114282796708757,0.000701410283969042,0.0288219652954627,41.5521372597335,0.999479382485167,0.139243878846419,0.000345849682529558,0.00697527481608162,400.14204567505,21.5564501921298,0.142045675050383,46.4604978477353,43.4651758500989,49.538121518465,0,0.512739988304682,0.0412891929648204,345,20,0.862502295080908,0,20,0,0,6886.72528952161,6900,1.00192757949828,0.000357776095943896,-0.123432753100644,0.0905923545558949,-0.254917848181272,-0.127306272740508,0.0132161586754034,0,0,0.00468336665252456,-7.3338623046875,-7.65673828125,-8.1385498046875,-13.342529296875,-9.0689697265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.077387020473581,331.664774162656,-0.000233329031305654,-0.00630467076852893,29.4703430023534,42.4004888460327,-42.5551527920243,-0.154663945991587,0.00137576999028541,0.0286602935760831,41.65547761186,0.999468729812844,0.138610353196681,-0.000151352742303785,0.00695378648755884,399.898703849865,21.5709407929272,-0.101296150134942,46.5186972557977,43.4541385927258,49.6200593534279,0,0.511472951111395,0.0410255247667691,345,20,0.863030286291288,0,20,0,0,6906.89397418782,6900,0.999001870563876,0.000361428611780346,-0.124692871064212,-0.243341825185325,0.0581994080624284,0.0729504012490203,-0.0206754642482324,0,0,-0.00292570893440658,-7.3228759765625,-8.2276611328125,-9.093505859375,-13.24560546875,-8.88134765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.165345680010867,331.219853875973,0.000499202200822121,-2.48764710384249,36.5264287891599,47.7525246934971,-57.7137765083238,-9.96125181482667,0.0597621567054805,0.0409518825554693,51.3667567624163,0.999409828016824,0.119337364463737,-0.0484291253845062,-0.00272283843363086,390.825557193694,36.9064675695889,-9.17444280630644,55.1354760113337,43.6263932637223,64.7793025856214,0,0.501750030631986,0.0435583749031583,347.493677621234,19.9873552424677,0.89054360214911,0,20,2.66899450698975,5.33798901397949,8505.48560450723,6945.56375657379,0.816598143778315,0.00159289774064453,-0.553521893971151,-9.0731466561715,8.616778755536,7.05608578680647,-2.48134243307396,2.49367762123387,-0.0126447575322715,-0.182403726785561,-12.2595825195312,-13.9172973632812,-38.0958251953125,-1.9327392578125,-2.467041015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0194346723296827,331.358804869817,-5.86514438248236e-05,1.17828983552914,40.9206599862033,61.1540709840878,-56.8604480475893,4.29362293649853,0.0201532991008254,0.0302221060862234,57.8028807851172,0.999420555407417,0.111374653250311,0.0203846213116859,0.00498381742314891,400.458147134819,40.8757975321188,0.458147134819399,63.1999328131546,55.1291194702794,69.4875726768384,0,0.520739752240611,0.0483637410947505,347.500000020125,20.0000000402509,0.868539761389958,0,20,2.71217402314505e-07,5.42434776207301e-07,9575.65512635914,6950.00001438971,0.725798905942036,0.000903089320855033,-0.313823539015289,9.63258994112584,8.06445680182094,4.39423119704343,3.66593693937163,0.00632239889148423,0.0126447977832136,-0.0907992378362793,-2.2083740234375,-3.65447998046875,-0.4166259765625,-19.7753295898438,4.73919677734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
0.76,-0.0523581486062983,331.29940188009,-0.000158038765869093,0.287399934893462,35.0567302781108,51.0589864131546,-49.6534555507698,1.40553086238479,0.0150372393026655,0.0244479412385947,49.5495324191557,0.999434395294207,0.123363353226151,0.00580025523676494,0.0014980316099189,404.132915959289,30.5691711183199,4.13291595928882,54.9046608046255,50.5660504590785,59.4498324408241,0,0.522521064294842,0.0470276354961224,347.5,20,0.8602887509988,0,20,2.27373675443232e-13,4.68958205601666e-13,8207.08877003742,6950.00000000001,0.846828905442475,0.000492090670847878,-0.171001508119616,3.67476882446942,-8.29527200852913,-5.86392970809244,-0.890889900635675,-2.01253556042502e-08,-4.02509101604664e-08,0.121029999500439,-0.8526611328125,-9.28387451171875,4.5013427734375,-21.0341796875,6.6041259765625,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.100000001490116,0
0.78,0.0944635877074977,331.007517415757,0.000285382001124911,-0.791836451995283,37.6091223587304,52.7219681382223,-55.9381513246868,-3.21618318646454,0.0201389431854555,0.0299037081145159,53.1327928292984,0.999442402269396,0.117232648043092,-0.0149029706482632,0.000638126161749852,396.386224983654,29.710748643568,-3.61377501634627,57.7161356995864,50.8794796406675,63.5758619462398,0,0.514812980090732,0.0480352891031091,347.5,20,0.877204283402906,0,20,0,0,8792.55415564196,6950,0.790441534618284,0.000609192626098265,-0.211694437569122,-7.74669097563509,2.81147489496085,2.55239208061955,-1.07923638688874,0,-3.19744231092045e-14,-0.0563873708241908,-2.95562744140625,-6.527587890625,-0.41558837890625,-26.2662353515625,11.4332885742188,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.100000001490116,0
