t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.147039465260177,332.029228662437,-0.000442850967827496,0.161835235586413,29.4687132818341,43.369222755148,-42.2451993518039,1.12402340334412,0.00194679632718333,0.0317568401933844,41.6457268415116,0.999308416340367,0.139753600718786,0.00388599858521617,0.00411604740077953,400.179581887498,21.8275137614875,0.179581887498159,46.540995724725,43.4309611709163,49.7363524819432,0,0.51204430387235,0.0419591669691014,345,20,0.862426248284117,0,20,0,0,6912.78764882327,6900,0.998150145864028,0.000363407093163737,-0.125375447141494,0.525988743447556,-0.0643580628095606,-0.128462642560919,0.0795330143559789,0,0,0.00374270140156086,-7.2725830078125,-6.9857177734375,-9.30120849609375,-13.361083984375,-7.722900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0813905662119529,331.677194988606,0.000245390902485017,0.0860668157647209,29.3618643983105,43.3243044446188,-42.420684128221,0.903620316397777,0.00230912689739141,0.0325479274054818,41.4948286406662,0.999379665089464,0.140244822400772,0.00207415763805259,0.005359915273488,399.970716791981,21.6144026129298,-0.0292832080193079,46.3869161194608,43.3853975175862,49.4448851885575,0,0.517454474338251,0.0467592195376119,345,20,0.862873659765031,0,20,0,0,6880.6125427984,6900,1.00281769349473,0.000359988977214343,-0.124196197138986,-0.208865095517467,-0.154079605264151,-0.106848883523686,-0.0757684198216923,0,0,0.00466754763070132,-7.00152587890625,-7.11785888671875,-8.6693115234375,-13.1367797851562,-8.31573486328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0526477814978769,331.816587371849,-0.00015866530939539,0.120691765514849,29.5200204481886,43.5527687022228,-42.3837238530573,1.16904484916549,0.00326401580568597,0.0348530068937189,41.7135417202656,0.999322231263472,0.138779431592014,0.00289334735286249,0.00687737857388449,399.938097993736,21.9247045429628,-0.0619020062637219,46.5573585577402,43.5367036548501,49.677412817672,0,0.517349649606684,0.046873723907123,345,20,0.862950380079063,0,20,0,0,6919.60708954159,6900,0.997166444671226,0.000367343976208856,-0.126733671792067,-0.0326187982444139,0.170442438279345,0.158156049878187,0.0346249497501285,0,0,-0.00565124882350365,-7.15667724609375,-7.06378173828125,-8.82904052734375,-12.6839599609375,-8.27178955078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,0.00064543520264067,331.64501903883,1.94616281140378e-06,0.111188813280528,29.4856292058543,43.3290643919294,-42.6409996217862,0.688064770143193,0.00307475370890861,0.0330481996729182,41.6686565197148,0.99933145102916,0.139360847295522,0.00266840408516462,0.00636159947083481,400.018163400506,21.6843615040482,0.0181634005057276,46.5367825355546,43.5361009964858,49.6462163637282,0,0.512342245184879,0.0415995115326623,345,20,0.862775355480159,0,20,0,0,6908.55880174462,6900,0.99876113065109,0.000364675728671271,-0.12581312639162,0.0800654067694495,-0.0205760221855726,-0.034391242334376,-0.00950295223432106,0,0,0.00159468597986456,-7.77032470703125,-7.9501953125,-8.99383544921875,-13.2166748046875,-8.47821044921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0721903223954496,331.500113967364,0.000217768620141581,0.127218680491548,29.4548209683258,43.3172302474151,-42.1438430265863,1.17338722082879,0.00439012184365355,0.0311337976689302,41.6276434468308,0.999377454315849,0.135701785735136,0.00305611055437329,0.0052505032418928,400.135475206834,21.744594601373,0.135475206834371,46.3617319660939,43.3556905219064,49.5246087993362,0,0.512451134383106,0.0409780180792431,345,20,0.862519543046738,0,20,0,0,6899.1048144161,6900,1.00012975387503,0.000361354296197547,-0.124667232188187,0.117311806328644,-0.175050569460723,-0.0308082375285075,0.0160298672110193,0,0,0.00136862322393827,-7.94036865234375,-7.4730224609375,-8.23040771484375,-12.8192138671875,-8.54913330078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0711062235622322,331.657726185602,-0.00021439640312326,0.0876800398811844,29.4358586693053,43.4521778921101,-42.3797709909645,1.07240690114563,0.00250502641347913,0.0314418591871887,41.6003132094908,0.999375030182558,0.136668962155767,0.0021076773975149,0.00628018769331629,399.925204280589,21.5584178535354,-0.0747957194110995,46.3452385036419,43.315097856477,49.4059094866683,0,0.516395917128682,0.0458993453297166,345,20,0.862973300453953,0,20,0,0,6897.57920464223,6900,1.00035096303876,0.000361662239829919,-0.12477347274131,-0.210270926245471,-0.0164934624519901,-0.0189622990204512,-0.0395386406103633,0,0,0.000221209163734359,-7.45166015625,-8.19482421875,-9.7872314453125,-12.1897583007812,-8.8099365234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.170835326774442,331.204234694986,0.000515800551076191,-2.32848820245919,36.3315704688991,48.4910543220954,-56.4639490711387,-7.97289474904326,0.0530749676496862,0.0410266998418772,51.1016172849756,0.998950969165524,0.132751869879606,-0.0455658416733474,-0.0100764307772474,390.4134198151,37.112192956047,-9.58658018489973,55.2371875508011,43.4894092521855,65.0263496575625,0,0.496321333469642,0.038876340194605,347.493677852486,19.9873557049724,0.891477867205111,0,20,2.66903624305831,5.33807248611666,8460.71719987096,6945.56393509496,0.820919051070622,0.00158634532846702,-0.551244972533141,-9.51178446548863,8.89194904715923,6.89571179959382,-2.41616824234038,2.49367785248614,-0.0126442950276342,-0.179431911968141,-11.9298095703125,-13.5867309570312,-34.952392578125,-1.449951171875,-3.45343017578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0459913676674884,331.398816471606,-0.000138779516949267,1.64476776134775,41.5160470276984,63.9719870538051,-56.8138923400487,7.15809471375633,0.0335911964319568,0.0361585199931832,58.5803436275121,0.999063508828351,0.0974280102761904,0.0280771272324064,-0.00113292054382264,401.41391163967,43.0151298978542,1.41391163967035,63.1056452411987,53.744718452351,70.346835244591,0,0.522322928159104,0.0486454091402985,347.500000020092,20.0000000401849,0.866556448774807,0,20,2.70864859430731e-07,5.41729644254474e-07,9705.52717217189,6950.0000143661,0.716086812295311,0.00100090284651655,-0.34781373918463,11.0004918245701,7.86845769039758,5.18447655879929,3.97325596380694,0.00632216760618576,0.0126443352125065,-0.10483223877531,-2.21759033203125,-3.11328125,3.95501708984375,-17.5431518554688,5.15850830078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.76,-0.0241519833852325,331.266363646491,-7.29080463207131e-05,0.249576195756924,34.2739512987465,49.6190212273045,-49.227838282552,0.391182944752558,0.017395050685613,0.0233234275871283,48.4408718100122,0.999605824565635,0.123445757457211,0.00515218216418101,0.0107056631818288,403.803250125672,33.1915884255119,3.80325012567221,53.6861186543091,49.2402166291023,57.5796179506934,0,0.517115477887347,0.0421336935781176,347.5,20,0.861003599313902,0,20,2.27373675443232e-13,4.72510919280467e-13,8022.41821491447,6950.00000000001,0.866322324991643,0.000506623806778794,-0.176051772855601,2.38933848600186,-9.41952658688955,-7.24209572895189,-1.39519156559082,-2.00923295778921e-08,-4.01848403441818e-08,0.150235512696331,-1.03314208984375,-10.640625,4.595458984375,-22.688232421875,5.84576416015625,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.100000001490116,0
0.78,0.0747882019241018,331.015217205215,0.000225935842332397,-0.672698354890709,38.2639638093968,54.6018626601221,-56.6017789361145,-1.99991627599238,0.0191341517745004,0.034936208060568,54.0444702259442,0.99913404404489,0.120268607846186,-0.012447126451205,-0.00252023058171602,395.388792896932,31.0818925763547,-4.61120710306847,58.6324675065086,50.8663276024325,64.7874046931154,0,0.513866167381284,0.0484232008950012,347.5,20,0.879457436473263,0,20,0,0,8943.10816586754,6950,0.777134735608535,0.000655004924873248,-0.227614211393472,-8.41445722874067,4.94634885219943,3.99001251065027,-0.922274550647633,0,-3.19744231092045e-14,-0.0891875893831078,-2.923828125,-4.85076904296875,1.6131591796875,-26.51171875,10.451416015625,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.100000001490116,0
