t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.148052376514906,332.013020248284,-0.000445923405064628,0.0320546901567476,29.5379897031661,43.6942614378087,-43.5705332757069,0.12372816210182,0.000966412718338734,0.0565362735516841,41.6965579083422,0.998899496035808,0.144145139982438,0.000768761062416964,0.00903103534037708,400.037776260101,22.29650849133,0.0377762601012819,46.6888350259728,43.5903543926258,49.8986397355266,0,0.51699852586422,0.0469689643692121,345,20,0.862747752045964,0,20,0,0,6919.95719925114,6900,0.997115993831103,0.000381716527155129,-0.131692201868532,0.288766532769614,0.145511197426266,0.0431623665781373,0.0748137708293566,0,0,-0.00207180149488251,0.12522057962147,0.0113404138377754,-2.17903473942442,0.0002386776453569,0,-7.15008544921875,-7.03802490234375,-4.71826171875,-10.6626586914062,-10.3555297851562,0,0,0,0,0,0,0,0,0,0,0.52703857421875,-0.43817138671875,0.506683349609375,-0.1142578125,-0.341796875,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.748159486924,0,0
0.62,0.0796131474683085,331.661081070833,0.000240043683181824,-0.00241229304996079,29.4418326360754,43.4169494784594,-43.4721464293816,-0.0551969509221664,0.000424715087722432,0.0572590567397926,41.5597823011828,0.998881179106252,0.144597100059132,-5.80439289233749e-05,0.0077277815205985,400.047313255129,22.1244989200081,0.0473132551286994,46.5429928913881,43.510682348057,49.6939256443467,0,0.517757786223452,0.0468047495920603,345,20,0.862723578145008,0,20,0,0,6890.23104971975,6900,1.00141779719864,0.000377534836990323,-0.130249518761673,0.00953699502741756,-0.145842134584711,-0.0961570670906617,-0.0344669832067084,0,0,0.0043018033675335,0.0736822759540225,0.00670952047025933,0.546727409774709,0.000452669278077966,0,-8.205810546875,-7.0015869140625,-6.04754638671875,-12.6467895507812,-10.8495483398438,0,0,0,0,0,0,0,0,0,0,-0.06085205078125,-0.4774169921875,0.505706787109375,-0.2333984375,-0.47509765625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.726330086352,0,0
0.64,-0.0479166419623013,331.792220680845,-0.000144417617338873,-0.0183687771229607,29.5206778811868,43.5257083045978,-43.7729644772105,-0.247256172612659,0.00146858266520879,0.0570855555058447,41.6708469184616,0.998874772533823,0.144559895294596,-0.000440806426586513,0.0100917544439567,399.905560975621,22.1923559863133,-0.0944390243790281,46.6487605530692,43.5364314131567,49.8621272371909,0,0.517577594577058,0.0470713768210994,345,20,0.863032592580934,0,20,0,0,6911.04089970806,6900,0.998402425934343,0.000381255293689486,-0.13153307632291,-0.141752279507728,0.105767661681078,0.0788452451113919,-0.0159564840729999,0,0,-0.00301537126429341,0.0254675241488807,0.00230841102885946,2.28168117902084,3.02178876206982e-05,0,-8.1259765625,-8.1717529296875,-5.92095947265625,-12.8964233398438,-10.0150146484375,0,0,0,0,0,0,0,0,0,0,0.03173828125,-0.48089599609375,0.377410888671875,-0.3262939453125,-0.2054443359375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.794251177053,0,0
0.66,-0.0042855237002415,331.632991484748,-1.29224890474704e-05,-0.0130325357208696,29.5507810229627,43.6878383594034,-43.6489022174693,0.0389361419341228,0.00102288159676242,0.0570226216794357,41.7132644883658,0.998851020875356,0.144007839947342,-0.000312431450300528,0.00909355403748302,400.027843659902,22.2401866645418,0.0278436599019756,46.6789537006993,43.6088319603431,49.8548199911469,0,0.517971377873812,0.0471753576071946,345,20,0.862769071900387,0,20,0,0,6914.78353750712,6900,0.997862039002822,0.000381598286280482,-0.131651408766743,0.122282684281004,0.0301931476300652,0.0301031417758324,0.00533624140209103,0,0,-0.000540386931521142,0.0364220223092967,0.00329884644663124,-2.80831023832518,0.010308103848813,0,-7.536865234375,-7.92730712890625,-4.781494140625,-10.37109375,-10.5787353515625,0,0,0,0,0,0,0,0,0,0,0.6185302734375,-0.41558837890625,0.391021728515625,-0.02056884765625,-0.3089599609375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.309059255602,0,0
0.68,0.0732768685838532,331.479237871312,0.00022106020592548,0.0219332847024553,29.4646067512078,43.4834244347834,-43.5740530133073,-0.0906285785239263,0.000566337639565141,0.0563021727218927,41.5943901892038,0.998920710706564,0.141694416324142,0.00052731352960545,0.00825764239961924,400.133115018179,22.0932349964342,0.133115018178842,46.4744348182865,43.4352769527003,49.6638921631744,0,0.517377415533288,0.0457818328524134,345,20,0.862537940848065,0,20,0,0,6892.37432671854,6900,1.00110639279296,0.000376791573628354,-0.129993092901771,0.105271358276866,-0.204518882412742,-0.0861742717548886,0.034965820423325,0,0,0.00324435379013743,0.0674222175285529,0.00614410192332741,0.00711741544595812,0.000329236700496893,0,-8.36468505859375,-7.0211181640625,-5.9632568359375,-12.5744018554688,-11.14111328125,0,0,0,0,0,0,0,0,0,0,-0.03509521484375,-0.49884033203125,0.500518798828125,-0.23211669921875,-0.56524658203125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.108009398906,0,0
0.7,-0.0745491943774663,331.641011506345,-0.000224788828253951,-0.0146127350382619,29.494217284104,43.4317098315275,-43.5618442746398,-0.130134443112283,0.00118135498932856,0.0565089339919275,41.6354875472375,0.998914436466101,0.141712475763307,-0.000350968270076891,0.00831098226083604,399.914997388033,22.1036714649182,-0.0850026119668428,46.4947426762823,43.3974858338581,49.6960098001202,0,0.516711866993863,0.0461215728160003,345,20,0.863010244504205,0,20,0,0,6902.1977232255,6900,0.999681590804316,0.000378955584768415,-0.130739676745065,-0.218117630145684,0.0203078579957747,0.0296105328962497,-0.0365460197407172,0,0,-0.00142480198864348,0.0497836872309593,0.00452609461729835,1.11542200297792,-9.52453186781055e-05,0,-8.17578125,-7.51080322265625,-6.10638427734375,-12.678466796875,-10.6158447265625,0,0,0,0,0,0,0,0,0,0,-0.0718994140625,-0.48223876953125,0.429107666015625,-0.23406982421875,-0.3975830078125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.690201335942,0,0
0.72,0.165974159025041,331.196831534705,0.000501134501365692,-2.49423256096609,36.6008817957895,48.7620804496891,-58.6980805813885,-9.93600013169937,0.0594357938594588,0.0616399162131358,51.4117963262814,0.999029835167949,0.120277035204862,-0.0485147911412512,-0.000596199654865348,390.844940804087,37.3059674951362,-9.15505919591322,55.1136311609418,43.5586832595856,64.8254718222099,0,0.507027521976324,0.0486672679970189,347.493677499039,19.9873549980779,0.890520684826729,0,20,2.66897303363072,5.33794606726145,8511.46415654888,6945.56366319317,0.816024544713512,0.00161679732109787,-0.561826846878887,-9.07005658394638,8.61888848465951,7.10666451168545,-2.47961982592783,2.49367749903888,-0.012645001922106,-0.183657046090804,4.9356667564628,0.35909853109405,1.37758303341698,-0.00142465731936059,0,-3.2783203125,-3.60992431640625,-1.64178466796875,1.27178955078125,0.65216064453125,0,0,0,0,0,0,0,0,0,0,0.52264404296875,-0.0269775390625,0.447784423828125,0.48089599609375,-0.31793212890625,0,0,0,0,0,0,0.1,0,-0,0,0,-0,0,0,1,332.096360057501,0,0
0.74,-0.0213310504511142,331.334058665395,-6.43792869861768e-05,1.17253057683739,40.9346471114337,62.2508058021694,-57.9429616853507,4.30784411681871,0.0203503599183187,0.0510913673290203,57.7704098369944,0.999130368224415,0.112566417559545,0.0202963866821409,0.00782082758414271,400.473538506487,41.3549416409442,0.473538506486932,63.1173092828255,55.0072502925433,69.510672956827,0,0.521228077155617,0.0487065610369646,347.500000020123,20.0000000402464,0.868529591795377,0,20,2.71168232757191e-07,5.42336440645386e-07,9568.15706875068,6950.00001438808,0.726367676079082,0.000929838571935182,-0.323118903766215,9.62859770240016,8.00367812188369,4.33376531564424,3.66676313780348,0.00632252108414377,0.0126450421684758,-0.0896568686344299,6.12877171978041,0.386126362466487,-2.29182718337158,-0.00637853768215701,0,-3.43109130859375,-3.53887939453125,-1.31072998046875,-4.0810546875,0.89324951171875,0,0,0,0,0,0,0,0,0,0,0.7969970703125,0.5921630859375,0.867462158203125,-0.1231689453125,-0.59185791015625,0,0,0,0,1,0,0.1,0,0,0,-0,-0.59185791015625,0,0,1,331.322742814824,0,0
0.76,-0.0514398509403347,331.273053625751,-0.000155279309250573,0.266065440366577,35.1118273540872,52.3113616899809,-50.808612248554,1.50274944142692,0.0144053443977181,0.049374279867519,49.5785613429627,0.99904087390158,0.125709552870284,0.0053665421738653,0.00413883890237532,404.056255423207,31.0907760119564,4.05625542320706,54.9182194630251,50.5447564402309,59.5429236592612,0,0.522768731878706,0.0472162833011579,347.5,20,0.860469706171752,0,20,2.27373675443232e-13,4.68958205601666e-13,8210.07812318831,6950.00000000001,0.84652056846702,0.000512711887382444,-0.178167380865432,3.58271691672013,-8.19908981980046,-5.82281975734656,-0.906465136470817,-2.01230250240769e-08,-4.02463378179618e-08,0.120152892387938,3.17348909390494,0.256589539286234,0.456271246508389,0.00624093648756074,0,-3.44622802734375,-4.23431396484375,-1.91119384765625,-5.8875732421875,1.78057861328125,0,0,0,0,0,0,0,0,0,0,0.72210693359375,0.51611328125,1.12387084960938,-0.27252197265625,-0.48919677734375,0,0,0,0,1,0,0.1,0,0,0,-0,-0.48919677734375,0,0,1,331.351910983335,0,0
0.78,0.0918316490672891,330.985700876524,0.000277448991977896,-0.755768561153123,37.6719536389517,53.8562455656191,-57.0862069547454,-3.22996138912634,0.0197232340828626,0.0537098452140979,53.1649591589672,0.999092966852819,0.118733056783529,-0.0142155392030551,0.00348627423856618,396.442551335779,30.2724239401817,-3.557448664221,57.7213104564541,50.8718536365887,63.6512734515873,0,0.515147560122361,0.0481344646805782,347.5,20,0.8771032768129,0,20,0,0,8796.19536647528,6950,0.790114329030067,0.000636146315619923,-0.221060844677936,-7.61370408742806,2.80309099342909,2.56012628486454,-1.0218340015197,0,-3.19744231092045e-14,-0.0564062394369531,1.11520397271047,0.0792052233402543,1.86541683654987,-0.00250933289321076,0,-5.2957763671875,-5.7911376953125,-2.35760498046875,-6.269775390625,0.915771484375,0,0,0,0,0,0,0,0,0,0,0.65081787109375,0.70758056640625,1.20425415039062,-0.3167724609375,-0.4652099609375,0,0,0,0,1,0,0.1,0,0,0,-0,-0.4652099609375,0,0,1,332.533008365584,0,0
