t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.202378046034728,331.952012269348,-0.000609660548978741,0.690595544351553,30.0939660324242,48.8237486187564,-44.5448100395792,4.27893857917714,0.014184423921406,0.0433161482641357,42.2627089088403,0.994173615619847,0.110085255168155,0.0163405413940964,0.0432752125126674,400.054800761699,22.1565492960994,0.0548007616986297,41.3087224483338,38.2282628016106,44.5060379480654,0,0.426985419715948,-0.0436115991810103,345,20,0.862704672702261,0,20,0,0,7005.5721117034,6900,0.984930265505791,0.000374336098810213,-0.129145954089552,0.241998154470025,0.108871583480877,0.265171845175317,0.706710714293227,0,0,-0.00757616016331164,-17.317626953125,-7.45709228515625,-3.53912353515625,-18.17822265625,-9.65447998046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,-0.018727932674675,331.573666537297,-5.64819663462882e-05,0.247222884010946,30.2899820212412,46.7511790799275,-49.2719336525079,-2.52075457258045,0.00360504233791508,0.0399149519328945,42.5543702776137,0.994184533279454,0.109310743539065,0.00580957684012543,0.0307280801682199,400.069977717688,22.0605139362748,0.0699777176876069,41.1516991609775,38.1293607728897,44.3310645104925,0,0.429038640195846,-0.0425186876197319,345,20,0.862671182239412,0,20,0,0,7049.55704465073,6900,0.978784901845115,0.000373451177428485,-0.128840656212844,0.0151769559889772,-0.157023287356282,0.196015988816967,-0.443372660340606,0,0,-0.0061453636606762,-16.2996215820312,-13.1942749023438,1.2777099609375,-17.883544921875,-4.35931396484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.035107309829251,331.549998095035,-0.000105888433210571,-0.0274691978318401,30.8937710187179,48.2039628846262,-48.3621548738819,-0.158191989255727,0.00363634436745398,0.0596488228433269,43.3955365039539,0.9944583062777,0.110665950573454,-0.000632995926420619,0.026763200447947,399.884603775365,22.0030827724127,-0.115396224634821,41.2160003711522,38.1163472970899,44.4421536926023,0,0.446045660850451,-0.0250915663522593,345,20,0.863071644419138,0,20,0,0,7188.71511566082,6900,0.959837730245862,0.000374094371883738,-0.129062558299893,-0.185373942322428,0.0643012101746336,0.603788997476709,-0.274692081842786,0,0,-0.0189471715992533,-13.6433715820312,-12.5615234375,-8.85003662109375,-16.886962890625,-4.7393798828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.0125129431910646,331.621108550297,-3.77326499081008e-05,0.0652212880223754,29.9405008084222,46.2814177813684,-49.4935833177251,-3.21216553635669,0.00882427660028859,0.0312643401631205,42.0979813715646,0.994736852540985,0.102529411533339,0.00154927352565246,0.0297663877233663,400.059596208432,22.0693869325731,0.0595962084319126,41.2691938902095,38.1712963707172,44.4726248995112,0,0.426363226308438,-0.0450858166456101,345,20,0.862694784112964,0,20,0,0,6974.13909202623,6900,0.989369427387676,0.00037486082131255,-0.129326983352826,0.174992433066734,0.0531935190573876,-0.95327021029577,0.0926904858542155,0,0,0.0295316971418148,-16.2876586914062,-13.8472900390625,-2.86669921875,-19.4156494140625,-7.41650390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0684976212666211,331.288309045524,0.000206761359807625,0.129569905493337,30.5709698205237,48.0730205613474,-44.9473684507836,3.12565211056382,0.0135462543952699,0.0528480754352872,42.9523935598934,0.994512598148748,0.107984549658153,0.00301659336662259,0.0261188140204807,399.995390997291,21.942716679918,-0.00460900270934417,41.1522265265044,38.1383563350081,44.3007389061508,0,0.427394801865717,-0.0446204297401435,345,20,0.862829146058893,0,20,0,0,7109.39317946351,6900,0.97054696875278,0.000370091715029996,-0.127681641685342,-0.0642052111412568,-0.116967363705143,0.630469012101539,0.0643486174709616,0,0,-0.0188224586348961,-17.6100463867188,-11.0083618164062,-5.514892578125,-16.466064453125,-9.043701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0705370872770227,331.524162719022,-0.000212766052098608,0.334109024606875,30.167198200094,49.5266719425987,-46.6553324376616,2.87133950493704,0.00554692307733463,0.0453103952506826,42.4060328965537,0.994866689031223,0.102308214950928,0.00787880878699284,0.0274325162079609,399.863564885339,21.9435676212865,-0.136435114660571,41.3211147830899,38.2152463026581,44.5459724200374,0,0.446361419248021,-0.0248077747532072,345,20,0.863117836294566,0,20,0,0,7023.76829772495,6900,0.982378647404267,0.000374999817002619,-0.129374936865872,-0.131826111951227,0.168888256585497,-0.403771620429694,0.204539119113538,0,0,0.0118316786514862,-14.848388671875,-10.4649658203125,-8.9698486328125,-17.3214721679688,-7.46856689453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.115541130092647,331.203960527588,0.000348851897509308,-2.25393596309359,37.1185606888424,54.1827963084706,-63.4429956844856,-9.26019937601491,0.0504360840663462,0.047556720656852,52.0449978399471,0.996007816993068,0.0895275063130986,-0.0433074465681616,0.0191861232040154,391.180712826905,36.3844159072177,-8.81928717309529,49.7182714880333,38.451045090978,59.1719886263676,0,0.436719986824043,-0.0226850657913037,347.493678008867,19.9873560177345,0.889745581707519,0,20,2.66905397994401,5.338107959888,8615.07634864043,6945.5640532577,0.806210388878771,0.00160472812416113,-0.557632878069001,-8.68285205843472,8.39715670494343,6.95136248874837,-2.58804498770047,2.49367800886745,-0.0126439822655264,-0.176168258525496,-18.2789916992188,-16.8955078125,-27.8939819335938,-6.04119873046875,-2.952392578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0647059921466811,331.258576739016,-0.000195333786625727,1.41052115566109,41.4469395074386,67.430644851535,-61.251511172017,6.17913367951799,0.0328771554966137,0.0497970547620862,58.3153712292329,0.996926017296292,0.0791561146781245,0.0241878106222877,0.0313896096996538,400.597015819112,40.015205231727,0.597015819111562,57.1296863297133,49.2792525128878,63.4245234188563,0,0.442780589247883,-0.0302970283516223,347.500000020175,20.0000000403496,0.868226602085318,0,20,2.71834494469658e-07,5.43668900121475e-07,9649.92642518369,6950.000014425,0.720212746522853,0.000889167855979922,-0.308985829970993,9.41630299220685,7.41141484167995,4.32837881859625,3.66445711875468,0.00632201130719068,0.012644022615163,-0.0859976423559179,-11.5888061523438,-8.44097900390625,0.34246826171875,-22.009033203125,3.11419677734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.76,0.0171678448716224,331.0949287402,5.18517300670996e-05,0.0835645042730697,35.911736469402,56.7641246886141,-54.2785096966312,2.48561499198298,0.0158126711669838,0.0423703452021313,50.5667334715455,0.99653645605875,0.0837296824868426,0.00165255887687688,0.0285862040299758,403.557859387914,30.8630548772693,3.55785938791405,49.6056689377738,45.2974936599952,54.0454283086478,0,0.434583994271404,-0.0411872838362332,347.5,20,0.861527678827876,0,20,2.27373675443232e-13,4.72510919280467e-13,8365.86723978246,6950.00000000001,0.830756668830515,0.000507239917167945,-0.176265871215833,2.96084356880249,-7.52401739193945,-5.53520303803662,-1.32695665138802,-2.01746388484025e-08,-4.03496045464635e-08,0.110543922307663,-17.7194213867188,-17.8106079101562,3.01507568359375,-22.9730834960938,3.3931884765625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.100000001490116,0
0.78,0.125461202134234,330.931773091749,0.000379115009000512,-0.740949139076374,38.1759118309663,59.6734029788301,-58.1452373816112,1.5281655972189,0.0229314686976759,0.0425417016278872,53.7473328302413,0.996860731916858,0.0792516743670593,-0.0137857843368085,0.0274865478415953,396.829254561737,29.7134225122325,-3.17074543826311,52.3325374159111,45.8127260436207,57.9605095113344,0,0.441171266833333,-0.0268488725037693,347.5,20,0.876239855252793,0,20,0,0,8887.4576233773,6950,0.78200091573083,0.000626211733093518,-0.217608577249962,-6.72860482617716,2.72686847813728,2.26417536156428,-0.824513643349444,0,-3.19744231092045e-14,-0.0487557530996851,-13.6076049804688,-12.52392578125,-0.29058837890625,-22.9815063476562,7.8155517578125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.100000001490116,0
