t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.165413957865005,332.061228958834,-0.00049814294304594,-0.0873461544259942,29.3253272448194,41.947162908106,-42.3713813100101,-0.424218401904056,0.00267864204923532,0.0191018804237471,41.4560113683872,0.999441007961661,0.152300464514143,-0.00210695992071734,0.00616212819143813,399.817711932703,21.2669999287225,-0.182288067296952,46.856086861835,43.7625609502079,50.0038941751302,0,0.516781302340695,0.0471452617171109,345.000157369354,20.0003147387077,0.863195910670887,0,20,0.00427516822730922,0.00855033645454029,6883.10256804531,6900.11173618308,1.00247114843483,0.000350308781501996,-0.120856584746093,0.170730718632115,0.278777909915732,-0.187662977094792,0.0423387390358058,0.000157369354042203,0.000314738707693607,0.00536178151349753,0.256514593169117,0.0242602467251128,1.045940076824,4.1620538635101e-05,0,-8.0667724609375,-7.78466796875,-6.02142333984375,-12.7214965820312,-10.2654418945312,0,0,0,0,0,0,0,0,0,0,-0.04779052734375,-0.51422119140625,0.426666259765625,-0.3385009765625,-0.36334228515625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000553122553637247,1,333.855915423458,1,1
0.62,0.0862805688909238,331.676232159619,0.000260134916298137,0.0796908029336242,29.577192327138,42.6465074943948,-42.5524909006506,0.094016593744108,0.00165908312128507,0.0198981644818988,41.8120779441308,0.99946855779202,0.147566563976821,0.00190592782879882,0.00759123118784855,400.037161718141,21.8293410129489,0.0371617181411352,47.1070724637052,43.9966200621584,50.244873452098,0,0.517831808359925,0.0469164019129319,345.000000306688,20.000000613375,0.862730019550268,0,20,0.00425516902640766,0.00851033805288992,6934.11749135091,6900.00022221843,0.995079796502578,0.000359617516312305,-0.124068043238026,0.219449785438087,0.250985601870148,0.251865082318638,0.167036957359618,-0.000157062666517049,-0.000314125332668169,-0.00739135193224782,0.292529691832452,0.0272951673179301,-2.20818412818341,-0.000554321224105037,0,-7.4583740234375,-7.83050537109375,-4.9859619140625,-10.6734619140625,-10.2001953125,0,0,0,0,0,0,0,0,0,0,0.4857177734375,-0.43017578125,0.451995849609375,-0.0714111328125,-0.337890625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,1,-0.000550841326206946,1,332.84484057125,1,1
0.64,-0.0310472473033921,331.803058493648,-9.35713113807433e-05,0.00315670541228647,29.3500480545137,42.3387285955155,-42.1887378840885,0.149990711427023,0.00173948357740077,0.0190677966672698,41.4911614588129,0.99938546888235,0.148703796767288,7.60813942366987e-05,0.00526426637859601,400.141482826366,21.3175165891079,0.1414828263662,46.7590250757605,43.7616801450739,49.7782636935443,0,0.51805476547092,0.0473355433911557,344.999997762465,19.9999955249295,0.862496244153404,0,20,0.00420055849093615,0.00840111698179058,6883.62858488807,6899.99841575088,1.00237808165576,0.000349357408787609,-0.120528305250048,0.104321108225065,-0.34804738794471,-0.227144272624365,-0.0765340975213378,-2.54422280931976e-06,-5.08844552626897e-06,0.00729828515318609,0.165673587411775,0.0156779237785026,0.429030040801281,0.000111385516087026,0,-8.51702880859375,-7.54296875,-6.46435546875,-13.0856323242188,-11.265380859375,0,0,0,0,0,0,0,0,0,0,-0.05548095703125,-0.5550537109375,0.500518798828125,-0.2882080078125,-0.47607421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000538067640018441,1,332.782522314125,1,1
0.66,-0.0112174284402226,331.664904996149,-3.38215719277048e-05,-0.0552092590194618,29.4884182071628,42.5413475403836,-42.6371514584658,-0.0958039180821899,0.00294256322350446,0.0200120356187942,41.6862710205641,0.999416987891316,0.149689210787111,-0.00132439908074835,0.00644080793358537,399.766799633813,21.5329598580909,-0.233200366187361,46.9935103797233,43.8365984464373,50.145867553346,0,0.517171645520564,0.046911447833503,345.000004690505,20.0000093810101,0.863310956735466,0,20,0.00423688107491671,0.00847376214978013,6912.97783109777,6900.00333470934,0.998123168234381,0.000356677016708717,-0.12305357243747,-0.374683192553562,0.234485303962821,0.138370152649141,-0.0583659644317483,6.92804013624482e-06,1.38560805673649e-05,-0.00425491342138251,0.097383144354836,0.00912712132374908,1.99081662490298,0.00889432503563481,0,-8.27392578125,-8.8251953125,-6.292236328125,-13.3662109375,-10.990478515625,0,0,0,0,0,0,0,0,0,0,-0.0267333984375,-0.5699462890625,0.255462646484375,-0.37933349609375,-0.283935546875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,-0.000524189297542963,1,333.071650308352,1,1
0.68,0.0740781266592531,331.505722773166,0.000223459571194013,0.0325396836023853,29.4796907450743,42.5471361698223,-42.2917323650234,0.255403804798888,0.00148636723069348,0.0192493783309267,41.6736018889819,0.99942235252941,0.149169141573843,0.000780822442203836,0.00619290156454744,400.116503992252,21.3814410409227,0.11650399225158,47.0055751630747,43.9908670714398,50.0793721686482,0,0.507114838735677,0.0357709512325756,344.999996762016,19.9999935240312,0.862553744194749,0,20,0.00421230243551918,0.00842460487107388,6907.98208498931,6899.99770546576,0.9988441806268,0.000353599628287071,-0.121991870614067,0.349704358438942,0.0120647833514624,-0.00872746208851538,0.0877489426218471,-7.92848925357248e-06,-1.58569788624163e-05,0.000721012392419174,0.0767999498973421,0.00722287506061162,-1.54835290221635,-0.000136573577656729,0,-7.92333984375,-8.4029541015625,-6.16998291015625,-11.37158203125,-10.8980102539062,0,0,0,0,0,0,0,0,0,0,0.28118896484375,-0.52069091796875,0.377777099609375,-0.12908935546875,-0.49395751953125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,1,-0.00053794199090698,1,333.491735536346,1,1
0.7,-0.0848728873649487,331.680219282653,-0.000255887696735455,-0.0149674520146153,29.4061310152188,42.0740162327057,-42.0535870029034,0.0204292298023034,0.00131180390123991,0.0187016623730697,41.5704796632323,0.999435552258666,0.149891653073704,-0.000360050019529928,0.00638639105656358,399.976368687602,21.2360381252914,-0.0236313123979812,46.9028986890047,43.9245366768325,49.9344317366273,0,0.511398251459025,0.0407803247667251,345.00000011779,20.0000002355805,0.862853609392336,0,20,0.00419804990252715,0.00839609980502587,6894.27339136412,6900.00008803883,1.00083064542841,0.000350879060595277,-0.121053275946736,-0.140135304649561,-0.102676474070044,-0.0735597298554787,-0.0475071356170006,3.35577470877979e-06,6.71154931453088e-06,0.00198646480160536,0.111205018024944,0.0105037619727953,0.73449678833058,-0.00989388036301764,0,-8.5201416015625,-7.83148193359375,-6.292236328125,-12.4282836914062,-10.3252563476562,0,0,0,0,0,0,0,0,0,0,-0.12506103515625,-0.46417236328125,0.522491455078125,-0.23883056640625,-0.39013671875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,1,0.357036143263177,1,333.663723281065,1,1
0.72,0.163471385143569,331.223150006552,0.000493538525735099,-2.31781399136232,36.6568898117319,47.8910678639451,-57.6118310305145,-9.72076316656936,0.0571749852328039,0.0315638455874575,51.5898896983713,0.999409667372816,0.124490631994203,-0.0449276787547676,-0.00183388470195389,391.232952909977,35.8417536184804,-8.76704709002314,55.7026082113464,44.1426299487868,65.0064520199743,0,0.502321995569483,0.0434568738561238,347.493684997443,19.9873699948855,0.889596068218031,0.975,19.9997980445508,2.79400292419479,5.58800584838952,8543.77324317955,6945.57128927495,0.812939563303551,0.00157013405468498,-0.545611668602476,-8.74341577762516,8.79970952234169,7.25075879651308,-2.3028465393477,2.49368487965268,-0.0126302406950067,-0.187891082124855,4.52624454467762,0.337386349829109,1.40383193878285,0.00739036612732863,0,-3.31353759765625,-2.87701416015625,-1.6954345703125,1.4132080078125,-0.09014892578125,0,0,0,0,0,0,0,0,0,0,0.18133544921875,-0.2183837890625,0.564483642578125,0.74700927734375,0.012939453125,0,0,0,0,0,0,0.1,0,-0,0,0,0,1,0.0221887439693395,1,332.642082886733,1,1
0.74,-0.0183538511120668,331.366704924341,-5.5388338174342e-05,1.18502594581932,40.6925773723763,60.6840080416875,-56.0050373836029,4.67897065808467,0.021540486303736,0.0259818034993115,57.481443229799,0.99946219312025,0.111992724602509,0.0206158001475681,0.0062597192116276,400.798425969397,39.673855107359,0.798425969397158,62.9524002608438,54.925468271281,69.2271789657707,0,0.521237852242249,0.0484790444419351,347.499955717862,19.9999114357246,0.867764911563559,1,20,0.00613004848207765,0.0122600969641908,9523.85826698665,6949.96834678353,0.729742941563378,0.000860014349262306,-0.298854948285395,9.5654730594203,7.24979204949745,4.0356875606444,3.50283993718163,0.00627072041902466,0.0125414408390867,-0.0831966217401735,5.88142636561594,0.384361209002385,-2.27691751661173,-0.0065855988179121,0,-3.575927734375,-5.3487548828125,-1.29766845703125,-3.34600830078125,-1.638671875,0,0,0,0,0,0,0,0,0,0,0.3875732421875,0.55145263671875,0.216339111328125,0.26123046875,-0.26702880859375,0,0,0,0,1,0,0.1,0,0,0,0,-0.26702880859375,1,-0.000280746034324242,1,331.54875614848,1,1
0.76,-0.0403014118557709,331.290716070493,-0.000121649686818255,0.203404151693085,35.0835825365036,50.8761650621218,-49.6814160237303,1.19474903839146,0.0128116055743298,0.0198698856317942,49.5927016972169,0.999507034116934,0.125050263789135,0.00410149366200994,0.00367846805220218,403.721742507953,30.5833882711528,3.72174250795285,55.033721269255,50.7469082277429,59.3258087497524,0,0.522261678107693,0.0471485962080299,347.499938793599,19.999877587197,0.861160722740106,1,20,0.00508687722185641,0.0101737544437057,8215.12572553971,6949.95624361266,0.845995116301896,0.00048739223101224,-0.169368770445203,2.9233165385557,-7.91867899158885,-5.60899483587271,-0.981621794126231,-1.69242633774047e-05,-3.38485276358824e-05,0.116252174738518,3.21416080291301,0.2676316582824,0.490319336186818,0.00569627950200891,0,-3.0897216796875,-3.970947265625,-1.62713623046875,-3.93896484375,-0.6341552734375,0,0,0,0,0,0,0,0,0,0,0.3116455078125,0.561767578125,0.622039794921875,0.23370361328125,-0.20233154296875,0,0,0,0,1,0,0.1,0,0,0,0,-0.20233154296875,1,-0.000588868839594744,1,331.671189207798,1,1
0.78,0.091654668813711,331.016825374963,0.000276888247930867,-0.776846279800278,37.6666617886272,52.6341696196157,-55.8923167371771,-3.25814711756139,0.0192107217550554,0.0225609115707817,53.2230852991998,0.999458846340722,0.122578289656585,-0.0145960399595992,0.00113789823584431,396.378323114341,29.5225086401199,-3.62167688565876,58.1276046382844,51.3019152157501,63.9205950338189,0,0.514825318244312,0.048135607195106,347.500070880863,20.0001417617256,0.877216047283875,1,20,0.00560634414659944,0.011212688293238,8808.75470159278,6950.05068721101,0.788993555008895,0.000602460166352792,-0.209354950510487,-7.34341939361161,3.09388336902946,2.58307925212365,-0.980250431493363,0.000132087264148595,0.000264174528609828,-0.0570015612930003,1.1004809607174,0.0803169330027774,1.94299610722656,-0.00167702930251723,0,-3.48455810546875,-3.77276611328125,-1.99664306640625,-2.70953369140625,0.26385498046875,0,0,0,0,0,0,0,0,0,0,0.39776611328125,0.62908935546875,0.982391357421875,0.381103515625,-0.36968994140625,0,0,0,0,1,0,0.1,0,0,0,0,-0.36968994140625,1,-0.000715048910296492,1,332.513504390049,1,1
