t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.154384254895345,332.041683749132,-0.000464954439310659,-0.0143017475050799,29.4905395997866,42.6277740551419,-42.3551082441339,0.272665811008054,0.00201154737337979,0.0281751317502386,41.6834985332747,0.999371177292551,0.14015451750476,-0.000343103338450903,0.00343305445896513,400.169243834022,21.7064554589156,0.169243834022154,46.6177178710906,43.4699143837941,49.7532606132596,0,0.516943221334713,0.0469188128054153,345,20,0.862447163581879,0,20,0,0,6919.48984964617,6900,0.997183340091587,0.000361824050312043,-0.124829297357678,0.522262619951221,0.0404089191713055,-0.022450622127554,0.11538314595672,0,0,7.3973170259034e-05,0.118703465432888,0.0110344328020606,-2.61037128926667,-0.000388713759152837,0,-7.34674072265625,-7.4888916015625,-4.66522216796875,-10.6634521484375,-10.5546875,0,0,0,0,0,0,0,0,0,0,0.57684326171875,-0.4326171875,0.520965576171875,-0.0736083984375,-0.2718505859375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.855915423458,0,0
0.62,0.0835895864349799,331.678879451078,0.00025201962384014,-0.108655815841103,29.33056021628,42.289479345425,-42.342003994629,-0.0525246492039884,0.000469967614783091,0.0277999059315879,41.4577737284277,0.999413073834952,0.141323037414509,-0.00262087917582987,0.00371760429474843,400.00188891523,21.5512603833613,0.00188891523032453,46.3982820495354,43.4131885792145,49.4897168723529,0,0.51284841707188,0.0420462240776913,345,20,0.86280295697037,0,20,0,0,6874.67943557157,6900,1.00368316292647,0.000355978405200519,-0.122812549794162,-0.16735491879183,-0.219435821555209,-0.159979383506585,-0.0943540683360232,0,0,0.0064998228348786,0.231164012622381,0.0216789889155786,0.982344272966086,0.010404557002614,0,-8.1976318359375,-7.8558349609375,-6.30291748046875,-13.0216674804688,-11.1773681640625,0,0,0,0,0,0,0,0,0,0,-0.08880615234375,-0.57879638671875,0.325469970703125,-0.30316162109375,-0.42529296875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.82575054787,0,0
0.64,-0.0470372908926544,331.812822069628,-0.000141758508906519,-0.0816218173068082,29.5397996241176,42.603812002394,-42.7685892364436,-0.164777234049652,0.00143979481882304,0.0291011796144221,41.7518817678337,0.999385065072617,0.140035090388928,-0.0019549254752319,0.0051180889540321,399.863500422108,21.8421775397193,-0.136499577892266,46.6574138787655,43.5423819268519,49.7863913912763,0,0.51226611119363,0.0419260526311194,345,20,0.863109320472016,0,20,0,0,6926.041107997,6900,0.99624011645456,0.000364968495324414,-0.12591413088694,-0.138388493122591,0.259131829230157,0.209239407837554,0.0270339985342948,0,0,-0.00744304647190519,0.10812401232792,0.0100149291503048,2.91040491935634,-0.0105243778473129,0,-8.59600830078125,-9.06610107421875,-5.90283203125,-12.5324096679688,-8.90032958984375,0,0,0,0,0,0,0,0,0,0,0.07489013671875,-0.43798828125,0.419281005859375,-0.37152099609375,-0.00787353515625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.72475567756,0,0
0.66,-0.00524834435784825,331.655093423625,-1.58247060332178e-05,-0.0645758437780852,29.4730443341008,42.4604636424512,-42.4893749287324,-0.0289112862812502,0.00107240948735713,0.0279182815321194,41.6588810414101,0.999375559868313,0.139923767273965,-0.00155010989646829,0.00402063171460476,400.108624002754,21.6468546442333,0.108624002754084,46.5686255671458,43.5277899264412,49.6248806551705,0,0.512448768019771,0.0416600161910097,345,20,0.862576480287134,0,20,0,0,6907.40328173999,6900,0.998928210582469,0.000360256883547017,-0.124288624823748,0.24512358064635,-0.0887883116197656,-0.0667552900167649,0.0170459735287231,0,0,0.0026880941279086,0.0763777430658571,0.00711618973446004,1.7929169665007,0.00010887927176062,0,-8.43756103515625,-8.6207275390625,-6.21282958984375,-12.976806640625,-10.3743896484375,0,0,0,0,0,0,0,0,0,0,-0.06365966796875,-0.50970458984375,0.354461669921875,-0.349365234375,-0.26849365234375,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.457195995829,0,0
0.68,0.0756984548402474,331.498451000481,0.000228352363674054,-0.0457780589409432,29.4146837339007,42.5075843274943,-42.3546854355584,0.152898891935862,0.00107247194397398,0.0289699111214681,41.5758378046894,0.999399582636138,0.137771507807317,-0.00110107363695218,0.00309151483214265,400.079329377163,21.5666841020759,0.0793293771627077,46.3864974359253,43.4078751720977,49.426274667155,0,0.51700084021957,0.0456090468134318,345,20,0.862638019293993,0,20,0,0,6890.66817645531,6900,1.00135426976103,0.000358377548941302,-0.123640254384782,-0.0292946255913762,-0.182128131220452,-0.0583606002001318,0.018797784837142,0,0,0.00242605917856442,0.115904955112392,0.0108289266159112,1.00500897739274,-8.27642694669617e-05,0,-8.672607421875,-8.162109375,-6.43963623046875,-13.1312255859375,-11.091796875,0,0,0,0,0,0,0,0,0,0,-0.10821533203125,-0.53271484375,0.432159423828125,-0.275634765625,-0.406982421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.208609341749,0,0
0.7,-0.0747254050830814,331.664692480479,-0.000225304069975672,-0.100686936239559,29.4903083301655,42.3198696094969,-42.5478915666633,-0.22802195716644,0.00275210402125265,0.0283491056857987,41.6826846113638,0.999372964212865,0.13817836107952,-0.00241555785521812,0.00342003041046945,399.889481804247,21.7796291470478,-0.1105181957534,46.4929963887686,43.3989852305791,49.6297969191027,0,0.516377167651383,0.0459572598510981,345,20,0.863050550474613,0,20,0,0,6911.52921998882,6900,0.998331885806765,0.000361847536703763,-0.124837400162789,-0.189847572916108,0.106498952843296,0.0756245962647633,-0.0549088772986162,0,0,-0.00302238395426879,0.12830680368428,0.011934983151984,2.05817125703829,-0.000213159279978559,0,-8.2994384765625,-8.7542724609375,-6.0382080078125,-12.934814453125,-10.1465454101562,0,0,0,0,0,0,0,0,0,0,-0.02447509765625,-0.506591796875,0.346771240234375,-0.36175537109375,-0.231689453125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.611928457898,0,0
0.72,0.167020180097547,331.217697074576,0.000504261039107283,-2.59958039369961,36.5154425425061,47.4453380792423,-57.6165389366745,-10.1712008574322,0.0613220191588007,0.0391581151461698,51.3317796946644,0.999186908798242,0.122890493136849,-0.0506427092370971,-0.00819952161746729,390.721766125023,37.2918762707675,-9.27823387497699,55.1622349059895,43.5668350716095,64.9101613428275,0,0.501605623237333,0.0436520262000425,347.493677357371,19.9873547147428,0.890782918871313,0,20,2.6689442853758,5.33788857075157,8499.48606004361,6945.56355217284,0.81717453303726,0.00159599432786472,-0.554597938031236,-9.16771567922359,8.66923851722093,7.02513421234063,-2.49889345746005,2.49367735737121,-0.0126452852571894,-0.181157352769504,5.15745828460935,0.384027040563511,1.3656250346876,0.00794016429016559,0,-2.96600341796875,-3.69757080078125,-1.78350830078125,1.18597412109375,0.5009765625,0,0,0,0,0,0,0,0,0,0,0.451904296875,-0.050048828125,0.385894775390625,0.4832763671875,-0.31439208984375,0,0,0,0,0,0,0.1,0,-0,0,0,-0,0,0,1,332.25309310372,0,0
0.74,-0.0250745007379241,331.372819548028,-7.56685499194659e-05,1.12231781871273,41.0353733778398,61.3008123625891,-56.9073955530203,4.39341680956884,0.0228764019434657,0.0274103487184739,57.9672722355581,0.99916000303857,0.110871814188873,0.019361232216552,-0.00195979690747228,400.667889424226,41.3497127140368,0.667889424225848,63.2009708682396,54.812660039985,69.6085871681781,0,0.521166617864507,0.0485732687037166,347.500000020104,20.0000000402088,0.868094561373778,0,20,2.70934549462254e-07,5.41869027870234e-07,9603.48059999037,6950.00001437466,0.723695949818614,0.000914002032109451,-0.317615706176412,9.94612329920284,8.03873596225008,4.51993083533372,3.72189821241234,0.00632266273305504,0.0126453254660355,-0.0934785832186464,6.40993651178938,0.411058676871377,-2.31680653928925,-0.00686123928804294,0,-3.40997314453125,-3.4742431640625,-1.2314453125,-3.9722900390625,0.8662109375,0,0,0,0,0,0,0,0,0,0,0.75836181640625,0.5927734375,0.849884033203125,-0.116943359375,-0.59210205078125,0,0,0,0,1,0,0.1,0,0,0,-0,-0.59210205078125,0,0,1,331.124595080795,0,0
0.76,-0.0466086173331689,331.29798513662,-0.000140684880150866,0.0805485691727125,34.823574671128,50.7314033842981,-49.3398182678185,1.39158511647964,0.0166371090020166,0.0218887440234214,49.2219112911508,0.999520503844742,0.121950469099259,0.00163643725039978,0.00455001753102557,404.170213225676,31.3147842977638,4.17021322567621,54.5046191140743,50.1356135974014,58.8795111704565,0,0.517558877529354,0.0420168286677526,347.5,20,0.860209703699863,0,20,2.27373675443232e-13,4.68958205601666e-13,8152.98071572006,6950.00000000001,0.852448968338593,0.000492487376027029,-0.171139363169402,3.50232380145036,-8.69635175416529,-6.2117987067118,-1.04176924954002,-2.01042666958529e-08,-4.02088140560863e-08,0.128753018519979,3.63164981800974,0.304225653202899,0.503069035519686,-0.00313391304990029,0,-4.27508544921875,-4.86541748046875,-2.36553955078125,-6.14959716796875,2.4093017578125,0,0,0,0,0,0,0,0,0,0,0.6876220703125,0.6116943359375,1.21627807617188,-0.30511474609375,-0.5003662109375,0,0,0,0,1,0,0.1,0,0,0,-0,-0.5003662109375,0,0,1,331.12758566697,0,0
0.78,0.0929494631089305,331.005264649444,0.000280809621585234,-0.894666234971598,37.8135902324714,52.6826308356124,-56.3298888074333,-3.64725797182082,0.0235485966373255,0.0291715370492769,53.4120450146016,0.999302165039168,0.117575313538938,-0.016750271118191,-0.00223271329163932,396.018941460479,30.4462122716989,-3.98105853952126,57.9324686153659,50.7431006968211,63.9873344576228,0,0.514548327670491,0.0482146000773788,347.5,20,0.878028696287021,0,20,0,0,8838.65257227252,6950,0.786318948863613,0.000621567987079796,-0.215994875510205,-8.15127176519746,3.42784950129158,2.99001556134343,-0.975214804144311,0,-3.19744231092045e-14,-0.06613001947498,1.27413857372634,0.0917220858775291,2.00566328489608,-0.00291909307146443,0,-5.65264892578125,-6.083251953125,-2.4737548828125,-6.3170166015625,1.0517578125,0,0,0,0,0,0,0,0,0,0,0.61676025390625,0.7391357421875,1.24630737304688,-0.3154296875,-0.47454833984375,0,0,0,0,1,0,0.1,0,0,0,-0,-0.47454833984375,0,0,1,332.398742541741,0,0
