t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.130530490118308,331.972713864797,-0.00039319644255904,0.018923695250487,29.7130916762148,44.554507560096,-44.5202894066616,0.0342181534344661,0.000582607892520585,0.0969963194704364,41.7152960591902,0.994643948261275,0.214292270839675,0.000453639241194309,0.0305297044448798,400.024364145084,23.1378497923098,0.0243641450843484,48.9714730606004,45.776823692056,52.290235289409,0,0.418031574653499,-0.0522507391759321,345,20,0.862801460547584,0,20,0,0,6918.26128978218,6900,0.99736042207467,0.000410451127528688,-0.141605638997362,0.163132150313288,0.0970497656465525,0.0486928245351734,0.0508103722519112,0,0,-0.00236789546031857,0.0977599114092517,0.0085394316895411,-2.28694565251388,0.000706489789665921,0,-7.7742919921875,-7.80694580078125,-6.4246826171875,-9.8021240234375,-9.11053466796875,0,0,0,0,0,0,0,0,0,0,0.16845703125,-0.48565673828125,0.030181884765625,-0.28607177734375,-0.55169677734375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0.0251467152046617,331.669582399013,7.58185752904197e-05,-0.00712379914864879,29.6337471537316,44.341297712649,-44.4821194055807,-0.140821692931716,0.000227759522160039,0.0973488355574601,41.6025184506665,0.994619464890712,0.215022826401737,-0.000171234805342287,0.0300841358931199,400.027939775164,22.9718823781412,0.0279397751640431,48.8629300729713,45.7272013223199,52.1358426477936,0,0.418735282130773,-0.0523657926085897,345,20,0.862790323285748,0,20,0,0,6892.8918656532,6900,1.00103122673115,0.000406479657812708,-0.14023548194541,0.00357563007969475,-0.108542987629079,-0.0793445224832183,-0.0260474943991358,0,0,0.00367080465648206,0.0721910890268486,0.00633679940638175,0.596831539917865,-0.000443041773006247,0,-8.23016357421875,-7.5767822265625,-6.0333251953125,-9.74810791015625,-9.0235595703125,0,0,0,0,0,0,0,0,0,0,-0.22454833984375,-0.344970703125,-0.011627197265625,-0.2498779296875,-0.5625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,333.979352267873,0,0
0.64,-0.023004047650154,331.731223709169,-6.93454399406243e-05,-0.00915342055481352,29.7047147099125,44.5173201603442,-44.4747985538778,0.042521606466444,0.000552433469966747,0.0971572641115753,41.7023846455171,0.994628120894764,0.214525121780055,-0.00021949393620102,0.0314146525423769,399.934521234245,22.9887272588549,-0.0654787657550173,48.9504593530679,45.7625338904079,52.2558370253857,0,0.418374089027802,-0.0524342539353631,345,20,0.862994575187451,0,20,0,0,6911.16537456231,6900,0.998384444018167,0.000409629725634852,-0.141322255344051,-0.0934185409190604,0.0875292800965397,0.0709675561808787,-0.00202962140616473,0,0,-0.00264678271298446,0.0146720294769736,0.00128313616296377,-2.40336703210411,0.000864927917326341,0,-7.960693359375,-8.13238525390625,-6.435302734375,-9.8948974609375,-9.38189697265625,0,0,0,0,0,0,0,0,0,0,0.20037841796875,-0.4951171875,0.053497314453125,-0.25006103515625,-0.54327392578125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.923371145416,0,0
0.66,0.00619432111508402,331.624652791805,1.86787111963381e-05,0.0158714086641515,29.7083734343502,44.5200353189248,-44.5084439015341,0.0115914173907257,0.00053696776191823,0.0970514716129982,41.7080845251673,0.994633411318045,0.214590367718954,0.000380535544723337,0.030789292502186,400.014064769786,22.9926556434311,0.0140647697855343,48.9691463509949,45.8237414018827,52.267929341351,0,0.418856606460279,-0.052228614180215,345,20,0.862822691279558,0,20,0,0,6909.46511621652,6900,0.998630123163325,0.000409309896643339,-0.141211914341966,0.0795435355405516,0.0186869979269844,0.00365872443765625,0.025024829218965,0,0,0.00024567914515794,0.0336373307025986,0.00294234610791527,-2.06629878815469,-0.00757743218131168,0,-7.96173095703125,-8.2188720703125,-6.5634765625,-9.73931884765625,-8.86895751953125,0,0,0,0,0,0,0,0,0,0,0.07574462890625,-0.42449951171875,-0.017669677734375,-0.26483154296875,-0.52020263671875,0,0,0,0,0,0,0.1,0,-0,-0,-0,-0,0,0,1,332.636763432218,0,0
0.68,0.0771579666597928,331.435448965565,0.000232799378885417,0.005394626700879,29.6772235483828,44.4656945750607,-44.4486793713894,0.0170152036712636,0.000530226296266306,0.097204625600296,41.6639389644539,0.994623891808624,0.214700822587296,0.000129479517178668,0.0302636182559262,400.011263266445,22.9724719757542,0.0112632664449279,48.9172025209696,45.7796810309813,52.1958818194479,0,0.418468428534329,-0.0530859583587194,345,20,0.862827282360526,0,20,0,0,6898.66480646661,6900,1.00019354376113,0.000407626660254179,-0.140631197787684,-0.00280150334060636,-0.0519438300252943,-0.031149885967352,-0.0104767819632725,0,0,0.00156342059780112,0.0411846771616257,0.00361003996995973,0.296249545200267,0.000175730269933894,0,-8.49176025390625,-7.90338134765625,-6.47174072265625,-9.98736572265625,-9.5828857421875,0,0,0,0,0,0,0,0,0,0,-0.2667236328125,-0.37408447265625,-0.055694580078125,-0.2669677734375,-0.62310791015625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.62028213753,0,0
0.7,-0.0494475826138584,331.57916032104,-0.00014912753432991,0.00318403401937273,29.7081575013324,44.5340296473414,-44.4882178324854,0.0458118148560089,0.000465947802448477,0.0969341446729877,41.7081462941232,0.994638772947059,0.214273608336863,7.63408183360422e-05,0.0303828755217301,399.976472371375,22.9608263284873,-0.0235276286254589,48.9499089525676,45.8033462248364,52.2401354241217,0,0.418220750568249,-0.0527343985655314,345,20,0.862903273557914,0,20,0,0,6908.98024671032,6900,0.998700206631131,0.00040871697219047,-0.141007355405691,-0.0347908950703868,0.0327064315980508,0.0309339529495674,-0.00221059268150627,0,0,-0.00149333712999566,0.0166012960384262,0.00145333721663798,-1.81640624297138,0.00121254098436341,0,-8.18731689453125,-8.3607177734375,-7.09539794921875,-10.1317749023438,-9.51251220703125,0,0,0,0,0,0,0,0,0,0,-0.00469970703125,-0.46124267578125,-0.049713134765625,-0.30828857421875,-0.613525390625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.501225242713,0,0
0.72,-0.117503157983338,331.584830965117,-0.000354368315466455,4.7411359379586,19.3928323832668,37.3313319502149,-19.2697024477029,18.061629502512,0.210626737515857,0.140381182830315,25.5581982078124,0.987933154626112,0.315091363789876,0.185503528042496,0.064324055939454,415.904797028856,29.3025465537619,15.904797028856,34.8909884916475,17.384854020006,47.6469045881965,0,0.407096750244472,-0.0855424585890773,350.345232769246,10.6904655384918,0.817280329479134,1,10.5525374562874,5.00057546603028,10.0011509320606,4226.14663792249,3746.38372224662,0.886477456468072,-0.0297832601833137,10.43442322155,15.9283246574814,-14.0589204609201,-10.3153251180656,4.73795190393923,5.34523276924585,-9.30953446150816,-0.112222750163058,10.0714677115093,1.20371526639677,-1.94442269016874,0.0172798287983338,0,-2.6983642578125,-2.18951416015625,-3.5643310546875,3.15179443359375,-5.297119140625,0,0,0,0,0,0,0,0,0,0,-0.180908203125,-1.4461669921875,-1.55130004882812,0.64935302734375,-0.89794921875,0,0,0,0,0,0,0.1,-0,-0,-0,0,-0,0,0,1,333.476846365889,0,0
0.74,-0.0206481586468438,331.492521175821,-6.2288460003875e-05,-1.18495977046014,8.01174620622562,10.3618087348887,-14.4535663081594,-4.09175757327075,0.113948276605211,0.225994320214661,10.7228121014482,0.965458107326103,0.479512457787157,-0.110508303162386,0.00384787642554674,403.651865935767,30.8439667873685,3.6518659357672,15.1237479691335,12.244737638805,18.6477335960159,0,0.304635177857872,-0.17017833741971,350.00023413171,10.0004682634199,0.842737068034176,1,9.99186449198774,0.00605837565120737,0.0121167513024627,1776.38579764556,3500.16624037342,1.97038630066316,-0.0280795358633349,9.82784412647698,-12.2529310930888,-19.767240522514,-11.3810861770411,-5.92609570841874,-0.34499863753598,-0.689997275071924,1.08390884419509,10.5598065510012,2.24375776509187,0.732152066768977,0.00709645051247693,0,-2.4290771484375,-3.2310791015625,-1.19085693359375,-3.31890869140625,-3.0142822265625,0,0,0,0,0,0,0,0,0,0,-0.1441650390625,-0.366455078125,-0.088470458984375,-0.02667236328125,-0.48858642578125,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,334.376338140647,0,0
0.76,0.0650162346851802,331.512180331298,0.000196120198721525,-1.096512243997,17.1405197457115,23.6640370124835,-28.3039836600365,-4.63994664755306,0.069636328685489,0.129913779130789,23.823863944272,0.992597775505736,0.254069605753369,-0.0460257935724416,0.0268159493334288,391.305853143624,23.5445908365649,-8.69414685637605,28.0234111170806,18.746631894586,33.6497704532066,0,0.389048116291548,-0.071982557434629,349.999379828778,9.99875965755522,0.869111181229022,1,10.0011979886149,0.00975641150228057,0.0195128230046375,3947.08819964789,3499.55969922488,0.886618064308029,-0.028317443265588,9.91108758129241,-12.3460127921433,12.8996631479471,9.12877353948591,0.0884475264631421,-0.000854302932339124,-0.00170860586468713,-1.08376823635513,3.58873279903821,0.457352129227573,-3.01235285443062,-0.0134417071820614,0,-1.657958984375,-3.5037841796875,-0.81719970703125,0.135498046875,-1.916259765625,0,0,0,0,0,0,0,0,0,0,0.10711669921875,-0.07354736328125,0.323333740234375,0.29876708984375,0.11968994140625,0,0,1,0,0,0,0.1,0,-0,0.323333740234375,0,0,0,0,1,334.155826593549,0,0
0.78,0.0102091913599548,331.474375325175,3.0799338108533e-05,1.23361304933665,15.4191180773029,25.8565045825225,-21.0535999725956,4.80290460992689,0.0667707942665085,0.134904252829484,21.3818497751511,0.987872184053073,0.328483221869974,0.0576944026035712,0.0413266835553996,403.992234603463,16.2386792322193,3.99223460346349,27.9221878534941,22.2927089785803,32.3334263050054,0,0.387473504349097,-0.0902565118867628,350.000340948107,10.0006818962137,0.841726553707587,1,10.0026915235068,0.00921232096328595,0.0184246419266163,3539.32319521831,3500.24209179792,0.988958029186712,-0.0284266854248049,9.94934959070628,12.6863814598395,-0.101223263586572,-1.72140166840863,2.33012529333364,0.000961119329190296,0.00192223865843921,0.102339964878683,2.7773594375369,0.437540249066389,-1.87983721722198,0.00766939620319607,0,-2.185302734375,-5.03289794921875,-1.9678955078125,-1.7603759765625,-3.28839111328125,0,0,0,0,0,0,0,0,0,0,0.0631103515625,0.08575439453125,-0.409698486328125,0.1693115234375,-0.25970458984375,1,0,1,1,0,0,0.1,0.0631103515625,0,-0.409698486328125,0.1693115234375,-0,0,0,1,334.61729077072,0,0
