t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.147039465260177,332.029228662437,-0.000442850967827496,0.161835235586413,29.4687132818341,43.369222755148,-42.2451993518039,1.12402340334412,0.00194679632718333,0.0317568401933844,41.6457268415116,0.999308416340367,0.139753600718786,0.00388599858521617,0.00411604740077953,400.179581887498,21.8275137614875,0.179581887498159,46.540995724725,43.4309611709163,49.7363524819432,0,0.51204430387235,0.0419591669691014,345,20,0.862426248284117,0,20,0,0,6912.78764882327,6900,0.998150145864028,0.000363407093163737,-0.125375447141494,0.525988743447556,-0.0643580628095606,-0.128462642560919,0.0795330143559789,0,0,0.00374270140156086,-7.2725830078125,-6.9857177734375,-9.30120849609375,-13.361083984375,-7.722900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0813905662119529,331.677194988606,0.000245390902485017,0.0860668157647209,29.3618643983105,43.3243044446188,-42.420684128221,0.903620316397777,0.00230912689739141,0.0325479274054818,41.4948286406662,0.999379665089464,0.140244822400772,0.00207415763805259,0.005359915273488,399.970716791981,21.6144026129298,-0.0292832080193079,46.3869161194608,43.3853975175862,49.4448851885575,0,0.517454474338251,0.0467592195376119,345,20,0.862873659765031,0,20,0,0,6880.6125427984,6900,1.00281769349473,0.000359988977214343,-0.124196197138986,-0.208865095517467,-0.154079605264151,-0.106848883523686,-0.0757684198216923,0,0,0.00466754763070132,-7.00152587890625,-7.11785888671875,-8.6693115234375,-13.1367797851562,-8.31573486328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0526477814978769,331.816587371849,-0.00015866530939539,0.120691765514849,29.5200204481886,43.5527687022228,-42.3837238530573,1.16904484916549,0.00326401580568597,0.0348530068937189,41.7135417202656,0.999322231263472,0.138779431592014,0.00289334735286249,0.00687737857388449,399.938097993736,21.9247045429628,-0.0619020062637219,46.5573585577402,43.5367036548501,49.677412817672,0,0.517349649606684,0.046873723907123,345,20,0.862950380079063,0,20,0,0,6919.60708954159,6900,0.997166444671226,0.000367343976208856,-0.126733671792067,-0.0326187982444139,0.170442438279345,0.158156049878187,0.0346249497501285,0,0,-0.00565124882350365,-7.15667724609375,-7.06378173828125,-8.82904052734375,-12.6839599609375,-8.27178955078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,0.00064543520264067,331.64501903883,1.94616281140378e-06,0.111188813280528,29.4856292058543,43.3290643919294,-42.6409996217862,0.688064770143193,0.00307475370890861,0.0330481996729182,41.6686565197148,0.99933145102916,0.139360847295522,0.00266840408516462,0.00636159947083481,400.018163400506,21.6843615040482,0.0181634005057276,46.5367825355546,43.5361009964858,49.6462163637282,0,0.512342245184879,0.0415995115326623,345,20,0.862775355480159,0,20,0,0,6908.55880174462,6900,0.99876113065109,0.000364675728671271,-0.12581312639162,0.0800654067694495,-0.0205760221855726,-0.034391242334376,-0.00950295223432106,0,0,0.00159468597986456,-7.77032470703125,-7.9501953125,-8.99383544921875,-13.2166748046875,-8.47821044921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0721903223954496,331.500113967364,0.000217768620141581,0.127218680491548,29.4548209683258,43.3172302474151,-42.1438430265863,1.17338722082879,0.00439012184365355,0.0311337976689302,41.6276434468308,0.999377454315849,0.135701785735136,0.00305611055437329,0.0052505032418928,400.135475206834,21.744594601373,0.135475206834371,46.3617319660939,43.3556905219064,49.5246087993362,0,0.512451134383106,0.0409780180792431,345,20,0.862519543046738,0,20,0,0,6899.1048144161,6900,1.00012975387503,0.000361354296197547,-0.124667232188187,0.117311806328644,-0.175050569460723,-0.0308082375285075,0.0160298672110193,0,0,0.00136862322393827,-7.94036865234375,-7.4730224609375,-8.23040771484375,-12.8192138671875,-8.54913330078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0711062235622322,331.657726185602,-0.00021439640312326,0.0876800398811844,29.4358586693053,43.4521778921101,-42.3797709909645,1.07240690114563,0.00250502641347913,0.0314418591871887,41.6003132094908,0.999375030182558,0.136668962155767,0.0021076773975149,0.00628018769331629,399.925204280589,21.5584178535354,-0.0747957194110995,46.3452385036419,43.315097856477,49.4059094866683,0,0.516395917128682,0.0458993453297166,345,20,0.862973300453953,0,20,0,0,6897.57920464223,6900,1.00035096303876,0.000361662239829919,-0.12477347274131,-0.210270926245471,-0.0164934624519901,-0.0189622990204512,-0.0395386406103633,0,0,0.000221209163734359,-7.45166015625,-8.19482421875,-9.7872314453125,-12.1897583007812,-8.8099365234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,-0.0632908066513514,331.612758850906,-0.0001908575739687,6.19230008653482,13.1503085454053,27.1001873470526,-22.06902210201,5.03116524504255,0.635617911779768,0.225544898424883,13.1953082481144,0.925100639247945,0.494694311040589,0.469280441964644,0.082560640821816,435.540177677051,38.3127440207768,35.5401776770509,15.0147810748379,-22.7090887656487,43.4894092521855,0.295,0.446483582582628,-0.0701078773252673,355.184728646633,0.369457293265038,0.765337674141289,1,0.0808863772776474,10,20,2181.90787629476,132.950138144407,0.0609329750301734,-0.0615156573635584,21.8494220681947,35.614973396462,-31.330457428804,-16.2855501239,6.10462004665364,10.1847286466325,-19.630542706735,-0.93941798800859,-10.6303100585938,-25.632568359375,-110.5400390625,85.3840942382812,-43.1380004882812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0688813274859375,331.660244929603,-0.000207686415658766,-0.0285469752637629,0.219766894881675,0.000423637681141467,-2.10279279241591,-2.10236915473477,1.00446122915951,0.995439326636466,0.0567225004825042,0.0229954720587086,225.963959932979,-0.503274274246215,-1.52475767720878,447.996858771432,0.0663902289384168,47.996858771432,-61.3008931686399,-99.488317507279,-23.0931942219308,1,0.0243310272078771,-0.504377541796058,355,0,0.744439279675368,1,0,0,0,0.421990954756453,0,0,-0.0605451863644159,21.4935411593676,12.4566810943811,-76.3156742434778,-12.9305416505237,-6.22084706179858,-0.18472864663255,-0.369457293265038,-0.0609329750301734,-39.903076171875,-65.5370483398438,-58.0609130859375,25.1704711914062,-93.0556030273438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.100000001490116,0
0.76,-0.0349855357319851,331.74221873925,-0.000105460004050566,0.000413330200110497,0.00929340500065189,0.124547218948113,-0.0418736687177349,0.0826735502303779,0.491642623503619,0.995619379881096,0.00168221316920391,-0.0103025958089377,7608.64505586659,0.245706196858571,1.49177319168577,447.923734520087,0.0735813107188505,47.9237345200875,-99.9993595555937,-100,-99.8719111187429,1,0.00358369523886837,-0.524663175382511,355,0,0.744568643067631,1,0,0,0,0.0204868336124718,0,0,-0.0605353036354721,21.4900327905926,-0.0731242513444954,-38.6984663869538,-0.210473489881024,0.0289603054638733,0,0,0,-33.9041748046875,-24.5194702148438,-46.3324584960938,38.5105590820312,-47.7504272460938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.100000001490116,0
0.78,0.0659963208290148,331.596781939897,0.000199025818172677,1.5778900445442e-06,0.000653705260952041,0.0059743721429697,-0.0063667039785919,-0.000392331835622208,0.00333155469335539,0.231154864879415,0.000171904078819155,-0.103741197848744,70714.105806079,0.0015778900445442,0.979595045336662,447.849787394184,0.0735725769966393,47.8497873941841,-100,-100,-100,1,0,-0.528781132406,355,0,0.744699504962919,1,0,0,0,0.0158355237997701,0,0,-0.0605253099431055,21.4864850298025,-0.0739471259033166,-0.000640444406286633,-0.00863969973969985,-0.000411752310065953,0,0,0,-41.4581909179688,-22.3263549804688,-43.8097534179688,24.0485229492188,-40.1846313476562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.100000001490116,0
