t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.148052376514906,332.013020248284,-0.000445923405064628,0.0320546901567476,29.5379897031661,43.6942614378087,-43.5705332757069,0.12372816210182,0.000966412718338734,0.0565362735516841,41.6965579083422,0.998899496035808,0.144145139982438,0.000768761062416964,0.00903103534037708,400.037776260101,22.29650849133,0.0377762601012819,46.6888350259728,43.5903543926258,49.8986397355266,0,0.51699852586422,0.0469689643692121,345,20,0.862747752045964,0,20,0,0,6919.95719925114,6900,0.997115993831103,0.000381716527155129,-0.131692201868532,0.288766532769614,0.145511197426266,0.0431623665781373,0.0748137708293566,0,0,-0.00207180149488251,0.12522057962147,0.0113404138377754,-2.17903473942442,0.0002386776453569,0,-7.15008544921875,-7.03802490234375,-4.71826171875,-10.6626586914062,-10.3555297851562,0,0,0,0,0,0,0,0,0,0,0.52703857421875,-0.43817138671875,0.506683349609375,-0.1142578125,-0.341796875,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.748159486924,0,0
0.62,0.0796131474683085,331.661081070833,0.000240043683181824,-0.00241229304996079,29.4418326360754,43.4169494784594,-43.4721464293816,-0.0551969509221664,0.000424715087722432,0.0572590567397926,41.5597823011828,0.998881179106252,0.144597100059132,-5.80439289233749e-05,0.0077277815205985,400.047313255129,22.1244989200081,0.0473132551286994,46.5429928913881,43.510682348057,49.6939256443467,0,0.517757786223452,0.0468047495920603,345,20,0.862723578145008,0,20,0,0,6890.23104971975,6900,1.00141779719864,0.000377534836990323,-0.130249518761673,0.00953699502741756,-0.145842134584711,-0.0961570670906617,-0.0344669832067084,0,0,0.0043018033675335,0.0736822759540225,0.00670952047025933,0.546727409774709,0.000452669278077966,0,-8.205810546875,-7.0015869140625,-6.04754638671875,-12.6467895507812,-10.8495483398438,0,0,0,0,0,0,0,0,0,0,-0.06085205078125,-0.4774169921875,0.505706787109375,-0.2333984375,-0.47509765625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.726330086352,0,0
0.64,-0.0479166419623013,331.792220680845,-0.000144417617338873,-0.0183687771229607,29.5206778811868,43.5257083045978,-43.7729644772105,-0.247256172612659,0.00146858266520879,0.0570855555058447,41.6708469184616,0.998874772533823,0.144559895294596,-0.000440806426586513,0.0100917544439567,399.905560975621,22.1923559863133,-0.0944390243790281,46.6487605530692,43.5364314131567,49.8621272371909,0,0.517577594577058,0.0470713768210994,345,20,0.863032592580934,0,20,0,0,6911.04089970806,6900,0.998402425934343,0.000381255293689486,-0.13153307632291,-0.141752279507728,0.105767661681078,0.0788452451113919,-0.0159564840729999,0,0,-0.00301537126429341,0.0254675241488807,0.00230841102885946,2.28168117902084,3.02178876206982e-05,0,-8.1259765625,-8.1717529296875,-5.92095947265625,-12.8964233398438,-10.0150146484375,0,0,0,0,0,0,0,0,0,0,0.03173828125,-0.48089599609375,0.377410888671875,-0.3262939453125,-0.2054443359375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.794251177053,0,0
0.66,-0.0042855237002415,331.632991484748,-1.29224890474704e-05,-0.0130325357208696,29.5507810229627,43.6878383594034,-43.6489022174693,0.0389361419341228,0.00102288159676242,0.0570226216794357,41.7132644883658,0.998851020875356,0.144007839947342,-0.000312431450300528,0.00909355403748302,400.027843659902,22.2401866645418,0.0278436599019756,46.6789537006993,43.6088319603431,49.8548199911469,0,0.517971377873812,0.0471753576071946,345,20,0.862769071900387,0,20,0,0,6914.78353750712,6900,0.997862039002822,0.000381598286280482,-0.131651408766743,0.122282684281004,0.0301931476300652,0.0301031417758324,0.00533624140209103,0,0,-0.000540386931521142,0.0364220223092967,0.00329884644663124,-2.80831023832518,0.010308103848813,0,-7.536865234375,-7.92730712890625,-4.781494140625,-10.37109375,-10.5787353515625,0,0,0,0,0,0,0,0,0,0,0.6185302734375,-0.41558837890625,0.391021728515625,-0.02056884765625,-0.3089599609375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.309059255602,0,0
0.68,0.0732768685838532,331.479237871312,0.00022106020592548,0.0219332847024553,29.4646067512078,43.4834244347834,-43.5740530133073,-0.0906285785239263,0.000566337639565141,0.0563021727218927,41.5943901892038,0.998920710706564,0.141694416324142,0.00052731352960545,0.00825764239961924,400.133115018179,22.0932349964342,0.133115018178842,46.4744348182865,43.4352769527003,49.6638921631744,0,0.517377415533288,0.0457818328524134,345,20,0.862537940848065,0,20,0,0,6892.37432671854,6900,1.00110639279296,0.000376791573628354,-0.129993092901771,0.105271358276866,-0.204518882412742,-0.0861742717548886,0.034965820423325,0,0,0.00324435379013743,0.0674222175285529,0.00614410192332741,0.00711741544595812,0.000329236700496893,0,-8.36468505859375,-7.0211181640625,-5.9632568359375,-12.5744018554688,-11.14111328125,0,0,0,0,0,0,0,0,0,0,-0.03509521484375,-0.49884033203125,0.500518798828125,-0.23211669921875,-0.56524658203125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.108009398906,0,0
0.7,-0.0745491943774663,331.641011506345,-0.000224788828253951,-0.0146127350382619,29.494217284104,43.4317098315275,-43.5618442746398,-0.130134443112283,0.00118135498932856,0.0565089339919275,41.6354875472375,0.998914436466101,0.141712475763307,-0.000350968270076891,0.00831098226083604,399.914997388033,22.1036714649182,-0.0850026119668428,46.4947426762823,43.3974858338581,49.6960098001202,0,0.516711866993863,0.0461215728160003,345,20,0.863010244504205,0,20,0,0,6902.1977232255,6900,0.999681590804316,0.000378955584768415,-0.130739676745065,-0.218117630145684,0.0203078579957747,0.0296105328962497,-0.0365460197407172,0,0,-0.00142480198864348,0.0497836872309593,0.00452609461729835,1.11542200297792,-9.52453186781055e-05,0,-8.17578125,-7.51080322265625,-6.10638427734375,-12.678466796875,-10.6158447265625,0,0,0,0,0,0,0,0,0,0,-0.0718994140625,-0.48223876953125,0.429107666015625,-0.23406982421875,-0.3975830078125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.690201335942,0,0
0.72,-0.0805345048817958,331.606042350985,-0.000242861994645305,6.06175187502229,12.9929962366024,27.7428921283881,-21.2447806675748,6.49811146081328,0.667965007364834,0.196846969155291,12.9497180694125,0.929581381054108,0.49818070342303,0.468099138724903,0.0834570436187017,435.269470421375,37.6129195144825,35.2694704213752,15.3343888374914,-22.0283733823416,43.5586832595856,0.29,0.444951534364021,-0.071466930670769,355.184796774049,0.369593548098637,0.76581296355666,1,0.0809298666733635,10,20,2139.76595507424,132.998232016391,0.0621555042975604,-0.061516691827375,21.849793684918,35.354473033342,-31.1603538387909,-16.5012210475016,6.07636461006056,10.1847967740493,-19.6304064519014,-0.937526086506756,18.5309785803389,2.22951331184352,-2.03147643240178,0.213988704460145,0,-0.0765380859375,-4.8978271484375,-7.8311767578125,3.10333251953125,-7.18310546875,0,0,0,0,0,0,0,0,0,0,-0.3759765625,-2.4417724609375,-1.63412475585938,0.00518798828125,-1.039794921875,0,0,0,0,0,0,0.1,-0,-0,-0,0,-0,0,0,0,332.096360057501,0,0
0.74,-0.0476183814285841,331.638190760352,-0.000143585337139274,-5.66142130210895e-05,0.001036017538535,0.00280914036346696,-0.0140948930141417,-0.0112857526506747,0.112867588834178,0.25400076077258,0.000207894882436885,-0.064036068817104,47127.4693532176,-0.0566142130210896,1.07924564249617,447.474137373174,0.0732863574094154,47.474137373174,-60.1982727656361,-97.9688739603998,-22.4083695272537,1,0,-0.528199480591459,355,0,0.745347051944603,1,0,0,0,0.0162019812367847,0,0,-0.0604971010914098,21.4764708874505,12.2046669517988,-75.5326616031276,-12.9919602190639,-6.06180848923531,-0.184796774049346,-0.369593548098637,-0.0621555042975604,0.0234487054397014,0.234487054397014,0.618173826234532,0,0,-3.10504150390625,-6.34576416015625,-5.7320556640625,1.98388671875,-4.093994140625,0,0,0,0,0,0,0,0,0,0,-0.69921875,-0.0006103515625,0.591094970703125,0.47503662109375,-0.541259765625,0,0,0,1,0,0,0.1,-0,-0,0,0.47503662109375,-0,0,0,0,332.913040728961,0,0
0.76,-0.0350007174953515,331.743126187636,-0.000105505479186794,0.000410996934388188,0.00925864973279369,0.124041510138791,-0.0418349809983063,0.0822065291404845,0.490446736575038,0.995585895404648,0.0016768126839503,-0.0103787832845973,7636.1680605514,0.245106050498107,1.49119919506651,447.40049138589,0.0732692203113743,47.4004913858901,-99.9776770584758,-100,-98.3482807652961,1,0.00356980751988639,-0.524123985034732,355,0,0.745477642883926,1,0,0,0,0.0205747371405898,0,0,-0.0604871443846099,21.4729362565365,-0.0736459872838395,-39.7794042928397,0.00822263219425868,0.000467611147409277,0,0,0,0.0234436534780821,0.234436534780821,0.620267874457586,0.00562712244715565,0,-3.4461669921875,-3.29071044921875,-5.12542724609375,2.31011962890625,-5.8719482421875,0,0,0,0,0,0,0,0,0,0,-0.5167236328125,-0.17584228515625,0.461883544921875,0.5894775390625,-0.59906005859375,0,0,0,1,0,0,0.1,-0,-0,0,0.5894775390625,-0,0,0,0,335.594780369706,0,0
0.78,0.0660979720619133,331.597117593903,0.000199332167123544,-2.50731567727481e-06,0.000631798183467421,0.00524689927529685,-0.00654645674215342,-0.00129955746685658,0.0049395908386381,0.228490856372013,0.000168416099579746,-0.107937059561607,70713.6381255516,-0.00250731567727481,0.961739261094582,447.326858235627,0.0732601477016601,47.3268582356266,-100,-100,-100,1,0,-0.528231616130516,355,0,0.745608254049353,1,0,0,0,0.0159151335963901,0,0,-0.0604771894128221,21.4694022415518,-0.0736331502635608,-0.0223229415241661,-0.00862685154932627,-0.000413504250065462,0,0,0,0.0234412541921889,0.234412541921889,0.621888935563905,0,0,-3.205810546875,-4.49224853515625,-6.11151123046875,2.38006591796875,-5.82855224609375,0,0,0,0,0,0,0,0,0,0,-0.51361083984375,-0.53436279296875,0.225799560546875,0.66204833984375,-0.627685546875,0,0,0,1,0,0,0.1,-0,-0,0,0.66204833984375,-0,0,0,0,336.725618256297,0,0
