t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.148988487445938,332.034865968175,-0.000448713381383926,0.162904739210808,29.5334607777987,43.0566932143232,-42.3370009334849,0.719692280838295,0.00357534968333262,0.0313444248369912,41.7400771040122,0.999427753454979,0.139460845425436,0.00390283752482932,0.00653400409719396,400.340803599547,22.0196056769928,0.340803599546575,46.7013111025683,43.39584919151,50.0133089474336,0,0.512230931969959,0.0419163226535719,345,20,0.862080470342587,0,20,0,0,6928.59212557697,6900,0.995873313790342,0.000365183375149014,-0.125988264426439,0.952111496603322,-0.0249156509324351,-0.0730083407465543,0.185158602302271,0,0,0.00182751433145034,-6.77288818359375,-6.84381103515625,-8.64837646484375,-13.2655029296875,-7.86981201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0770197859142817,331.680820620053,0.000232210550402941,0.00778631974964576,29.2669589130027,42.4395237675859,-42.1358824907464,0.303641276839535,0.00266495119740035,0.0296179144712529,41.3655967662885,0.999437676148499,0.141554267319304,0.000188231776121536,0.00561752894128409,399.992729853969,21.6364733106907,-0.00727014603052112,46.3127403537155,43.2982071741141,49.3869308476838,0,0.517128989001487,0.0463986198997787,345,20,0.862821624521601,0,20,0,0,6859.37575740589,6900,1.00592244017982,0.000354715853426057,-0.122376969432025,-0.348073745577096,-0.388570748852857,-0.266501864795991,-0.155118419461162,0,0,0.0100491263894734,-6.652099609375,-6.90283203125,-7.85870361328125,-13.2574462890625,-8.5079345703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0502332234015647,331.816454538155,-0.000151388584606157,0.0329002895325232,29.5761970868378,43.2486527608755,-42.7780712239605,0.470581536915013,0.00190025763123794,0.0322527552500999,41.7995595650392,0.999436100346106,0.140358771150958,0.00078709655974559,0.00809112234273179,399.772182278145,22.0354634366907,-0.22781772185516,46.7413395495111,43.5659670163888,49.8751892236824,0,0.517600267707507,0.0473663492177489,345,20,0.863309840062486,0,20,0,0,6933.77746707994,6900,0.995128561993761,0.000368865924568418,-0.127258743976085,-0.220547575824639,0.428599195795663,0.309238173835119,0.0251139697828774,0,0,-0.0107938781860543,-6.89031982421875,-6.988525390625,-8.12603759765625,-12.7841186523438,-8.59539794921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00823001295327103,331.656172927732,-2.48148945355657e-05,0.075931895984988,29.4964206021051,43.0785144487723,-42.3322650762148,0.746249372557436,0.00227181902478888,0.0319099772511354,41.6868128022374,0.999371519756132,0.139574305870262,0.00182148480252519,0.00546453009596659,400.203091614364,21.7178336032113,0.203091614363871,46.6033148963547,43.4818751370753,49.7915971719017,0,0.512580931960643,0.0416405780859834,345,20,0.862375490742988,0,20,0,0,6911.87581159039,6900,0.998281825091464,0.000363297182023326,-0.125337527798024,0.430909336219031,-0.138024653156421,-0.0797764847327187,0.0430316064524649,0,0,0.00315326309770314,-7.61688232421875,-7.73382568359375,-8.78045654296875,-12.8189086914062,-8.68194580078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0779571852416679,331.492990794318,0.000235169935433229,0.0547033740914611,29.3706772073383,42.7798024316361,-42.4402558108744,0.339546620761723,0.00305916211953049,0.0304707033210463,41.5114486800422,0.999443309063895,0.137759796870329,0.00131779005144095,0.00636537756511313,400.067949237568,21.5971108700666,0.0679492375680866,46.3295580734799,43.3180206196231,49.3857148787017,0,0.516966772944172,0.0455564134051505,345,20,0.862662407382518,0,20,0,0,6879.69426529089,6900,1.00295154609,0.000358203495267606,-0.123580205867313,-0.135142376795784,-0.273756822874823,-0.12574339476685,-0.021228521893527,0,0,0.00466972099853546,-7.1085205078125,-7.41827392578125,-7.882568359375,-12.9485473632812,-9.01824951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0735885364515563,331.661138152051,-0.000221878682747025,0.0659197764968134,29.5135113339591,43.1002551074985,-42.4553962177359,0.644858889762645,0.00213671045272271,0.0314113364944422,41.711755300428,0.999384992333776,0.137348760774631,0.00158036448051701,0.0053869446652195,399.880775621912,21.7646018299626,-0.119224378088404,46.499593015978,43.4266064358722,49.5720510817703,0,0.516195451892918,0.0457802914265698,345,20,0.863072036274591,0,20,0,0,6916.11691633542,6900,0.997669658201215,0.000364971834974526,-0.125915283066206,-0.187173615656491,0.170034942498134,0.142834126620826,0.0112164024053523,0,0,-0.00528188788878425,-7.31317138671875,-7.721435546875,-8.74127197265625,-12.3955688476562,-8.64227294921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,-0.000406120836648256,331.535154687405,-1.22497065818307e-06,0.0753992403565881,12.9868834585385,20.130059321168,-21.9048038999704,-1.77474457880232,0.153612524132874,0.113456149228481,17.9248123136768,0.994831390513131,0.240697494072581,0.00420641728555549,0.0578520296875285,421.03065619183,64.4692606473436,21.0306561918296,14.9296634244833,8.23615889335683,43.5786450157664,0,0.455261550573885,-0.0377265733308728,343.893439818541,17.7868796370825,0.92773990689126,0,20,4.68302009041872,9.3660401808374,2967.66355835202,6123.15871789135,2.06329275455053,0.135837141818936,-46.713501955233,21.149880569918,-31.5699295914947,-16.5266278754205,0.00947946385977473,-1.10656018145892,-2.21312036291753,1.06562309634931,41.1586303710938,-14.966796875,-22.4872436523438,-6.2919921875,-14.5261840820312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0176524776586338,331.572688382147,-5.32386359828552e-05,-0.449346058374589,14.9401925110058,20.621125354263,-22.7613598790215,-2.14023452475845,0.03746145699032,0.0383665623411866,21.0694036479082,0.996459784211141,0.247071933028595,-0.0213269471639365,0.0386002113933199,397.379822313395,19.6296301841132,-2.62017768660536,16.2497948949305,13.0496436941366,19.8914089965417,0,0.429469413307209,-0.0419641288456447,339.805907948157,9.61181589631443,0.979065397273004,0,20,10.04742840738,20.0948568147599,3490.41154374813,3292.42085678793,0.943275833099156,0.144950174500488,-49.2549256533823,-23.650833878435,1.32013147044717,1.95330905246723,-0.524745298731177,-4.08753187038377,-8.17506374076803,-1.12001692145137,33.677001953125,-14.5445556640625,-18.6085815429688,-18.2825927734375,-4.1234130859375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.76,-0.0144923827730766,331.582334718536,-4.37067396409354e-05,-0.203163425228799,17.1898049766266,24.7142127739057,-24.901317935264,-0.18710516135825,0.00705083518368469,0.0401766792354428,24.2773104783051,0.997302693651538,0.226854243960312,-0.00836844861420509,0.0315547668711051,398.707423763465,20.950901770348,-1.29257623653547,19.16779024674,15.9617649510613,22.5599224512093,0,0.441128167711249,-0.0314579576499656,340.753338911833,11.5066778236662,0.977175357542333,0,20,10.0557996862599,20.1115993725198,4022.9308811998,3949.51186953627,0.981749869974986,0.143369777725505,-48.853730459013,1.32760145006989,2.91799535180946,2.24961246562085,0.24618263314579,0.947430963675743,1.89486192735173,0.0384740368758301,29.3095092773438,-9.746337890625,-28.8705444335938,-4.67938232421875,-23.468994140625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.78,0.0742234558849361,331.370957890099,0.00022398901930794,-0.0827483570537423,18.0159709563249,26.0833424837337,-25.9734619058057,0.109880577927932,0.00281732058417296,0.0395290545608122,25.4487647725873,0.997727220560288,0.215476276250756,-0.00325156673784327,0.0368642120094149,399.435358740161,21.0156047247718,-0.564641259839391,20.3380565119609,17.4331385909175,23.5847880251208,0,0.438015395144535,-0.0360190322164681,341.129910908529,12.2598218170579,0.976318952520255,0,20,9.73543745931551,19.4708749186311,4213.7356361465,4208.8195500213,0.998833318805521,0.143190024017902,-48.8464001362171,0.727934976696076,1.17026626522095,0.826165979698281,0.120415068175057,0.376571996695759,0.753143993391692,0.0170834488305343,30.73876953125,-10.769775390625,-25.5742797851562,-6.23828125,-21.4624633789062,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
