t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.130530490118308,331.972713864797,-0.00039319644255904,0.018923695250487,29.7130916762148,44.554507560096,-44.5202894066616,0.0342181534344661,0.000582607892520585,0.0969963194704364,41.7152960591902,0.994643948261275,0.214292270839675,0.000453639241194309,0.0305297044448798,400.024364145084,23.1378497923098,0.0243641450843484,48.9714730606004,45.776823692056,52.290235289409,0,0.418031574653499,-0.0522507391759321,345,20,0.862801460547584,0,20,0,0,6918.26128978218,6900,0.99736042207467,0.000410451127528688,-0.141605638997362,0.163132150313288,0.0970497656465525,0.0486928245351734,0.0508103722519112,0,0,-0.00236789546031857,0.0977599114092517,0.0085394316895411,-2.28694565251388,0.000706489789665921,0,-7.7742919921875,-7.80694580078125,-6.4246826171875,-9.8021240234375,-9.11053466796875,0,0,0,0,0,0,0,0,0,0,0.16845703125,-0.48565673828125,0.030181884765625,-0.28607177734375,-0.55169677734375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0.0251467152046617,331.669582399013,7.58185752904197e-05,-0.00712379914864879,29.6337471537316,44.341297712649,-44.4821194055807,-0.140821692931716,0.000227759522160039,0.0973488355574601,41.6025184506665,0.994619464890712,0.215022826401737,-0.000171234805342287,0.0300841358931199,400.027939775164,22.9718823781412,0.0279397751640431,48.8629300729713,45.7272013223199,52.1358426477936,0,0.418735282130773,-0.0523657926085897,345,20,0.862790323285748,0,20,0,0,6892.8918656532,6900,1.00103122673115,0.000406479657812708,-0.14023548194541,0.00357563007969475,-0.108542987629079,-0.0793445224832183,-0.0260474943991358,0,0,0.00367080465648206,0.0721910890268486,0.00633679940638175,0.596831539917865,-0.000443041773006247,0,-8.23016357421875,-7.5767822265625,-6.0333251953125,-9.74810791015625,-9.0235595703125,0,0,0,0,0,0,0,0,0,0,-0.22454833984375,-0.344970703125,-0.011627197265625,-0.2498779296875,-0.5625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,333.979352267873,0,0
0.64,-0.023004047650154,331.731223709169,-6.93454399406243e-05,-0.00915342055481352,29.7047147099125,44.5173201603442,-44.4747985538778,0.042521606466444,0.000552433469966747,0.0971572641115753,41.7023846455171,0.994628120894764,0.214525121780055,-0.00021949393620102,0.0314146525423769,399.934521234245,22.9887272588549,-0.0654787657550173,48.9504593530679,45.7625338904079,52.2558370253857,0,0.418374089027802,-0.0524342539353631,345,20,0.862994575187451,0,20,0,0,6911.16537456231,6900,0.998384444018167,0.000409629725634852,-0.141322255344051,-0.0934185409190604,0.0875292800965397,0.0709675561808787,-0.00202962140616473,0,0,-0.00264678271298446,0.0146720294769736,0.00128313616296377,-2.40336703210411,0.000864927917326341,0,-7.960693359375,-8.13238525390625,-6.435302734375,-9.8948974609375,-9.38189697265625,0,0,0,0,0,0,0,0,0,0,0.20037841796875,-0.4951171875,0.053497314453125,-0.25006103515625,-0.54327392578125,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.923371145416,0,0
0.66,0.00619432111508402,331.624652791805,1.86787111963381e-05,0.0158714086641515,29.7083734343502,44.5200353189248,-44.5084439015341,0.0115914173907257,0.00053696776191823,0.0970514716129982,41.7080845251673,0.994633411318045,0.214590367718954,0.000380535544723337,0.030789292502186,400.014064769786,22.9926556434311,0.0140647697855343,48.9691463509949,45.8237414018827,52.267929341351,0,0.418856606460279,-0.052228614180215,345,20,0.862822691279558,0,20,0,0,6909.46511621652,6900,0.998630123163325,0.000409309896643339,-0.141211914341966,0.0795435355405516,0.0186869979269844,0.00365872443765625,0.025024829218965,0,0,0.00024567914515794,0.0336373307025986,0.00294234610791527,-2.06629878815469,-0.00757743218131168,0,-7.96173095703125,-8.2188720703125,-6.5634765625,-9.73931884765625,-8.86895751953125,0,0,0,0,0,0,0,0,0,0,0.07574462890625,-0.42449951171875,-0.017669677734375,-0.26483154296875,-0.52020263671875,0,0,0,0,0,0,0.1,0,-0,-0,-0,-0,0,0,1,332.636763432218,0,0
0.68,0.0771579666597928,331.435448965565,0.000232799378885417,0.005394626700879,29.6772235483828,44.4656945750607,-44.4486793713894,0.0170152036712636,0.000530226296266306,0.097204625600296,41.6639389644539,0.994623891808624,0.214700822587296,0.000129479517178668,0.0302636182559262,400.011263266445,22.9724719757542,0.0112632664449279,48.9172025209696,45.7796810309813,52.1958818194479,0,0.418468428534329,-0.0530859583587194,345,20,0.862827282360526,0,20,0,0,6898.66480646661,6900,1.00019354376113,0.000407626660254179,-0.140631197787684,-0.00280150334060636,-0.0519438300252943,-0.031149885967352,-0.0104767819632725,0,0,0.00156342059780112,0.0411846771616257,0.00361003996995973,0.296249545200267,0.000175730269933894,0,-8.49176025390625,-7.90338134765625,-6.47174072265625,-9.98736572265625,-9.5828857421875,0,0,0,0,0,0,0,0,0,0,-0.2667236328125,-0.37408447265625,-0.055694580078125,-0.2669677734375,-0.62310791015625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.62028213753,0,0
0.7,-0.0494475826138584,331.57916032104,-0.00014912753432991,0.00318403401937273,29.7081575013324,44.5340296473414,-44.4882178324854,0.0458118148560089,0.000465947802448477,0.0969341446729877,41.7081462941232,0.994638772947059,0.214273608336863,7.63408183360422e-05,0.0303828755217301,399.976472371375,22.9608263284873,-0.0235276286254589,48.9499089525676,45.8033462248364,52.2401354241217,0,0.418220750568249,-0.0527343985655314,345,20,0.862903273557914,0,20,0,0,6908.98024671032,6900,0.998700206631131,0.00040871697219047,-0.141007355405691,-0.0347908950703868,0.0327064315980508,0.0309339529495674,-0.00221059268150627,0,0,-0.00149333712999566,0.0166012960384262,0.00145333721663798,-1.81640624297138,0.00121254098436341,0,-8.18731689453125,-8.3607177734375,-7.09539794921875,-10.1317749023438,-9.51251220703125,0,0,0,0,0,0,0,0,0,0,-0.00469970703125,-0.46124267578125,-0.049713134765625,-0.30828857421875,-0.613525390625,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,332.501225242713,0,0
0.72,-0.216800319042783,331.774690080914,-0.000653456473698792,0.175002448700654,5.95544727159641,18.8778651585672,-35.5753538752558,-16.6974887166886,1.03315896152353,1.69347132612675,1.53501121444711,-0.104063153249208,3.8901100032503,0.114007276985066,-0.691519058707033,457.696157449679,99.594737909298,57.6961574496789,-21.8683386049795,-54.1079632349367,45.8284934068624,0.835,0.171376531904819,-0.362437203247438,340.275791915597,10.5515838311933,0.947921351532221,0,20,10,20,193.840976100477,3634.79546811614,18.7514298639935,0.275024466825486,-93.584168245207,57.7196850783043,-70.8182475575471,-23.752710229736,0.171818414681282,-4.72420808440324,-9.44841616880675,17.7527296573624,27.426006615565,2.50900144365334,1.13044681022548,-0.0554650660999291,0,2.8463134765625,-2.30889892578125,1.4139404296875,-4.4654541015625,-2.8094482421875,0,0,0,0,0,0,0,0,0,0,0.71978759765625,2.32220458984375,1.46755981445312,-2.37548828125,-0.71966552734375,0,0,0,0,0,0,0.1,0,0,0,-0,-0,0,0,0,333.476846365889,0,0
0.74,0.745701780539106,330.939552143191,0.00225328696950812,-0.380631427432605,32.1449445498405,96.3978994997633,-130.717214203949,-34.3193147041855,0.343739364059104,1.53005331882509,14.9976047565045,-0.26231438419231,1.95890424299463,-0.0253794811646523,-0.624929761295555,444.29776269306,12.5391291704439,44.2977626930603,-85.6481004514518,-100,-54.4322814287004,1,0.323554124851998,-0.201936678165268,337.422376270961,4.84475254192281,0.979999999999997,0,20,6.35580277649757,12.7116055529951,1935.6165413702,1641.43685893333,0.848017581918046,0.290405847564619,-97.9894311682365,-13.3983947566185,-63.7797618464723,26.1894972782441,-0.555633876133259,-2.85341564463528,-5.70683128927044,-17.9034122820755,1.65315471536601,0.477246783265647,-2.24792263329603,-0.02161897632275,0,6.79510498046875,-4.0045166015625,-1.095947265625,-4.7645263671875,-7.03997802734375,0,0,0,0,0,0,0,0,0,0,0.84881591796875,1.98248291015625,-0.517547607421875,-2.9656982421875,-0.94830322265625,1,0,1,0,0,0,0.1,0.84881591796875,0,-0.517547607421875,-0,-0,0,0,0,343.138952183589,0,0
0.76,-0.0186032535071243,332.005364663027,-5.60329906897917e-05,0.137250923019782,47.494926748298,141.064234236368,-138.020157406664,3.04407682970384,0.0841807110808777,1.55604231903024,25.6857000324608,-0.330823152706504,1.49246876547372,0.00534347605268024,-0.52020422590738,447.034643994518,18.8777796804587,47.0346439945182,-100,-100,-100,1,0.346474451141594,-0.179325199736475,340.097300915937,10.1946018318732,0.979962227658846,0,20,9.47031829136102,18.9406365827221,3692.97972602836,3481.3815816225,0.942702597873879,0.288093332083892,-97.9797646536105,2.73688130145786,-14.3518995485482,15.3499821984575,0.517882350452387,2.67492464497536,5.34984928995039,0.0946850159558333,0.864738679427111,0.144832563437422,1.35719631653615,-0.000942965481036784,0,5.36181640625,-4.2822265625,-0.97381591796875,-5.55035400390625,-5.84832763671875,0,0,0,0,0,0,0,0,0,0,0.8297119140625,0.94561767578125,-0.255462646484375,-2.524169921875,-0.5794677734375,1,0,1,0,0,0,0.1,0.8297119140625,0,-0.255462646484375,-0,-0,0,0,0,373.202452601112,0,0
0.78,0.0271583983618767,331.922335463452,8.18215451634381e-05,0.00892919017508298,46.2639575289735,136.338954944112,-138.91656277228,-2.57760782816726,0.0252615255839834,1.56298876101996,24.771437033439,-0.325432491812439,1.52884447600806,0.000360463148061594,-0.536100261154547,446.742309897405,17.4637571409002,46.7423098974054,-100,-100,-100,1,0.34626484438787,-0.17929787604266,339.833339568227,9.66667913645281,0.979999999999997,0,20,8.79068242654887,17.5813648530977,3537.90863367991,3298.77902308739,0.93240933123143,0.288300507112428,-97.9741241312296,-0.292334097112757,0,-1.23096921932454,-0.128321732844699,-0.263961347710335,-0.527922695420397,-0.010293266642449,0.174894990251172,0.0292206810458192,1.45909449751294,0.000447956571545338,0,6.33367919921875,-4.113037109375,0.08575439453125,-6.0909423828125,-5.93963623046875,0,0,0,0,0,0,0,0,0,0,0.86297607421875,1.07916259765625,-0.525115966796875,-2.47283935546875,-0.438232421875,1,0,1,0,0,0,0.1,0.86297607421875,0,-0.525115966796875,-0,-0,0,0,0,394.51685616484,0,0
