t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.148988487445938,332.034865968175,-0.000448713381383926,0.162904739210808,29.5334607777987,43.0566932143232,-42.3370009334849,0.719692280838295,0.00357534968333262,0.0313444248369912,41.7400771040122,0.999427753454979,0.139460845425436,0.00390283752482932,0.00653400409719396,400.340803599547,22.0196056769928,0.340803599546575,46.7013111025683,43.39584919151,50.0133089474336,0,0.512230931969959,0.0419163226535719,345,20,0.862080470342587,0,20,0,0,6928.59212557697,6900,0.995873313790342,0.000365183375149014,-0.125988264426439,0.952111496603322,-0.0249156509324351,-0.0730083407465543,0.185158602302271,0,0,0.00182751433145034,-6.77288818359375,-6.84381103515625,-8.64837646484375,-13.2655029296875,-7.86981201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0770197859142817,331.680820620053,0.000232210550402941,0.00778631974964576,29.2669589130027,42.4395237675859,-42.1358824907464,0.303641276839535,0.00266495119740035,0.0296179144712529,41.3655967662885,0.999437676148499,0.141554267319304,0.000188231776121536,0.00561752894128409,399.992729853969,21.6364733106907,-0.00727014603052112,46.3127403537155,43.2982071741141,49.3869308476838,0,0.517128989001487,0.0463986198997787,345,20,0.862821624521601,0,20,0,0,6859.37575740589,6900,1.00592244017982,0.000354715853426057,-0.122376969432025,-0.348073745577096,-0.388570748852857,-0.266501864795991,-0.155118419461162,0,0,0.0100491263894734,-6.652099609375,-6.90283203125,-7.85870361328125,-13.2574462890625,-8.5079345703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0502332234015647,331.816454538155,-0.000151388584606157,0.0329002895325232,29.5761970868378,43.2486527608755,-42.7780712239605,0.470581536915013,0.00190025763123794,0.0322527552500999,41.7995595650392,0.999436100346106,0.140358771150958,0.00078709655974559,0.00809112234273179,399.772182278145,22.0354634366907,-0.22781772185516,46.7413395495111,43.5659670163888,49.8751892236824,0,0.517600267707507,0.0473663492177489,345,20,0.863309840062486,0,20,0,0,6933.77746707994,6900,0.995128561993761,0.000368865924568418,-0.127258743976085,-0.220547575824639,0.428599195795663,0.309238173835119,0.0251139697828774,0,0,-0.0107938781860543,-6.89031982421875,-6.988525390625,-8.12603759765625,-12.7841186523438,-8.59539794921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00823001295327103,331.656172927732,-2.48148945355657e-05,0.075931895984988,29.4964206021051,43.0785144487723,-42.3322650762148,0.746249372557436,0.00227181902478888,0.0319099772511354,41.6868128022374,0.999371519756132,0.139574305870262,0.00182148480252519,0.00546453009596659,400.203091614364,21.7178336032113,0.203091614363871,46.6033148963547,43.4818751370753,49.7915971719017,0,0.512580931960643,0.0416405780859834,345,20,0.862375490742988,0,20,0,0,6911.87581159039,6900,0.998281825091464,0.000363297182023326,-0.125337527798024,0.430909336219031,-0.138024653156421,-0.0797764847327187,0.0430316064524649,0,0,0.00315326309770314,-7.61688232421875,-7.73382568359375,-8.78045654296875,-12.8189086914062,-8.68194580078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0779571852416679,331.492990794318,0.000235169935433229,0.0547033740914611,29.3706772073383,42.7798024316361,-42.4402558108744,0.339546620761723,0.00305916211953049,0.0304707033210463,41.5114486800422,0.999443309063895,0.137759796870329,0.00131779005144095,0.00636537756511313,400.067949237568,21.5971108700666,0.0679492375680866,46.3295580734799,43.3180206196231,49.3857148787017,0,0.516966772944172,0.0455564134051505,345,20,0.862662407382518,0,20,0,0,6879.69426529089,6900,1.00295154609,0.000358203495267606,-0.123580205867313,-0.135142376795784,-0.273756822874823,-0.12574339476685,-0.021228521893527,0,0,0.00466972099853546,-7.1085205078125,-7.41827392578125,-7.882568359375,-12.9485473632812,-9.01824951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0735885364515563,331.661138152051,-0.000221878682747025,0.0659197764968134,29.5135113339591,43.1002551074985,-42.4553962177359,0.644858889762645,0.00213671045272271,0.0314113364944422,41.711755300428,0.999384992333776,0.137348760774631,0.00158036448051701,0.0053869446652195,399.880775621912,21.7646018299626,-0.119224378088404,46.499593015978,43.4266064358722,49.5720510817703,0,0.516195451892918,0.0457802914265698,345,20,0.863072036274591,0,20,0,0,6916.11691633542,6900,0.997669658201215,0.000364971834974526,-0.125915283066206,-0.187173615656491,0.170034942498134,0.142834126620826,0.0112164024053523,0,0,-0.00528188788878425,-7.31317138671875,-7.721435546875,-8.74127197265625,-12.3955688476562,-8.64227294921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,-0.0693027213091923,331.650764960153,-0.000208962947266287,-0.301247215311019,3.61258296583038,6.2437924988487,-21.9048038999704,-15.6610114011217,1.58873302563608,1.80631950311238,1.27726530047178,0.0914447675820105,6.90530989287125,-0.235853283730286,-0.457075481336061,457.852478093667,99.7391704296954,57.8524780936674,-25.1959539813704,-55.6882285225872,43.5786450157664,0.86,0.177666293052624,-0.356104433203661,340.480160671103,10.9603213422051,0.945325101803008,0,20,10,20,192.002313402331,3776.2403719601,19.6676816286436,0.271203113895236,-92.3392797935531,57.9717024717558,-71.6955469973484,-25.9009283681287,-0.367166991807832,-4.51983932889749,-9.0396786577949,18.6700119704424,49.1924438476562,-35.4683837890625,8.48480224609375,-20.2958984375,-8.83795166015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0608269929058022,331.704222665091,-0.000183377203995431,0.00378732386358875,0.0550276611551157,0.777934279886859,-0.0204289663846994,0.75750531350216,0.946423521053088,0.997643556338925,0.00800372426392364,-0.0119121845873855,1129.72340033677,0.473195194974408,1.51579098341489,436.660224400976,0.0544064421183634,36.6602244009765,-83.3755160172578,-100,-55.9816592949718,1,0.00942899153054117,-0.506958346084702,335,0,0.979999999999997,0,20,0,0,0.09148463483895,0,0,0.277394089292405,-92.9270199129558,-21.1922536926909,-58.1795620358875,-3.55755530467526,0.305034539174608,-5.48016067110251,-10.9603213422051,-19.6676816286436,49.1517944335938,-46.5355834960938,-40.5697631835938,-33.7607421875,13.3593139648438,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.76,-0.0323981457155479,331.778036557109,-9.76500616247729e-05,0.000481740906177664,0.00944697422883807,0.126968149517633,-0.0402413544917198,0.0867267950259136,0.447446244593901,0.96825943887044,0.00172558793768727,-0.0279676487554825,7484.98112518312,0.279174938382636,1.35415686774367,436.605905988902,0.0536940365908549,36.6059059889019,-100,-100,-100,1,0.00346096930489927,-0.512494846981329,335,0,0.979999999999997,0,20,0,0,0.0602935860265337,0,0,0.277235187669023,-92.8737878691227,-0.054318412074565,-16.6244839827422,-0.0455806869262777,-0.00330558295741108,0,0,0,43.6514282226562,-33.3992919921875,-17.24267578125,-22.2086791992188,11.4758911132812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
0.78,0.0675502779938248,331.607653442021,0.000203705425048748,0.000206887880620297,0.00235982122385206,0.0293648445686005,-0.00678289584141968,0.0225819487271808,0.409439879271189,0.578163508385087,0.00066153873960554,-0.195185970003424,29965.7704903899,0.206887880620297,0.195687329118606,436.552491862775,0.052813052426643,36.5524918627754,-100,-100,-100,1,0,-0.516568724678191,335,0,0.979999999999997,0,20,0,0,0.108561744034419,0,0,0.277078931419459,-92.8214420255186,-0.0534141261265404,0,-0.00708715300498601,-0.000274853025557367,0,0,0,37.4555053710938,-34.1004638671875,0.875732421875,-21.4415283203125,8.045166015625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
