t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.152040309270354,332.038317788138,-0.000457899890239072,0.0133970340531529,29.4196189213566,42.4891494466572,-42.4863057176529,0.00284372900436836,0.000300216284606605,0.0288922927193861,41.5833469614538,0.999476052087764,0.141392658511096,0.000322173058016986,0.00708174681423746,400.074235354074,21.4757941681272,0.074235354074176,46.5837179348039,43.5976177595702,49.6543041671144,0,0.511854616241242,0.0419547672404411,345,20,0.862650440117955,0,20,0,0,6902.6154210933,6900,0.999621097086576,0.000360044081294086,-0.124215208046451,0.166360031677812,-0.0706567759713082,-0.0835153105314674,0.0190690827311315,0,0,0.00221358583252229,-6.8966064453125,-7.64141845703125,-10.3590698242188,-13.6778564453125,-8.15264892578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0777638642090722,331.683608833824,0.000234451935935225,-0.0227810276678398,29.4289009057337,42.392477954663,-42.5243624019054,-0.131884447242442,0.000860122195550943,0.0292147844222662,41.5963340355889,0.999468191037454,0.141654113195912,-0.000547669120272687,0.00638096693128842,399.94652595198,21.5334463534656,-0.0534740480198366,46.5892783283682,43.5671829549096,49.6720266812604,0,0.512576582057788,0.0418801973657492,345,20,0.862926549447212,0,20,0,0,6897.62286549986,6900,1.00034463097599,0.000360798849687205,-0.124475603142059,-0.127709402094013,0.00556039356435178,0.00928198437711458,-0.0361780617209927,0,0,0.000723533889412931,-7.24163818359375,-7.16473388671875,-8.5465087890625,-13.736328125,-8.852783203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0446664098275014,331.812939396487,-0.000134613224875263,0.00557972783139238,29.4645193651423,42.4541467179767,-42.7053983557354,-0.251251637758656,0.000610261466561001,0.0293852137962573,41.6462871465169,0.999487843529022,0.141793547122841,0.000133978998218069,0.00855974745372023,399.973451757961,21.5402028093595,-0.0265482420387002,46.6641080814627,43.6630531360419,49.7261856529308,0,0.512748922107511,0.0422463600888147,345,20,0.862869392416724,0,20,0,0,6908.3782534282,6900,0.99878723296252,0.000361882032498428,-0.124849301211952,0.0269258059811364,0.0748297530944413,0.0356184594086031,0.0283607554992322,0,0,-0.00155739801346955,-7.07391357421875,-7.70721435546875,-9.28570556640625,-13.6048583984375,-8.70806884765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00387182860146353,331.650763245499,-1.16744148681409e-05,-0.0152983575474472,29.4959763576025,42.4686556229883,-42.6030190726314,-0.134363449643125,0.00151121480894043,0.028819400917521,41.6911214010448,0.99944772188746,0.140921201841601,-0.000366945215991812,0.00677077744190457,400.009850418952,21.6073649882664,0.00985041895216909,46.6664026154263,43.6858102750106,49.7202393175744,0,0.512213109151847,0.0415627070931286,345,20,0.862791197781006,0,20,0,0,6912.5089963327,6900,0.99819038263251,0.00036225497730058,-0.124977967168718,0.0363986609908693,0.00229453396359247,0.0314569924601891,-0.0208780853788396,0,0,-0.00059685033000989,-7.18414306640625,-7.93310546875,-8.73980712890625,-13.3928833007812,-8.79339599609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0734277948136787,331.501129376698,0.000221500888855916,0.026742959661615,29.4376893759171,42.6265425358704,-42.4161155697448,0.210426966125546,0.001507255315522,0.0285390712931214,41.6095627682121,0.999486948880678,0.137984560838224,0.00064271186435166,0.00644820449064154,400.148206181071,21.5313797281285,0.148206181070634,46.4770292839962,43.4753985228612,49.5847782073269,0,0.512316746818515,0.040846242050181,345,20,0.862489914791781,0,20,0,0,6896.2451004857,6900,1.00054448463759,0.000358818125204996,-0.123792253195688,0.138355762118465,-0.189373331430076,-0.0582869816853915,0.0420413172090622,0,0,0.00235410200508424,-7.445556640625,-7.59869384765625,-8.2125244140625,-13.3078002929688,-9.01971435546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0761311426547231,331.665419069529,-0.000229541997077371,-0.011386734090974,29.4450882124809,42.3317129124601,-42.5400293899342,-0.208316477474085,0.0015121789340742,0.0288136054428635,41.619470201747,0.999468449941735,0.138523992130848,-0.000273591519444572,0.00673277553911689,399.911368164732,21.5348263704064,-0.0886318352681883,46.4753788130359,43.4252188156046,49.5768221015716,0,0.516276713427476,0.0458308162203387,345,20,0.863002085148503,0,20,0,0,6900.94878917304,6900,0.99986251322796,0.000360419132620304,-0.124344600754,-0.236838016338822,-0.00165047096031401,0.00739883656377316,-0.038129693752589,0,0,-0.00068197140963433,-6.604736328125,-7.98419189453125,-8.5452880859375,-12.9234008789062,-8.74322509765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,-0.0742987884639228,331.646172859753,-0.000224030290545045,-0.451940626142935,3.42680276409079,4.70253707119997,-22.1346095459387,-17.4320724747388,1.40583432226061,1.60551423933538,1.22927094986617,0.119311188570417,7.18665487372474,-0.367649317827073,-0.700593980212337,457.533902251594,99.7423527152254,57.5339022515935,-24.7857430456716,-55.1724877942179,43.6061365090711,0.86,0.160235544366684,-0.373243094237764,340.420644405593,10.8412888111854,0.945891813558453,0,20,10,20,157.609063594458,3735.17360409864,23.6989771965753,0.271302371572992,-92.3569281596434,57.6225340868617,-71.2611218587075,-26.0182854483901,-0.440553892051961,-4.57935559440739,-9.15871118881457,22.6991146833473,49.7434692382812,-34.1331176757812,13.7069091796875,-21.4857788085938,-8.856689453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0564576641491824,331.700915198985,-0.000170206537161086,0.000350957444310297,0.00499630941733683,0.0705895409524729,-0.000340335891238477,0.0702492050612344,0.70222731836557,0.709994129967473,0.000769553580789346,-0.045208019604942,12402.7645249803,0.350957444310297,1.20481275127364,436.660133918609,0.0533187109688811,36.6601339186091,-82.9849372479634,-100,-55.4659098503886,1,0.00852524634005281,-0.507866388152428,335,0,0.979999999999997,0,20,0,0,0.0470233264962226,0,0,0.277393824597719,-92.9269312402358,-20.8737683329844,-58.1991942022918,-3.42180645467346,0.452291583587246,-5.42064440559261,-10.8412888111854,-23.6989771965753,45.4115600585938,-49.522216796875,-42.8446655273438,-34.6934814453125,14.0074462890625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.76,-0.0329826402147496,331.778092369335,-9.94117483140912e-05,0.000551886560188129,0.00922810352618652,0.127832499147001,-0.0249042711207737,0.102928228026228,0.605579571786373,0.968626609816974,0.00157806073711323,-0.026706898012002,7662.62368381245,0.34972453671061,1.34989188888447,436.605766929929,0.0539284589362978,36.6057669299294,-100,-100,-100,1,0.00382176299241779,-0.512132284750588,335,0,0.979999999999997,0,20,0,0,0.0559374573375533,0,0,0.27723478086964,-92.8736515913296,-0.0543669886797602,-17.0150627520366,0.00423179410884969,0.000200929115877833,0,0,0,43.6533813476562,-33.5239868164062,-17.4425048828125,-22.3277587890625,11.43359375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
0.78,0.067488327287673,331.607502881019,0.000203518698163738,0.000180247999192476,0.00213783337778399,0.0264469786418466,-0.00662041682654517,0.0198265618153014,0.394412456100881,0.538698604853889,0.00062368363263657,-0.203888342623865,33077.6453793731,0.180247999192476,0.173914944410985,436.552190184961,0.0529364446417162,36.5521901849613,-100,-100,-100,1,0,-0.516568782765635,335,0,0.979999999999997,0,20,0,0,0.10271788608344,0,0,0.277078048899286,-92.8211463812609,-0.0535767449680407,0,-0.00709027014840253,-0.000371638560995654,0,0,0,35.5393676757812,-35.2311401367188,-0.41497802734375,-21.3970947265625,8.71142578125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
