t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.202378046034728,331.952012269348,-0.000609660548978741,0.690595544351553,30.0939660324242,48.8237486187564,-44.5448100395792,4.27893857917714,0.014184423921406,0.0433161482641357,42.2627089088403,0.994173615619847,0.110085255168155,0.0163405413940964,0.0432752125126674,400.054800761699,22.1565492960994,0.0548007616986297,41.3087224483338,38.2282628016106,44.5060379480654,0,0.426985419715948,-0.0436115991810103,345,20,0.862704672702261,0,20,0,0,7005.5721117034,6900,0.984930265505791,0.000374336098810213,-0.129145954089552,0.241998154470025,0.108871583480877,0.265171845175317,0.706710714293227,0,0,-0.00757616016331164,-17.317626953125,-7.45709228515625,-3.53912353515625,-18.17822265625,-9.65447998046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,-0.018727932674675,331.573666537297,-5.64819663462882e-05,0.247222884010946,30.2899820212412,46.7511790799275,-49.2719336525079,-2.52075457258045,0.00360504233791508,0.0399149519328945,42.5543702776137,0.994184533279454,0.109310743539065,0.00580957684012543,0.0307280801682199,400.069977717688,22.0605139362748,0.0699777176876069,41.1516991609775,38.1293607728897,44.3310645104925,0,0.429038640195846,-0.0425186876197319,345,20,0.862671182239412,0,20,0,0,7049.55704465073,6900,0.978784901845115,0.000373451177428485,-0.128840656212844,0.0151769559889772,-0.157023287356282,0.196015988816967,-0.443372660340606,0,0,-0.0061453636606762,-16.2996215820312,-13.1942749023438,1.2777099609375,-17.883544921875,-4.35931396484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.035107309829251,331.549998095035,-0.000105888433210571,-0.0274691978318401,30.8937710187179,48.2039628846262,-48.3621548738819,-0.158191989255727,0.00363634436745398,0.0596488228433269,43.3955365039539,0.9944583062777,0.110665950573454,-0.000632995926420619,0.026763200447947,399.884603775365,22.0030827724127,-0.115396224634821,41.2160003711522,38.1163472970899,44.4421536926023,0,0.446045660850451,-0.0250915663522593,345,20,0.863071644419138,0,20,0,0,7188.71511566082,6900,0.959837730245862,0.000374094371883738,-0.129062558299893,-0.185373942322428,0.0643012101746336,0.603788997476709,-0.274692081842786,0,0,-0.0189471715992533,-13.6433715820312,-12.5615234375,-8.85003662109375,-16.886962890625,-4.7393798828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.0125129431910646,331.621108550297,-3.77326499081008e-05,0.0652212880223754,29.9405008084222,46.2814177813684,-49.4935833177251,-3.21216553635669,0.00882427660028859,0.0312643401631205,42.0979813715646,0.994736852540985,0.102529411533339,0.00154927352565246,0.0297663877233663,400.059596208432,22.0693869325731,0.0595962084319126,41.2691938902095,38.1712963707172,44.4726248995112,0,0.426363226308438,-0.0450858166456101,345,20,0.862694784112964,0,20,0,0,6974.13909202623,6900,0.989369427387676,0.00037486082131255,-0.129326983352826,0.174992433066734,0.0531935190573876,-0.95327021029577,0.0926904858542155,0,0,0.0295316971418148,-16.2876586914062,-13.8472900390625,-2.86669921875,-19.4156494140625,-7.41650390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0684976212666211,331.288309045524,0.000206761359807625,0.129569905493337,30.5709698205237,48.0730205613474,-44.9473684507836,3.12565211056382,0.0135462543952699,0.0528480754352872,42.9523935598934,0.994512598148748,0.107984549658153,0.00301659336662259,0.0261188140204807,399.995390997291,21.942716679918,-0.00460900270934417,41.1522265265044,38.1383563350081,44.3007389061508,0,0.427394801865717,-0.0446204297401435,345,20,0.862829146058893,0,20,0,0,7109.39317946351,6900,0.97054696875278,0.000370091715029996,-0.127681641685342,-0.0642052111412568,-0.116967363705143,0.630469012101539,0.0643486174709616,0,0,-0.0188224586348961,-17.6100463867188,-11.0083618164062,-5.514892578125,-16.466064453125,-9.043701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0705370872770227,331.524162719022,-0.000212766052098608,0.334109024606875,30.167198200094,49.5266719425987,-46.6553324376616,2.87133950493704,0.00554692307733463,0.0453103952506826,42.4060328965537,0.994866689031223,0.102308214950928,0.00787880878699284,0.0274325162079609,399.863564885339,21.9435676212865,-0.136435114660571,41.3211147830899,38.2152463026581,44.5459724200374,0,0.446361419248021,-0.0248077747532072,345,20,0.863117836294566,0,20,0,0,7023.76829772495,6900,0.982378647404267,0.000374999817002619,-0.129374936865872,-0.131826111951227,0.168888256585497,-0.403771620429694,0.204539119113538,0,0,0.0118316786514862,-14.848388671875,-10.4649658203125,-8.9698486328125,-17.3214721679688,-7.46856689453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,-0.110042662754671,331.642669046125,-0.000331810930937134,-0.399096800342138,2.43586777960923,2.99614388479547,-28.1241507589119,-25.1280068741164,0.965077910165308,1.01094937971831,0.885636141291959,0.109283127025321,11.0718442479377,-0.450632919925714,-1.07158432919003,456.479901024286,99.7444801916664,56.4799010242863,-28.7292165497391,-58.8575373562371,38.4511660400691,0.9,0.306213652349009,-0.226155680820221,340.256260268995,10.5125205379896,0.947847782127015,0,20,10,20,70.7787922245277,3621.74934120565,51.1699794158196,0.271610583826944,-92.4172015024344,56.6163361389468,-70.050331332829,-27.7313304204848,-0.733205824949013,-4.74373973100518,-9.48747946201041,50.1876007684153,47.8515014648438,-36.474853515625,7.13214111328125,-24.9252319335938,-1.27301025390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.057451081310668,331.670983740959,-0.000173217085988862,-0.0101801733612642,0.172206277109086,0.723490259148398,-1.97423696685449,-1.25074670770609,0.86731714179075,1.00269454150969,0.02347467056782,0.00155134954957312,367.621778104312,-0.433666292860337,-1.52644617348824,436.665700239683,0.052378847104535,36.6657002396828,-85.6784776674357,-100,-59.1509976816998,1,0.468703547140376,-0.0477162599271855,335,0,0.979999999999997,0,20,0,0,0.176613995463801,0,0,0.277410108163845,-92.932386234888,-19.8142007846034,-56.9492611176966,-2.26366150250014,0.388916626980874,-5.25626026899482,-10.5125205379896,-51.1699794158196,51.2891845703125,-23.2952270507812,30.5502319335938,-20.50341796875,6.62652587890625,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.100000001490116,0
0.76,0.00767397282209288,331.729212193861,2.31332440436637e-05,-0.00426921256238208,0.0948218572787949,0.586929761070597,-1.06995866326288,-0.483028902192284,0.88430392762332,1.00260064327027,0.00965073731877886,-0.00381979653159327,745.722549374982,-0.442371646990624,-1.5162761383273,436.611600189111,0.053860680279513,36.611600189111,-100,-100,-100,1,0.483453127267946,-0.0326554640227793,335,0,0.979999999999997,0,20,0,0,0.106945932693815,0,0,0.277251845329336,-92.8793681853276,-0.0541000505718898,-14.3215223325643,-0.0773844198302912,0.00591096079888208,0,0,0,58.0629272460938,-16.5075073242188,9.7772216796875,-33.4957885742188,-8.51702880859375,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.100000001490116,0
0.78,0.0613108222416987,331.61221800145,0.000184887102807022,0.00465993469230886,0.0731631839071583,0.780562627487506,-0.386576465665074,0.393986161822432,1.57697470203953,1.00261483315069,0.00590723184576167,-0.00456909768492209,966.518239150319,0.788852513999816,-1.49082121634149,436.557164133083,0.0542480635963898,36.5571641330831,-100,-100,-100,1,0.48114805226222,-0.0353394740759119,335,0,0.979999999999997,0,20,0,0,0.0858177305651569,0,0,0.277092599553493,-92.8260208504203,-0.0544360560278392,0,-0.0216586733716367,0.00892914725469095,0,0,0,58.465087890625,-14.9609985351562,15.2782592773438,-29.7477416992188,-6.2120361328125,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.100000001490116,0
