t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.202378046034728,331.952012269348,-0.000609660548978741,0.690595544351553,30.0939660324242,48.8237486187564,-44.5448100395792,4.27893857917714,0.014184423921406,0.0433161482641357,42.2627089088403,0.994173615619847,0.110085255168155,0.0163405413940964,0.0432752125126674,400.054800761699,22.1565492960994,0.0548007616986297,41.3087224483338,38.2282628016106,44.5060379480654,0,0.426985419715948,-0.0436115991810103,345,20,0.862704672702261,0,20,0,0,7005.5721117034,6900,0.984930265505791,0.000374336098810213,-0.129145954089552,0.241998154470025,0.108871583480877,0.265171845175317,0.706710714293227,0,0,-0.00757616016331164,-17.317626953125,-7.45709228515625,-3.53912353515625,-18.17822265625,-9.65447998046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,-0.018727932674675,331.573666537297,-5.64819663462882e-05,0.247222884010946,30.2899820212412,46.7511790799275,-49.2719336525079,-2.52075457258045,0.00360504233791508,0.0399149519328945,42.5543702776137,0.994184533279454,0.109310743539065,0.00580957684012543,0.0307280801682199,400.069977717688,22.0605139362748,0.0699777176876069,41.1516991609775,38.1293607728897,44.3310645104925,0,0.429038640195846,-0.0425186876197319,345,20,0.862671182239412,0,20,0,0,7049.55704465073,6900,0.978784901845115,0.000373451177428485,-0.128840656212844,0.0151769559889772,-0.157023287356282,0.196015988816967,-0.443372660340606,0,0,-0.0061453636606762,-16.2996215820312,-13.1942749023438,1.2777099609375,-17.883544921875,-4.35931396484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.035107309829251,331.549998095035,-0.000105888433210571,-0.0274691978318401,30.8937710187179,48.2039628846262,-48.3621548738819,-0.158191989255727,0.00363634436745398,0.0596488228433269,43.3955365039539,0.9944583062777,0.110665950573454,-0.000632995926420619,0.026763200447947,399.884603775365,22.0030827724127,-0.115396224634821,41.2160003711522,38.1163472970899,44.4421536926023,0,0.446045660850451,-0.0250915663522593,345,20,0.863071644419138,0,20,0,0,7188.71511566082,6900,0.959837730245862,0.000374094371883738,-0.129062558299893,-0.185373942322428,0.0643012101746336,0.603788997476709,-0.274692081842786,0,0,-0.0189471715992533,-13.6433715820312,-12.5615234375,-8.85003662109375,-16.886962890625,-4.7393798828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.0125129431910646,331.621108550297,-3.77326499081008e-05,0.0652212880223754,29.9405008084222,46.2814177813684,-49.4935833177251,-3.21216553635669,0.00882427660028859,0.0312643401631205,42.0979813715646,0.994736852540985,0.102529411533339,0.00154927352565246,0.0297663877233663,400.059596208432,22.0693869325731,0.0595962084319126,41.2691938902095,38.1712963707172,44.4726248995112,0,0.426363226308438,-0.0450858166456101,345,20,0.862694784112964,0,20,0,0,6974.13909202623,6900,0.989369427387676,0.00037486082131255,-0.129326983352826,0.174992433066734,0.0531935190573876,-0.95327021029577,0.0926904858542155,0,0,0.0295316971418148,-16.2876586914062,-13.8472900390625,-2.86669921875,-19.4156494140625,-7.41650390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0684976212666211,331.288309045524,0.000206761359807625,0.129569905493337,30.5709698205237,48.0730205613474,-44.9473684507836,3.12565211056382,0.0135462543952699,0.0528480754352872,42.9523935598934,0.994512598148748,0.107984549658153,0.00301659336662259,0.0261188140204807,399.995390997291,21.942716679918,-0.00460900270934417,41.1522265265044,38.1383563350081,44.3007389061508,0,0.427394801865717,-0.0446204297401435,345,20,0.862829146058893,0,20,0,0,7109.39317946351,6900,0.97054696875278,0.000370091715029996,-0.127681641685342,-0.0642052111412568,-0.116967363705143,0.630469012101539,0.0643486174709616,0,0,-0.0188224586348961,-17.6100463867188,-11.0083618164062,-5.514892578125,-16.466064453125,-9.043701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0705370872770227,331.524162719022,-0.000212766052098608,0.334109024606875,30.167198200094,49.5266719425987,-46.6553324376616,2.87133950493704,0.00554692307733463,0.0453103952506826,42.4060328965537,0.994866689031223,0.102308214950928,0.00787880878699284,0.0274325162079609,399.863564885339,21.9435676212865,-0.136435114660571,41.3211147830899,38.2152463026581,44.5459724200374,0,0.446361419248021,-0.0248077747532072,345,20,0.863117836294566,0,20,0,0,7023.76829772495,6900,0.982378647404267,0.000374999817002619,-0.129374936865872,-0.131826111951227,0.168888256585497,-0.403771620429694,0.204539119113538,0,0,0.0118316786514862,-14.848388671875,-10.4649658203125,-8.9698486328125,-17.3214721679688,-7.46856689453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.130600677055569,331.245033093285,0.000394272106772357,-1.51603480931881,34.2511508586961,48.8125228009276,-58.2086033269472,-9.39608052601959,0.0357979086248073,0.050321881084351,48.0721359896137,0.995261629614998,0.0974192325616776,-0.031536664184141,0.0134488180305126,394.739207660054,29.4838973678247,-5.26079233994557,46.2755146539814,38.4511660400691,52.9310007396172,0,0.438662733994005,-0.0257568904822619,345,20,0.853076941006993,0,20,0,0,7958.9384465507,6900,0.866949788132909,-0.0239335774893809,8.25708423383639,-5.124357225285,4.95439987089151,4.08395265860208,-1.85014383392568,0,0,-0.115428859271357,8.90228271484375,-15.864013671875,2.83587646484375,-27.76904296875,-11.8275146484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0342071192334708,331.238198497699,-0.000103270454279169,0.473458903350516,37.3679968060296,59.8104014255237,-58.3415716334451,1.46882979207862,0.00335819905824091,0.047222634398192,52.5533275550379,0.995515852577055,0.0946147983858318,0.00900911370178555,0.0279852253624413,399.332749600086,30.8944135160359,-0.667250399914167,51.7280900211378,46.9473749259897,56.0300708340899,0,0.420722873058061,-0.0508384206939265,345,20,0.804405329804823,0,20,0,0,8695.6601669427,6900,0.793499270616732,-0.0689119068292058,23.774607856076,4.5935419400314,5.45257536715634,3.11684594733353,1.98949371266932,0,0,-0.0734505175161774,39.5029296875,-13.0338745117188,-12.9060668945312,-34.2500610351562,-22.2202758789062,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.76,0.0025217846424016,331.234973635118,7.61328012777886e-06,0.416391207803094,33.9538562935418,53.5926191842854,-52.8874095206444,0.705209663640993,0.00892557157966893,0.0359056050417488,47.7122263279594,0.994411367731976,0.108286191234209,0.00872713851038825,0.0298932321842154,401.877386150184,23.5458239150091,1.87738615018395,48.3157391372995,44.9261710278747,52.0206035165457,0,0.419631958606917,-0.0543058041614971,345,20,0.763916135214431,0,20,0,0,7895.80101797732,6900,0.873882204514772,-0.110143131426301,37.999380342074,2.54463655009812,-3.41235088383824,-3.41414051248784,-0.0570676955474217,0,0,0.08038293389804,53.8698120117188,-19.0752563476562,-20.0925903320312,-37.99560546875,-23.0515747070312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.78,0.102744619000237,330.9912970595,0.000310414865626414,-0.454723956145086,35.5297199094873,56.243934584542,-57.6579088709723,-1.41397428643032,0.012576225743832,0.0470096681560724,49.8660714201282,0.993471025705886,0.115149070895262,-0.00911890476219747,0.0154760865050259,398.049001499071,22.5805075847954,-1.95099850092856,49.7394676550769,45.0637382024127,53.9044533619556,0,0.405022727880548,-0.0647372066390023,345,20,0.73753383082637,0,20,0,0,8246.38923033832,6900,0.836729847120849,-0.149059116138488,51.4253950677785,-3.82838465111251,1.42372851777736,1.57586361594549,-0.871115163948181,0,0,-0.037152357393923,59.84765625,-24.4971313476562,-29.8167114257812,-46.6849365234375,-22.9074096679688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
