t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.147039465260177,332.029228662437,-0.000442850967827496,0.161835235586413,29.4687132818341,43.369222755148,-42.2451993518039,1.12402340334412,0.00194679632718333,0.0317568401933844,41.6457268415116,0.999308416340367,0.139753600718786,0.00388599858521617,0.00411604740077953,400.179581887498,21.8275137614875,0.179581887498159,46.540995724725,43.4309611709163,49.7363524819432,0,0.51204430387235,0.0419591669691014,345,20,0.862426248284117,0,20,0,0,6912.78764882327,6900,0.998150145864028,0.000363407093163737,-0.125375447141494,0.525988743447556,-0.0643580628095606,-0.128462642560919,0.0795330143559789,0,0,0.00374270140156086,-7.2725830078125,-6.9857177734375,-9.30120849609375,-13.361083984375,-7.722900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0813905662119529,331.677194988606,0.000245390902485017,0.0860668157647209,29.3618643983105,43.3243044446188,-42.420684128221,0.903620316397777,0.00230912689739141,0.0325479274054818,41.4948286406662,0.999379665089464,0.140244822400772,0.00207415763805259,0.005359915273488,399.970716791981,21.6144026129298,-0.0292832080193079,46.3869161194608,43.3853975175862,49.4448851885575,0,0.517454474338251,0.0467592195376119,345,20,0.862873659765031,0,20,0,0,6880.6125427984,6900,1.00281769349473,0.000359988977214343,-0.124196197138986,-0.208865095517467,-0.154079605264151,-0.106848883523686,-0.0757684198216923,0,0,0.00466754763070132,-7.00152587890625,-7.11785888671875,-8.6693115234375,-13.1367797851562,-8.31573486328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0526477814978769,331.816587371849,-0.00015866530939539,0.120691765514849,29.5200204481886,43.5527687022228,-42.3837238530573,1.16904484916549,0.00326401580568597,0.0348530068937189,41.7135417202656,0.999322231263472,0.138779431592014,0.00289334735286249,0.00687737857388449,399.938097993736,21.9247045429628,-0.0619020062637219,46.5573585577402,43.5367036548501,49.677412817672,0,0.517349649606684,0.046873723907123,345,20,0.862950380079063,0,20,0,0,6919.60708954159,6900,0.997166444671226,0.000367343976208856,-0.126733671792067,-0.0326187982444139,0.170442438279345,0.158156049878187,0.0346249497501285,0,0,-0.00565124882350365,-7.15667724609375,-7.06378173828125,-8.82904052734375,-12.6839599609375,-8.27178955078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,0.00064543520264067,331.64501903883,1.94616281140378e-06,0.111188813280528,29.4856292058543,43.3290643919294,-42.6409996217862,0.688064770143193,0.00307475370890861,0.0330481996729182,41.6686565197148,0.99933145102916,0.139360847295522,0.00266840408516462,0.00636159947083481,400.018163400506,21.6843615040482,0.0181634005057276,46.5367825355546,43.5361009964858,49.6462163637282,0,0.512342245184879,0.0415995115326623,345,20,0.862775355480159,0,20,0,0,6908.55880174462,6900,0.99876113065109,0.000364675728671271,-0.12581312639162,0.0800654067694495,-0.0205760221855726,-0.034391242334376,-0.00950295223432106,0,0,0.00159468597986456,-7.77032470703125,-7.9501953125,-8.99383544921875,-13.2166748046875,-8.47821044921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0721903223954496,331.500113967364,0.000217768620141581,0.127218680491548,29.4548209683258,43.3172302474151,-42.1438430265863,1.17338722082879,0.00439012184365355,0.0311337976689302,41.6276434468308,0.999377454315849,0.135701785735136,0.00305611055437329,0.0052505032418928,400.135475206834,21.744594601373,0.135475206834371,46.3617319660939,43.3556905219064,49.5246087993362,0,0.512451134383106,0.0409780180792431,345,20,0.862519543046738,0,20,0,0,6899.1048144161,6900,1.00012975387503,0.000361354296197547,-0.124667232188187,0.117311806328644,-0.175050569460723,-0.0308082375285075,0.0160298672110193,0,0,0.00136862322393827,-7.94036865234375,-7.4730224609375,-8.23040771484375,-12.8192138671875,-8.54913330078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0711062235622322,331.657726185602,-0.00021439640312326,0.0876800398811844,29.4358586693053,43.4521778921101,-42.3797709909645,1.07240690114563,0.00250502641347913,0.0314418591871887,41.6003132094908,0.999375030182558,0.136668962155767,0.0021076773975149,0.00628018769331629,399.925204280589,21.5584178535354,-0.0747957194110995,46.3452385036419,43.315097856477,49.4059094866683,0,0.516395917128682,0.0458993453297166,345,20,0.862973300453953,0,20,0,0,6897.57920464223,6900,1.00035096303876,0.000361662239829919,-0.12477347274131,-0.210270926245471,-0.0164934624519901,-0.0189622990204512,-0.0395386406103633,0,0,0.000221209163734359,-7.45166015625,-8.19482421875,-9.7872314453125,-12.1897583007812,-8.8099365234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.0231606858495709,331.526946190612,6.98606436541501e-05,0.475658228716255,14.0987700852063,20.8201888618172,-22.06902210201,-1.24883324019286,0.084138819235781,0.109316466515132,19.6302102422439,0.99621623935893,0.218026109749164,0.0242309289022614,0.0302629468308746,419.510391722677,65.9873291767697,19.5103917226772,16.9750609141838,11.6875120288102,43.4894092521855,0,0.462083500851198,-0.0304412715166346,344.016152013533,18.0323040270663,0.932859296258503,0,20,5.45407906390761,10.9081581278153,3253.79941989225,6209.520973457,1.90839082934701,0.137574984502909,-47.3280167820122,19.5851874420883,-29.3701775894581,-15.337088584099,0.38797818883507,-0.983847986466799,-1.96769597293368,0.908039866308252,40.4320068359375,-13.23388671875,-21.02685546875,-6.0560302734375,-18.2173461914062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,0.0136200389888491,331.543727251402,4.10806716259219e-05,0.55291051308624,16.6176676076677,24.2092531545371,-24.1869065112838,0.0223466432532113,0.0390130590630883,0.0391408159131143,23.4039556756488,0.995313989270774,0.228237912478863,0.0236246607517518,0.0414212881044778,398.105079005104,24.7747995044231,-1.89492099489564,18.7247995540747,14.4027730186909,22.8336360602386,0,0.437771478701755,-0.035264577121307,340.113295590865,10.2265911817298,0.976692103481446,0,20,10.0635975011722,20.1271950023445,3876.33482810301,3505.99177387082,0.904460509565055,0.143225190137454,-48.7127914292777,-21.4053127175728,1.74973863989091,2.51889752246132,0.0772522843699856,-3.90285642266826,-7.80571284533652,-1.00393031978196,33.7105712890625,-13.7300415039062,-14.7114868164062,-18.7152709960938,-5.43109130859375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.76,-0.0183645048949182,331.59075294034,-5.53830428987337e-05,0.530013878640152,17.5490458611823,25.7216904737527,-24.9542957537399,0.767394720012806,0.0332666911078974,0.0412762033736293,24.7400257737011,0.996754776155872,0.227207197054258,0.0214233357510711,0.0349453877502381,399.575082872869,25.6268114192744,-0.424917127131323,19.5375341678509,15.2131314463028,23.8830247425295,0,0.439006530421184,-0.034526269919504,340.930398518091,11.8607970361826,0.97534531215983,0,20,10.0622075321472,20.1244150642943,4099.03373358155,4069.58934796343,0.992816749621526,0.143118025350408,-48.793285417837,1.47000386776432,0.812734613776257,0.931378253514616,-0.0228966344460886,0.817102927226301,1.63420585445276,0.0883562400564704,29.6180419921875,-9.26251220703125,-25.64111328125,-5.4923095703125,-24.8056030273438,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.78,0.0783132691053701,331.357518954786,0.000236340703396129,0.569795207661197,17.740871000554,26.1235193014083,-25.212086871773,0.911432429635315,0.034952481291148,0.0418739462249597,25.0054491371182,0.996862011131077,0.223492659613521,0.0227868415614815,0.0385273467887406,399.844411570681,25.8094336894595,-0.155588429318811,19.8212871827371,15.5628752218193,24.2152623954627,0,0.440128178684516,-0.0344307629445678,341.054657420064,12.1093148401274,0.974972395063258,0,20,10.0622273532517,20.1244547065034,4139.85550015707,4155.03787864406,1.00366736918388,0.143034569739298,-48.7826061816624,0.269328697812512,0.28375301488617,0.191825139371698,0.0397813290210449,0.124258901972382,0.248517803944809,0.0108506195623553,30.540283203125,-10.431640625,-22.2658081054688,-6.8544921875,-21.8070068359375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
