t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.152040309270354,332.038317788138,-0.000457899890239072,0.0133970340531529,29.4196189213566,42.4891494466572,-42.4863057176529,0.00284372900436836,0.000300216284606605,0.0288922927193861,41.5833469614538,0.999476052087764,0.141392658511096,0.000322173058016986,0.00708174681423746,400.074235354074,21.4757941681272,0.074235354074176,46.5837179348039,43.5976177595702,49.6543041671144,0,0.511854616241242,0.0419547672404411,345,20,0.862650440117955,0,20,0,0,6902.6154210933,6900,0.999621097086576,0.000360044081294086,-0.124215208046451,0.166360031677812,-0.0706567759713082,-0.0835153105314674,0.0190690827311315,0,0,0.00221358583252229,-6.8966064453125,-7.64141845703125,-10.3590698242188,-13.6778564453125,-8.15264892578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,0.0777638642090722,331.683608833824,0.000234451935935225,-0.0227810276678398,29.4289009057337,42.392477954663,-42.5243624019054,-0.131884447242442,0.000860122195550943,0.0292147844222662,41.5963340355889,0.999468191037454,0.141654113195912,-0.000547669120272687,0.00638096693128842,399.94652595198,21.5334463534656,-0.0534740480198366,46.5892783283682,43.5671829549096,49.6720266812604,0,0.512576582057788,0.0418801973657492,345,20,0.862926549447212,0,20,0,0,6897.62286549986,6900,1.00034463097599,0.000360798849687205,-0.124475603142059,-0.127709402094013,0.00556039356435178,0.00928198437711458,-0.0361780617209927,0,0,0.000723533889412931,-7.24163818359375,-7.16473388671875,-8.5465087890625,-13.736328125,-8.852783203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.0446664098275014,331.812939396487,-0.000134613224875263,0.00557972783139238,29.4645193651423,42.4541467179767,-42.7053983557354,-0.251251637758656,0.000610261466561001,0.0293852137962573,41.6462871465169,0.999487843529022,0.141793547122841,0.000133978998218069,0.00855974745372023,399.973451757961,21.5402028093595,-0.0265482420387002,46.6641080814627,43.6630531360419,49.7261856529308,0,0.512748922107511,0.0422463600888147,345,20,0.862869392416724,0,20,0,0,6908.3782534282,6900,0.99878723296252,0.000361882032498428,-0.124849301211952,0.0269258059811364,0.0748297530944413,0.0356184594086031,0.0283607554992322,0,0,-0.00155739801346955,-7.07391357421875,-7.70721435546875,-9.28570556640625,-13.6048583984375,-8.70806884765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.00387182860146353,331.650763245499,-1.16744148681409e-05,-0.0152983575474472,29.4959763576025,42.4686556229883,-42.6030190726314,-0.134363449643125,0.00151121480894043,0.028819400917521,41.6911214010448,0.99944772188746,0.140921201841601,-0.000366945215991812,0.00677077744190457,400.009850418952,21.6073649882664,0.00985041895216909,46.6664026154263,43.6858102750106,49.7202393175744,0,0.512213109151847,0.0415627070931286,345,20,0.862791197781006,0,20,0,0,6912.5089963327,6900,0.99819038263251,0.00036225497730058,-0.124977967168718,0.0363986609908693,0.00229453396359247,0.0314569924601891,-0.0208780853788396,0,0,-0.00059685033000989,-7.18414306640625,-7.93310546875,-8.73980712890625,-13.3928833007812,-8.79339599609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0734277948136787,331.501129376698,0.000221500888855916,0.026742959661615,29.4376893759171,42.6265425358704,-42.4161155697448,0.210426966125546,0.001507255315522,0.0285390712931214,41.6095627682121,0.999486948880678,0.137984560838224,0.00064271186435166,0.00644820449064154,400.148206181071,21.5313797281285,0.148206181070634,46.4770292839962,43.4753985228612,49.5847782073269,0,0.512316746818515,0.040846242050181,345,20,0.862489914791781,0,20,0,0,6896.2451004857,6900,1.00054448463759,0.000358818125204996,-0.123792253195688,0.138355762118465,-0.189373331430076,-0.0582869816853915,0.0420413172090622,0,0,0.00235410200508424,-7.445556640625,-7.59869384765625,-8.2125244140625,-13.3078002929688,-9.01971435546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0761311426547231,331.665419069529,-0.000229541997077371,-0.011386734090974,29.4450882124809,42.3317129124601,-42.5400293899342,-0.208316477474085,0.0015121789340742,0.0288136054428635,41.619470201747,0.999468449941735,0.138523992130848,-0.000273591519444572,0.00673277553911689,399.911368164732,21.5348263704064,-0.0886318352681883,46.4753788130359,43.4252188156046,49.5768221015716,0,0.516276713427476,0.0458308162203387,345,20,0.863002085148503,0,20,0,0,6900.94878917304,6900,0.99986251322796,0.000360419132620304,-0.124344600754,-0.236838016338822,-0.00165047096031401,0.00739883656377316,-0.038129693752589,0,0,-0.00068197140963433,-6.604736328125,-7.98419189453125,-8.5452880859375,-12.9234008789062,-8.74322509765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,0.0514529041852882,331.485673257641,0.000155219088896482,-0.227764735695289,14.3143624046815,20.0699984569007,-22.1346095459387,-2.06461108903806,0.0897218455770792,0.0948223564933443,19.9683599832168,0.995380728355896,0.206570003730437,-0.0114062815317193,0.0218215398955657,419.343151033922,66.95919268751,19.3431510339215,17.467466463848,12.4194882844497,43.6061365090711,0,0.462574409065742,-0.030150460618806,343.960226422102,17.9204528442041,0.933107340478879,0,20,6.01220045271509,12.0244009054302,3309.77893831502,6171.22901834206,1.86454416846455,0.137608776687768,-47.3319459871931,19.4317828691897,-29.0079123491879,-15.1307258077994,-0.216378001604315,-1.03977357789779,-2.07954715579585,0.864681655236587,38.6229248046875,-14.0730590820312,-22.3056030273438,-3.30670166015625,-18.5826416015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,-0.0150872809691894,331.583474368657,-4.55007023432515e-05,0.454976176026172,16.8416347776888,23.9608439857627,-24.1483512967673,-0.187507311004591,0.0437978657176493,0.0374553802648784,23.7400398148111,0.996298747174767,0.236199783939898,0.0191649289375798,0.0348086748507574,398.472304190445,25.1461844658086,-1.52769580955544,18.6354695181586,14.2656326219696,22.8113616812655,0,0.438253455201105,-0.0348979903029237,340.3136911311,10.6273822621994,0.97643907188394,0,20,10.0636953337464,20.1273906674927,3933.52754137034,3644.3485466051,0.926483546454465,0.14330964934727,-48.770235744073,-20.870846843477,1.16800305431059,2.52727237300732,0.68274091172146,-3.64653529100264,-7.29307058200478,-0.938060622010081,34.926025390625,-12.6357421875,-14.7702026367188,-19.2650756835938,-5.16619873046875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.76,-0.0114070919897878,331.576891057393,-3.44025542715321e-05,0.537808534461599,17.4374996897506,25.6199753739305,-24.7359781918671,0.883997182063393,0.0447703113441667,0.0371576170466465,24.5789576868958,0.996546142601015,0.230475799889639,0.0218808519593299,0.0349218739498065,399.600290270253,25.5155190672967,-0.399709729747315,19.3153706804258,14.9457436389739,23.6650553334435,0,0.438926680859943,-0.0345088595133809,340.92066688849,11.8413337769805,0.975274608482483,0,20,10.0609070432571,20.1218140865142,4072.18313209458,4062.45491785395,0.997611056790653,0.143139898791405,-48.7993497543168,1.12798607980812,0.679901162267175,0.595864912061764,0.0828323584354278,0.606975757390785,1.21395151478118,0.0711275103361876,29.6822509765625,-9.27276611328125,-25.099365234375,-5.80682373046875,-23.78466796875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.78,0.0779962034282707,331.358901268284,0.000235382852640259,0.562789843043423,17.6595934893,25.8633445793953,-25.1786627627031,0.684681816692184,0.0449957857679213,0.0386009456679352,24.8880245962611,0.996536879200202,0.226856224551617,0.0226128771637412,0.0334253069355568,399.821919463258,25.7982075763911,-0.1780805367423,19.6481280074412,15.359938255297,24.0361818634605,0,0.439889129767337,-0.0345324991518316,341.025584058714,12.051168117428,0.974974352211099,0,20,10.0626544384381,20.1253088768762,4121.17182820686,4134.7895538298,1.00330433337667,0.143070007502351,-48.7905328697737,0.221629193005015,0.332757327015383,0.222093799549437,0.0249813085818232,0.104917170223644,0.209834340447456,0.0056932765860177,30.6331787109375,-10.4475708007812,-21.828857421875,-7.016357421875,-21.6002807617188,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
