t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.154384254895345,332.041683749132,-0.000464954439310659,-0.0143017475050799,29.4905395997866,42.6277740551419,-42.3551082441339,0.272665811008054,0.00201154737337979,0.0281751317502386,41.6834985332747,0.999371177292551,0.14015451750476,-0.000343103338450903,0.00343305445896513,400.169243834022,21.7064554589156,0.169243834022154,46.6177178710906,43.4699143837941,49.7532606132596,0,0.516943221334713,0.0469188128054153,345,20,0.862447163581879,0,20,0,0,6919.48984964617,6900,0.997183340091587,0.000361824050312043,-0.124829297357678,0.522262619951221,0.0404089191713055,-0.022450622127554,0.11538314595672,0,0,7.3973170259034e-05,0.118703465432888,0.0110344328020606,-2.61037128926667,-0.000388713759152837,0,-7.34674072265625,-7.4888916015625,-4.66522216796875,-10.6634521484375,-10.5546875,0,0,0,0,0,0,0,0,0,0,0.57684326171875,-0.4326171875,0.520965576171875,-0.0736083984375,-0.2718505859375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.855915423458,0,0
0.62,0.0835895864349799,331.678879451078,0.00025201962384014,-0.108655815841103,29.33056021628,42.289479345425,-42.342003994629,-0.0525246492039884,0.000469967614783091,0.0277999059315879,41.4577737284277,0.999413073834952,0.141323037414509,-0.00262087917582987,0.00371760429474843,400.00188891523,21.5512603833613,0.00188891523032453,46.3982820495354,43.4131885792145,49.4897168723529,0,0.51284841707188,0.0420462240776913,345,20,0.86280295697037,0,20,0,0,6874.67943557157,6900,1.00368316292647,0.000355978405200519,-0.122812549794162,-0.16735491879183,-0.219435821555209,-0.159979383506585,-0.0943540683360232,0,0,0.0064998228348786,0.231164012622381,0.0216789889155786,0.982344272966086,0.010404557002614,0,-8.1976318359375,-7.8558349609375,-6.30291748046875,-13.0216674804688,-11.1773681640625,0,0,0,0,0,0,0,0,0,0,-0.08880615234375,-0.57879638671875,0.325469970703125,-0.30316162109375,-0.42529296875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.82575054787,0,0
0.64,-0.0470372908926544,331.812822069628,-0.000141758508906519,-0.0816218173068082,29.5397996241176,42.603812002394,-42.7685892364436,-0.164777234049652,0.00143979481882304,0.0291011796144221,41.7518817678337,0.999385065072617,0.140035090388928,-0.0019549254752319,0.0051180889540321,399.863500422108,21.8421775397193,-0.136499577892266,46.6574138787655,43.5423819268519,49.7863913912763,0,0.51226611119363,0.0419260526311194,345,20,0.863109320472016,0,20,0,0,6926.041107997,6900,0.99624011645456,0.000364968495324414,-0.12591413088694,-0.138388493122591,0.259131829230157,0.209239407837554,0.0270339985342948,0,0,-0.00744304647190519,0.10812401232792,0.0100149291503048,2.91040491935634,-0.0105243778473129,0,-8.59600830078125,-9.06610107421875,-5.90283203125,-12.5324096679688,-8.90032958984375,0,0,0,0,0,0,0,0,0,0,0.07489013671875,-0.43798828125,0.419281005859375,-0.37152099609375,-0.00787353515625,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.72475567756,0,0
0.66,-0.00524834435784825,331.655093423625,-1.58247060332178e-05,-0.0645758437780852,29.4730443341008,42.4604636424512,-42.4893749287324,-0.0289112862812502,0.00107240948735713,0.0279182815321194,41.6588810414101,0.999375559868313,0.139923767273965,-0.00155010989646829,0.00402063171460476,400.108624002754,21.6468546442333,0.108624002754084,46.5686255671458,43.5277899264412,49.6248806551705,0,0.512448768019771,0.0416600161910097,345,20,0.862576480287134,0,20,0,0,6907.40328173999,6900,0.998928210582469,0.000360256883547017,-0.124288624823748,0.24512358064635,-0.0887883116197656,-0.0667552900167649,0.0170459735287231,0,0,0.0026880941279086,0.0763777430658571,0.00711618973446004,1.7929169665007,0.00010887927176062,0,-8.43756103515625,-8.6207275390625,-6.21282958984375,-12.976806640625,-10.3743896484375,0,0,0,0,0,0,0,0,0,0,-0.06365966796875,-0.50970458984375,0.354461669921875,-0.349365234375,-0.26849365234375,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.457195995829,0,0
0.68,0.0756984548402474,331.498451000481,0.000228352363674054,-0.0457780589409432,29.4146837339007,42.5075843274943,-42.3546854355584,0.152898891935862,0.00107247194397398,0.0289699111214681,41.5758378046894,0.999399582636138,0.137771507807317,-0.00110107363695218,0.00309151483214265,400.079329377163,21.5666841020759,0.0793293771627077,46.3864974359253,43.4078751720977,49.426274667155,0,0.51700084021957,0.0456090468134318,345,20,0.862638019293993,0,20,0,0,6890.66817645531,6900,1.00135426976103,0.000358377548941302,-0.123640254384782,-0.0292946255913762,-0.182128131220452,-0.0583606002001318,0.018797784837142,0,0,0.00242605917856442,0.115904955112392,0.0108289266159112,1.00500897739274,-8.27642694669617e-05,0,-8.672607421875,-8.162109375,-6.43963623046875,-13.1312255859375,-11.091796875,0,0,0,0,0,0,0,0,0,0,-0.10821533203125,-0.53271484375,0.432159423828125,-0.275634765625,-0.406982421875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.208609341749,0,0
0.7,-0.0747254050830814,331.664692480479,-0.000225304069975672,-0.100686936239559,29.4903083301655,42.3198696094969,-42.5478915666633,-0.22802195716644,0.00275210402125265,0.0283491056857987,41.6826846113638,0.999372964212865,0.13817836107952,-0.00241555785521812,0.00342003041046945,399.889481804247,21.7796291470478,-0.1105181957534,46.4929963887686,43.3989852305791,49.6297969191027,0,0.516377167651383,0.0459572598510981,345,20,0.863050550474613,0,20,0,0,6911.52921998882,6900,0.998331885806765,0.000361847536703763,-0.124837400162789,-0.189847572916108,0.106498952843296,0.0756245962647633,-0.0549088772986162,0,0,-0.00302238395426879,0.12830680368428,0.011934983151984,2.05817125703829,-0.000213159279978559,0,-8.2994384765625,-8.7542724609375,-6.0382080078125,-12.934814453125,-10.1465454101562,0,0,0,0,0,0,0,0,0,0,-0.02447509765625,-0.506591796875,0.346771240234375,-0.36175537109375,-0.231689453125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.611928457898,0,0
0.72,0.0519598154868542,331.491943124973,0.000156745334432654,0.101987740096947,14.2480648547972,20.8768437760488,-22.4074497552605,-1.53060597921179,0.0835674323659927,0.102796949166075,19.8566970649956,0.996127474544727,0.224948239833385,0.00513618854954163,0.0314068586355702,419.73599262671,66.3966904268573,19.7359926267098,16.9242612293728,11.6702973438717,43.5668350716095,0,0.461384415959155,-0.0316302117928113,344.041981192434,18.0839623848673,0.932376362156204,0,20,5.48154947545464,10.9630989509093,3290.56273874537,6227.78011048522,1.89261855948073,0.137512103944138,-47.3099366788811,19.8465108224632,-29.5687351593959,-15.2422434753682,0.202674676336507,-0.958018807566305,-1.91603761513274,0.894286673673962,24.5362254556047,3.42366984918381,0.896443372548689,0.0257095842285039,0,1.34625244140625,-5.2166748046875,-0.68218994140625,-1.5347900390625,-0.62420654296875,0,0,0,0,0,0,0,0,0,0,0.8790283203125,0.5618896484375,0.404327392578125,-1.2913818359375,0.28765869140625,0,0,0,0,0,0,0.1,0,0,0,-0,0,0,0,0,332.25309310372,0,0
0.74,-0.0133701210865213,331.570822083502,-4.03235755260582e-05,0.546332340532994,16.5889712957356,23.8755088005947,-23.8270838784779,0.0484249221168227,0.051018919185417,0.0352994146113336,23.3696414658952,0.995805392000063,0.237266828261353,0.0233778657379187,0.0371647910582924,398.202845355069,24.8261616856658,-1.7971546449312,18.3834827328303,14.0059299613244,22.520812780486,0,0.437316202782952,-0.0355186727868016,340.15885861899,10.3177172379807,0.976632066399595,0,20,10.0662323662172,20.1324647324344,3871.57470572148,3537.1538190921,0.913621481684142,0.143282492433692,-48.7388090863289,-21.533147271641,1.45922150345754,2.34090644093836,0.444344600436046,-3.88312257344342,-7.7662451468866,-0.978997077796585,3.99023983185301,0.383442685101584,2.90259312729244,-0.0212316491905256,0,0.33746337890625,-5.9488525390625,-2.69281005859375,-3.65972900390625,-2.768310546875,0,0,0,0,0,0,0,0,0,0,0.89581298828125,0.2474365234375,0.273651123046875,-2.09918212890625,-0.49908447265625,1,0,0,0,1,0,0.1,0.89581298828125,0,0,-0,-0.49908447265625,0,0,1,334.875029352134,0,0
0.76,-0.0154031531085884,331.586051393682,-4.64529585724363e-05,0.447352152994389,17.3642224153707,25.3046057208717,-24.6842163911275,0.62038932974416,0.0443861663966473,0.0381187756089692,24.4780026427126,0.996731594693999,0.228817010300704,0.0182756803945183,0.0289912322481847,399.512101674047,25.3113497751077,-0.487898325953381,19.2581587658846,14.8622034197159,23.5893012061728,0,0.438571194845172,-0.0347992968431217,340.880453165756,11.7609063315126,0.975406246806647,0,20,10.0615372357712,20.1230744715423,4056.40956323878,4034.76226455142,0.994663433672097,0.143176723771335,-48.8061464819609,1.30925631897782,0.87467603305431,0.775251119635072,-0.0989801875386042,0.721594546766198,1.4431890935319,0.0810419519879558,5.40332591554429,0.543961851854829,2.56145876547423,-0.0234054306656928,0,0.26995849609375,-5.25091552734375,-3.551025390625,-3.05047607421875,-1.94537353515625,0,0,0,0,0,0,0,0,0,0,0.83355712890625,0.02423095703125,0.286285400390625,-2.28564453125,-0.32720947265625,1,0,0,0,1,0,0.1,0.83355712890625,0,0,-0,-0.32720947265625,1,0.499748542473651,1,335.399790889188,0,0
0.78,0.268385665561197,331.04207662332,0.000810729766737728,-3.08204479293073,41.4149295865929,53.6849417137363,-67.3284217939,-13.6434800801637,0.139039087573673,0.0649279968021793,57.5490386194227,0.998598709374077,0.0653104161381609,-0.0535551047744271,-0.0116030667582301,421.325681458426,85.3085779595409,21.3256814584258,50.7841584387838,15.4788454685301,69.312398907645,0,0.484812947594695,-0.0173339751029539,343.829900661155,17.6598013223104,0.928908673977269,0,20,7.68437550406338,15.3687510081267,9524.5363963775,6082.96778612679,0.638662873758385,0.138275290553669,-47.5431794149603,21.8135797843792,31.5259996728992,24.0507071712222,-3.52939694592512,2.94944749539866,5.89889499079786,-0.356000559913712,17.755306026077,0.780682949365441,-2.79235859301256,-0.0511770256690406,0,1.39007568359375,-5.8258056640625,0.03106689453125,-2.3505859375,-4.9710693359375,0,0,0,0,0,0,0,0,0,0,0.52886962890625,0.644287109375,-0.504791259765625,-1.4847412109375,-0.77813720703125,1,0,0,0,0,0,0.1,0.52886962890625,0,-0,-0,-0,1,51.0225751542034,1,336.844309512708,0,0
