t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-25.22705078125,-50.4536743164062,-188.636596679688,-23.8795776367188,-20.4972534179688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.02,1.22946259756289,323.557740899557,0.00379982439655047,11.0150896837382,102.85483993426,281.114025081687,-170.002560027203,111.111465054483,0.79258462206638,0.209956511938067,100.048830446507,-0.327121950957414,0.989040065195758,0.110097135914324,-0.436372523751043,465.062622192296,174.643493365885,115.062622192296,-64.742382002079,-100,-6.25,1,0.357889553472293,-0.212741385411622,335,0,0,0,0,0,0,14709.598805273,0,0,-1,335,465.062622192296,-64.742382002079,102.85483993426,11.0150896837382,335,0,0,52.8538818359375,-36.0625,-93.8998413085938,-36.7478637695312,-33.02978515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.04,-1.18527733202873,333.32445975972,-0.00355592665741706,7.29859625446561,46.4626953655212,111.372323669786,-160.631486674135,-49.2591630043485,0.965072598223563,1.58277101418354,22.8391115555828,-0.237982770522512,1.61720412179208,0.319565681734304,-0.497924682526552,500.55349763069,46.7615326936684,150.55349763069,-100,-100,-100,1,0.404660539403935,-0.167428651223448,335,0,0,0,0,0,0,3033.02853286146,0,0,-1,335,35.4908754383935,-35.257617997921,-56.3921445687391,-3.7164934292726,0,0,0,50.8484497070312,-44.7401123046875,-102.474060058594,-50.2838745117188,-15.14501953125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.06,0.429121435130265,329.038591244418,0.0013041674944794,-0.962268760827158,42.2662693463626,149.508661042647,-152.438165783512,-2.92950474086484,0.115856483660756,2.18730584702718,15.8688772010789,-0.247303676106511,1.71667727587495,-0.0606387426554499,-0.484851980897096,457.238579900827,45.0047970162666,107.238579900827,-100,-100,-100,1,0.379747440987783,-0.161659211229914,335,0,0,0,0,0,0,2215.7733724201,0,0,-1,335,-43.3149177298625,0,-4.19642601915867,-8.26086501529277,0,0,0,29.5450439453125,-47.781982421875,-117.373352050781,-43.2797241210938,-3.938720703125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.08,-2.24809897896178,337.526237414586,-0.00666051621995958,0.364828927735469,42.1014753340979,163.040764919589,-148.714343634395,14.3264212851941,0.0244380127897964,2.20464624454845,15.1292817646101,-0.240729776015332,1.73802435616694,0.0241140943378333,-0.517957253471369,419.176750003847,36.6654852143208,69.1767500038475,-100,-100,-100,1,0.365603467311334,-0.12028134550622,335,0,0,0,0,0,0,2333.58893214858,0,0,-1,335,-38.0618298969797,0,-0.164794012264686,1.32709768856263,0,0,0,20.7027587890625,-45.6830444335938,-109.262329101562,-49.656494140625,6.007080078125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.1,0.654464786624827,331.642525571239,0.00197340430180822,0.225895170580869,42.1134026477539,141.512537306501,-140.800434068804,0.712103237697079,0.0205276258183684,1.93857842191719,17.4855036029391,-0.246829092149375,1.73014994055212,0.0129189971138663,-0.679410061686538,388.714913625805,31.8716225717333,38.7149136258049,-100,-100,-100,1,0.372859656754124,-0.0860290826086448,335,0,0,0,0,0,0,2237.58369748231,0,0,-1,335,-30.4618363780426,0,0.0119273136559812,-0.138933757154599,0,0,0,13.9281005859375,-50.3775024414062,-87.4619750976562,-44.9762573242188,17.73291015625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
0.12,0.147023491703516,329.883920827861,0.00044568250351382,-0.192985752442452,43.4764926167407,141.22822030719,-143.331455552129,-2.10323524493842,0.0140440435510897,1.74401342508804,20.2543516742646,-0.268783522348383,1.66288128125452,-0.00952811304682054,-0.657233651458581,368.411731973439,22.9825862248731,18.4117319734391,-99.9969767905863,-100,-99.8720332657949,1,0.366322789623898,-0.0645603214935369,335,0,0,0,0,0,0,2604.6092620712,0,0,-1,335,-20.3031816523658,0.00302320941371192,1.36308996898684,-0.418880923023322,0,0,0,10.495361328125,-50.61181640625,-81.6011962890625,-46.2445678710938,16.236328125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
0.14,-0.163064824939902,330.890293669298,-0.000492806310912444,-0.128897732078832,44.5465633038943,137.260085361917,-140.121973148556,-2.86188778663973,0.0208433214085633,1.68284295711756,21.7409801928675,-0.28438834995814,1.61478100036864,-0.00592879120147118,-0.619450626346891,359.17898198269,16.5964432545006,9.17898198269046,-99.957468718787,-100,-99.353441380043,1,0.349120665668187,-0.0644274231365458,335,0,0,0,0,0,0,2888.41343221829,0,0,-1,335,-9.23274999074863,0.0395080717993324,1.07007068715361,0.0640880203636205,0,0,0,10.3447265625,-49.3948364257812,-80.0366821289062,-46.3115844726562,15.5894775390625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
0.16,-0.0616480280936868,331.739201309711,-0.000185832810383275,-0.166750426097734,44.4733030979559,133.324530812869,-137.555628987061,-4.23109817419174,0.011580358572983,1.64409033732214,22.273122826878,-0.294300334113345,1.60704871017394,-0.00748662086559811,-0.597920202510414,355.622106836029,13.9754550890499,5.62210683602859,-99.9216303784559,-100,-99.1778906971234,1,0.333976113838524,-0.0719541471314185,335,0,0,0,0,0,0,3021.43244444776,0,0,-1,335,-3.55687514666187,0.0358383403310114,-0.0732602059383964,-0.0378526940189025,0,0,0,10.5584106445312,-49.2469482421875,-79.5440673828125,-45.7734375,16.4696655273438,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
0.18,-0.0346116630349847,332.250628296191,-0.000104173356157297,-0.0599010450435975,44.7844439665295,137.340641376297,-133.361046466934,3.97959490936321,0.012375627300775,1.66154108423279,22.4473334334792,-0.296019508681623,1.5971145285801,-0.00266851495840739,-0.586311213020549,355.396762278317,13.468966210793,5.39676227831683,-99.9386712501342,-100,-99.3068701753778,1,0.332915861648183,-0.0715471116818109,335,0,0,0,0,0,0,3081.07827745823,0,0,-1,335,-0.225344557711765,-0.0170408716782902,0.311140868573595,0.106849381054137,0,0,0,10.447509765625,-47.9119262695312,-80.11083984375,-45.3049926757812,16.6416625976562,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
