t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-25.22705078125,-50.4536743164062,-188.636596679688,-23.8795776367188,-20.4972534179688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.02,0.243887327948421,325.131020464233,0.000750120144181231,14.2426450626023,50.1237932819187,204.858442857335,-26.2604090461276,178.598033811208,0.956474292929118,0.753822343105326,33.6171372957959,0.11568785321699,0.972359747621737,0.423672156771763,-1.18945638900515,355.931810193831,30.7183449369737,5.9318101938315,-9.03464435268651,-10.2904336799334,-6.25,1,0.144242875073285,-0.286294610692778,335,0,0,0,0,0,0,2036.59890991218,0,0,-1,335,355.931810193831,-9.03464435268651,50.1237932819187,14.2426450626023,335,0,0,15.2529296875,-39.0164794921875,-113.140197753906,-14.479248046875,-11.3494262695312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.04,-0.133271340110404,332.701437547189,-0.000400573382228026,4.41530322001826,11.5680203272051,31.2336022335475,-15.5370194360387,15.6965827975088,0.3524686796205,0.643207585723837,9.82862564478911,0.188969335008131,0.865608536930585,0.449228954239308,-0.223176459342935,340.44063680431,21.8485307061724,-9.55936319568957,-1.7370220211141,-9.76913317080811,10.9136898337903,0.675,0.309299536558819,-0.0665487688701014,335,0,0,0,0,0,0,1590.53673338236,0,0,-1,335,-15.4911733895211,7.29762233157241,-38.5557729547136,-9.82734184258408,0,0,0,26.2323608398438,-43.7207641601562,-81.403564453125,-53.7669677734375,-3.00836181640625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.06,0.864232990621785,327.542742573167,0.00263853500105786,0.590474978207826,16.8669607840409,31.5434490864973,-21.4179383721063,10.125510714391,0.165711522315921,0.171163261229565,22.8161344655828,0.975364504516626,0.275241822984662,0.025879711530388,-0.107358913034252,335.87257664152,38.8207842066167,-14.1274233584802,25.1610174313453,11.1478253492937,30.5760230680977,0,0.417671498924809,0.0427621616984035,335,0,0,0,0,0,0,3714.25460289565,0,0,-1,335,-4.56806016279063,26.8980394524594,5.29894045683581,-3.82482824181043,0,0,0,5.8907470703125,-28.1002807617188,-57.0223388671875,-45.2440795898438,-12.0982055664062,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.08,-2.73523961419722,336.689354402536,-0.00812392663572918,1.29253426673066,12.6803699748919,21.8290115150106,-19.0238493560488,2.80516215896176,0.188257949039485,0.0665039613361664,17.3370391541736,0.995144094038291,0.227920989717208,0.0745533453109556,-0.113163316710823,356.910681352055,15.3767815625738,6.91068135205512,21.9280856697566,15.3311925105594,27.5126904094685,0,0.434406011466595,0.0417458242991284,335,0,0,0,0,0,0,2904.92122922384,0,0,-1,335,21.0381047105353,-3.23293176158877,-4.186590809149,0.702059288522833,0,0,0,9.0015869140625,-24.19580078125,-56.3604125976562,-48.2841186523438,-5.79144287109375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.1,0.326252314869139,331.603155844482,0.000983863721194944,-0.881658944865301,9.88755808462693,12.4825805372727,-16.2692613170308,-3.78668077975808,0.0726480536126249,0.0436191902905214,13.8626315471685,0.998122182704068,0.305271872190845,-0.0635996810465169,-0.0288131605104014,348.790013756497,17.1139990043034,-1.20998624350256,17.5473560034864,15.2117075835103,20.4362327690142,0,0.435970416606718,0.0433393085295774,335,0,0,0,0,0,0,2296.51479119899,0,0,-1,335,-8.12066759555768,-4.38072966627019,-2.79281189026501,-2.17419321159596,0,0,0,6.2174072265625,-32.7909545898438,-63.6688842773438,-50.5473022460938,-9.95745849609375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.12,0.0618565000374856,329.447288098668,0.000187758413172792,0.00169474952982888,12.8421466076439,18.7531757979036,-18.8800106657336,-0.126834867829931,0.0224628597168701,0.0459695981367283,18.1332640818671,0.999122846268301,0.242351767276131,9.34608089408235e-05,-0.0187767481219518,348.534078709201,16.0011884331927,-1.46592129079937,22.1132881825862,19.3563915199474,23.8861178063038,0,0.436303755723797,0.0379434971057911,335,0,0,0,0,0,0,2986.59407534202,0,0,-1,335,-0.255935047296816,4.56593217909981,2.95458852301702,0.883353694395129,0,0,0,4.5352783203125,-29.3240966796875,-62.1975708007812,-46.0823364257812,-12.6336059570312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.14,-0.276446159517189,330.604517532034,-0.000836183853689789,0.207328474712307,11.2038092142693,16.9834893930655,-15.8790824235374,1.10440696952812,0.0280258290184151,0.0407834244336114,15.8157946307043,0.999365828788101,0.261067088474612,0.0131089508654725,0.0206166564995214,351.73056726154,10.1794890630645,1.73056726154022,19.8486225356903,17.8959555524399,21.8451052202797,0,0.443545043553003,0.0425442232453565,335,0,0,0,0,0,0,2613.93327471955,0,0,-1,335,3.19648855233959,-2.26466564689591,-1.63833739337469,0.205633725182478,0,0,0,4.70068359375,-31.1162109375,-66.3565063476562,-48.5869750976562,-10.4075317382812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.16,-0.158466587254374,331.563586452632,-0.000477937245611901,-0.216085529623738,11.4062628012426,16.3964074693887,-17.1483459541202,-0.751938484731525,0.0176842217038242,0.046328501148677,16.1020953978161,0.999196364201639,0.269147751561388,-0.0134197149057411,0.0172629455261655,349.122109372642,10.4173248255901,-0.877890627357829,20.0134867246282,17.8971240603501,21.9394355975154,0,0.428654535002944,0.0339445432827079,335,0,0,0,0,0,0,2669.10427881117,0,0,-1,335,-2.60845788889804,0.164864188937898,0.202453586973325,-0.423414004336045,0,0,0,5.007568359375,-30.791015625,-65.4129028320312,-50.2864990234375,-11.4307861328125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.18,-0.0191591961301405,331.901389396694,-5.77255677204808e-05,0.113062433242516,11.8295249896693,17.5334637650008,-17.2503964372464,0.283067327754427,0.00819630001660138,0.0448140805131413,16.7069917369074,0.99930831590105,0.253044576917604,0.00676737230872928,0.0208706694782865,350.182652859361,11.168822326386,0.182652859361326,20.6557895766113,18.7746955606746,22.3542267098094,0,0.439043485898571,0.0424360239991186,335,0,0,0,0,0,0,2772.06790975945,0,0,-1,335,1.06054348671915,0.642302851983096,0.423262188426735,0.329147962866254,0,0,0,5.42352294921875,-28.706298828125,-62.4466552734375,-48.8253173828125,-10.4707641601562,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
