t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-25.22705078125,-50.4536743164062,-188.636596679688,-23.8795776367188,-20.4972534179688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.02,-0.0772623851394081,325.492025135976,-0.000237371054197507,16.0974557478996,49.5289728135022,204.470362006788,-23.1895892225362,181.280772784252,0.920919800706818,0.821519508352011,33.3492063349706,0.192391680054521,0.977048788474306,0.482693818443874,-1.27976097757169,354.290921637313,33.8548031222121,4.29092163731281,-8.36226282059083,-10.2903576670889,-4.58343081403592,1,0.112335713302749,-0.313474300954413,335,0,0,0,0,0,0,1532.34062385442,0,0,-1,335,354.290921637313,-8.36226282059083,49.5289728135022,16.0974557478996,335,0,0,16.1190185546875,-38.4727172851562,-110.122802734375,-16.201171875,-14.990234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.04,0.181570283364645,332.323385178606,0.000546366254866659,2.19238384410559,11.9304135632269,30.3936412818324,-16.2737696117139,14.1198716701186,0.180557388635038,0.159904098187604,14.6825514726164,0.857061266952347,0.683851785951953,0.149318995965686,-0.05938565866653,335.490118815066,9.74497412531286,-14.509881184934,8.54238603420095,-4.49049933384532,19.2978459361326,0.135,0.34872703559177,-0.0201146105523183,335,0,0,0,0,0,0,2422.85809253543,0,0,-1,335,-18.8008028222468,16.9046488547918,-37.5985592502754,-13.905071903794,0,0,0,13.9786376953125,-46.2498168945312,-81.5396728515625,-60.5751342773438,-4.29315185546875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.06,0.841769585487119,327.507476335204,0.00257023013613762,0.424635540700564,16.0280294989802,27.1373322982198,-22.3232814583506,4.81405083986924,0.062751614110358,0.0698375089471737,22.4453043129319,0.994968258622751,0.2400686359199,0.0189186804856956,-0.127480050339542,343.330032444785,31.9280146747685,-6.66996755521518,26.8637566735317,19.4173140004299,29.681964091583,0,0.426612937745662,0.0380264157066292,335,0,0,0,0,0,0,3645.14229867809,0,0,-1,335,7.83991362971881,18.3213706393307,4.09761593575338,-1.76774830340503,0,0,0,4.96728515625,-28.8975830078125,-58.2890014648438,-43.2081909179688,-11.664306640625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.08,-2.7116500159476,336.65540793751,-0.00805467535056183,0.672870154581409,10.9662768960298,17.952011294779,-15.2970915932402,2.65491970153888,0.130796770809942,0.0619609387816032,15.2386815393537,0.998014466863237,0.267895950859918,0.0441554049701563,-0.11636537636859,356.478298714773,10.7205772174945,6.47829871477319,19.8566842742275,15.3430327503844,24.3447507536725,0,0.437071750423337,0.0456434311749147,335,0,0,0,0,0,0,2551.1024003812,0,0,-1,335,13.1482662699884,-7.00707239930419,-5.06175260295042,0.248234613880845,0,0,0,7.2391357421875,-26.0645751953125,-60.9393310546875,-50.9869384765625,-7.88262939453125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.1,0.333597973131657,331.572778658918,0.00100610784299281,-0.78497587427828,10.6205302367862,13.9751584547198,-17.1192076556937,-3.14404920097392,0.0643241546502804,0.0558222669897789,14.9069657859968,0.998343405307435,0.293589913413662,-0.0526583266874915,-0.0392942001021153,347.671880473901,14.5685295174534,-2.32811952609933,18.6331787563375,15.3245344610225,21.7426118415013,0,0.434736202450344,0.0436882240262259,335,0,0,0,0,0,0,2468.28329592737,0,0,-1,335,-8.80641824087252,-1.22350551788995,-0.345746659243636,-1.45784602885969,0,0,0,5.47332763671875,-31.890380859375,-64.0180053710938,-50.7392578125,-11.2810668945312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.12,0.0463238154861817,329.46113337872,0.000140604796113938,0.253938412725153,12.6747984308068,19.5839741011208,-17.7995150649119,1.7844590362089,0.0239263347257022,0.0482034948473017,17.8897409603835,0.999129893482798,0.233204097986113,0.014194638887589,-0.0151302595056193,349.752254298321,14.6932409337376,-0.247745701678866,21.7871456182998,19.2225687306583,23.8891538490808,0,0.442619021994742,0.0422784018191499,335,0,0,0,0,0,0,2946.69833951943,0,0,-1,335,2.08037382442046,3.15396686196231,2.05426819402058,1.03891428700343,0,0,0,4.16729736328125,-29.5174560546875,-62.9512939453125,-45.8290405273438,-12.30712890625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.14,-0.270541635219402,330.597809995781,-0.000818340675707606,0.0657304279659984,11.06440642705,16.52722558821,-16.0299371776996,0.497288410510425,0.0130070961354667,0.0439769027752219,15.6260516443968,0.999336031798315,0.264640510821142,0.0042064642727306,0.0178143874914918,351.078468664914,10.9346200196967,1.0784686649136,19.5737081906383,18.0398070191879,21.1295614998338,0,0.441852533072101,0.0419878494554477,335,0,0,0,0,0,0,2582.68145187567,0,0,-1,335,1.32621436659247,-2.21343742766155,-1.61039200375676,-0.188207984759155,0,0,0,4.71630859375,-31.6268920898438,-66.5889892578125,-48.978271484375,-10.5615844726562,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.16,-0.162399607932594,331.569882750851,-0.000489789985101345,-0.130671567006137,11.6003054305835,17.1548216589915,-17.1743056952582,-0.0194840362666895,0.0114179389688371,0.0496316946251846,16.3761853014276,0.999069441299889,0.266181161329347,-0.00797936543834452,0.0162872178694169,349.156653431507,10.47288959631,-0.84334656849262,20.3182401870364,18.2180720539684,22.1372228597614,0,0.428884391445061,0.034042432593187,335,0,0,0,0,0,0,2714.58860574673,0,0,-1,335,-1.92181523340622,0.744531996398159,0.535899003533508,-0.196401994972135,0,0,0,4.936767578125,-30.2711181640625,-65.1229248046875,-49.964599609375,-11.5306396484375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.18,-0.0199247456735733,331.899301039867,-6.00325026631497e-05,0.160517571985694,11.730923096258,17.7197854349294,-16.9391829182462,0.780602516683157,0.00923044506031105,0.0480319870851244,16.5637067857264,0.999181617856256,0.251611150457725,0.00969092088275904,0.0218751035279352,350.409021580133,10.6519641576364,0.409021580133185,20.4663392964056,18.5830395167194,22.2214465551621,0,0.4395319312414,0.0425469338939262,335,0,0,0,0,0,0,2748.21335914359,0,0,-1,335,1.25236814862581,0.148099109369191,0.130617665674452,0.29118913899183,0,0,0,5.3026123046875,-28.8477783203125,-62.98388671875,-48.9396362304688,-10.4375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.2,-0.141939367202684,332.219333682856,-0.000427245957148848,-0.020067578194593,11.3349875780704,16.6292559025813,-16.7077041776715,-0.0784482750901958,0.00517611650417762,0.0458718336788322,16.0081597589968,0.99927496446745,0.259222107784103,-0.00125358432803713,0.026578729831479,350.091585284029,10.1102196453834,0.0915852840291222,19.8406459237269,18.4288702443565,21.2500199428888,0,0.432403460887702,0.037365032030279,335,0,0,0,0,0,0,2658.15183255441,0,0,-1,335,-0.317436296104063,-0.625693372678693,-0.395935518187589,-0.180585150180287,0,0,0,5.35211181640625,-29.6992797851562,-64.0818481445312,-50.06640625,-10.5022583007812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.22,0.147261642470737,331.688929435641,0.00044397515081766,0.301811398691289,30.7064183121621,45.4773419083682,-44.0301679123302,1.44717399603798,0.0459525404031262,0.0418455923727779,43.2471704288664,0.997523438902506,0.209528162794457,0.00697875481096995,-0.00980910307996119,380.767295064072,77.527416058851,-18.9827049359285,49.7698905813413,18.6823212528597,56.5846997115484,0,0.496155796703771,0.0481369749356673,335.496901401548,0.993802803095269,0.884723251745569,0,0.995000000000001,0.995156054802067,1.99031210960409,7173.07965676911,333.58566143379,0.0465052219403406,0.00410369824624435,-1.37677804590191,30.6757097800424,29.9292446576144,19.3714307340917,0.321878976885882,0.496901401547802,0.993802803095269,0.0465052219403406,0.334716796875,-30.5108032226562,-41.6885986328125,-21.8355102539062,26.5235595703125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.24,-0.201176951418734,332.114518973864,-0.000605745729034405,2.85878647924121,17.8467318682359,31.7401476136724,-24.6823574050036,7.05779020866882,0.195198674704789,0.101054746441953,24.1867431530595,0.997890337111739,0.19760963349708,0.118196421120038,0.0372788685002403,417.305143595638,19.1921104055667,17.3051435956384,30.6273770662353,20.2995728985476,44.0677668274332,0,0.528393338323035,0.0366333211326286,336.497492311119,2.99498462223869,0.806769301486806,0,2.995,0.994819210491983,1.98963842098404,4015.96022319037,1007.97145310429,0.250991393610849,0.000509623097656231,-0.171486894385168,36.5378485315669,-19.142513515106,-12.8596864439262,2.55697508054992,1.0005909095716,2.00118181914342,0.204486171670509,-4.83502197265625,-3.4862060546875,-30.1556396484375,-19.6731567382812,20.6201782226562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
0.26,-0.0120105044809473,331.735303340899,-3.62050838725629e-05,-2.6127200135988,18.694857573078,21.2942443410355,-31.9934150517175,-10.699170710682,0.128110367313768,0.0687208062232908,25.7905209012763,0.998032280324403,0.237092015145992,-0.101305437901004,0.0058507047134313,390.620220206851,31.6683482661815,-9.37977979314934,29.9640497663165,20.3146813991521,39.0994557091287,0,0.49116192777266,0.0338301816269033,337.497468072063,4.994936144127,0.864602590558454,0,4.995,0.995112275000395,1.99022455000071,4277.85216736604,1685.94501794927,0.394110163696315,0.000692705176809527,-0.23378624329365,-26.6849233887878,-0.663327299918873,0.848125704842083,-5.47150649284001,0.999975760943812,1.99995152188831,0.143118770085465,5.00091552734375,-7.938232421875,-25.3399047851562,-23.2091674804688,32.340087890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100000001490116,0
0.28,0.0239234838321197,331.645423592087,7.21357272866963e-05,0.0977111519430666,29.5080059558803,43.5263957747426,-42.409457903113,1.11693787162962,0.00970814090153221,0.0373540747570373,41.6907597244998,0.998727682760294,0.138147348284843,0.00234371243385249,-0.0102380736562946,394.914089412743,35.8560193750585,-5.08591058725682,46.024333924652,39.1591022348699,49.7703267002928,0,0.512020724291327,0.0462837565899181,338.497529345681,6.99505869136237,0.857957708771148,0,6.995,0.995020831120257,1.99004166224054,6912.46411144709,2367.97678794932,0.342566232499918,0.000951433734074136,-0.322057968320223,4.29386920589252,16.0602841583355,10.8131483828023,2.71043116554187,1.00006127361792,2.00012254723537,-0.0515439311963972,-0.30401611328125,-10.7379760742188,-33.1934814453125,-19.9003295898438,20.7326049804688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
0.3,-0.147223887369424,331.896407229583,-0.0004435838537643,0.0539330888046821,26.9676554307293,39.5148487856521,-38.8318416643428,0.683007121309245,0.0122515991820791,0.0298809963078192,38.1124684956174,0.99954596840543,0.147041931030383,0.00141510353261122,0.00824385135938188,401.910196160222,22.47946866299,1.91019616022209,43.1237960539799,39.7405572882521,46.2491384343526,0,0.518466489483584,0.0459228607513914,339.497493213972,8.99498642794423,0.845209175344358,0,8.995,0.99496910108968,1.98993820217935,6324.0775159406,3053.94203541247,0.482907116131111,0.000591144998445481,-0.200692245098253,6.9961067474789,-2.90053787067217,-2.54035052515102,-0.0437780631383844,0.99996386829099,1.99992773658185,0.140340883631193,3.153076171875,2.01708984375,-23.65185546875,-14.6106567382812,16.8213500976562,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.100000001490116,0
0.32,-0.0612890530193468,331.737943866511,-0.000184751410420537,3.57500593434201,18.8684831398055,33.6396023071792,-19.8670681207035,13.7725341864757,0.163793963217966,0.0722391322077499,25.6824793666879,0.99931213486031,0.179304641236693,0.139200187150897,0.0431716370788942,412.710663542833,25.1612903685597,12.7106635428331,31.6828823578602,17.962263439922,42.1272147684775,0,0.526366053305826,0.0381725722592686,340.497519529719,10.9950390594369,0.825558493203591,0,10.995,0.994953885250709,1.98990777050147,4256.18747718975,3743.95018740703,0.879648795423614,0.000643981178070518,-0.219273993756815,10.800467382611,-11.4409136961197,-8.09917229092374,3.52107284553733,1.00002631574642,2.00005263149266,0.396741679292503,-4.45867919921875,-2.5003662109375,-1.65472412109375,-13.8277587890625,-14.1481323242188,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.34,-0.0612328760144531,331.801547258512,-0.000184546686175474,-2.25631021652427,12.8679716582499,13.4682390173914,-22.8045686316721,-9.33632961428071,0.172418767221285,0.0456957548897648,17.5666402518799,0.996959314129807,0.28632427805562,-0.128442899961068,0.030148353097784,396.76332745931,34.6716161523333,-3.23667254068999,21.5018296188264,17.358842537411,29.9371814242287,0,0.501931681924138,0.0368411855331194,341.497455390915,12.9949107818291,0.861495984919163,0,12.995,0.995033005158689,1.99006601031736,2912.77808684993,4437.89565304561,1.52359552314713,0.000915257708407946,-0.312558178448228,-15.9473360835231,-10.1810527390338,-6.0005114815557,-5.83131615086628,0.999935861195979,1.99987172239221,0.643946727723513,-18.4325561523438,-20.0014038085938,-13.2106323242188,-9.66650390625,-10.3067016601562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.36,-0.0366184855818231,331.801692657558,-0.000110362564122347,-1.14594981149475,26.5151299746254,36.8415892510822,-40.5724914979132,-3.73090224683096,0.0450157498157582,0.043916071475111,37.3435465927075,0.99840288619085,0.169498358830643,-0.0306866892958297,-0.0163981138149674,389.312030362345,35.8469873822646,-10.6879696376551,41.6512427686409,30.0680038960964,48.2210792079278,0,0.503748346511869,0.0464281415212398,342.497525256246,14.9950505124925,0.880524009906836,0,14.995,0.995094593181079,1.9901891863621,6193.94077612291,5135.93441181117,0.829186877538405,0.000879027733564852,-0.301064823377601,-7.45129709696511,20.1494131498145,13.6471583163755,1.11036040502952,1.0000698653318,2.00013973066338,-0.694408645608721,-17.0247802734375,-21.1097412109375,-18.5313720703125,-16.1868896484375,-5.10064697265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.38,-0.0350207673880494,331.74063919716,-0.000105566708597423,1.14302172092987,24.8126621030066,38.7195491050687,-33.4189313169163,5.30061778815243,0.0484687426426871,0.0402540307572474,34.9632239452882,0.999353132594046,0.142946799513613,0.0326921145120518,0.00938198970399817,404.983426856332,21.3528039866305,4.98342685633162,39.8625762996456,34.0552880062458,45.2592712798329,0,0.521927343637229,0.0441659779524929,343.497506165216,16.9950123304331,0.848635663584734,0,16.995,0.994926358044779,1.98985271608956,5799.06107475149,5837.9110289005,1.00669935247245,0.00054111899647058,-0.185873025826254,15.6713964939867,-1.78866646899532,-1.7024678716188,2.28897153242463,0.999980908970031,1.99996181794064,0.177512474934041,-11.9397583007812,-6.77947998046875,-15.3433227539062,-5.64666748046875,-4.376220703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.4,-0.0885322300896733,331.808230853843,-0.000266817462188485,-1.63923257221096,25.9132530151931,34.1035272021305,-40.4877794019811,-6.3842521998506,0.0583849102347268,0.0386930453909472,36.449695598458,0.999281118898417,0.162495101758828,-0.0449724626035097,0.00400951901612778,394.717069590478,28.9672663195757,-5.28293040952246,40.8172484318331,34.0376727262046,47.3304690547334,0,0.503582298869806,0.0407722242317861,344.497482388935,18.9949647778712,0.873340437560422,0,18.995,0.995053215089968,1.99010643017989,6046.51664573974,6543.88425450342,1.08225688241744,0.00065282299951841,-0.224895879779694,-10.2663572658541,0.954672132187547,1.10059091218651,-2.78225429314084,0.999976223719045,1.99995244743814,0.0755575299449904,-5.23284912109375,-13.7843627929688,-14.03955078125,-4.4437255859375,-6.9847412109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.42,-0.270014985176612,332.128573790609,-0.000812983303709495,0.263483330325464,32.7660161418623,48.269047021207,-47.189469396142,1.07957762506495,0.0122367407944181,0.03472171466209,46.2997707193536,0.999022362137179,0.126932876671489,0.00569081285353593,-0.0088580865014678,396.908429148902,35.5821980777999,-3.09157085109786,50.8096891047785,44.8330464846095,54.5493123408901,0,0.513674974400122,0.047108279217478,345.000626919136,20.0012538382727,0.869784139188377,0,20,0.00660191747209637,0.0132038349442283,7687.92530279793,6900.44511753318,0.897569220010741,0.000649359587409748,-0.224029464752277,2.19135955842461,9.99244067294537,6.85276312666922,1.90271590253643,0.503144530200927,1.00628906040144,-0.184687662406696,-1.77197265625,-6.73370361328125,-10.42529296875,-14.3501586914062,-10.67236328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.44,-0.0931411899672436,331.948863213477,-0.000280588971040833,0.687135563741401,28.2687624756119,42.571121701343,-39.5995169546591,2.97160474668384,0.0253016195115172,0.0325135574192555,39.9209992084843,0.999611078832065,0.136636037556227,0.0172123838923192,0.0126228822723284,404.520193671538,21.877810682015,4.52019367153787,45.0685353528823,40.1908982350625,49.7683463139533,0,0.52122058339693,0.0453346316962958,345.000000000616,20.0000000012331,0.85312625453007,0,20,8.2829956227215e-09,1.65660054562977e-08,6625.04115667578,6900.00000043774,1.04150296386988,0.000309558574379754,-0.106797708161196,7.61176452263572,-5.74115375189622,-4.49725366625036,0.423652233415937,-0.000626918519969877,-0.00125383703962001,0.143933743859135,-2.4273681640625,-8.29791259765625,-8.5146484375,-13.9761352539062,-9.53857421875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.100000001490116,0
0.46,-0.0666747184889862,331.80307972993,-0.000200946653488738,-0.718087271770252,28.7614133722358,40.3477797715387,-43.0338713260413,-2.68609155450255,0.0240211811101182,0.0330096569436828,40.6160024888554,0.999422700166091,0.145089343233641,-0.0176799100789716,0.00761140186916842,397.425661813598,24.8989749104753,-2.57433818640175,45.2760310837452,40.1831477311779,49.9962426161148,0,0.502756064016643,0.0359106800308265,345,20,0.868400059667637,0,20,0,1.77635683940025e-14,6737.27460509709,6900,1.02415300020275,0.000360778064866452,-0.124468432378933,-7.09453185793961,0.207495730862902,0.4926508966239,-1.40522283551165,-6.16353190707741e-10,-1.23306875821072e-09,-0.0173499636671246,-5.2850341796875,-8.58697509765625,-6.09356689453125,-16.0211181640625,-8.03131103515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
