t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2130126953125,-1.7569580078125,-12.91748046875,-18.1414184570312,-0.0023193359375,0,0,0,0,0,0,0,0,0,0,-3.25537109375,-0.21063232421875,0.828155517578125,-0.00018310546875,-1.83062744140625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,0,0,0,0
0.02,0.043221522217607,325.347180241054,0.000132847385324144,17.2565250734841,49.4583021358333,204.663166047523,-4.42913234170894,200.234033705814,0.90179961168275,0.856827134476589,32.7060843097516,0.225990582813301,0.979007128312572,0.527624307148836,-1.33864351509419,353.407797577016,41.0252405901846,3.40779757701551,-8.03489808206863,-10.2904094023255,-1.40664905706338,1,0.0736515688227005,-0.350334503086252,345,0,0,0,0,0,0,1206.75501702487,0,0,-1,345,353.407797577016,-8.03489808206863,49.4583021358333,17.2565250734841,345,0,0,9.42875779898251,1.45311656620198,0.829941755518446,0.0710263647770807,0,7.12847900390625,-3.50946044921875,-12.3035278320312,-12.1162109375,-2.7471923828125,0,0,0,0,0,0,0,0,0,0,-4.22119140625,1.42010498046875,-2.65884399414062,-0.16412353515625,1.0997314453125,1,0,0,0,1,0,0.1,-4.22119140625,0,-0,-0,1.0997314453125,0,0,0,0,0,0
0.04,0.232135011724772,331.291219640953,0.000700697748574066,-11.4625968130714,30.0314896899521,24.0763880022466,-120.266833832415,-96.1904458301682,0.492366275165207,0.503554744796166,24.3074380884204,0.328473886336631,0.907253258419324,-0.471567458955369,-0.697133824125716,330.132663642457,23.5728517314476,-19.8673363575429,15.9628493556288,-1.20502583728761,28.6272043146113,0.035,0.325945880743437,-0.0389043093885063,345,0,0,0,0,0,0,3026.95704854959,0,0,-1,345,-23.2751339345584,23.9977474376975,-19.4268124458812,-28.7191218865555,0,0,0,4.15449852659678,0.737951808942883,1.89865510992129,-0.00939843533561885,0,4.4635009765625,-4.53009033203125,-6.688720703125,-17.9906616210938,-6.1815185546875,0,0,0,0,0,0,0,0,0,0,-2.45733642578125,-1.45849609375,1.33486938476562,-0.43194580078125,-0.90008544921875,1,0,0,0,0,0,0.1,-2.45733642578125,-0,0,-0,-0,0,0,0,375.469319310581,0,0
0.06,0.65197992510983,327.909076897687,0.00198829483855141,1.63866307249982,15.9703379634979,27.1420383845608,-20.0256485999598,7.11638978460101,0.0985286214685751,0.0609941007953866,22.275861923195,0.997639864578824,0.209414231597395,0.0735622746338515,-0.124074208155453,352.169414316403,27.0187885178435,2.16941431640339,27.339460356076,19.4233880733526,32.9820808121307,0,0.450504326791186,0.0477423248997568,345,0,0,0,0,0,0,3626.32270902163,0,0,-1,345,22.0367506739462,11.3766110004472,-14.0611517264541,13.1012598855712,0,0,0,8.84537310123548,1.17740011484957,-2.1142132270563,-0.0261740333692302,0,9.25439453125,-5.8927001953125,-7.3985595703125,-13.184326171875,-3.63079833984375,0,0,0,0,0,0,0,0,0,0,-3.6361083984375,-0.99853515625,-0.756317138671875,0.08758544921875,0.17926025390625,1,0,0,0,0,0,0.1,-3.6361083984375,-0,-0,0,0,0,0,0,342.930937579639,0,0
0.08,-2.65254299027688,336.782196158702,-0.0078761378140872,-0.205219466151654,9.09904385598127,13.7767216871281,-13.5765024436745,0.200219243453546,0.0404532680723421,0.0652222414843104,12.7987636357178,0.996334064362853,0.331540164560528,-0.0160343195634103,-0.118685881875635,354.031744998696,17.9016426734274,4.03174499869596,16.9795557662531,14.916968480154,19.3211544202125,0,0.432236769026597,0.0459847894627803,345,0,0,0,0,0,0,2138.18320748365,0,0,-1,345,1.86233068229257,-10.3599045898229,-6.87129410751666,-1.84388253865148,0,0,0,4.5792127530183,1.1378745693977,0.668765082645811,0.00470668933213808,0,7.21282958984375,-4.4002685546875,-7.617919921875,-13.4618530273438,-1.80084228515625,0,0,0,0,0,0,0,0,0,0,-3.95428466796875,-0.722412109375,-0.464447021484375,0.0960693359375,-0.09490966796875,1,0,0,0,0,0,0.1,-3.95428466796875,-0,-0,0,-0,0,0,0,327.148103638968,0,0
0.1,0.335381373940288,331.668937192742,0.00101119319999928,-0.61290512251071,12.0272257178187,17.0813015445895,-19.335236432891,-2.25393488830153,0.0453765637093211,0.088732270457202,16.891631373968,0.997577192292086,0.254335526150229,-0.0362845428568414,-0.0432746269469821,346.779882306857,13.3433475237873,-3.22011769314338,20.4629379402339,16.2441470578533,23.5072022391412,0,0.434004550956219,0.0440839645519588,345,0,0,0,0,0,0,2797.21726906101,0,0,-1,345,-7.25186269183934,3.48338217398083,2.92818186183748,-0.407685656359056,0,0,0,1.14047853267074,0.20680698581863,2.81652853801933,-0.0163935799813482,0,7.4217529296875,-4.5765380859375,-8.42193603515625,-15.3504028320312,-1.42010498046875,0,0,0,0,0,0,0,0,0,0,-3.8646240234375,-0.38494873046875,-0.033905029296875,-0.04278564453125,-0.22015380859375,1,0,0,0,1,0,0.1,-3.8646240234375,-0,-0,-0,-0.22015380859375,0,0,0,333.793056353869,0,0
0.12,0.0474883599128923,329.476122512328,0.000144132933065932,0.319362669792589,12.073217834767,18.9136579068221,-17.4039889979253,1.50966890889677,0.0293783748778424,0.0800803243541468,16.9987991343452,0.997711039415534,0.253883475597023,0.0187873665232819,-0.00209701356700531,351.087518940389,12.0223318988789,1.08751894038926,21.0968709697172,18.451106682185,23.425898076005,0,0.444858684633527,0.0424449453442266,345,0,0,0,0,0,0,2800.2467432535,0,0,-1,345,4.30763663353264,0.633933029483259,0.0459921169482147,0.9322677923033,0,0,0,1.07848493660056,0.201980949619027,-1.94693923843133,0.000322274922141708,0,8.5604248046875,-4.8809814453125,-7.48358154296875,-14.6044311523438,-2.33270263671875,0,0,0,0,0,0,0,0,0,0,-3.96612548828125,-0.5108642578125,-0.782073974609375,0.03350830078125,-0.0040283203125,1,0,0,0,1,0,0.1,-3.96612548828125,-0,-0,0,-0.0040283203125,0,0,0,333.538511846842,0,0
0.14,-0.262637048255455,330.573238677287,-0.000794489745468619,-0.114760417371217,11.1686135057792,16.6536795219927,-17.1497111121667,-0.496031590173946,0.00600378447629617,0.0826944294949813,15.7317173084785,0.997496424778379,0.271951680383594,-0.00729484360295286,0.016434845920279,350.195790005463,11.3790162228119,0.195790005463039,19.6305698234875,18.1429770378533,21.1592770076072,0,0.440851080881218,0.0423215418023841,345,0,0,0,0,0,0,2599.80478271783,0,0,-1,345,-0.891728934926221,-1.46630114622962,-0.904604328987782,-0.434123087163807,0,0,0,0.874281307210988,0.182809850502097,0.828674396877054,0.00314016525072719,0,7.5894775390625,-4.36181640625,-8.678466796875,-14.9371948242188,-1.4461669921875,0,0,0,0,0,0,0,0,0,0,-3.84478759765625,-0.441650390625,-0.176544189453125,0.0545654296875,-0.106201171875,1,0,0,0,1,0,0.1,-3.84478759765625,-0,-0,0,-0.106201171875,0,0,0,331.23128651634,0,0
0.16,-0.164418793387724,331.559393579093,-0.000495895446100525,-0.0336339574871649,11.7711499616315,17.8745202815733,-17.8761714257321,-0.00165114415871415,0.00383256009009116,0.0847545713975536,16.579394288482,0.997584936965265,0.26364898016264,-0.00202866020928949,0.0225988722223955,349.532295152994,11.2319876603565,-0.467704847006019,20.5172325132835,18.6995549798091,22.15651551391,0,0.439488051359937,0.0438371696658011,345,0,0,0,0,0,0,2747.63814566692,0,0,-1,345,-0.663494852469057,0.886662689795958,0.602536455852293,0.0811264598840525,0,0,0,0.356994804065148,0.0679386736330194,-2.65464118144001,-0.000682278220691723,0,8.493896484375,-5.1495361328125,-7.0914306640625,-14.932373046875,-2.56732177734375,0,0,0,0,0,0,0,0,0,0,-3.95318603515625,-0.53802490234375,-0.769378662109375,-0.02301025390625,-0.08038330078125,1,0,0,0,1,0,0.1,-3.95318603515625,-0,-0,-0,-0.08038330078125,0,0,0,333.818317519361,0,0
0.18,-0.0219829924010149,331.886670373332,-6.6236442627499e-05,0.0974271748590081,11.5909760123284,17.6618480381355,-17.3843718766455,0.277476161490036,0.00668049226345395,0.0843442737134263,16.3257105551137,0.997465760692537,0.262237108500711,0.00596771420944314,0.0274625325730922,350.379803435594,10.4943840504657,0.379803435593658,20.2456598021336,18.5694267921989,21.9204360480535,0,0.439781466161295,0.0428210773037227,345,0,0,0,0,0,0,2708.06840283436,0,0,-1,345,0.847508282599676,-0.271572711149918,-0.180173949303054,0.131061132346173,0,0,0,0.169622915807188,0.0332848007410906,-1.45271609089031,0.000285699270655027,0,8.2403564453125,-4.90667724609375,-7.56097412109375,-14.7653198242188,-2.26800537109375,0,0,0,0,0,0,0,0,0,0,-3.91424560546875,-0.520263671875,-0.648834228515625,0.03009033203125,-0.07452392578125,1,0,0,0,1,0,0.1,-3.91424560546875,-0,-0,0,-0.07452392578125,0,0,0,335.443252726446,0,0
