t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2130126953125,-1.7569580078125,-12.91748046875,-18.1414184570312,-0.0023193359375,0,0,0,0,0,0,0,0,0,0,-3.25537109375,-0.21063232421875,0.828155517578125,-0.00018310546875,-1.83062744140625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,0,0,0,0
0.02,0.043221522217607,325.347180241054,0.000132847385324144,17.2565250734841,49.4583021358333,204.663166047523,-4.42913234170894,200.234033705814,0.90179961168275,0.856827134476589,32.7060843097516,0.225990582813301,0.979007128312572,0.527624307148836,-1.33864351509419,353.407797577016,41.0252405901846,3.40779757701551,-8.03489808206863,-10.2904094023255,-1.40664905706338,1,0.0736515688227005,-0.350334503086252,335,0,0,0,0,0,0,1206.75501702487,0,0,-1,335,353.407797577016,-8.03489808206863,49.4583021358333,17.2565250734841,335,0,0,9.42875779898251,1.45311656620198,0.829941755518446,0.0710263647770807,0,7.83135986328125,-3.87921142578125,-12.6200561523438,-13.6400756835938,-1.6976318359375,0,0,0,0,0,0,0,0,0,0,-4.0135498046875,1.15570068359375,-2.79135131835938,-0.206298828125,1.18756103515625,1,0,0,0,1,0,0.1,-4.0135498046875,0,-0,-0,1.18756103515625,0,0,0,0,0,0
0.04,0.232135011724772,331.291219640953,0.000700697748574066,-11.4625968130714,30.0314896899521,24.0763880022466,-120.266833832415,-96.1904458301682,0.492366275165207,0.503554744796166,24.3074380884204,0.328473886336631,0.907253258419324,-0.471567458955369,-0.697133824125716,330.132663642457,23.5728517314476,-19.8673363575429,15.9628493556288,-1.20502583728761,28.6272043146113,0.035,0.325945880743437,-0.0389043093885063,335,0,0,0,0,0,0,3026.95704854959,0,0,-1,335,-23.2751339345584,23.9977474376975,-19.4268124458812,-28.7191218865555,0,0,0,4.15449852659678,0.737951808942883,1.89865510992129,-0.00939843533561885,0,4.13177490234375,-4.5985107421875,-7.56219482421875,-19.0865478515625,-6.83642578125,0,0,0,0,0,0,0,0,0,0,-2.24005126953125,-1.77252197265625,1.30618286132812,-0.66265869140625,-1.017822265625,1,0,0,0,0,0,0.1,-2.24005126953125,-0,0,-0,-0,0,0,0,375.469319310581,0,0
0.06,0.65197992510983,327.909076897687,0.00198829483855141,1.63866307249982,15.9703379634979,27.1420383845608,-20.0256485999598,7.11638978460101,0.0985286214685751,0.0609941007953866,22.275861923195,0.997639864578824,0.209414231597395,0.0735622746338515,-0.124074208155453,352.169414316403,27.0187885178435,2.16941431640339,27.339460356076,19.4233880733526,32.9820808121307,0,0.450504326791186,0.0477423248997568,335,0,0,0,0,0,0,3626.32270902163,0,0,-1,335,22.0367506739462,11.3766110004472,-14.0611517264541,13.1012598855712,0,0,0,8.84537310123548,1.17740011484957,-2.1142132270563,-0.0261740333692302,0,8.21441650390625,-5.1060791015625,-8.23529052734375,-13.6992797851562,-2.62603759765625,0,0,0,0,0,0,0,0,0,0,-3.75482177734375,-0.91448974609375,-0.866729736328125,0.03594970703125,0.03570556640625,1,0,0,0,0,0,0.1,-3.75482177734375,-0,-0,0,0,0,0,0,342.930937579639,0,0
0.08,-2.65254299027688,336.782196158702,-0.0078761378140872,-0.205219466151654,9.09904385598127,13.7767216871281,-13.5765024436745,0.200219243453546,0.0404532680723421,0.0652222414843104,12.7987636357178,0.996334064362853,0.331540164560528,-0.0160343195634103,-0.118685881875635,354.031744998696,17.9016426734274,4.03174499869596,16.9795557662531,14.916968480154,19.3211544202125,0,0.432236769026597,0.0459847894627803,335,0,0,0,0,0,0,2138.18320748365,0,0,-1,335,1.86233068229257,-10.3599045898229,-6.87129410751666,-1.84388253865148,0,0,0,4.5792127530183,1.1378745693977,0.668765082645811,0.00470668933213808,0,5.9674072265625,-3.9232177734375,-8.56634521484375,-14.8226318359375,-0.870849609375,0,0,0,0,0,0,0,0,0,0,-3.90521240234375,-0.59381103515625,-0.005828857421875,-0.24853515625,-0.28326416015625,1,0,0,0,1,0,0.1,-3.90521240234375,-0,-0,-0,-0.28326416015625,0,0,0,327.148103638968,0,0
0.1,0.335381373940288,331.668937192742,0.00101119319999928,-0.61290512251071,12.0272257178187,17.0813015445895,-19.335236432891,-2.25393488830153,0.0453765637093211,0.088732270457202,16.891631373968,0.997577192292086,0.254335526150229,-0.0362845428568414,-0.0432746269469821,346.779882306857,13.3433475237873,-3.22011769314338,20.4629379402339,16.2441470578533,23.5072022391412,0,0.434004550956219,0.0440839645519588,335,0,0,0,0,0,0,2797.21726906101,0,0,-1,335,-7.25186269183934,3.48338217398083,2.92818186183748,-0.407685656359056,0,0,0,1.14047853267074,0.20680698581863,2.81652853801933,-0.0163935799813482,0,6.05291748046875,-4.59722900390625,-9.05078125,-16.6182861328125,-0.87152099609375,0,0,0,0,0,0,0,0,0,0,-3.76983642578125,-0.42254638671875,0.352264404296875,-0.2879638671875,-0.3553466796875,1,0,0,0,1,0,0.1,-3.76983642578125,-0,0,-0,-0.3553466796875,0,0,0,333.793056353869,0,0
0.12,0.0474883599128923,329.476122512328,0.000144132933065932,0.319362669792589,12.073217834767,18.9136579068221,-17.4039889979253,1.50966890889677,0.0293783748778424,0.0800803243541468,16.9987991343452,0.997711039415534,0.253883475597023,0.0187873665232819,-0.00209701356700531,351.087518940389,12.0223318988789,1.08751894038926,21.0968709697172,18.451106682185,23.425898076005,0,0.444858684633527,0.0424449453442266,335,0,0,0,0,0,0,2800.2467432535,0,0,-1,335,4.30763663353264,0.633933029483259,0.0459921169482147,0.9322677923033,0,0,0,1.07848493660056,0.201980949619027,-1.94693923843133,0.000322274922141708,0,7.12713623046875,-4.60589599609375,-8.5897216796875,-15.9329833984375,-1.3707275390625,0,0,0,0,0,0,0,0,0,0,-3.90283203125,-0.46014404296875,-0.301300048828125,-0.21875,-0.149658203125,1,0,0,0,1,0,0.1,-3.90283203125,-0,-0,-0,-0.149658203125,0,0,0,333.538511846842,0,0
0.14,-0.262637048255455,330.573238677287,-0.000794489745468619,-0.114760417371217,11.1686135057792,16.6536795219927,-17.1497111121667,-0.496031590173946,0.00600378447629617,0.0826944294949813,15.7317173084785,0.997496424778379,0.271951680383594,-0.00729484360295286,0.016434845920279,350.195790005463,11.3790162228119,0.195790005463039,19.6305698234875,18.1429770378533,21.1592770076072,0,0.440851080881218,0.0423215418023841,335,0,0,0,0,0,0,2599.80478271783,0,0,-1,335,-0.891728934926221,-1.46630114622962,-0.904604328987782,-0.434123087163807,0,0,0,0.874281307210988,0.182809850502097,0.828674396877054,0.00314016525072719,0,6.28118896484375,-4.2772216796875,-9.43927001953125,-16.156982421875,-0.7288818359375,0,0,0,0,0,0,0,0,0,0,-3.779541015625,-0.41864013671875,0.211517333984375,-0.2066650390625,-0.2611083984375,1,0,0,0,1,0,0.1,-3.779541015625,-0,0,-0,-0.2611083984375,0,0,0,331.23128651634,0,0
0.16,-0.164418793387724,331.559393579093,-0.000495895446100525,-0.0336339574871649,11.7711499616315,17.8745202815733,-17.8761714257321,-0.00165114415871415,0.00383256009009116,0.0847545713975536,16.579394288482,0.997584936965265,0.26364898016264,-0.00202866020928949,0.0225988722223955,349.532295152994,11.2319876603565,-0.467704847006019,20.5172325132835,18.6995549798091,22.15651551391,0,0.439488051359937,0.0438371696658011,335,0,0,0,0,0,0,2747.63814566692,0,0,-1,335,-0.663494852469057,0.886662689795958,0.602536455852293,0.0811264598840525,0,0,0,0.356994804065148,0.0679386736330194,-2.65464118144001,-0.000682278220691723,0,7.052734375,-4.8759765625,-8.16607666015625,-16.277099609375,-1.62213134765625,0,0,0,0,0,0,0,0,0,0,-3.88653564453125,-0.487548828125,-0.290252685546875,-0.27587890625,-0.2337646484375,1,0,0,0,1,0,0.1,-3.88653564453125,-0,-0,-0,-0.2337646484375,0,0,0,333.818317519361,0,0
0.18,-0.0219829924010149,331.886670373332,-6.6236442627499e-05,0.0974271748590081,11.5909760123284,17.6618480381355,-17.3843718766455,0.277476161490036,0.00668049226345395,0.0843442737134263,16.3257105551137,0.997465760692537,0.262237108500711,0.00596771420944314,0.0274625325730922,350.379803435594,10.4943840504657,0.379803435593658,20.2456598021336,18.5694267921989,21.9204360480535,0,0.439781466161295,0.0428210773037227,335,0,0,0,0,0,0,2708.06840283436,0,0,-1,335,0.847508282599676,-0.271572711149918,-0.180173949303054,0.131061132346173,0,0,0,0.169622915807188,0.0332848007410906,-1.45271609089031,0.000285699270655027,0,6.7969970703125,-4.6536865234375,-8.6441650390625,-16.1294555664062,-1.3358154296875,0,0,0,0,0,0,0,0,0,0,-3.84637451171875,-0.472412109375,-0.165008544921875,-0.2232666015625,-0.2271728515625,1,0,0,0,1,0,0.1,-3.84637451171875,-0,-0,-0,-0.2271728515625,0,0,0,335.443252726446,0,0
